sequenceID	gb_subtype	rec_subtype	strain	gb_segment	rec_segment	iso_host	iso_source	iso_country	lab_host	iso_year	iso_month	iso_day	length	pubmed_id
KF425667	-	-	D/bovine/Minnesota/729/2013	2	-	Bos taurus	-	USA	-	2013	FEB	26	2262	24595369
KF425668	-	-	D/bovine/Minnesota/729/2013	3	-	Bos taurus	-	USA	-	2013	FEB	26	2133	24595369
KF425669	-	-	D/bovine/Minnesota/729/2013	4	-	Bos taurus	-	USA	-	2013	FEB	26	1995	24595369
KF425670	-	-	D/bovine/Minnesota/729/2013	5	-	Bos taurus	-	USA	-	2013	FEB	26	1659	24595369
KF425671	-	-	D/bovine/Minnesota/729/2013	6	-	Bos taurus	-	USA	-	2013	FEB	26	1164	24595369
KF425672	-	-	D/bovine/Minnesota/729/2013	7	-	Bos taurus	-	USA	-	2013	FEB	26	732	24595369
KM015491	-	-	D/bovine/Shandong/Y125/2014	1	-	Bos taurus	-	China	-	2014	APR	2	2364	25142163
KM015492	-	-	D/bovine/Shandong/Y125/2014	2	-	Bos taurus	-	China	-	2014	APR	2	2330	25142163
KM015493	-	-	D/bovine/Shandong/Y125/2014	3	-	Bos taurus	-	China	-	2014	APR	2	2195	25142163
KM015494	-	-	D/bovine/Shandong/Y125/2014	4	-	Bos taurus	-	China	-	2014	APR	2	2049	25142163
KM015495	-	-	D/bovine/Shandong/Y125/2014	5	-	Bos taurus	-	China	-	2014	APR	2	1775	25142163
KM015496	-	-	D/bovine/Shandong/Y125/2014	6	-	Bos taurus	-	China	-	2014	APR	2	1219	25142163
KM015497	-	-	D/bovine/Shandong/Y125/2014	7	-	Bos taurus	-	China	-	2014	APR	2	868	25142163
KM015498	-	-	D/bovine/Shandong/Y127/2014	1	-	Bos taurus	-	China	-	2014	APR	2	2364	25142163
KM015499	-	-	D/bovine/Shandong/Y127/2014	2	-	Bos taurus	-	China	-	2014	APR	2	2330	25142163
KM015500	-	-	D/bovine/Shandong/Y127/2014	3	-	Bos taurus	-	China	-	2014	APR	2	2195	25142163
KM015501	-	-	D/bovine/Shandong/Y127/2014	4	-	Bos taurus	-	China	-	2014	APR	2	2049	25142163
KM015502	-	-	D/bovine/Shandong/Y127/2014	5	-	Bos taurus	-	China	-	2014	APR	2	1775	25142163
KM015503	-	-	D/bovine/Shandong/Y127/2014	6	-	Bos taurus	-	China	-	2014	APR	2	1219	25142163
KM015504	-	-	D/bovine/Shandong/Y127/2014	7	-	Bos taurus	-	China	-	2014	APR	2	868	25142163
KM015505	-	-	D/bovine/Shandong/Y217/2014	1	-	Bos taurus	-	China	-	2014	APR	2	2364	25142163
KM015506	-	-	D/bovine/Shandong/Y217/2014	2	-	Bos taurus	-	China	-	2014	APR	2	2330	25142163
KM015507	-	-	D/bovine/Shandong/Y217/2014	3	-	Bos taurus	-	China	-	2014	APR	2	2195	25142163
KM015508	-	-	D/bovine/Shandong/Y217/2014	4	-	Bos taurus	-	China	-	2014	APR	2	2049	25142163
KM015509	-	-	D/bovine/Shandong/Y217/2014	5	-	Bos taurus	-	China	-	2014	APR	2	1775	25142163
KM015510	-	-	D/bovine/Shandong/Y217/2014	6	-	Bos taurus	-	China	-	2014	APR	2	1219	25142163
KM015511	-	-	D/bovine/Shandong/Y217/2014	7	-	Bos taurus	-	China	-	2014	APR	2	868	25142163
KM392468	-	-	D/bovine/Nebraska/9-5/2012	1	-	Bos taurus	-	USA	-	2012	JAN	31	2364	-
KM392469	-	-	D/bovine/Nebraska/9-5/2012	2	-	Bos taurus	-	USA	-	2012	JAN	31	2330	-
KM392470	-	-	D/bovine/Nebraska/9-5/2012	3	-	Bos taurus	-	USA	-	2012	JAN	31	2195	-
KM392471	-	-	D/bovine/Nebraska/9-5/2012	4	-	Bos taurus	-	USA	-	2012	JAN	31	2049	-
KM392472	-	-	D/bovine/Nebraska/9-5/2012	5	-	Bos taurus	-	USA	-	2012	JAN	31	1775	-
KM392473	-	-	D/bovine/Nebraska/9-5/2012	6	-	Bos taurus	-	USA	-	2012	JAN	31	1219	-
KM392474	-	-	D/bovine/Nebraska/9-5/2012	7	-	Bos taurus	-	USA	-	2012	JAN	31	868	-
KM392475	-	-	D/bovine/Kansas/1-35/2010	1	-	Bos taurus	-	USA	-	2010	DEC	10	2364	-
KM392476	-	-	D/bovine/Kansas/1-35/2010	2	-	Bos taurus	-	USA	-	2010	DEC	10	2330	-
KM392477	-	-	D/bovine/Kansas/1-35/2010	3	-	Bos taurus	-	USA	-	2010	DEC	10	2195	-
KM392478	-	-	D/bovine/Kansas/1-35/2010	4	-	Bos taurus	-	USA	-	2010	DEC	10	2049	-
KM392479	-	-	D/bovine/Kansas/1-35/2010	5	-	Bos taurus	-	USA	-	2010	DEC	10	1775	-
KM392480	-	-	D/bovine/Kansas/1-35/2010	6	-	Bos taurus	-	USA	-	2010	DEC	10	1219	-
KM392481	-	-	D/bovine/Kansas/1-35/2010	7	-	Bos taurus	-	USA	-	2010	DEC	10	868	-
KM392482	-	-	D/bovine/Texas/3-13/2011	1	-	Bos taurus	-	USA	-	2011	JUN	1	2364	-
KM392483	-	-	D/bovine/Texas/3-13/2011	2	-	Bos taurus	-	USA	-	2011	JUN	1	2330	-
KM392484	-	-	D/bovine/Texas/3-13/2011	3	-	Bos taurus	-	USA	-	2011	JUN	1	2195	-
KM392485	-	-	D/bovine/Texas/3-13/2011	4	-	Bos taurus	-	USA	-	2011	JUN	1	2049	-
KM392486	-	-	D/bovine/Texas/3-13/2011	5	-	Bos taurus	-	USA	-	2011	JUN	1	1775	-
KM392487	-	-	D/bovine/Texas/3-13/2011	6	-	Bos taurus	-	USA	-	2011	JUN	1	1219	-
KM392488	-	-	D/bovine/Texas/3-13/2011	7	-	Bos taurus	-	USA	-	2011	JUN	1	868	-
KM392489	-	-	D/bovine/Kansas/13-21/2012	1	-	Bos taurus	-	USA	-	2012	OCT	17	2364	-
KM392490	-	-	D/bovine/Kansas/13-21/2012	2	-	Bos taurus	-	USA	-	2012	OCT	17	2330	-
KM392491	-	-	D/bovine/Kansas/13-21/2012	3	-	Bos taurus	-	USA	-	2012	OCT	17	2195	-
KM392492	-	-	D/bovine/Kansas/13-21/2012	4	-	Bos taurus	-	USA	-	2012	OCT	17	2049	-
KM392493	-	-	D/bovine/Kansas/13-21/2012	5	-	Bos taurus	-	USA	-	2012	OCT	17	1775	-
KM392494	-	-	D/bovine/Kansas/13-21/2012	6	-	Bos taurus	-	USA	-	2012	OCT	17	1219	-
KM392495	-	-	D/bovine/Kansas/13-21/2012	7	-	Bos taurus	-	USA	-	2012	OCT	17	868	-
KM392496	-	-	D/bovine/Kansas/14-22/2012	1	-	Bos taurus	-	USA	-	2012	DEC	1	2364	-
KM392497	-	-	D/bovine/Kansas/14-22/2012	2	-	Bos taurus	-	USA	-	2012	DEC	1	2330	-
KM392498	-	-	D/bovine/Kansas/14-22/2012	3	-	Bos taurus	-	USA	-	2012	DEC	1	2195	-
KM392499	-	-	D/bovine/Kansas/14-22/2012	4	-	Bos taurus	-	USA	-	2012	DEC	1	2049	-
KM392500	-	-	D/bovine/Kansas/14-22/2012	5	-	Bos taurus	-	USA	-	2012	DEC	1	1775	-
KM392501	-	-	D/bovine/Kansas/14-22/2012	6	-	Bos taurus	-	USA	-	2012	DEC	1	1219	-
KM392502	-	-	D/bovine/Kansas/14-22/2012	7	-	Bos taurus	-	USA	-	2012	DEC	1	868	-
KM392503	-	-	D/bovine/Kansas/11-8/2012	1	-	Bos taurus	-	USA	-	2012	APR	19	2364	-
KM392504	-	-	D/bovine/Kansas/11-8/2012	2	-	Bos taurus	-	USA	-	2012	APR	19	2330	-
KM392505	-	-	D/bovine/Kansas/11-8/2012	3	-	Bos taurus	-	USA	-	2012	APR	19	2195	-
KM392506	-	-	D/bovine/Kansas/11-8/2012	4	-	Bos taurus	-	USA	-	2012	APR	19	2049	-
KM392507	-	-	D/bovine/Kansas/11-8/2012	5	-	Bos taurus	-	USA	-	2012	APR	19	1775	-
KM392508	-	-	D/bovine/Kansas/11-8/2012	6	-	Bos taurus	-	USA	-	2012	APR	19	1219	-
KM392509	-	-	D/bovine/Kansas/11-8/2012	7	-	Bos taurus	-	USA	-	2012	APR	19	868	-
KT592516	-	-	D/bovine/Italy/1/2014	1	-	Bos taurus	-	Italy	-	2014	-	-	2364	26812282
KT592517	-	-	D/bovine/Italy/1/2014	3	-	Bos taurus	-	Italy	-	2014	-	-	2195	26812282
KT592518	-	-	D/bovine/Italy/1/2014	5	-	Bos taurus	-	Italy	-	2014	-	-	1775	26812282
KT592519	-	-	D/bovine/Italy/1/2014	6	-	Bos taurus	-	Italy	-	2014	-	-	1219	26812282
KT592520	-	-	D/bovine/Italy/1/2014	7	-	Bos taurus	-	Italy	-	2014	-	-	868	26812282
KT592521	-	-	D/bovine/Italy/1/2014	2	-	Bos taurus	-	Italy	-	2014	-	-	2330	26812282
KT592522	-	-	D/bovine/Italy/1/2014	4	-	Bos taurus	-	Italy	-	2014	-	-	2049	26812282
KT592523	-	-	D/bovine/Italy/46484/2015	1	-	Bos taurus	-	Italy	-	2015	-	-	2351	26812282
KT592524	-	-	D/bovine/Italy/46484/2015	2	-	Bos taurus	-	Italy	-	2015	-	-	2324	26812282
KT592525	-	-	D/bovine/Italy/46484/2015	3	-	Bos taurus	-	Italy	-	2015	-	-	2193	26812282
KT592526	-	-	D/bovine/Italy/46484/2015	4	-	Bos taurus	-	Italy	-	2015	-	-	2044	26812282
KT592527	-	-	D/bovine/Italy/46484/2015	5	-	Bos taurus	-	Italy	-	2015	-	-	1778	26812282
KT592528	-	-	D/bovine/Italy/46484/2015	6	-	Bos taurus	-	Italy	-	2015	-	-	1197	26812282
KT592529	-	-	D/bovine/Italy/46484/2015	7	-	Bos taurus	-	Italy	-	2015	-	-	865	26812282
KU171126	-	-	D/bovine/Mexico/S7/2015	4	-	Bos taurus	-	Mexico	-	2015	-	-	2049	27154756
KU171127	-	-	D/bovine/Mexico/S8/2015	4	-	Bos taurus	-	Mexico	-	2015	-	-	2049	27154756
KU171128	-	-	D/bovine/Mexico/S56/2015	4	-	Bos taurus	-	Mexico	-	2015	-	-	2049	27154756
KU171129	-	-	D/bovine/Mexico/S62/2015	4	-	Bos taurus	-	Mexico	-	2015	-	-	2049	27154756
KU710418	-	-	D/bovine/Mexico/S7/2015	5	-	Bos taurus	-	Mexico	-	2015	-	-	1775	27154756
KU710419	-	-	D/bovine/Mexico/S8/2015	5	-	Bos taurus	-	Mexico	-	2015	-	-	1774	27154756
KU710420	-	-	D/bovine/Mexico/S56/2015	5	-	Bos taurus	-	Mexico	-	2015	-	-	1774	27154756
KU710421	-	-	D/bovine/Mexico/S62/2015	5	-	Bos taurus	-	Mexico	-	2015	-	-	1775	27154756
KU710422	-	-	D/bovine/Mexico/S7/2015	7	-	Bos taurus	-	Mexico	-	2015	-	-	868	27154756
KU710423	-	-	D/bovine/Mexico/S8/2015	7	-	Bos taurus	-	Mexico	-	2015	-	-	868	27154756
KU710424	-	-	D/bovine/Mexico/S56/2015	7	-	Bos taurus	-	Mexico	-	2015	-	-	868	27154756
KU710425	-	-	D/bovine/Mexico/S62/2015	7	-	Bos taurus	-	Mexico	-	2015	-	-	868	27154756
KU710426	-	-	D/bovine/Mexico/S7/2015	3	-	Bos taurus	-	Mexico	-	2015	-	-	2195	27154756
KU710427	-	-	D/bovine/Mexico/S8/2015	3	-	Bos taurus	-	Mexico	-	2015	-	-	2194	27154756
KU710428	-	-	D/bovine/Mexico/S56/2015	3	-	Bos taurus	-	Mexico	-	2015	-	-	2195	27154756
KU710429	-	-	D/bovine/Mexico/S62/2015	3	-	Bos taurus	-	Mexico	-	2015	-	-	2195	27154756
KU710430	-	-	D/bovine/Mexico/S7/2015	6	-	Bos taurus	-	Mexico	-	2015	-	-	1219	27154756
KU710431	-	-	D/bovine/Mexico/S8/2015	6	-	Bos taurus	-	Mexico	-	2015	-	-	1219	27154756
KU710432	-	-	D/bovine/Mexico/S56/2015	6	-	Bos taurus	-	Mexico	-	2015	-	-	1219	27154756
KU710433	-	-	D/bovine/Mexico/S62/2015	6	-	Bos taurus	-	Mexico	-	2015	-	-	1219	27154756
KU710434	-	-	D/bovine/Mexico/S7/2015	2	-	Bos taurus	-	Mexico	-	2015	-	-	2329	27154756
KU710435	-	-	D/bovine/Mexico/S8/2015	2	-	Bos taurus	-	Mexico	-	2015	-	-	2330	27154756
KU710436	-	-	D/bovine/Mexico/S56/2015	2	-	Bos taurus	-	Mexico	-	2015	-	-	2329	27154756
KU710437	-	-	D/bovine/Mexico/S62/2015	2	-	Bos taurus	-	Mexico	-	2015	-	-	2329	27154756
KU710438	-	-	D/bovine/Mexico/S7/2015	1	-	Bos taurus	-	Mexico	-	2015	-	-	2363	27154756
KU710439	-	-	D/bovine/Mexico/S8/2015	1	-	Bos taurus	-	Mexico	-	2015	-	-	2364	27154756
KU710440	-	-	D/bovine/Mexico/S56/2015	1	-	Bos taurus	-	Mexico	-	2015	-	-	2364	27154756
KU710441	-	-	D/bovine/Mexico/S62/2015	1	-	Bos taurus	-	Mexico	-	2015	-	-	2364	27154756
KY441119	-	-	D/bovine/Guangdong/RS1/2016	4	-	Bos taurus	-	China: Guangdong	-	2016	MAR	25	496	28726609
KY441120	-	-	D/bovine/Guangdong/RS4/2016	4	-	Bos taurus	-	China: Guangdong	-	2016	MAR	25	496	28726609
KY992090	-	-	D/bovine/Ireland/007780/2014	4	-	Bos taurus	-	Ireland	-	2014	-	-	597	-
KY992091	-	-	D/bovine/Ireland/082301/2014	4	-	Bos taurus	-	Ireland	-	2014	-	-	645	-
KY992092	-	-	D/bovine/Ireland/037157/2015	4	-	Bos taurus	-	Ireland	-	2015	-	-	645	-
KY992093	-	-	D/bovine/Ireland/010807/2016	4	-	Bos taurus	-	Ireland	-	2016	-	-	645	-
KY992094	-	-	D/bovine/Ireland/023638/2016	4	-	Bos taurus	-	Ireland	-	2016	-	-	645	-
KY992095	-	-	D/bovine/Ireland/007780/2014	6	-	Bos taurus	-	Ireland	-	2014	-	-	621	-
KY992096	-	-	D/bovine/Ireland/082301/2014	6	-	Bos taurus	-	Ireland	-	2014	-	-	621	-
KY992097	-	-	D/bovine/Ireland/010807/2016	6	-	Bos taurus	-	Ireland	-	2016	-	-	621	-
KY992098	-	-	D/bovine/Ireland/023638/2016	6	-	Bos taurus	-	Ireland	-	2016	-	-	621	-
KY992099	-	-	D/bovine/Ireland/007780/2014	6	-	Bos taurus	-	Ireland	-	2014	-	-	573	-
KY992100	-	-	D/bovine/Ireland/037157/2015	6	-	Bos taurus	-	Ireland	-	2015	-	-	573	-
KY992101	-	-	D/bovine/Ireland/010807/2016	6	-	Bos taurus	-	Ireland	-	2016	-	-	573	-
KY992102	-	-	D/bovine/Ireland/023638/2016	6	-	Bos taurus	-	Ireland	-	2016	-	-	573	-
KY992103	-	-	D/bovine/Ireland/082301/2014	6	-	Bos taurus	-	Ireland	-	2014	-	-	573	-
LC128433	-	-	D/bovine/Ibaraki/7768/2016	4	-	Bos taurus	-	Japan	-	2016	-	-	2049	27434213
LC128434	-	-	D/bovine/Ibaraki/7768/2016	6	-	Bos taurus	-	Japan	-	2016	-	-	1219	27434213
LC128435	-	-	D/bovine/Ibaraki/7768/2016	5	-	Bos taurus	-	Japan	-	2016	-	-	1775	27434213
LC128436	-	-	D/bovine/Ibaraki/7768/2016	7	-	Bos taurus	-	Japan	-	2016	-	-	868	27434213
LC128437	-	-	D/bovine/Ibaraki/7768/2016	3	-	Bos taurus	-	Japan	-	2016	-	-	2195	27434213
LC128438	-	-	D/bovine/Ibaraki/7768/2016	2	-	Bos taurus	-	Japan	-	2016	-	-	2330	27434213
LC128439	-	-	D/bovine/Ibaraki/7768/2016	1	-	Bos taurus	-	Japan	-	2016	-	-	2364	27434213
LC270265	-	-	D/bovine/Miyazaki/B22/2016	1	-	Bos taurus	-	Japan:Miyazaki	-	2016	-	-	2364	29143492
LC270266	-	-	D/bovine/Miyazaki/B22/2016	2	-	Bos taurus	-	Japan:Miyazaki	-	2016	-	-	2330	29143492
LC270267	-	-	D/bovine/Miyazaki/B22/2016	3	-	Bos taurus	-	Japan:Miyazaki	-	2016	-	-	2195	29143492
LC270268	-	-	D/bovine/Miyazaki/B22/2016	4	-	Bos taurus	-	Japan:Miyazaki	-	2016	-	-	2049	29143492
LC270269	-	-	D/bovine/Miyazaki/B22/2016	5	-	Bos taurus	-	Japan:Miyazaki	-	2016	-	-	1775	29143492
LC270270	-	-	D/bovine/Miyazaki/B22/2016	6	-	Bos taurus	-	Japan:Miyazaki	-	2016	-	-	1219	29143492
LC270271	-	-	D/bovine/Miyazaki/B22/2016	7	-	Bos taurus	-	Japan:Miyazaki	-	2016	-	-	868	29143492
LC318665	-	-	D/bovine/Yamagata/10710/2016	1	-	Bos taurus	-	Japan: Yamagata	-	2016	-	-	2364	29321324
LC318666	-	-	D/bovine/Yamagata/10710/2016	2	-	Bos taurus	-	Japan: Yamagata	-	2016	-	-	2331	29321324
LC318667	-	-	D/bovine/Yamagata/10710/2016	3	-	Bos taurus	-	Japan: Yamagata	-	2016	-	-	2195	29321324
LC318668	-	-	D/bovine/Yamagata/10710/2016	4	-	Bos taurus	-	Japan: Yamagata	-	2016	-	-	2049	29321324
LC318669	-	-	D/bovine/Yamagata/10710/2016	5	-	Bos taurus	-	Japan: Yamagata	-	2016	-	-	1775	29321324
LC318670	-	-	D/bovine/Yamagata/10710/2016	6	-	Bos taurus	-	Japan: Yamagata	-	2016	-	-	1219	29321324
LC318671	-	-	D/bovine/Yamagata/10710/2016	7	-	Bos taurus	-	Japan: Yamagata	-	2016	-	-	868	29321324
MG720235	-	-	D/bovine/France/5920/2014	4	-	Bos taurus	lung fragment	France	-	2014	FEB	18	1995	-
MG720236	-	-	D/bovine/France/5920/2014	7	-	Bos taurus	lung fragment	France	-	2014	FEB	18	821	-
MG720237	-	-	D/bovine/France/5920/2014	5	-	Bos taurus	lung fragment	France	-	2014	FEB	18	1685	-
MG720238	-	-	D/bovine/France/5920/2014	3	-	Bos taurus	lung fragment	France	-	2014	FEB	18	2166	-
MG720239	-	-	D/bovine/France/5920/2014	1	-	Bos taurus	lung fragment	France	-	2014	FEB	18	2337	-
MG720240	-	-	D/bovine/France/5920/2014	6	-	Bos taurus	lung fragment	France	-	2014	FEB	18	1162	-
MG720241	-	-	D/bovine/France/5920/2014	2	-	Bos taurus	lung fragment	France	-	2014	FEB	18	2248	-
MH315967	-	-	D/bovine/Guangdong/SK/2018	4	-	Bos taurus	-	China	-	2018	APR	15	1995	-
MH315968	-	-	D/bovine/Guangdong/SQ/2018	4	-	Bos taurus	-	China	-	2018	MAR	10	1995	-
MH315969	-	-	D/bovine/Guangdong/25969/2017	4	-	Bos taurus	-	China	-	2017	MAR	23	1995	-
MH315970	-	-	D/bovine/Guangdong/YC/2017	4	-	Bos taurus	-	China	-	2017	MAR	23	1995	-
MH785019	-	-	D/bovine/Pennsylvania/321/2017	7	-	Bos taurus	nasal swab	USA: Pennsylvania	-	2017	OCT	16	384	-
MH785020	-	-	D/bovine/Pennsylvania/321/2017	6	-	Bos taurus	nasal swab	USA: Pennsylvania	-	2017	OCT	16	322	-
MH785021	-	-	D/bovine/Pennsylvania/321/2017	4	-	Bos taurus	nasal swab	USA: Pennsylvania	-	2017	OCT	16	588	-
MK101118	-	-	D/bovine/Northern Ireland/24280/2017	1	-	Bos taurus	-	United Kingdom	-	2017	DEC	1	2320	-
MK101119	-	-	D/bovine/Northern Ireland/24280/2017	2	-	Bos taurus	-	United Kingdom	-	2017	DEC	1	2286	-
MK101120	-	-	D/bovine/Northern Ireland/24280/2017	3	-	Bos taurus	-	United Kingdom	-	2017	DEC	1	2150	-
MK101121	-	-	D/bovine/Northern Ireland/24280/2017	4	-	Bos taurus	-	United Kingdom	-	2017	DEC	1	2003	-
MK101122	-	-	D/bovine/Northern Ireland/24280/2017	5	-	Bos taurus	-	United Kingdom	-	2017	DEC	1	1726	-
MK101123	-	-	D/bovine/Northern Ireland/24280/2017	6	-	Bos taurus	-	United Kingdom	-	2017	DEC	1	1168	-
MK101124	-	-	D/bovine/Northern Ireland/24280/2017	7	-	Bos taurus	-	United Kingdom	-	2017	DEC	1	822	-
MK290418	-	-	D/bovine/Guangdong/GDQY/2018	4	-	Bos taurus	nasal swab	China: Guangdong, Qingyuan	-	2018	MAR	22	496	-
KT581409	-	-	D/bovine/Mississippi/C00046N/2014	1	-	Bos taurus; 6 to 8 months	nasal swab	USA: Mississippi	-	2014	FEB	19	2364	26386554
KT581410	-	-	D/bovine/Mississippi/C00046N/2014	2	-	Bos taurus; 6 to 8 months	nasal swab	USA: Mississippi	-	2014	FEB	19	2330	26386554
KT581411	-	-	D/bovine/Mississippi/C00046N/2014	3	-	Bos taurus; 6 to 8 months	nasal swab	USA: Mississippi	-	2014	FEB	19	2195	-
KT581412	-	-	D/bovine/Mississippi/C00046N/2014	4	-	Bos taurus; 6 to 8 months	nasal swab	USA: Mississippi	-	2014	FEB	19	2049	26386554
KT581413	-	-	D/bovine/Mississippi/C00046N/2014	5	-	Bos taurus; 6 to 8 months	nasal swab	USA: Mississippi	-	2014	FEB	19	1775	26386554
KT581414	-	-	D/bovine/Mississippi/C00046N/2014	6	-	Bos taurus; 6 to 8 months	nasal swab	USA: Mississippi	-	2014	FEB	19	1219	26386554
KT581415	-	-	D/bovine/Mississippi/C00046N/2014	7	-	Bos taurus; 6 to 8 months	nasal swab	USA: Mississippi	-	2014	FEB	19	868	26386554
KT581416	-	-	D/bovine/Mississippi/C00013N/2014	4	-	Bos taurus; 6 to 8 months	nasal swab	USA: Mississippi	-	2014	FEB	7	2049	26386554
KT581417	-	-	D/bovine/Mississippi/C00014N/2014	4	-	Bos taurus; 6 to 8 months	nasal swab	USA: Mississippi	-	2014	FEB	7	2049	26386554
KT581418	-	-	D/bovine/Mississippi/C00030P/2014	4	-	Bos taurus; 6 to 8 months	nasopharyngeal swab	USA: Mississippi	-	2014	FEB	19	2049	26386554
KY441118	-	-	D/bovine/Guangdong/NS1/2016	4	-	buffalo	-	China: Guangdong, Nansha	-	2016	MAR	16	496	28726609
KY441121	-	-	D/bovine/Guangdong/PY1/2016	4	-	buffalo	-	China: Guangdong, Panyu	-	2016	FEB	10	496	28726609
KY441111	-	-	D/bovine/Guangdong/LG2/2016	4	-	dairy cow	-	China: Guangdong, Luogang	-	2016	APR	15	496	28726609
KY441112	-	-	D/bovine/Guangdong/LG5/2016	4	-	dairy cow	-	China: Guangdong, Luogang	-	2016	APR	15	496	28726609
KY441113	-	-	D/bovine/Guangdong/LG9/2016	4	-	dairy cow	-	China: Guangdong, Luogang	-	2016	APR	15	496	28726609
KY441114	-	-	D/bovine/Guangdong/QQ1/2016	4	-	dairy cow	-	China: Guangdong	-	2016	MAY	20	496	28726609
KY441115	-	-	D/bovine/Guangdong/QQ4/2016	4	-	dairy cow	-	China: Guangdong	-	2016	MAY	20	496	28726609
KY441116	-	-	D/bovine/Guangdong/QQ7/2016	4	-	dairy cow	-	China: Guangdong	-	2016	MAY	20	496	28726609
KY441117	-	-	D/bovine/Guangdong/QQ12/2016	4	-	dairy cow	-	China: Guangdong	-	2016	MAY	20	496	28726609
KY441122	-	-	D/caprine/Guangdong/JK1/2016	4	-	goat	-	China: Guangdong, Qingyuan	-	2016	JUL	5	496	28726609
NC_036616	-	-	D/swine/Oklahoma/1334/2011	1	-	Sus scrofa	-	USA	-	2011	MAR	21	2364	23408893
NC_036615	-	-	D/swine/Oklahoma/1334/2011	2	-	Sus scrofa	-	USA	-	2011	MAR	21	2330	23408893
NC_036619	-	-	D/swine/Oklahoma/1334/2011	3	-	Sus scrofa	-	USA	-	2011	MAR	21	2195	23408893
NC_036618	-	-	D/swine/Oklahoma/1334/2011	4	-	Sus scrofa	-	USA	-	2011	MAR	21	2049	23408893
NC_036617	-	-	D/swine/Oklahoma/1334/2011	5	-	Sus scrofa	-	USA	-	2011	MAR	21	1775	23408893
NC_036620	-	-	D/swine/Oklahoma/1334/2011	6	-	Sus scrofa	-	USA	-	2011	MAR	21	1219	23408893
NC_036621	-	-	D/swine/Oklahoma/1334/2011	7	-	Sus scrofa	-	USA	-	2011	MAR	21	868	23408893
JQ922305	-	-	D/swine/Oklahoma/1334/2011	1	-	Sus scrofa	-	USA	-	2011	MAR	21	2364	23408893
JQ922306	-	-	D/swine/Oklahoma/1334/2011	2	-	Sus scrofa	-	USA	-	2011	MAR	21	2330	23408893
JQ922307	-	-	D/swine/Oklahoma/1334/2011	3	-	Sus scrofa	-	USA	-	2011	MAR	21	2195	23408893
JQ922308	-	-	D/swine/Oklahoma/1334/2011	4	-	Sus scrofa	-	USA	-	2011	MAR	21	2049	23408893
JQ922309	-	-	D/swine/Oklahoma/1334/2011	5	-	Sus scrofa	-	USA	-	2011	MAR	21	1775	23408893
JQ922310	-	-	D/swine/Oklahoma/1334/2011	6	-	Sus scrofa	-	USA	-	2011	MAR	21	1219	23408893
JQ922311	-	-	D/swine/Oklahoma/1334/2011	7	-	Sus scrofa	-	USA	-	2011	MAR	21	868	23408893
KT592530	-	-	D/swine/Italy/199724-3/2015	1	-	Sus scrofa	-	Italy	-	2015	-	-	2364	26812282
