sequenceID	gb_subtype	rec_subtype	strain	gb_segment	rec_segment	iso_host	iso_source	iso_country	lab_host	iso_year	iso_month	iso_day	length	pubmed_id
AB035364	-	-	C/Sao Paulo/378/82	-	4	-	-	-	-	-	-	-	1993	10811928
AB035365	-	-	C/Yamagata/1/93	-	4	-	-	-	-	-	-	-	1970	10811928
AB035366	-	-	C/Sao Paulo/378/82	-	7	-	-	-	-	-	-	-	869	10811928
AB035367	-	-	C/Yamagata/1/93	-	7	-	-	-	-	-	-	-	883	10811928
AB035368	-	-	C/Sao Paulo/378/82	-	1	-	-	-	-	-	-	-	469	10811928
AB035369	-	-	C/Yamagata/1/93	-	1	-	-	-	-	-	-	-	469	10811928
AB035370	-	-	C/Sao Paulo/378/82	-	3	-	-	-	-	-	-	-	372	10811928
AB035371	-	-	C/Yamagata/1/93	-	3	-	-	-	-	-	-	-	372	10811928
AB035372	-	-	C/Sao Paulo/378/82	-	6	-	-	-	-	-	-	-	1124	10811928
AB035373	-	-	C/Yamagata/1/93	-	6	-	-	-	-	-	-	-	1124	10811928
AB035374	-	-	C/Sao Paulo/378/82	-	2	-	-	-	-	-	-	-	376	10811928
AB035375	-	-	C/Yamagata/1/93	-	2	-	-	-	-	-	-	-	376	10811928
AB035376	-	-	C/Sao Paulo/378/82	-	5	-	-	-	-	-	-	-	600	10811928
AB035377	-	-	C/Yamagata/1/93	-	5	-	-	-	-	-	-	-	600	10811928
AB064397	-	-	C/Yamagata/3/96	-	4	-	-	-	-	-	-	-	1926	11825952
AB064398	-	-	C/Yamagata/8/96	-	4	-	-	-	-	-	-	-	1926	11825952
AB064399	-	-	C/Yamagata/9/96	-	4	-	-	-	-	-	-	-	1926	11825952
AB064400	-	-	C/Yamagata/20/96	-	4	-	-	-	-	-	-	-	1926	11825952
AB064401	-	-	C/Yamagata/2/98	-	4	-	-	-	-	-	-	-	1926	11825952
AB064402	-	-	C/Yamagata/6/98	-	4	-	-	-	-	-	-	-	1926	11825952
AB064403	-	-	C/Yamagata/13/98	-	4	-	-	-	-	-	-	-	1926	11825952
AB064404	-	-	C/Miyagi/4/96	-	4	-	-	-	-	-	-	-	1923	11825952
AB064405	-	-	C/Miyagi/7/96	-	4	-	-	-	-	-	-	-	1923	11825952
AB064406	-	-	C/Miyagi/8/96	-	4	-	-	-	-	-	-	-	1923	11825952
AB064407	-	-	C/Miyagi/1/93	-	4	-	-	-	-	-	-	-	1923	11825952
AB064408	-	-	C/Miyagi/3/93	-	4	-	-	-	-	-	-	-	1923	11825952
AB064409	-	-	C/Miyagi/4/93	-	4	-	-	-	-	-	-	-	1923	11825952
AB064410	-	-	C/Miyagi/6/93	-	4	-	-	-	-	-	-	-	1923	11825952
AB064411	-	-	C/Miyagi/7/93	-	4	-	-	-	-	-	-	-	1923	11825952
AB064412	-	-	C/Miyagi/1/94	-	4	-	-	-	-	-	-	-	1923	11825952
AB064413	-	-	C/Miyagi/2/94	-	4	-	-	-	-	-	-	-	1923	11825952
AB064414	-	-	C/Miyagi/3/94	-	4	-	-	-	-	-	-	-	1923	11825952
AB064415	-	-	C/Kanagawa/1/76	-	1	-	-	-	-	-	-	-	469	11825952
AB064416	-	-	C/Miyagi/77	-	1	-	-	-	-	-	-	-	469	11825952
AB064417	-	-	C/Yamagata/3/96	-	1	-	-	-	-	-	-	-	469	11825952
AB064418	-	-	C/Yamagata/8/96	-	1	-	-	-	-	-	-	-	469	11825952
AB064419	-	-	C/Yamagata/9/96	-	1	-	-	-	-	-	-	-	469	11825952
AB064420	-	-	C/Yamagata/20/96	-	1	-	-	-	-	-	-	-	469	11825952
AB064421	-	-	C/Yamagata/2/98	-	1	-	-	-	-	-	-	-	469	11825952
AB064422	-	-	C/Yamagata/6/98	-	1	-	-	-	-	-	-	-	469	11825952
AB064423	-	-	C/Kanagawa/1/76	-	2	-	-	-	-	-	-	-	376	11825952
AB064424	-	-	C/Miyagi/77	-	2	-	-	-	-	-	-	-	376	11825952
AB064425	-	-	C/Yamagata/3/96	-	2	-	-	-	-	-	-	-	376	11825952
AB064426	-	-	C/Yamagata/8/96	-	2	-	-	-	-	-	-	-	376	11825952
AB064427	-	-	C/Yamagata/9/96	-	2	-	-	-	-	-	-	-	376	11825952
AB064428	-	-	C/Yamagata/20/96	-	2	-	-	-	-	-	-	-	376	11825952
AB064429	-	-	C/Yamagata/2/98	-	2	-	-	-	-	-	-	-	376	11825952
AB064430	-	-	C/Yamagata/6/98	-	2	-	-	-	-	-	-	-	376	11825952
AB064431	-	-	C/Yamagata/13/98	-	2	-	-	-	-	-	-	-	376	11825952
AB064432	-	-	C/Yamagata/3/96	-	6	-	-	-	-	-	-	-	1122	11825952
AB064433	-	-	C/Yamagata/8/96	-	6	-	-	-	-	-	-	-	1122	11825952
AB064434	-	-	C/Yamagata/9/96	-	6	-	-	-	-	-	-	-	1122	11825952
AB064435	-	-	C/Yamagata/20/96	-	6	-	-	-	-	-	-	-	1122	11825952
AB064436	-	-	C/Yamagata/2/98	-	6	-	-	-	-	-	-	-	1122	11825952
AB064437	-	-	C/Yamagata/6/98	-	6	-	-	-	-	-	-	-	1122	11825952
AB064438	-	-	C/Yamagata/13/98	-	6	-	-	-	-	-	-	-	1122	11825952
AB064439	-	-	C/Yamagata/3/96	-	7	-	-	-	-	-	-	-	862	11825952
AB064440	-	-	C/Yamagata/8/96	-	7	-	-	-	-	-	-	-	862	11825952
AB064441	-	-	C/Yamagata/9/96	-	7	-	-	-	-	-	-	-	862	11825952
AB064442	-	-	C/Yamagata/20/96	-	7	-	-	-	-	-	-	-	862	11825952
AB064443	-	-	C/Yamagata/2/98	-	7	-	-	-	-	-	-	-	862	11825952
AB064444	-	-	C/Yamagata/6/98	-	7	-	-	-	-	-	-	-	862	11825952
AB064445	-	-	C/Yamagata/13/98	-	7	-	-	-	-	-	-	-	862	11825952
AB064446	-	-	C/Kanagawa/1/76	-	3	-	-	-	-	-	-	-	372	11825952
AB064447	-	-	C/Miyagi/77	-	3	-	-	-	-	-	-	-	372	11825952
AB064448	-	-	C/Yamagata/3/96	-	3	-	-	-	-	-	-	-	372	11825952
AB064449	-	-	C/Yamagata/8/96	-	3	-	-	-	-	-	-	-	372	11825952
AB064450	-	-	C/Yamagata/9/96	-	3	-	-	-	-	-	-	-	372	11825952
AB064451	-	-	C/Yamagata/20/96	-	3	-	-	-	-	-	-	-	372	11825952
AB064452	-	-	C/Yamagata/2/98	-	3	-	-	-	-	-	-	-	372	11825952
AB064453	-	-	C/Yamagata/6/98	-	3	-	-	-	-	-	-	-	372	11825952
AB064454	-	-	C/Yamagata/13/98	-	3	-	-	-	-	-	-	-	372	11825952
AB064455	-	-	C/Miyagi/1/93	-	3	-	-	-	-	-	-	-	372	11825952
AB064456	-	-	C/Miyagi/2/93	-	3	-	-	-	-	-	-	-	372	11825952
AB064457	-	-	C/Miyagi/3/93	-	3	-	-	-	-	-	-	-	372	11825952
AB064458	-	-	C/Miyagi/4/93	-	3	-	-	-	-	-	-	-	372	11825952
AB064459	-	-	C/Miyagi/6/93	-	3	-	-	-	-	-	-	-	372	11825952
AB064460	-	-	C/Miyagi/7/93	-	3	-	-	-	-	-	-	-	372	11825952
AB064461	-	-	C/Miyagi/1/94	-	3	-	-	-	-	-	-	-	372	11825952
AB064462	-	-	C/Miyagi/2/94	-	3	-	-	-	-	-	-	-	372	11825952
AB064463	-	-	C/Miyagi/3/94	-	3	-	-	-	-	-	-	-	372	11825952
AB064464	-	-	C/Miyagi/4/96	-	3	-	-	-	-	-	-	-	372	11825952
AB064465	-	-	C/Miyagi/7/96	-	3	-	-	-	-	-	-	-	372	11825952
AB064466	-	-	C/Miyagi/8/96	-	3	-	-	-	-	-	-	-	372	11825952
AB064467	-	-	C/Kanagawa/1/76	-	5	-	-	-	-	-	-	-	600	11825952
AB064468	-	-	C/Miyagi/77	-	5	-	-	-	-	-	-	-	600	11825952
AB064469	-	-	C/Yamagata/3/96	-	5	-	-	-	-	-	-	-	600	11825952
AB064470	-	-	C/Yamagata/8/96	-	5	-	-	-	-	-	-	-	600	11825952
AB064471	-	-	C/Yamagata/9/96	-	5	-	-	-	-	-	-	-	600	11825952
AB064472	-	-	C/Yamagata/20/96	-	5	-	-	-	-	-	-	-	600	11825952
AB064473	-	-	C/Yamagata/2/98	-	5	-	-	-	-	-	-	-	600	11825952
AB064474	-	-	C/Yamagata/6/98	-	5	-	-	-	-	-	-	-	600	11825952
AB064475	-	-	C/Yamagata/13/98	-	5	-	-	-	-	-	-	-	600	11825952
AB064476	-	-	C/Miyagi/1/93	-	5	-	-	-	-	-	-	-	600	11825952
AB064477	-	-	C/Miyagi/2/93	-	5	-	-	-	-	-	-	-	600	11825952
AB064478	-	-	C/Miyagi/3/93	-	5	-	-	-	-	-	-	-	600	11825952
AB064479	-	-	C/Miyagi/4/93	-	5	-	-	-	-	-	-	-	600	11825952
AB064480	-	-	C/Miyagi/6/93	-	5	-	-	-	-	-	-	-	600	11825952
AB064481	-	-	C/Miyagi/7/93	-	5	-	-	-	-	-	-	-	600	11825952
AB064482	-	-	C/Miyagi/1/94	-	5	-	-	-	-	-	-	-	600	11825952
AB064483	-	-	C/Miyagi/2/94	-	5	-	-	-	-	-	-	-	600	11825952
AB064484	-	-	C/Miyagi/3/94	-	5	-	-	-	-	-	-	-	600	11825952
AB064485	-	-	C/Miyagi/4/96	-	5	-	-	-	-	-	-	-	600	11825952
AB064486	-	-	C/Miyagi/7/96	-	5	-	-	-	-	-	-	-	600	11825952
AB064487	-	-	C/Miyagi/8/96	-	5	-	-	-	-	-	-	-	600	11825952
AB064488	-	-	C/Yamagata/13/98	-	1	-	-	-	-	-	-	-	469	11825952
AB086656	-	-	C/Shizuoka/79	-	4	-	-	-	-	-	-	-	1926	12502803
AB086657	-	-	C/Yamagata/1/86	-	4	-	-	-	-	-	-	-	1926	12502803
AB086658	-	-	C/Miyagi/1/90	-	4	-	-	-	-	-	-	-	1926	12502803
AB086659	-	-	C/Miyagi/5/91	-	4	-	-	-	-	-	-	-	1926	12502803
AB086660	-	-	C/Miyagi/7/91	-	4	-	-	-	-	-	-	-	1926	12502803
AB086661	-	-	C/Miyagi/5/93	-	4	-	-	-	-	-	-	-	1926	12502803
AB086662	-	-	C/Miyagi/2/96	-	4	-	-	-	-	-	-	-	1926	12502803
AB086663	-	-	C/Miyagi/6/96	-	4	-	-	-	-	-	-	-	1926	12502803
AB086664	-	-	C/Miyagi/9/96	-	4	-	-	-	-	-	-	-	1926	12502803
AB086665	-	-	C/Miyagi/1/97	-	4	-	-	-	-	-	-	-	1926	12502803
AB086666	-	-	C/Miyagi/2/98	-	4	-	-	-	-	-	-	-	1926	12502803
AB086667	-	-	C/Miyagi/4/98	-	4	-	-	-	-	-	-	-	1926	12502803
AB086668	-	-	C/Miyagi/1/99	-	4	-	-	-	-	-	-	-	1926	12502803
AB086669	-	-	C/Miyagi/3/99	-	4	-	-	-	-	-	-	-	1926	12502803
AB086670	-	-	C/Sapporo/71	-	1	-	-	-	-	-	-	-	469	12502803
AB086671	-	-	C/Aomori/74	-	1	-	-	-	-	-	-	-	469	12502803
AB086672	-	-	C/Kyoto/1/79	-	1	-	-	-	-	-	-	-	469	12502803
AB086673	-	-	C/Shizuoka/79	-	1	-	-	-	-	-	-	-	469	12502803
AB086674	-	-	C/Yamagata/1/86	-	1	-	-	-	-	-	-	-	469	12502803
AB086675	-	-	C/Miyagi/1/90	-	1	-	-	-	-	-	-	-	469	12502803
AB086676	-	-	C/Miyagi/5/91	-	1	-	-	-	-	-	-	-	469	12502803
AB086677	-	-	C/Miyagi/7/91	-	1	-	-	-	-	-	-	-	469	12502803
AB086678	-	-	C/Miyagi/1/93	-	1	-	-	-	-	-	-	-	469	12502803
AB086679	-	-	C/Miyagi/2/93	-	1	-	-	-	-	-	-	-	469	12502803
AB086680	-	-	C/Miyagi/3/93	-	1	-	-	-	-	-	-	-	469	12502803
AB086681	-	-	C/Miyagi/4/93	-	1	-	-	-	-	-	-	-	469	12502803
AB086682	-	-	C/Miyagi/5/93	-	1	-	-	-	-	-	-	-	469	12502803
AB086683	-	-	C/Miyagi/6/93	-	1	-	-	-	-	-	-	-	469	12502803
AB086684	-	-	C/Miyagi/7/93	-	1	-	-	-	-	-	-	-	469	12502803
AB086685	-	-	C/Miyagi/1/94	-	1	-	-	-	-	-	-	-	469	12502803
AB086686	-	-	C/Miyagi/2/94	-	1	-	-	-	-	-	-	-	469	12502803
AB086687	-	-	C/Miyagi/3/94	-	1	-	-	-	-	-	-	-	469	12502803
AB086688	-	-	C/Miyagi/2/96	-	1	-	-	-	-	-	-	-	469	12502803
AB086689	-	-	C/Miyagi/4/96	-	1	-	-	-	-	-	-	-	469	12502803
AB086690	-	-	C/Miyagi/6/96	-	1	-	-	-	-	-	-	-	469	12502803
AB086691	-	-	C/Miyagi/7/96	-	1	-	-	-	-	-	-	-	469	12502803
AB086692	-	-	C/Miyagi/8/96	-	1	-	-	-	-	-	-	-	469	12502803
AB086693	-	-	C/Miyagi/9/96	-	1	-	-	-	-	-	-	-	469	12502803
AB086694	-	-	C/Miyagi/1/97	-	1	-	-	-	-	-	-	-	469	12502803
AB086695	-	-	C/Miyagi/2/98	-	1	-	-	-	-	-	-	-	469	12502803
AB086696	-	-	C/Miyagi/4/98	-	1	-	-	-	-	-	-	-	469	12502803
AB086697	-	-	C/Miyagi/1/99	-	1	-	-	-	-	-	-	-	469	12502803
AB086698	-	-	C/Miyagi/3/99	-	1	-	-	-	-	-	-	-	469	12502803
AB086699	-	-	C/Sapporo/71	-	2	-	-	-	-	-	-	-	376	12502803
AB086700	-	-	C/Aomori/74	-	2	-	-	-	-	-	-	-	376	12502803
AB086701	-	-	C/Shizuoka/79	-	2	-	-	-	-	-	-	-	376	12502803
AB086702	-	-	C/Yamagata/1/86	-	2	-	-	-	-	-	-	-	376	12502803
AB086703	-	-	C/Miyagi/1/90	-	2	-	-	-	-	-	-	-	376	12502803
AB086704	-	-	C/Miyagi/5/91	-	2	-	-	-	-	-	-	-	376	12502803
AB086705	-	-	C/Miyagi/7/91	-	2	-	-	-	-	-	-	-	376	12502803
AB086706	-	-	C/Miyagi/1/93	-	2	-	-	-	-	-	-	-	376	12502803
AB086707	-	-	C/Miyagi/2/93	-	2	-	-	-	-	-	-	-	376	12502803
AB086708	-	-	C/Miyagi/3/93	-	2	-	-	-	-	-	-	-	376	12502803
AB086709	-	-	C/Miyagi/4/93	-	2	-	-	-	-	-	-	-	376	12502803
AB086710	-	-	C/Miyagi/5/93	-	2	-	-	-	-	-	-	-	376	12502803
AB086711	-	-	C/Miyagi/6/93	-	2	-	-	-	-	-	-	-	376	12502803
AB086712	-	-	C/Miyagi/7/93	-	2	-	-	-	-	-	-	-	376	12502803
AB086713	-	-	C/Miyagi/1/94	-	2	-	-	-	-	-	-	-	376	12502803
AB086714	-	-	C/Miyagi/2/94	-	2	-	-	-	-	-	-	-	376	12502803
AB086715	-	-	C/Miyagi/3/94	-	2	-	-	-	-	-	-	-	376	12502803
AB086716	-	-	C/Miyagi/2/96	-	2	-	-	-	-	-	-	-	376	12502803
AB086717	-	-	C/Miyagi/4/96	-	2	-	-	-	-	-	-	-	376	12502803
AB086718	-	-	C/Miyagi/6/96	-	2	-	-	-	-	-	-	-	376	12502803
AB086719	-	-	C/Miyagi/7/96	-	2	-	-	-	-	-	-	-	376	12502803
AB086720	-	-	C/Miyagi/8/96	-	2	-	-	-	-	-	-	-	376	12502803
AB086721	-	-	C/Miyagi/9/96	-	2	-	-	-	-	-	-	-	376	12502803
AB086722	-	-	C/Miyagi/1/97	-	2	-	-	-	-	-	-	-	376	12502803
AB086723	-	-	C/Miyagi/2/98	-	2	-	-	-	-	-	-	-	376	12502803
AB086724	-	-	C/Miyagi/4/98	-	2	-	-	-	-	-	-	-	376	12502803
AB086725	-	-	C/Miyagi/1/99	-	2	-	-	-	-	-	-	-	376	12502803
AB086726	-	-	C/Miyagi/3/99	-	2	-	-	-	-	-	-	-	376	12502803
AB086727	-	-	C/Sapporo/71	-	3	-	-	-	-	-	-	-	372	12502803
AB086728	-	-	C/Aomori/74	-	3	-	-	-	-	-	-	-	372	12502803
AB086729	-	-	C/Kyoto/1/79	-	3	-	-	-	-	-	-	-	372	12502803
AB086730	-	-	C/Shizuoka/79	-	3	-	-	-	-	-	-	-	372	12502803
AB086731	-	-	C/Yamagata/1/86	-	3	-	-	-	-	-	-	-	372	12502803
AB086732	-	-	C/Miyagi/1/90	-	3	-	-	-	-	-	-	-	372	12502803
AB086733	-	-	C/Miyagi/5/91	-	3	-	-	-	-	-	-	-	372	12502803
AB086734	-	-	C/Miyagi/7/91	-	3	-	-	-	-	-	-	-	372	12502803
AB086735	-	-	CMiyagi/5/93	-	3	-	-	-	-	-	-	-	372	12502803
AB086736	-	-	C/Miyagi/2/96	-	3	-	-	-	-	-	-	-	372	12502803
AB086737	-	-	C/Miyagi/6/96	-	3	-	-	-	-	-	-	-	372	12502803
AB086738	-	-	C/Miyagi/9/96	-	3	-	-	-	-	-	-	-	372	12502803
AB086739	-	-	C/Miyagi/1/97	-	3	-	-	-	-	-	-	-	372	12502803
AB086740	-	-	C/Miyagi/2/98	-	3	-	-	-	-	-	-	-	372	12502803
AB086741	-	-	C/Miyagi/4/98	-	3	-	-	-	-	-	-	-	372	12502803
AB086742	-	-	C/Miyagi/1/99	-	3	-	-	-	-	-	-	-	372	12502803
AB086743	-	-	C/Miyagi/3/99	-	3	-	-	-	-	-	-	-	372	12502803
AB086744	-	-	C/Sapporo/71	-	5	-	-	-	-	-	-	-	600	12502803
AB086745	-	-	C/Aomori/74	-	5	-	-	-	-	-	-	-	600	12502803
AB086746	-	-	C/Kyoto/1/79	-	5	-	-	-	-	-	-	-	600	12502803
AB086747	-	-	C/Shizuoka/79	-	5	-	-	-	-	-	-	-	600	12502803
AB086748	-	-	C/Yamagata/1/86	-	5	-	-	-	-	-	-	-	600	12502803
AB086749	-	-	C/Miyagi/1/90	-	5	-	-	-	-	-	-	-	600	12502803
AB086750	-	-	C/Miyagi/5/91	-	5	-	-	-	-	-	-	-	600	12502803
AB086751	-	-	C/Miyagi/7/91	-	5	-	-	-	-	-	-	-	600	12502803
AB086752	-	-	C/Miyagi/5/93	-	5	-	-	-	-	-	-	-	600	12502803
AB086753	-	-	C/Miyagi/2/96	-	5	-	-	-	-	-	-	-	600	12502803
AB086754	-	-	C/Miyagi/6/96	-	5	-	-	-	-	-	-	-	600	12502803
AB086755	-	-	C/Miyagi/9/96	-	5	-	-	-	-	-	-	-	600	12502803
AB086756	-	-	C/Miyagi/1/97	-	5	-	-	-	-	-	-	-	600	12502803
AB086757	-	-	C/Miyagi/2/98	-	5	-	-	-	-	-	-	-	600	12502803
AB086758	-	-	C/Miyagi/4/98	-	5	-	-	-	-	-	-	-	600	12502803
AB086759	-	-	C/Miyagi/1/99	-	5	-	-	-	-	-	-	-	600	12502803
AB086760	-	-	C/Miyagi/3/99	-	5	-	-	-	-	-	-	-	600	12502803
AB086761	-	-	C/Shizuoka/79	-	6	-	-	-	-	-	-	-	1122	12502803
AB086762	-	-	C/Yamagata/7/88	-	6	-	-	-	-	-	-	-	1122	12502803
AB086763	-	-	C/Miyagi/1/90	-	6	-	-	-	-	-	-	-	1122	12502803
AB086764	-	-	C/Miyagi/5/91	-	6	-	-	-	-	-	-	-	1122	12502803
AB086765	-	-	C/Miyagi/7/91	-	6	-	-	-	-	-	-	-	1122	12502803
AB086766	-	-	C/Miyagi/2/92	-	6	-	-	-	-	-	-	-	1122	12502803
AB086767	-	-	C/Miyagi/1/93	-	6	-	-	-	-	-	-	-	1122	12502803
AB086768	-	-	C/Miyagi/2/93	-	6	-	-	-	-	-	-	-	1122	12502803
AB086769	-	-	C/Miyagi/3/93	-	6	-	-	-	-	-	-	-	1122	12502803
AB086770	-	-	C/Miyagi/4/93	-	6	-	-	-	-	-	-	-	1122	12502803
AB086771	-	-	C/Miyagi/5/93	-	6	-	-	-	-	-	-	-	1122	12502803
AB086772	-	-	C/Miyagi/6/93	-	6	-	-	-	-	-	-	-	1122	12502803
AB086773	-	-	C/Miyagi/7/93	-	6	-	-	-	-	-	-	-	1122	12502803
AB086774	-	-	C/Miyagi/1/94	-	6	-	-	-	-	-	-	-	1122	12502803
AB086775	-	-	C/Miyagi/2/94	-	6	-	-	-	-	-	-	-	1122	12502803
AB086776	-	-	C/Miyagi/3/94	-	6	-	-	-	-	-	-	-	1122	12502803
AB086777	-	-	C/Miyagi/2/96	-	6	-	-	-	-	-	-	-	1122	12502803
AB086778	-	-	C/Miyagi/4/96	-	6	-	-	-	-	-	-	-	1122	12502803
AB086779	-	-	C/Miyagi/6/96	-	6	-	-	-	-	-	-	-	1122	12502803
AB086780	-	-	C/Miyagi/7/96	-	6	-	-	-	-	-	-	-	1122	12502803
AB086781	-	-	C/Miyagi/8/96	-	6	-	-	-	-	-	-	-	1122	12502803
AB086782	-	-	C/Miyagi/9/96	-	6	-	-	-	-	-	-	-	1122	12502803
AB086783	-	-	C/Miyagi/1/97	-	6	-	-	-	-	-	-	-	1122	12502803
AB086784	-	-	C/Miyagi/2/98	-	6	-	-	-	-	-	-	-	1122	12502803
AB086785	-	-	C/Miyagi/4/98	-	6	-	-	-	-	-	-	-	1122	12502803
AB086786	-	-	C/Miyagi/1/99	-	6	-	-	-	-	-	-	-	1122	12502803
AB086787	-	-	C/Miyagi/3/99	-	6	-	-	-	-	-	-	-	1122	12502803
AB086788	-	-	C/Shizuoka/79	-	7	-	-	-	-	-	-	-	862	12502803
AB086789	-	-	C/Miyagi/2/92	-	7	-	-	-	-	-	-	-	862	12502803
AB086790	-	-	C/Miyagi/1/93	-	7	-	-	-	-	-	-	-	862	12502803
AB086791	-	-	C/Miyagi/2/93	-	7	-	-	-	-	-	-	-	862	12502803
AB086792	-	-	C/Miyagi/3/93	-	7	-	-	-	-	-	-	-	862	12502803
AB086793	-	-	C/Miyagi/4/93	-	7	-	-	-	-	-	-	-	862	12502803
AB086794	-	-	C/Miyagi/5/93	-	7	-	-	-	-	-	-	-	862	12502803
AB086795	-	-	C/Miyagi/6/93	-	7	-	-	-	-	-	-	-	862	12502803
AB086796	-	-	C/Miyagi/7/93	-	7	-	-	-	-	-	-	-	862	12502803
AB086797	-	-	C/Miyagi/1/94	-	7	-	-	-	-	-	-	-	862	12502803
AB086798	-	-	C/Miyagi/2/94	-	7	-	-	-	-	-	-	-	862	12502803
AB086799	-	-	C/Miyagi/3/94	-	7	-	-	-	-	-	-	-	862	12502803
AB086800	-	-	C/Miyagi/2/96	-	7	-	-	-	-	-	-	-	862	12502803
AB086801	-	-	C/Miyagi/4/96	-	7	-	-	-	-	-	-	-	862	12502803
AB086802	-	-	C/Miyagi/6/96	-	7	-	-	-	-	-	-	-	862	12502803
AB086803	-	-	C/Miyagi/7/96	-	7	-	-	-	-	-	-	-	862	12502803
AB086804	-	-	C/Miyagi/8/96	-	7	-	-	-	-	-	-	-	862	12502803
AB086805	-	-	C/Miyagi/9/96	-	7	-	-	-	-	-	-	-	862	12502803
AB086806	-	-	C/Miyagi/1/97	-	7	-	-	-	-	-	-	-	862	12502803
AB086807	-	-	C/Miyagi/2/98	-	7	-	-	-	-	-	-	-	862	12502803
AB086808	-	-	C/Miyagi/4/98	-	7	-	-	-	-	-	-	-	862	12502803
AB086809	-	-	C/Miyagi/1/99	-	7	-	-	-	-	-	-	-	862	12502803
AB086810	-	-	C/Kyoto/1/79	-	2	-	-	-	-	-	-	-	376	12502803
AB086811	-	-	C/Miyagi/3/99	-	7	-	-	-	-	-	-	-	862	12502803
AB093473	-	-	C/Hiroshima/246/2000	-	4	-	human throat swab from child with upper respiratory illness	Japan:Hiroshima	-	-	-	-	401	11056564
