sequenceID	full_name	isolate	gb_segment	rec_segment	rec_subtype	gb_subtype	gb_year	gb_month	gb_day	gb_source	gb_lab_host	pubmed_id	length	gb_host	gb_country	gb_place_sampled	m49_country
KY441121	Influenza D virus (D/bovine/Guangdong/PY1/2016)	D/bovine/Guangdong/PY1/2016	4	4	DOK	-	2016	FEB	10	-	-	28726609	496	buffalo	China	Guangdong, Panyu	custom-table-row/m49_country/CHN
KY441122	Influenza D virus (D/caprine/Guangdong/JK1/2016)	D/caprine/Guangdong/JK1/2016	4	4	DOK	-	2016	JUL	5	-	-	28726609	496	Capra hircus	China	Guangdong, Qingyuan	custom-table-row/m49_country/CHN
KY992090	Influenza D virus (D/bovine/Ireland/007780/2014)	D/bovine/Ireland/007780/2014	4	4	-	-	2014	-	-	-	-	-	597	Bos taurus	Ireland	-	custom-table-row/m49_country/IRL
KY992091	Influenza D virus (D/bovine/Ireland/082301/2014)	D/bovine/Ireland/082301/2014	4	4	DOK	-	2014	-	-	-	-	-	645	Bos taurus	Ireland	-	custom-table-row/m49_country/IRL
KY992092	Influenza D virus (D/bovine/Ireland/037157/2015)	D/bovine/Ireland/037157/2015	4	4	DOK	-	2015	-	-	-	-	-	645	Bos taurus	Ireland	-	custom-table-row/m49_country/IRL
KY992093	Influenza D virus (D/bovine/Ireland/010807/2016)	D/bovine/Ireland/010807/2016	4	4	DOK	-	2016	-	-	-	-	-	645	Bos taurus	Ireland	-	custom-table-row/m49_country/IRL
KY992094	Influenza D virus (D/bovine/Ireland/023638/2016)	D/bovine/Ireland/023638/2016	4	4	DOK	-	2016	-	-	-	-	-	645	Bos taurus	Ireland	-	custom-table-row/m49_country/IRL
KY992095	Influenza D virus (D/bovine/Ireland/007780/2014)	D/bovine/Ireland/007780/2014	6	6	-	-	2014	-	-	-	-	-	621	Bos taurus	Ireland	-	custom-table-row/m49_country/IRL
KY992096	Influenza D virus (D/bovine/Ireland/082301/2014)	D/bovine/Ireland/082301/2014	6	6	-	-	2014	-	-	-	-	-	621	Bos taurus	Ireland	-	custom-table-row/m49_country/IRL
KY992097	Influenza D virus (D/bovine/Ireland/010807/2016)	D/bovine/Ireland/010807/2016	6	6	-	-	2016	-	-	-	-	-	621	Bos taurus	Ireland	-	custom-table-row/m49_country/IRL
KY992098	Influenza D virus (D/bovine/Ireland/023638/2016)	D/bovine/Ireland/023638/2016	6	6	-	-	2016	-	-	-	-	-	621	Bos taurus	Ireland	-	custom-table-row/m49_country/IRL
KY992099	Influenza D virus (D/bovine/Ireland/007780/2014)	D/bovine/Ireland/007780/2014	6	6	-	-	2014	-	-	-	-	-	573	Bos taurus	Ireland	-	custom-table-row/m49_country/IRL
KY992100	Influenza D virus (D/bovine/Ireland/037157/2015)	D/bovine/Ireland/037157/2015	6	6	-	-	2015	-	-	-	-	-	573	Bos taurus	Ireland	-	custom-table-row/m49_country/IRL
KY992101	Influenza D virus (D/bovine/Ireland/010807/2016)	D/bovine/Ireland/010807/2016	6	6	-	-	2016	-	-	-	-	-	573	Bos taurus	Ireland	-	custom-table-row/m49_country/IRL
KY992102	Influenza D virus (D/bovine/Ireland/023638/2016)	D/bovine/Ireland/023638/2016	6	6	-	-	2016	-	-	-	-	-	573	Bos taurus	Ireland	-	custom-table-row/m49_country/IRL
KY992103	Influenza D virus (D/bovine/Ireland/082301/2014)	D/bovine/Ireland/082301/2014	6	6	-	-	2014	-	-	-	-	-	573	Bos taurus	Ireland	-	custom-table-row/m49_country/IRL
LC522351	Influenza D virus	D/swine/Oklahoma/1334/2011 (plaque-cloned)	1	1	-	-	2018	-	-	-	-	-	2364	Sus scrofa	Japan	-	custom-table-row/m49_country/JPN
LC522352	Influenza D virus	D/swine/Oklahoma/1334/2011 (plaque-cloned)	2	2	-	-	2018	-	-	-	-	-	2330	Sus scrofa	Japan	-	custom-table-row/m49_country/JPN
LC522353	Influenza D virus	D/swine/Oklahoma/1334/2011 (plaque-cloned)	3	3	-	-	2018	-	-	-	-	-	2195	Sus scrofa	Japan	-	custom-table-row/m49_country/JPN
LC522354	Influenza D virus	D/swine/Oklahoma/1334/2011 (plaque-cloned)	4	4	DOK	-	2018	-	-	-	-	-	2049	Sus scrofa	Japan	-	custom-table-row/m49_country/JPN
LC522355	Influenza D virus	D/swine/Oklahoma/1334/2011 (plaque-cloned)	5	5	-	-	2018	-	-	-	-	-	1775	Sus scrofa	Japan	-	custom-table-row/m49_country/JPN
LC522356	Influenza D virus	D/swine/Oklahoma/1334/2011 (plaque-cloned)	6	6	-	-	2018	-	-	-	-	-	1219	Sus scrofa	Japan	-	custom-table-row/m49_country/JPN
LC522357	Influenza D virus	D/swine/Oklahoma/1334/2011 (plaque-cloned)	7	7	-	-	2018	-	-	-	-	-	868	Sus scrofa	Japan	-	custom-table-row/m49_country/JPN
LC565467	Influenza D virus	D/bovine/Hokkaido/HKD1/2018	1	1	-	-	2018	-	-	-	-	32796617	2280	Bos taurus	Japan	Hokkaido	custom-table-row/m49_country/JPN
LC565468	Influenza D virus	D/bovine/Hokkaido/HKD2/2019	1	1	-	-	2019	-	-	-	-	32796617	2286	Bos taurus	Japan	Hokkaido	custom-table-row/m49_country/JPN
LC565469	Influenza D virus	D/bovine/Hokkaido/HKD3/2020	1	1	-	-	2020	-	-	-	-	32796617	2241	Bos taurus	Japan	Hokkaido	custom-table-row/m49_country/JPN
LC565470	Influenza D virus	D/bovine/Hokkaido/HKD1/2018	2	2	-	-	2018	-	-	-	-	32796617	2238	Bos taurus	Japan	Hokkaido	custom-table-row/m49_country/JPN
LC565471	Influenza D virus	D/bovine/Hokkaido/HKD2/2019	2	2	-	-	2019	-	-	-	-	32796617	2250	Bos taurus	Japan	Hokkaido	custom-table-row/m49_country/JPN
LC565472	Influenza D virus	D/bovine/Hokkaido/HKD3/2020	2	2	-	-	2020	-	-	-	-	32796617	2238	Bos taurus	Japan	Hokkaido	custom-table-row/m49_country/JPN
LC565473	Influenza D virus	D/bovine/Hokkaido/HKD1/2018	3	3	-	-	2018	-	-	-	-	32796617	2133	Bos taurus	Japan	Hokkaido	custom-table-row/m49_country/JPN
LC565474	Influenza D virus	D/bovine/Hokkaido/HKD2/2019	3	3	-	-	2019	-	-	-	-	32796617	2118	Bos taurus	Japan	Hokkaido	custom-table-row/m49_country/JPN
LC565475	Influenza D virus	D/bovine/Hokkaido/HKD3/2020	3	3	-	-	2020	-	-	-	-	32796617	2100	Bos taurus	Japan	Hokkaido	custom-table-row/m49_country/JPN
LC565476	Influenza D virus	D/bovine/Hokkaido/HKD1/2018	4	4	-	-	2018	-	-	-	-	32796617	1980	Bos taurus	Japan	Hokkaido	custom-table-row/m49_country/JPN
LC565477	Influenza D virus	D/bovine/Hokkaido/HKD2/2019	4	4	-	-	2019	-	-	-	-	32796617	1986	Bos taurus	Japan	Hokkaido	custom-table-row/m49_country/JPN
LC565478	Influenza D virus	D/bovine/Hokkaido/HKD3/2020	4	4	-	-	2020	-	-	-	-	32796617	1965	Bos taurus	Japan	Hokkaido	custom-table-row/m49_country/JPN
LC565479	Influenza D virus	D/bovine/Hokkaido/HKD1/2018	5	5	-	-	2018	-	-	-	-	32796617	1659	Bos taurus	Japan	Hokkaido	custom-table-row/m49_country/JPN
LC565480	Influenza D virus	D/bovine/Hokkaido/HKD2/2019	5	5	-	-	2019	-	-	-	-	32796617	1659	Bos taurus	Japan	Hokkaido	custom-table-row/m49_country/JPN
LC565481	Influenza D virus	D/bovine/Hokkaido/HKD3/2020	5	5	-	-	2020	-	-	-	-	32796617	1659	Bos taurus	Japan	Hokkaido	custom-table-row/m49_country/JPN
LC565482	Influenza D virus	D/bovine/Hokkaido/HKD1/2018	6	6	-	-	2018	-	-	-	-	32796617	1128	Bos taurus	Japan	Hokkaido	custom-table-row/m49_country/JPN
LC565483	Influenza D virus	D/bovine/Hokkaido/HKD2/2019	6	6	-	-	2019	-	-	-	-	32796617	1155	Bos taurus	Japan	Hokkaido	custom-table-row/m49_country/JPN
LC565484	Influenza D virus	D/bovine/Hokkaido/HKD3/2020	6	6	-	-	2020	-	-	-	-	32796617	1131	Bos taurus	Japan	Hokkaido	custom-table-row/m49_country/JPN
LC565485	Influenza D virus	D/bovine/Hokkaido/HKD1/2018	7	7	-	-	2018	-	-	-	-	32796617	820	Bos taurus	Japan	Hokkaido	custom-table-row/m49_country/JPN
LC565486	Influenza D virus	D/bovine/Hokkaido/HKD2/2019	7	7	-	-	2019	-	-	-	-	32796617	820	Bos taurus	Japan	Hokkaido	custom-table-row/m49_country/JPN
LC565487	Influenza D virus	D/bovine/Hokkaido/HKD3/2020	7	7	-	-	2020	-	-	-	-	32796617	820	Bos taurus	Japan	Hokkaido	custom-table-row/m49_country/JPN
LC790324	Influenza D virus	-	4	4	Yama2016	-	2013	-	-	nasal swab	-	-	2049	Bos taurus	Japan	-	custom-table-row/m49_country/JPN
LC790325	Influenza D virus	-	4	4	Yama2016	-	2016	-	-	nasal swab	-	-	2049	Bos taurus	Japan	-	custom-table-row/m49_country/JPN
LC790326	Influenza D virus	-	4	4	Yama2016	-	2016	-	-	nasal swab	-	-	2049	Bos taurus	Japan	-	custom-table-row/m49_country/JPN
LC793498	Influenza D virus	-	4	4	-	-	2022	-	-	-	-	-	2050	Bos taurus	Japan	Shizuoka	custom-table-row/m49_country/JPN
LC793499	Influenza D virus	-	4	4	-	-	2023	-	-	-	-	-	2050	Bos taurus	Japan	Fukushima	custom-table-row/m49_country/JPN
LC793500	Influenza D virus	-	4	4	-	-	2023	-	-	-	-	-	2050	Bos taurus	Japan	Fukushima	custom-table-row/m49_country/JPN
LN559120	Influenza D virus (D/bovine/France/2986/2012)	-	-	1	-	-	-	-	-	-	-	-	2319	-	-	-	-
LN559121	Influenza D virus (D/bovine/France/2986/2012)	-	-	2	-	-	-	-	-	-	-	-	2262	-	-	-	-
LN559122	Influenza D virus (D/bovine/France/2986/2012)	-	-	3	-	-	-	-	-	-	-	-	2133	-	-	-	-
LN559123	Influenza D virus (D/bovine/France/2986/2012)	-	-	5	-	-	-	-	-	-	-	-	1659	-	-	-	-
LN559124	Influenza D virus (D/bovine/France/2986/2012)	-	-	6	-	-	-	-	-	-	-	-	1164	-	-	-	-
LN559125	Influenza D virus (D/bovine/France/2986/2012)	-	-	7	-	-	-	-	-	-	-	-	760	-	-	-	-
LN559126	Influenza D virus (D/bovine/France/2986/2012)	-	-	4	-	-	-	-	-	-	-	-	1995	-	-	-	-
MH315965	Influenza D virus	D/swine/Guangdong/NN13/2017	4	4	DOK	-	2017	MAR	23	-	-	-	1995	Sus scrofa	China	-	custom-table-row/m49_country/CHN
MH315966	Influenza D virus	D/swine/Guangdong/LX-2/2018	4	4	DOK	-	2018	APR	15	-	-	-	1995	Sus scrofa	China	-	custom-table-row/m49_country/CHN
MH315967	Influenza D virus	D/bovine/Guangdong/SK/2018	4	4	DOK	-	2018	APR	15	-	-	-	1995	Bos taurus	China	-	custom-table-row/m49_country/CHN
MH315968	Influenza D virus	D/bovine/Guangdong/SQ/2018	4	4	DOK	-	2018	MAR	10	-	-	-	1995	Bos taurus	China	-	custom-table-row/m49_country/CHN
MH315969	Influenza D virus	D/bovine/Guangdong/25969/2017	4	4	DOK	-	2017	MAR	23	-	-	-	1995	Bos taurus	China	-	custom-table-row/m49_country/CHN
MH315970	Influenza D virus	D/bovine/Guangdong/YC/2017	4	4	DOK	-	2017	MAR	23	-	-	-	1995	Bos taurus	China	-	custom-table-row/m49_country/CHN
MH785019	Influenza D virus	D/bovine/Pennsylvania/321/2017	7	7	-	-	2017	OCT	16	nasal swab	-	-	384	Bos taurus	USA	Pennsylvania	custom-table-row/m49_country/USA
MH785020	Influenza D virus	D/bovine/Pennsylvania/321/2017	6	6	-	-	2017	OCT	16	nasal swab	-	-	322	Bos taurus	USA	Pennsylvania	custom-table-row/m49_country/USA
MH785021	Influenza D virus	D/bovine/Pennsylvania/321/2017	4	4	D660	-	2017	OCT	16	nasal swab	-	-	588	Bos taurus	USA	Pennsylvania	custom-table-row/m49_country/USA
MK131022	Influenza D virus	D/swine/Italy/73601-3/2017	1	1	-	-	2017	-	-	-	-	-	2342	Sus scrofa	Italy	-	custom-table-row/m49_country/ITA
MK131023	Influenza D virus	D/swine/Italy/73601-3/2017	2	2	-	-	2017	-	-	-	-	-	2297	Sus scrofa	Italy	-	custom-table-row/m49_country/ITA
MK131024	Influenza D virus	D/swine/Italy/73601-3/2017	3	3	-	-	2017	-	-	-	-	-	2178	Sus scrofa	Italy	-	custom-table-row/m49_country/ITA
MK131025	Influenza D virus	D/swine/Italy/73601-3/2017	6	6	-	-	2017	-	-	-	-	-	1212	Sus scrofa	Italy	-	custom-table-row/m49_country/ITA
MK131026	Influenza D virus	D/swine/Italy/73601-3/2017	4	4	DOK	-	2017	-	-	-	-	-	1896	Sus scrofa	Italy	-	custom-table-row/m49_country/ITA
MK131027	Influenza D virus	D/swine/Italy/73601-3/2017	5	5	-	-	2017	-	-	-	-	-	1759	Sus scrofa	Italy	-	custom-table-row/m49_country/ITA
MK131028	Influenza D virus	D/swine/Italy/73601-3/2017	7	7	-	-	2017	-	-	-	-	-	844	Sus scrofa	Italy	-	custom-table-row/m49_country/ITA
MK131029	Influenza D virus	D/bovine/Italy/31525/2018	1	1	-	-	2018	-	-	-	-	-	2363	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK131030	Influenza D virus	D/bovine/Italy/31525/2018	3	3	-	-	2018	-	-	-	-	-	2194	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK131031	Influenza D virus	D/bovine/Italy/31525/2018	5	5	-	-	2018	-	-	-	-	-	1774	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK131032	Influenza D virus	D/bovine/Italy/31525/2018	6	6	-	-	2018	-	-	-	-	-	1218	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK131033	Influenza D virus	D/bovine/Italy/31525/2018	7	7	-	-	2018	-	-	-	-	-	867	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK131034	Influenza D virus	D/bovine/Italy/31525/2018	2	2	-	-	2018	-	-	-	-	-	2329	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK131035	Influenza D virus	D/bovine/Italy/31525/2018	4	4	DOK	-	2018	-	-	-	-	-	2048	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK290418	Influenza D virus	D/bovine/Guangdong/GDQY/2018	4	4	-	-	2018	MAR	22	nasal swab	-	-	496	Bos taurus	China	Guangdong, Qingyuan	custom-table-row/m49_country/CHN
MK965257	Influenza D virus	D/bovine/Italy/17VIR1851/2016	4	4	DOK	-	2016	OCT	26	-	-	-	1995	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965258	Influenza D virus	D/bovine/Italy/16RS2359/2016	4	4	DOK	-	2016	DEC	16	-	-	-	1995	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965259	Influenza D virus	D/bovine/Italy/16RS2581-9/2016	4	4	DOK	-	2016	DEC	29	-	-	-	1981	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965260	Influenza D virus	D/bovine/Italy/16RS483-3/2016	4	4	DOK	-	2016	MAR	14	-	-	-	627	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965261	Influenza D virus	D/bovine/Italy/17RS393-6/2017	4	4	DOK	-	2017	FEB	17	-	-	-	1995	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965262	Influenza D virus	D/bovine/Italy/17RS395-6/2017	4	4	DOK	-	2017	FEB	8	-	-	-	1995	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965263	Influenza D virus	D/bovine/Italy/17RS396-10/2017	4	4	DOK	-	2017	FEB	8	-	-	-	1995	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965264	Influenza D virus	D/bovine/Italy/17RS397-3/2017	4	4	DOK	-	2017	FEB	6	-	-	-	1995	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965265	Influenza D virus	D/bovine/Italy/18RS182-1/2017	4	4	DOK	-	2017	MAR	17	-	-	-	1970	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965266	Influenza D virus	D/bovine/Italy/18RS182-10/2017	4	4	DOK	-	2017	OCT	10	-	-	-	1926	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965267	Influenza D virus	D/bovine/Italy/18RS182-12/2017	4	4	DOK	-	2017	DEC	1	-	-	-	1995	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965268	Influenza D virus	D/bovine/Italy/18RS182-13/2017	4	4	DOK	-	2017	DEC	19	-	-	-	1995	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965269	Influenza D virus	D/bovine/Italy/18RS182-14/2017	4	4	DOK	-	2017	DEC	18	-	-	-	1995	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965270	Influenza D virus	D/bovine/Italy/18RS182-16/2018	4	4	DOK	-	2018	JAN	19	-	-	-	1995	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965271	Influenza D virus	D/bovine/Italy/18RS182-17/2018	4	4	DOK	-	2018	JAN	19	-	-	-	1995	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965272	Influenza D virus	D/bovine/Italy/18RS182-18/2018	4	4	DOK	-	2018	JAN	19	-	-	-	1995	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965273	Influenza D virus	D/bovine/Italy/18RS182-3/2017	4	4	DOK	-	2017	MAR	20	-	-	-	1995	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965274	Influenza D virus	D/bovine/Italy/18RS182-4/2017	4	4	DOK	-	2017	APR	3	-	-	-	1995	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965275	Influenza D virus	D/bovine/Italy/18RS182-6/2017	4	4	DOK	-	2017	APR	12	-	-	-	1995	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965276	Influenza D virus	D/bovine/Italy/18RS182-8/2017	4	4	DOK	-	2017	AUG	22	-	-	-	1953	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965277	Influenza D virus	D/bovine/Italy/15RS1509-14/2015	4	4	DOK	-	2015	SEP	10	-	-	-	1839	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965278	Influenza D virus	D/swine/Italy/18VIR6833/2015	4	4	DOK	-	2015	-	-	-	-	-	1995	Sus scrofa	Italy	-	custom-table-row/m49_country/ITA
MK965279	Influenza D virus	D/bovine/Italy/17VIR1851/2016	5	5	-	-	2016	OCT	26	-	-	-	1659	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965280	Influenza D virus	D/bovine/Italy/18RS182-10/2017	5	5	-	-	2017	OCT	10	-	-	-	1659	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965281	Influenza D virus	D/bovine/Italy/18RS182-12/2017	5	5	-	-	2017	DEC	1	-	-	-	1659	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965282	Influenza D virus	D/bovine/Italy/18RS182-13/2017	5	5	-	-	2017	DEC	19	-	-	-	1659	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965283	Influenza D virus	D/bovine/Italy/18RS182-14/2017	5	5	-	-	2017	DEC	18	-	-	-	1659	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965284	Influenza D virus	D/bovine/Italy/18RS182-1/2017	5	5	-	-	2017	MAR	17	-	-	-	1659	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965285	Influenza D virus	D/bovine/Italy/18RS182-3/2017	5	5	-	-	2017	MAR	20	-	-	-	1659	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965286	Influenza D virus	D/bovine/Italy/18RS182-4/2017	5	5	-	-	2017	APR	3	-	-	-	1659	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965287	Influenza D virus	D/bovine/Italy/18RS182-6/2017	5	5	-	-	2017	APR	12	-	-	-	1659	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965288	Influenza D virus	D/bovine/Italy/18RS182-8/2017	5	5	-	-	2017	AUG	22	-	-	-	1659	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965289	Influenza D virus	D/bovine/Italy/18RS182-16/2018	5	5	-	-	2018	JAN	19	-	-	-	1659	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965290	Influenza D virus	D/bovine/Italy/18RS182-17/2018	5	5	-	-	2018	JAN	19	-	-	-	1659	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965291	Influenza D virus	D/bovine/Italy/18RS182-18/2018	5	5	-	-	2018	JAN	19	-	-	-	1659	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965292	Influenza D virus	D/bovine/Italy/16RS2359/2016	5	5	-	-	2016	DEC	16	-	-	-	1659	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965293	Influenza D virus	D/bovine/Italy/16RS2581-9/2016	5	5	-	-	2016	DEC	29	-	-	-	1659	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965294	Influenza D virus	D/bovine/Italy/17RS393-6/2017	5	5	-	-	2017	FEB	17	-	-	-	1659	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
MK965295	Influenza D virus	D/bovine/Italy/17RS395-6/2017	5	5	-	-	2017	FEB	8	-	-	-	1659	Bos taurus	Italy	-	custom-table-row/m49_country/ITA
