sequenceID	full_name	isolate	gb_segment	rec_segment	rec_subtype	gb_subtype	gb_year	gb_month	gb_day	gb_source	gb_lab_host	pubmed_id	length	gb_host	gb_country	gb_place_sampled	m49_country.m49_region	m49_country.m49_intermediate_region	m49_country.m49_sub_region
AB381880	Influenza B virus (B/Kobe/3/2004)	B/Kobe/3/2004	4	4	Yamagata	-	-	-	-	-	-	-	1005	-	-	-	-	-	-
AB381881	Influenza B virus (B/Kobe/4/2004)	B/Kobe/4/2004	4	4	Yamagata	-	-	-	-	-	-	-	1004	-	-	-	-	-	-
AB385603	Influenza B virus (B/Kobe/67/2005)	B/Kobe/67/2005	4	4	Yamagata	-	-	-	-	-	-	19091818	1005	-	-	-	-	-	-
AB385604	Influenza B virus (B/Kobe/103/2005)	B/Kobe/103/2005	4	4	Yamagata	-	-	-	-	-	-	19091818	1003	-	-	-	-	-	-
AB385605	Influenza B virus (B/Kobe/39/2005)	B/Kobe/39/2005	4	4	Yamagata	-	-	-	-	-	-	19091818	1003	-	-	-	-	-	-
AB385606	Influenza B virus (B/Kobe/39/2005-T1)	B/Kobe/39/2005-T1	4	4	Yamagata	-	-	-	-	-	-	19091818	1005	-	-	-	-	-	-
AB385607	Influenza B virus (B/Kobe/113/2005)	B/Kobe/113/2005	4	4	Yamagata	-	-	-	-	-	-	19091818	1005	-	-	-	-	-	-
AB385608	Influenza B virus (B/Kobe/115/2005)	B/Kobe/115/2005	4	4	Yamagata	-	-	-	-	-	-	19091818	1005	-	-	-	-	-	-
AB385609	Influenza B virus (B/Kobe/115/2005-T1)	B/Kobe/115/2005-T1	4	4	Yamagata	-	-	-	-	-	-	19091818	1003	-	-	-	-	-	-
AB426532	Influenza B virus (B/Kobe/42/2005)	B/Kobe/42/2005	4	4	Yamagata	-	-	-	-	-	-	19091818	1003	-	-	-	-	-	-
AB426533	Influenza B virus (B/Kobe/66/2005)	B/Kobe/66/2005	4	4	Yamagata	-	-	-	-	-	-	19091818	1003	-	-	-	-	-	-
AB426534	Influenza B virus (B/Kobe/81/2005)	B/Kobe/81/2005	4	4	Yamagata	-	-	-	-	-	-	19091818	1003	-	-	-	-	-	-
AB426535	Influenza B virus (B/Kobe/88/2005)	B/Kobe/88/2005	4	4	Yamagata	-	-	-	-	-	-	19091818	999	-	-	-	-	-	-
AB426536	Influenza B virus (B/Kobe/91/2005)	B/Kobe/91/2005	4	4	Yamagata	-	-	-	-	-	-	19091818	1002	-	-	-	-	-	-
AB426537	Influenza B virus (B/Kobe/92/2005)	B/Kobe/92/2005	4	4	Yamagata	-	-	-	-	-	-	19091818	1005	-	-	-	-	-	-
AB426538	Influenza B virus (B/Kobe/96/2005)	B/Kobe/96/2005	4	4	Yamagata	-	-	-	-	-	-	19091818	1005	-	-	-	-	-	-
AB426539	Influenza B virus (B/Kobe/104/2005)	B/Kobe/104/2005	4	4	Yamagata	-	-	-	-	-	-	19091818	1003	-	-	-	-	-	-
AB426540	Influenza B virus (B/Kobe/109/2005)	B/Kobe/109/2005	4	4	Yamagata	-	-	-	-	-	-	19091818	1003	-	-	-	-	-	-
AB426541	Influenza B virus (B/Kobe/110/2005)	B/Kobe/110/2005	4	4	Yamagata	-	-	-	-	-	-	19091818	1005	-	-	-	-	-	-
AB426542	Influenza B virus (B/Kobe/116/2005)	B/Kobe/116/2005	4	4	Yamagata	-	-	-	-	-	-	19091818	1003	-	-	-	-	-	-
AB426543	Influenza B virus (B/Kobe/119/2005)	B/Kobe/119/2005	4	4	Yamagata	-	-	-	-	-	-	19091818	1003	-	-	-	-	-	-
AB462368	Influenza B virus (B/Leiden/18393/2005)	B/Leiden/18393/2005	6	6	-	-	2005	MAR	10	-	-	19392620	1311	Homo sapiens	Netherlands	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/western_europe
AJ716205	Influenza B virus (B/Sichuan/379/99)	B/Sichuan/379/99	3	3	-	-	-	-	-	-	-	-	2160	Homo sapiens	China	Sichuan	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ716206	Influenza B virus (B/Shandong/7/97)	B/Shandong/7/97	3	3	-	-	-	-	-	-	-	-	2160	Homo sapiens	China	Shandong	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ716207	Influenza B virus (B/Tehran/80/02)	B/Tehran/80/02	3	3	-	-	-	-	-	-	-	-	2159	Homo sapiens	Iran	Tehran	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/southern_asia
AJ716208	Influenza B virus (B/Beijing/184/93)	B/Beijing/184/93	3	3	-	-	-	-	-	-	-	-	2161	Homo sapiens	China	Beijing	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ716209	Influenza B virus (B/Trieste/28/2002)	B/Trieste/28/02	3	3	-	-	-	-	-	-	-	-	2163	Homo sapiens	Italy	Trieste	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/southern_europe
AJ716210	Influenza B virus (B/Hong Kong/330/2002)	B/Hong Kong/330/02	3	3	-	-	-	-	-	-	-	-	2172	Homo sapiens	Hong Kong	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ716211	Influenza B virus (B/Moscow/3/03)	B/Moscow/3/03	3	3	-	-	-	-	-	-	-	-	2167	Homo sapiens	Russia	Moscow	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/eastern_europe
AJ716212	Influenza B virus (B/Israel/95/03)	B/Israel/95/03	3	3	-	-	-	-	-	-	-	-	2144	Homo sapiens	Israel	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/western_asia
AJ716213	Influenza B virus (B/Barcelona/215/2003)	B/Barcelona/215/03	3	3	-	-	-	-	-	-	-	-	2132	Homo sapiens	Spain	Barcelona	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/southern_europe
AJ716214	Influenza B virus (B/Geneva/5079/2003)	B/Geneva/5079/03	3	3	-	-	-	-	-	-	-	-	2150	Homo sapiens	Switzerland	Geneva	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/western_europe
AJ716215	Influenza B virus (B/Hong Kong/692/01)	B/Hong Kong/692/01	3	3	-	-	-	-	-	-	-	-	2130	Homo sapiens	Hong Kong	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ716216	Influenza B virus (B/Trento/3/2002)	B/Trento/3/02	3	3	-	-	-	-	-	-	-	-	2141	Homo sapiens	Italy	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/southern_europe
AJ716217	Influenza B virus (B/Hong Kong/293/02)	B/Hong Kong/293/02	3	3	-	-	-	-	-	-	-	-	2133	Homo sapiens	Hong Kong	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ716218	Influenza B virus (B/Bucharest/795/2003)	B/Bucharest/795/03	3	3	-	-	-	-	-	-	-	-	2136	Homo sapiens	Romania	Bucharest	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/eastern_europe
AJ716219	Influenza B virus (B/Hong Kong/557/2000)	B/Hong Kong/557/00	3	3	-	-	-	-	-	-	-	-	2167	Homo sapiens	Hong Kong	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ716220	Influenza B virus (B/Ulan Ude/4/02)	B/UlanUde/4/02	3	3	-	-	-	-	-	-	-	-	2120	Homo sapiens	Russia	Ulan-Ude	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/eastern_europe
AJ716221	Influenza B virus (B/Shanghai/361/03)	B/Shanghai/361/03	3	3	-	-	-	-	-	-	-	-	2172	Homo sapiens	China	Shanghai	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ716222	Influenza B virus (B/Oslo/71/2004)	B/Oslo/71/04	3	3	-	-	-	-	-	-	-	-	2179	Homo sapiens	Norway	Oslo	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/northern_europe
AJ716223	Influenza B virus (B/Cheju/303/2003)	B/Cheju/303/03	3	3	-	-	-	-	-	-	-	-	2165	Homo sapiens	South Korea	Cheju	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ716224	Influenza B virus (B/England/23/04)	B/England/23/04	3	3	-	-	-	-	-	-	-	-	2151	Homo sapiens	United Kingdom	England	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/northern_europe
AJ716225	Influenza B virus (B/Bangkok/460/2003)	B/Bangkok/460/03	3	3	-	-	-	-	-	-	-	-	2149	Homo sapiens	Thailand	Bangkok	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/south_eastern_asia
AJ716226	Influenza B virus (B/Jiangsu/10/2003)	B/Jiangsu/10/03	3	3	-	-	-	-	-	-	-	-	2153	Homo sapiens	China	Jiangsu	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781170	Influenza B virus (B/Sichuan/379/99)	-	1	1	-	-	-	-	-	-	-	-	2211	-	China	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781171	Influenza B virus (B/Shandong/7/97)	-	1	1	-	-	-	-	-	-	-	-	2213	-	China	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781172	Influenza B virus (B/Tehran/80/02)	-	1	1	-	-	-	-	-	-	-	-	2213	-	Iran	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/southern_asia
AJ781173	Influenza B virus (B/Beijing/184/93)	-	1	1	-	-	-	-	-	-	-	-	2218	-	China	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781174	Influenza B virus (B/Trieste/28/2002)	-	1	1	-	-	-	-	-	-	-	-	2218	-	Italy	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/southern_europe
AJ781175	Influenza B virus (B/Hong Kong/330/2001)	-	1	1	-	-	-	-	-	-	-	-	2178	-	Hong Kong	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781176	Influenza B virus (B/Moscow/3/03)	-	1	1	-	-	-	-	-	-	-	-	2214	-	Russia	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/eastern_europe
AJ781177	Influenza B virus (B/Israel/95/03)	-	1	1	-	-	-	-	-	-	-	-	2217	-	Israel	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/western_asia
AJ781178	Influenza B virus (B/Barcelona/215/2003)	-	1	1	-	-	-	-	-	-	-	-	2234	-	Spain	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/southern_europe
AJ781179	Influenza B virus (B/Geneva/5079/2003)	-	1	1	-	-	-	-	-	-	-	-	2220	-	Switzerland	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/western_europe
AJ781180	Influenza B virus (B/Hong Kong/692/01)	-	1	1	-	-	-	-	-	-	-	-	2238	-	Hong Kong	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781181	Influenza B virus (B/Trento/3/2002)	-	1	1	-	-	-	-	-	-	-	-	2253	-	Italy	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/southern_europe
AJ781182	Influenza B virus (B/Hong Kong/293/02)	-	1	1	-	-	-	-	-	-	-	-	2058	-	Hong Kong	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781183	Influenza B virus (B/Bucharest/795/2003)	-	1	1	-	-	-	-	-	-	-	-	2220	-	Romania	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/eastern_europe
AJ781184	Influenza B virus (B/Hong Kong/557/2000)	-	1	1	-	-	-	-	-	-	-	-	2230	-	Hong Kong	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781185	Influenza B virus (B/Ulan Ude/4/02)	-	1	1	-	-	-	-	-	-	-	-	2238	-	Russia	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/eastern_europe
AJ781186	Influenza B virus (B/Shanghai/361/2002)	-	1	1	-	-	-	-	-	-	-	-	2226	-	China	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781187	Influenza B virus (B/Oslo/71/2004)	-	1	1	-	-	-	-	-	-	-	-	2220	-	Norway	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/northern_europe
AJ781188	Influenza B virus (B/Cheju/303/2003)	-	1	1	-	-	-	-	-	-	-	-	2241	-	South Korea	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781189	Influenza B virus (B/England/23/04)	-	1	1	-	-	-	-	-	-	-	-	2236	-	United Kingdom	England	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/northern_europe
AJ781190	Influenza B virus (B/Bangkok/460/2003)	-	1	1	-	-	-	-	-	-	-	-	2235	-	Thailand	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/south_eastern_asia
AJ781191	Influenza B virus (B/Jiangsu/10/2003)	-	1	1	-	-	-	-	-	-	-	-	2223	-	China	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781192	Influenza B virus (B/Sichuan/379/99)	-	2	2	-	-	-	-	-	-	-	-	2319	-	China	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781193	Influenza B virus (B/Shandong/7/97)	-	2	2	-	-	-	-	-	-	-	-	2295	-	China	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781194	Influenza B virus (B/Tehran/80/02)	-	2	2	-	-	-	-	-	-	-	-	2319	-	Iran	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/southern_asia
AJ781195	Influenza B virus (B/Beijing/184/93)	-	2	2	-	-	-	-	-	-	-	-	2299	-	China	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781196	Influenza B virus (B/Trieste/28/2002)	-	2	2	-	-	-	-	-	-	-	-	2298	-	Italy	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/southern_europe
AJ781197	Influenza B virus (B/Hong Kong/330/2001)	-	2	2	-	-	-	-	-	-	-	-	2319	-	Hong Kong	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781198	Influenza B virus (B/Moscow/3/03)	-	2	2	-	-	-	-	-	-	-	-	2295	-	Russia	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/eastern_europe
AJ781199	Influenza B virus (B/Israel/95/03)	-	2	2	-	-	-	-	-	-	-	-	2292	-	Israel	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/western_asia
AJ781200	Influenza B virus (B/Barcelona/215/2003)	-	2	2	-	-	-	-	-	-	-	-	2306	-	Spain	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/southern_europe
AJ781201	Influenza B virus (B/Geneva/5079/2003)	-	2	2	-	-	-	-	-	-	-	-	2298	-	Switzerland	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/western_europe
AJ781202	Influenza B virus (B/Hong Kong/692/01)	-	2	2	-	-	-	-	-	-	-	-	2313	-	Hong Kong	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781203	Influenza B virus (B/Hong Kong/293/02)	-	2	2	-	-	-	-	-	-	-	-	2304	-	Hong Kong	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781204	Influenza B virus (B/Bucharest/795/2003)	-	2	2	-	-	-	-	-	-	-	-	2293	-	Romania	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/eastern_europe
AJ781205	Influenza B virus (B/Hong Kong/557/2000)	-	2	2	-	-	-	-	-	-	-	-	2306	-	Hong Kong	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781206	Influenza B virus (B/Ulan Ude/4/02)	-	2	2	-	-	-	-	-	-	-	-	2313	-	Russia	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/eastern_europe
AJ781207	Influenza B virus (B/Shanghai/361/2002)	-	2	2	-	-	-	-	-	-	-	-	2295	-	China	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781208	Influenza B virus (B/Oslo/71/2004)	-	2	2	-	-	-	-	-	-	-	-	2297	-	Norway	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/northern_europe
AJ781209	Influenza B virus (B/Cheju/303/2003)	-	2	2	-	-	-	-	-	-	-	-	2304	-	South Korea	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781210	Influenza B virus (B/England/23/04)	-	2	2	-	-	-	-	-	-	-	-	2291	-	United Kingdom	England	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/northern_europe
AJ781211	Influenza B virus (B/Bangkok/460/2003)	-	2	2	-	-	-	-	-	-	-	-	2293	-	Thailand	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/south_eastern_asia
AJ781212	Influenza B virus (B/Jiangsu/10/2003)	-	2	2	-	-	-	-	-	-	-	-	2290	-	China	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781271	Influenza B virus (B/Sichuan/379/99)	-	8	8	-	-	-	-	-	-	-	-	976	-	China	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781272	Influenza B virus (B/Shandong/7/97)	-	8	8	-	-	-	-	-	-	-	-	998	-	China	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781273	Influenza B virus (B/Tehran/80/02)	-	8	8	-	-	-	-	-	-	-	-	975	-	Iran	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/southern_asia
AJ781274	Influenza B virus (B/Beijing/184/93)	-	8	8	-	-	-	-	-	-	-	-	970	-	China	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781275	Influenza B virus (B/Trieste/28/2002)	-	8	8	-	-	-	-	-	-	-	-	986	-	Italy	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/southern_europe
AJ781276	Influenza B virus (B/Hong Kong/330/2001)	-	8	8	-	-	-	-	-	-	-	-	976	-	Hong Kong	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781277	Influenza B virus (B/Moscow/3/03)	-	8	8	-	-	-	-	-	-	-	-	967	-	Russia	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/eastern_europe
AJ781278	Influenza B virus (B/Israel/95/03)	-	8	8	-	-	-	-	-	-	-	-	988	-	Israel	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/western_asia
AJ781279	Influenza B virus (B/Barcelona/215/2003)	-	8	8	-	-	-	-	-	-	-	-	979	-	Spain	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/southern_europe
AJ781280	Influenza B virus (B/Geneva/5079/2003)	-	8	8	-	-	-	-	-	-	-	-	989	-	Switzerland	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/western_europe
AJ781281	Influenza B virus (B/Hong Kong/692/01)	-	8	8	-	-	-	-	-	-	-	-	986	-	Hong Kong	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781282	Influenza B virus (B/Trento/3/2002)	-	8	8	-	-	-	-	-	-	-	-	981	-	Italy	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/southern_europe
AJ781283	Influenza B virus (B/Hong Kong/293/02)	-	8	8	-	-	-	-	-	-	-	-	984	-	Hong Kong	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781284	Influenza B virus (B/Bucharest/795/2003)	-	8	8	-	-	-	-	-	-	-	-	969	-	Romania	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/eastern_europe
AJ781285	Influenza B virus (B/Hong Kong/557/2000)	-	8	8	-	-	-	-	-	-	-	-	959	-	Hong Kong	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781286	Influenza B virus (B/Ulan Ude/4/02)	-	8	8	-	-	-	-	-	-	-	-	974	-	Russia	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/eastern_europe
AJ781287	Influenza B virus (B/Shanghai/361/2002)	-	8	8	-	-	-	-	-	-	-	-	992	-	China	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781288	Influenza B virus (B/Oslo/71/2004)	-	8	8	-	-	-	-	-	-	-	-	983	-	Norway	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/northern_europe
AJ781289	Influenza B virus (B/Cheju/303/2003)	-	8	8	-	-	-	-	-	-	-	-	984	-	South Korea	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ781290	Influenza B virus (B/England/23/04)	-	8	8	-	-	-	-	-	-	-	-	975	-	United Kingdom	England	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/northern_europe
AJ781291	Influenza B virus (B/Bangkok/460/2003)	-	8	8	-	-	-	-	-	-	-	-	981	-	Thailand	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/south_eastern_asia
AJ781292	Influenza B virus (B/Jiangsu/10/2003)	-	8	8	-	-	-	-	-	-	-	-	990	-	China	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ783374	Influenza B virus (B/Sichuan/379/99)	B/Sichuan/379/99	7	7	-	-	-	-	-	Human	-	-	1064	-	China	Sichuan	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ783375	Influenza B virus (B/Shandong/7/97)	B/Shandong/7/97	7	7	-	-	-	-	-	Human	-	-	1102	-	China	Shandong	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ783376	Influenza B virus (B/Tehran/80/02)	B/Tehran/80/02	7	7	-	-	-	-	-	Human	-	-	1100	-	Iran	Tehran	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/southern_asia
AJ783377	Influenza B virus (B/Beijing/184/93)	-	7	7	-	-	-	-	-	-	-	-	1096	-	China	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ783378	Influenza B virus (B/Trieste/28/2002)	B/Trieste/28/02	7	7	-	-	-	-	-	Human	-	-	1060	-	Italy	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/southern_europe
AJ783379	Influenza B virus (B/Hong Kong/330/2002)	B/Hong Kong/330/02	7	7	-	-	-	-	-	Human	-	-	1062	-	Hong Kong	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ783380	Influenza B virus (B/Moscow/3/03)	B/Moscow/3/03	7	7	-	-	-	-	-	Human	-	-	1030	-	Russia	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/eastern_europe
AJ783381	Influenza B virus (B/Israel/95/03)	B/Israel/95/03	7	7	-	-	-	-	-	Human	-	-	1087	-	Israel	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/western_asia
AJ783382	Influenza B virus (B/Barcelona/215/2003)	B/Barcelona/215/03	7	7	-	-	-	-	-	Human	-	-	1088	-	Spain	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/southern_europe
AJ783383	Influenza B virus (B/Geneva/5079/2003)	B/Geneva/5079/03	7	7	-	-	-	-	-	Human	-	-	1100	-	Switzerland	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/western_europe
AJ783384	Influenza B virus (B/Hong Kong/692/01)	B/Hong Kong/692/01	7	7	-	-	-	-	-	Human	-	-	1068	-	Hong Kong	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ783385	Influenza B virus (B/Trento/3/2002)	B/Trento/3/02	7	7	-	-	-	-	-	Human	-	-	1077	-	Italy	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/southern_europe
AJ783386	Influenza B virus (B/Hong Kong/293/02)	B/Hong Kong/293/02	7	7	-	-	-	-	-	Human	-	-	1085	-	Hong Kong	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ783387	Influenza B virus (B/Bucharest/795/2003)	B/Bucharest/795/03	7	7	-	-	-	-	-	Human	-	-	1087	-	Romania	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/eastern_europe
AJ783388	Influenza B virus (B/Hong Kong/557/2000)	B/Hong Kong/557/00	7	7	-	-	-	-	-	Human	-	-	1088	-	Hong Kong	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ783389	Influenza B virus (B/Ulan Ude/4/02)	B/Ulan Ude/4/02	7	7	-	-	-	-	-	Human	-	-	1081	-	Russia	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/eastern_europe
AJ783390	Influenza B virus (B/Shanghai/361/2002)	B/Shanghai/361/2002	7	7	-	-	-	-	-	Human	-	-	1041	-	China	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
AJ783391	Influenza B virus (B/Oslo/71/2004)	B/Oslo/71/04	7	7	-	-	-	-	-	Human	-	-	1095	-	Norway	-	custom-table-row/m49_region/europe	-	custom-table-row/m49_sub_region/northern_europe
AJ783392	Influenza B virus (B/Cheju/303/2003)	B/Cheju/303/03	7	7	-	-	-	-	-	Human	-	-	1098	-	South Korea	-	custom-table-row/m49_region/asia	-	custom-table-row/m49_sub_region/eastern_asia
