sequenceID	full_name	isolate	gb_segment	rec_segment	rec_subtype	gb_subtype	gb_year	gb_month	gb_day	gb_source	gb_lab_host	pubmed_id	length	gb_host	gb_country	gb_place_sampled	m49_country.m49_region	m49_country.m49_intermediate_region	m49_country.m49_sub_region
AB036452	Influenza B virus (B/Kadoma/122/99-V1)	B/Kadoma/122/99-V1	-	4	Yamagata	-	-	-	-	-	-	11745940	1049	-	-	-	-	-	-
AB036453	Influenza B virus (B/Kadoma/122/99-V2)	B/Kadoma/122/99-V2	-	4	Yamagata	-	-	-	-	-	-	11745940	1008	-	-	-	-	-	-
AB036859	Influenza B virus (B/Tokyo/6/98)	B/Tokyo/6/98	4	4	Yamagata	-	-	-	-	-	-	-	1038	-	-	-	-	-	-
AB036860	Influenza B virus (B/Kouchi/193/1999)	B/Kouchi/193/99	8	8	-	-	-	-	-	-	-	-	1024	-	-	-	-	-	-
AB036861	Influenza B virus (B/Saga/S172/99)	B/Saga/S172/99	8	8	-	-	-	-	-	-	-	-	1024	-	-	-	-	-	-
AB036862	Influenza B virus (B/Nagoya/20/99)	B/Nagoya/20/99	8	8	-	-	-	-	-	-	-	-	1024	-	-	-	-	-	-
AB036863	Influenza B virus (B/Saga/S172/99)	B/Saga/S172/99	4	4	Yamagata	-	-	-	-	-	-	-	1038	-	-	-	-	-	-
AB036864	Influenza B virus (B/Kouchi/193/1999)	B/Kouchi/193/99	4	4	Yamagata	-	-	-	-	-	-	-	1038	-	-	-	-	-	-
AB036865	Influenza B virus (B/Nagoya/20/99)	B/Nagoya/20/99	4	4	-	-	-	-	-	-	-	-	1041	-	-	-	-	-	-
AB036866	Influenza B virus (B/Saga/S172/99)	B/Saga/S172/99	6	6	-	-	-	-	-	-	-	-	1408	-	-	-	-	-	-
AB036867	Influenza B virus (B/Kouchi/193/1999)	B/Kouchi/193/99	6	6	-	-	-	-	-	-	-	-	1408	-	-	-	-	-	-
AB036868	Influenza B virus (B/Nagoya/20/99)	B/Nagoya/20/99	6	6	-	-	-	-	-	-	-	-	1408	-	-	-	-	-	-
AB036869	Influenza B virus (B/Yamanashi/166/1998)	B/Yamanashi/166/98	6	6	-	-	-	-	-	-	-	-	1458	-	-	-	-	-	-
AB036870	Influenza B virus (B/Victoria/2/1987)	B/Victoria/2/1987	6	6	-	-	-	-	-	-	-	-	1408	-	-	-	-	-	-
AB036871	Influenza B virus (B/Chiba/447/98)	B/Chiba/447/98	6	6	-	-	-	-	-	-	-	-	1408	-	-	-	-	-	-
AB036872	Influenza B virus (B/Mie/01/1993)	B/Mie/1/93	6	6	-	-	-	-	-	-	-	-	1408	-	-	-	-	-	-
AB036873	Influenza B virus (B/Shiga/T30/98)	B/Shiga/T30/98	6	6	-	-	-	-	-	-	-	-	1408	-	-	-	-	-	-
AB036874	Influenza B virus (B/Saga/S172/99)	B/Saga/S172/99	5	5	-	-	-	-	-	-	-	-	1683	-	-	-	-	-	-
AB036875	Influenza B virus (B/Kouchi/193/1999)	B/Kouchi/193/99	5	5	-	-	-	-	-	-	-	-	1683	-	-	-	-	-	-
AB036876	Influenza B virus (B/Nagoya/20/99)	B/Nagoya/20/99	5	5	-	-	-	-	-	-	-	-	1683	-	-	-	-	-	-
AB036877	Influenza B virus (B/Saga/S172/99)	B/Saga/S172/99	7	7	-	-	-	-	-	-	-	-	1076	-	-	-	-	-	-
AB036878	Influenza B virus (B/Kouchi/193/1999)	B/Kouchi/193/99	7	7	-	-	-	-	-	-	-	-	1076	-	-	-	-	-	-
AB036879	Influenza B virus (B/Nagoya/20/99)	B/Nagoya/20/99	7	7	-	-	-	-	-	-	-	-	1076	-	-	-	-	-	-
AB045008	Influenza B virus (B/Osaka/1201/2000)	B/Osaka/1201/2000	-	4	Yamagata	-	-	-	-	-	-	11745940	1062	-	-	-	-	-	-
AB045009	Influenza B virus (B/Kadoma/409/2000)	B/Kadoma/409/2000	-	4	Yamagata	-	-	-	-	-	-	11745940	1070	-	-	-	-	-	-
AB045010	Influenza B virus	B/Kadoma/506/99-V1	-	4	Yamagata	-	-	-	-	-	-	-	1065	-	-	-	-	-	-
AB054679	Influenza B virus (B/Osaka/983/97-V1)	B/Osaka/983/97-V1	-	4	-	-	-	-	-	-	-	11514726	1042	-	-	-	-	-	-
AB054680	Influenza B virus (B/Osaka/983/97-V2)	B/Osaka/983/97-V2	-	4	-	-	-	-	-	-	-	11514726	1049	-	-	-	-	-	-
AB054681	Influenza B virus (B/Osaka/983/97-V3)	B/Osaka/983/97-V3	-	4	-	-	-	-	-	-	-	11514726	1045	-	-	-	-	-	-
AB054682	Influenza B virus (B/Osaka/983/97-V4)	B/Osaka/983/97-V4	-	4	-	-	-	-	-	-	-	11514726	1043	-	-	-	-	-	-
AB054683	Influenza B virus (B/Osaka/983/97-V5)	B/Osaka/983/97-V5	-	4	-	-	-	-	-	-	-	11514726	1069	-	-	-	-	-	-
AB054684	Influenza B virus (B/Osaka/983/97-V6)	B/Osaka/983/97-V6	-	4	-	-	-	-	-	-	-	11514726	1058	-	-	-	-	-	-
AB054685	Influenza B virus (B/Osaka/983/97-V7)	B/Osaka/983/97-V7	-	4	-	-	-	-	-	-	-	11514726	1056	-	-	-	-	-	-
AB054686	Influenza B virus (B/Osaka/983/97-V8)	B/Osaka/983/97-V8	-	4	-	-	-	-	-	-	-	11514726	1068	-	-	-	-	-	-
AB059242	Influenza B virus (B/Lusaka/270/99)	B/Lusaka/270/99	-	4	Yamagata	-	-	-	-	-	-	11699954	1083	-	-	-	-	-	-
AB059247	Influenza B virus (B/Lusaka/270/99)	B/Lusaka/270/99	-	5	-	-	-	-	-	-	-	11699954	925	-	-	-	-	-	-
AB059248	Influenza B virus (B/Lusaka/270/99)	B/Lusaka/270/99	-	7	-	-	-	-	-	-	-	11699954	1076	-	-	-	-	-	-
AB059249	Influenza B virus (B/Lusaka/270/99)	B/Lusaka/270/99	-	8	-	-	-	-	-	-	-	11699954	1024	-	-	-	-	-	-
AB059250	Influenza B virus (B/Lusaka/432/99)	B/Lusaka/432/99	-	4	Yamagata	-	-	-	-	-	-	11699954	1083	-	-	-	-	-	-
AB059255	Influenza B virus (B/Lusaka/432/99)	B/Lusaka/432/99	-	5	-	-	-	-	-	-	-	11699954	925	-	-	-	-	-	-
AB059256	Influenza B virus (B/Lusaka/432/99)	B/Lusaka/432/99	-	7	-	-	-	-	-	-	-	11699954	1076	-	-	-	-	-	-
AB059257	Influenza B virus (B/Lusaka/432/99)	B/Lusaka/432/99	-	8	-	-	-	-	-	-	-	11699954	1024	-	-	-	-	-	-
AB071517	Influenza B virus (B/Kobe/69/2001)	B/Kobe/69/2001	-	4	Yamagata	-	-	-	-	-	-	12149383	1080	-	-	-	-	-	-
AB071518	Influenza B virus (B/Kobe/79/2001)	B/Kobe/79/2001	-	4	Yamagata	-	-	-	-	-	-	12149383	1078	-	-	-	-	-	-
AB071520	Influenza B virus (B/Kobe/87/2001)	B/Kobe/87/2001	-	4	Yamagata	-	-	-	-	-	-	12149383	1071	-	-	-	-	-	-
AB071521	Influenza B virus (B/Kobe/69/2001)	B/Kobe/69/2001	-	4	Yamagata	-	-	-	-	-	-	12149383	1078	-	-	-	-	-	-
AB071522	Influenza B virus (B/Kobe/69/2001)	B/Kobe/69/2001	-	4	Yamagata	-	-	-	-	-	-	12149383	1078	-	-	-	-	-	-
AB071523	Influenza B virus (B/Kobe/69/2001)	B/Kobe/69/2001	-	4	Yamagata	-	-	-	-	-	-	12149383	1078	-	-	-	-	-	-
AB071524	Influenza B virus (B/Kobe/69/2001)	B/Kobe/69/2001	-	4	Yamagata	-	-	-	-	-	-	12149383	1079	-	-	-	-	-	-
AB071525	Influenza B virus (B/Kadoma/122/99-V3)	B/Kadoma/122/99-V3	-	4	Yamagata	-	-	-	-	-	-	12655076	1074	-	-	-	-	-	-
AB071526	Influenza B virus (B/Kadoma/122/99-V4)	B/Kadoma/122/99-V4	-	4	Yamagata	-	-	-	-	-	-	-	1059	-	-	-	-	-	-
AB071527	Influenza B virus (B/Kadoma/122/99-V5)	B/Kadoma/122/99-V5	-	4	Yamagata	-	-	-	-	-	-	-	1077	-	-	-	-	-	-
AB071528	Influenza B virus (B/Kadoma/122/99-V6)	B/Kadoma/122/99-V6	-	4	Yamagata	-	-	-	-	-	-	-	1079	-	-	-	-	-	-
AB071529	Influenza B virus (B/Kadoma/122/99-V7)	B/Kadoma/122/99-V7	-	4	Yamagata	-	-	-	-	-	-	-	1080	-	-	-	-	-	-
AB071531	Influenza B virus (B/Kadoma/122/99-V9)	B/Kadoma/122/99-V9	-	4	Yamagata	-	-	-	-	-	-	-	1077	-	-	-	-	-	-
AB071532	Influenza B virus (B/Kadoma/122/99-V10)	B/Kadoma/122/99-V10	-	4	Yamagata	-	-	-	-	-	-	-	1067	-	-	-	-	-	-
AB071533	Influenza B virus (B/Kadoma/122/99-V11)	B/Kadoma/122/99-V11	-	4	Yamagata	-	-	-	-	-	-	-	1077	-	-	-	-	-	-
AB081570	Influenza B virus (B/Kobe/1/2002)	B/Kobe/1/2002	-	4	-	-	-	-	-	-	-	16597895	987	-	-	-	-	-	-
AB081571	Influenza B virus (B/Kobe/2/2002)	B/Kobe/2/2002	-	4	-	-	-	-	-	-	-	-	982	-	-	-	-	-	-
AB083182	Influenza B virus (B/Kobe/3/2002)	B/Kobe/3/2002	-	4	Yamagata	-	-	-	-	-	-	-	979	-	-	-	-	-	-
AB083183	Influenza B virus (B/Kobe/4/2002)	B/Kobe/4/2002	-	4	-	-	-	-	-	-	-	-	979	-	-	-	-	-	-
AB083404	Influenza B virus (B/Kobe/5/2002)	B/Kobe/5/2002	-	4	Yamagata	-	-	-	-	-	-	12655076	978	-	-	-	-	-	-
AB083405	Influenza B virus (B/Kobe/69/2001)	B/Kobe/69/2001	-	4	Yamagata	-	-	-	-	-	-	12655076	986	-	-	-	-	-	-
AB120222	Influenza B virus (B/Yamagata/K270/2001)	B/Yamagata/K270/2001	5	5	-	-	-	-	-	-	-	15258979	925	-	-	-	-	-	-
AB120223	Influenza B virus (B/Yamagata/K320/2001)	B/Yamagata/K320/2001	5	5	-	-	-	-	-	-	-	15258979	925	-	-	-	-	-	-
AB120224	Influenza B virus (B/Yamagata/K386/2001)	B/Yamagata/K386/2001	5	5	-	-	-	-	-	-	-	15258979	925	-	-	-	-	-	-
AB120225	Influenza B virus (B/Yamagata/K461/2001)	B/Yamagata/K461/2001	5	5	-	-	-	-	-	-	-	15258979	925	-	-	-	-	-	-
AB120226	Influenza B virus (B/Yamagata/K490/2001)	B/Yamagata/K490/2001	5	5	-	-	-	-	-	-	-	15258979	925	-	-	-	-	-	-
AB120227	Influenza B virus (B/Yamagata/K500/2001)	B/Yamagata/K500/2001	5	5	-	-	-	-	-	-	-	15258979	925	-	-	-	-	-	-
AB120228	Influenza B virus (B/Yamagata/K501/2001)	B/Yamagata/K501/2001	5	5	-	-	-	-	-	-	-	15258979	925	-	-	-	-	-	-
AB120229	Influenza B virus (B/Yamagata/K508/2001)	B/Yamagata/K508/2001	5	5	-	-	-	-	-	-	-	15258979	925	-	-	-	-	-	-
AB120230	Influenza B virus (B/Yamagata/K515/2001)	B/Yamagata/K515/2001	5	5	-	-	-	-	-	-	-	15258979	925	-	-	-	-	-	-
AB120231	Influenza B virus (B/Yamagata/K519/2001)	B/Yamagata/K519/2001	5	5	-	-	-	-	-	-	-	15258979	925	-	-	-	-	-	-
AB120232	Influenza B virus (B/Yamagata/K520/2001)	B/Yamagata/K520/2001	5	5	-	-	-	-	-	-	-	15258979	925	-	-	-	-	-	-
AB120233	Influenza B virus (B/Yamagata/K521/2001)	B/Yamagata/K521/2001	5	5	-	-	-	-	-	-	-	15258979	925	-	-	-	-	-	-
AB120234	Influenza B virus (B/Yamagata/K535/2001)	B/Yamagata/K535/2001	5	5	-	-	-	-	-	-	-	15258979	925	-	-	-	-	-	-
AB120235	Influenza B virus (B/Yamagata/K542/2001)	B/Yamagata/K542/2001	5	5	-	-	-	-	-	-	-	15258979	925	-	-	-	-	-	-
AB120236	Influenza B virus (B/Yamagata/222/2002)	B/Yamagata/222/2002	5	5	-	-	-	-	-	-	-	15258979	925	-	-	-	-	-	-
AB120237	Influenza B virus (B/Yamagata/115/2003)	B/Yamagata/115/2003	5	5	-	-	-	-	-	-	-	15258979	925	-	-	-	-	-	-
AB120238	Influenza B virus (B/Yamagata/1246/2003)	B/Yamagata/1246/2003	5	5	-	-	-	-	-	-	-	15258979	925	-	-	-	-	-	-
AB120239	Influenza B virus (B/Yamagata/1311/2003)	B/Yamagata/1311/2003	5	5	-	-	-	-	-	-	-	15258979	925	-	-	-	-	-	-
AB120240	Influenza B virus (B/Yamagata/K270/2001)	B/Yamagata/K270/2001	6	6	-	-	-	-	-	-	-	15258979	1408	-	-	-	-	-	-
AB120241	Influenza B virus (B/Yamagata/K320/2001)	B/Yamagata/K320/2001	6	6	-	-	-	-	-	-	-	15258979	1408	-	-	-	-	-	-
AB120242	Influenza B virus (B/Yamagata/K386/2001)	B/Yamagata/K386/2001	6	6	-	-	-	-	-	-	-	15258979	1408	-	-	-	-	-	-
AB120243	Influenza B virus (B/Yamagata/K461/2001)	B/Yamagata/K461/2001	6	6	-	-	-	-	-	-	-	15258979	1408	-	-	-	-	-	-
AB120244	Influenza B virus (B/Yamagata/K490/2001)	B/Yamagata/K490/2001	6	6	-	-	-	-	-	-	-	15258979	1408	-	-	-	-	-	-
AB120245	Influenza B virus (B/Yamagata/K500/2001)	B/Yamagata/K500/2001	6	6	-	-	-	-	-	-	-	15258979	1408	-	-	-	-	-	-
AB120246	Influenza B virus (B/Yamagata/K501/2001)	B/Yamagata/K501/2001	6	6	-	-	-	-	-	-	-	15258979	1408	-	-	-	-	-	-
AB120247	Influenza B virus (B/Yamagata/K508/2001)	B/Yamagata/K508/2001	6	6	-	-	-	-	-	-	-	15258979	1408	-	-	-	-	-	-
AB120248	Influenza B virus (B/Yamagata/K515/2001)	B/Yamagata/K515/2001	6	6	-	-	-	-	-	-	-	15258979	1408	-	-	-	-	-	-
AB120249	Influenza B virus (B/Yamagata/K519/2001)	B/Yamagata/K519/2001	6	6	-	-	-	-	-	-	-	15258979	1408	-	-	-	-	-	-
AB120250	Influenza B virus (B/Yamagata/K520/2001)	B/Yamagata/K520/2001	6	6	-	-	-	-	-	-	-	15258979	1408	-	-	-	-	-	-
AB120251	Influenza B virus (B/Yamagata/K521/2001)	B/Yamagata/K521/2001	6	6	-	-	-	-	-	-	-	15258979	1408	-	-	-	-	-	-
AB120252	Influenza B virus (B/Yamagata/K535/2001)	B/Yamagata/K535/2001	6	6	-	-	-	-	-	-	-	15258979	1408	-	-	-	-	-	-
AB120253	Influenza B virus (B/Yamagata/K542/2001)	B/Yamagata/K542/2001	6	6	-	-	-	-	-	-	-	15258979	1408	-	-	-	-	-	-
AB120254	Influenza B virus (B/Yamagata/222/2002)	B/Yamagata/222/2002	6	6	-	-	-	-	-	-	-	15258979	1408	-	-	-	-	-	-
AB120255	Influenza B virus (B/Yamagata/115/2003)	B/Yamagata/115/2003	6	6	-	-	-	-	-	-	-	15258979	1408	-	-	-	-	-	-
AB120256	Influenza B virus (B/Yamagata/1246/2003)	B/Yamagata/1246/2003	6	6	-	-	-	-	-	-	-	15258979	1408	-	-	-	-	-	-
AB120257	Influenza B virus (B/Yamagata/1311/2003)	B/Yamagata/1311/2003	6	6	-	-	-	-	-	-	-	15258979	1408	-	-	-	-	-	-
AB120258	Influenza B virus (B/Yamagata/K270/2001)	B/Yamagata/K270/2001	7	7	-	-	-	-	-	-	-	15258979	1076	-	-	-	-	-	-
AB120259	Influenza B virus (B/Yamagata/K320/2001)	B/Yamagata/K320/2001	7	7	-	-	-	-	-	-	-	15258979	1076	-	-	-	-	-	-
AB120260	Influenza B virus (B/Yamagata/K386/2001)	B/Yamagata/K386/2001	7	7	-	-	-	-	-	-	-	15258979	1076	-	-	-	-	-	-
AB120261	Influenza B virus (B/Yamagata/K461/2001)	B/Yamagata/K461/2001	7	7	-	-	-	-	-	-	-	15258979	1076	-	-	-	-	-	-
AB120262	Influenza B virus (B/Yamagata/K490/2001)	B/Yamagata/K490/2001	7	7	-	-	-	-	-	-	-	15258979	1076	-	-	-	-	-	-
AB120263	Influenza B virus (B/Yamagata/K500/2001)	B/Yamagata/K500/2001	7	7	-	-	-	-	-	-	-	15258979	1076	-	-	-	-	-	-
AB120264	Influenza B virus (B/Yamagata/K501/2001)	B/Yamagata/K501/2001	7	7	-	-	-	-	-	-	-	15258979	1076	-	-	-	-	-	-
AB120265	Influenza B virus (B/Yamagata/K508/2001)	B/Yamagata/K508/2001	7	7	-	-	-	-	-	-	-	15258979	1076	-	-	-	-	-	-
AB120266	Influenza B virus (B/Yamagata/K515/2001)	B/Yamagata/K515/2001	7	7	-	-	-	-	-	-	-	15258979	1076	-	-	-	-	-	-
AB120267	Influenza B virus (B/Yamagata/K519/2001)	B/Yamagata/K519/2001	7	7	-	-	-	-	-	-	-	15258979	1076	-	-	-	-	-	-
AB120268	Influenza B virus (B/Yamagata/K520/2001)	B/Yamagata/K520/2001	7	7	-	-	-	-	-	-	-	15258979	1076	-	-	-	-	-	-
AB120269	Influenza B virus (B/Yamagata/K521/2001)	B/Yamagata/K521/2001	7	7	-	-	-	-	-	-	-	15258979	1076	-	-	-	-	-	-
AB120270	Influenza B virus (B/Yamagata/K535/2001)	B/Yamagata/K535/2001	7	7	-	-	-	-	-	-	-	15258979	1076	-	-	-	-	-	-
AB120271	Influenza B virus (B/Yamagata/K542/2001)	B/Yamagata/K542/2001	7	7	-	-	-	-	-	-	-	15258979	1076	-	-	-	-	-	-
AB120272	Influenza B virus (B/Yamagata/222/2002)	B/Yamagata/222/2002	7	7	-	-	-	-	-	-	-	15258979	1076	-	-	-	-	-	-
AB120273	Influenza B virus (B/Yamagata/115/2003)	B/Yamagata/115/2003	7	7	-	-	-	-	-	-	-	15258979	1076	-	-	-	-	-	-
AB120274	Influenza B virus (B/Yamagata/1246/2003)	B/Yamagata/1246/2003	7	7	-	-	-	-	-	-	-	15258979	1076	-	-	-	-	-	-
AB120275	Influenza B virus (B/Yamagata/1311/2003)	B/Yamagata/1311/2003	7	7	-	-	-	-	-	-	-	15258979	1076	-	-	-	-	-	-
AB120432	Influenza B virus (B/Yamagata/K270/2001)	B/Yamagata/K270/2001	8	8	-	-	-	-	-	-	-	15258979	1024	-	-	-	-	-	-
AB120433	Influenza B virus (B/Yamagata/K320/2001)	B/Yamagata/K320/2001	8	8	-	-	-	-	-	-	-	15258979	1024	-	-	-	-	-	-
AB120434	Influenza B virus (B/Yamagata/K386/2001)	B/Yamagata/K386/2001	8	8	-	-	-	-	-	-	-	15258979	1024	-	-	-	-	-	-
AB120435	Influenza B virus (B/Yamagata/K461/2001)	B/Yamagata/K461/2001	8	8	-	-	-	-	-	-	-	15258979	1024	-	-	-	-	-	-
AB120436	Influenza B virus (B/Yamagata/K490/2001)	B/Yamagata/K490/2001	8	8	-	-	-	-	-	-	-	15258979	1027	-	-	-	-	-	-
AB120437	Influenza B virus (B/Yamagata/K500/2001)	B/Yamagata/K500/2001	8	8	-	-	-	-	-	-	-	15258979	1024	-	-	-	-	-	-
AB120438	Influenza B virus (B/Yamagata/K501/2001)	B/Yamagata/K501/2001	8	8	-	-	-	-	-	-	-	15258979	1024	-	-	-	-	-	-
AB120439	Influenza B virus (B/Yamagata/K508/2001)	B/Yamagata/K508/2001	8	8	-	-	-	-	-	-	-	15258979	1024	-	-	-	-	-	-
AB120440	Influenza B virus (B/Yamagata/K515/2001)	B/Yamagata/K515/2001	8	8	-	-	-	-	-	-	-	15258979	1027	-	-	-	-	-	-
AB120441	Influenza B virus (B/Yamagata/K519/2001)	B/Yamagata/K519/2001	8	8	-	-	-	-	-	-	-	15258979	1024	-	-	-	-	-	-
AB120442	Influenza B virus (B/Yamagata/K520/2001)	B/Yamagata/K520/2001	8	8	-	-	-	-	-	-	-	15258979	1024	-	-	-	-	-	-
AB120443	Influenza B virus (B/Yamagata/K521/2001)	B/Yamagata/K521/2001	8	8	-	-	-	-	-	-	-	15258979	1024	-	-	-	-	-	-
AB120444	Influenza B virus (B/Yamagata/K535/2001)	B/Yamagata/K535/2001	8	8	-	-	-	-	-	-	-	15258979	1027	-	-	-	-	-	-
AB120445	Influenza B virus (B/Yamagata/K542/2001)	B/Yamagata/K542/2001	8	8	-	-	-	-	-	-	-	15258979	1027	-	-	-	-	-	-
AB120446	Influenza B virus (B/Yamagata/222/2002)	B/Yamagata/222/2002	8	8	-	-	-	-	-	-	-	15258979	1024	-	-	-	-	-	-
AB120447	Influenza B virus (B/Yamagata/115/2003)	B/Yamagata/115/2003	8	8	-	-	-	-	-	-	-	15258979	1024	-	-	-	-	-	-
AB120448	Influenza B virus (B/Yamagata/1246/2003)	B/Yamagata/1246/2003	8	8	-	-	-	-	-	-	-	15258979	1024	-	-	-	-	-	-
