sequenceID	source.name	gb_segment	rec_subtype	full_name	isolate.gb_subtype
MZ565617	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H2N7
MZ945737	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H1N2
NC_002023	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	H1N1
NC_007373	iav-ncbi-refseqs-seg1	1	-	Influenza A virus (A/New York/392/2004(H3N2))	H3N2
OL370764	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H12N5
OL371252	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H5N9
OL371508	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H9N5
OL371652	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H1N7
OM373267	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H10N8
OM966133	iav-ncbi-refseqs-seg1	1	-	Influenza A virus	H10N9
CY005139	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/ruddy turnstone/DE/510/1988(H9N6))	H9N6
CY005370	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/ruddy turnstone/Delaware/97/2000(H12N5))	H12N5
CY067676	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/blue-winged teal/Guatemala/CIP049-02/2008(H7N9))	H7N9
CY075052	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/swine/Guangxi/10/2007(H9N2))	H9N2
CY079177	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/northern pintail/Interior Alaska/8BM3731/2008(H3N8))	H3N8
CY096646	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/blue-winged teal/Guatemala/CIP049-04/2010(H8N4))	H8N4
CY130068	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/duck/England/1/1956(H11N6))	H11N6
CY241069	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/environment/New Jersey/UGAI16-1117/2016(H10N2))	H10N2
DQ376840	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/chicken/Taiwan/0705/99(H6N1))	H6N1
EU030981	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/laughing gull/Delaware Bay/42/2006(H7N3))	H7N3
KU322227	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/Parma/58/2012(H3N2))	H3N2
KX979604	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/mallard duck/Netherlands/2/2009(H7N7))	H7N7
KX979605	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/mallard duck/Netherlands/1/2007(H10N7))	H10N7
KX979649	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/black-headed gull/Netherlands/10/2010(H13N8))	HXN8
KY415848	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/Pigeon/Longquan/LQ67/2016(H2N8))	H2N8
KY635673	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/duck/Bangladesh/24692/2015(H7N1))	H7N1
KY644158	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/blackish oystercatcher/Chile/C6534/2016(H2N2))	H2N2
KY990738	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/mallard duck/California/UCD470/2016(H12N5))	H12N5
LC371816	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/duck/Hokkaido/207/2014(H8N2))	H8N2
LC371840	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/duck/Hokkaido/95/2001(H2N2))	H2N2
LC431474	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/duck/Alaska/5111/1994(H2N3))	H2N3
MF147603	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/black-headed gull/Netherlands/57/2012(H13N6))	HXN6
MF148108	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/black-headed gull/Netherlands/2/2008(H13N8))	HXN8
MF959951	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/mallard duck/Netherlands/3/2001(H3N6))	H3N6
MF978420	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/feline/New York/WVDL-16/2016(H7N2))	H7N2
MG668913	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/Thailand/NBL1/2006(H5N1))	H5N1
MH134611	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H12N5
MH502288	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H10N2
MH569261	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H3N7
MH578767	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H11N8
MH578843	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H12N1
MH578980	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H9N1
MH596899	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H11N1
MH598163	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H12N5
MK268562	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H3N2
MN055191	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H11N2
MN988212	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H2N3
MW109582	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H6N6
MW333284	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H5N8
MW342698	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H5N8
MW547591	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H10N9
MW848665	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H1N2
MW857524	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H11N7
MW875654	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H4N9
MW876046	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H11N3
MW876097	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H12N1
MZ565042	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H5N2
MZ565338	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H5N2
MZ565616	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H2N7
MZ945738	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H1N2
NC_002021	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	H1N1
NC_007372	iav-ncbi-refseqs-seg2	2	-	Influenza A virus (A/New York/392/2004(H3N2))	H3N2
OL370765	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H12N5
OL371253	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H5N9
OL371509	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H9N5
OL371653	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H1N7
OM373268	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H10N8
OM966132	iav-ncbi-refseqs-seg2	2	-	Influenza A virus	H10N9
CY002069	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/New York/392/2004(H3N2))	H3N2
CY005138	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/ruddy turnstone/DE/510/1988(H9N6))	H9N6
CY005369	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/ruddy turnstone/Delaware/97/2000(H12N5))	H12N5
CY067677	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/blue-winged teal/Guatemala/CIP049-02/2008(H7N9))	H7N9
CY075053	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/swine/Guangxi/10/2007(H9N2))	H9N2
CY079176	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/northern pintail/Interior Alaska/8BM3731/2008(H3N8))	H3N8
CY096647	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/blue-winged teal/Guatemala/CIP049-04/2010(H8N4))	H8N4
CY130067	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/duck/England/1/1956(H11N6))	H11N6
CY241068	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/environment/New Jersey/UGAI16-1117/2016(H10N2))	H10N2
DQ376803	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/chicken/Taiwan/0705/99(H6N1))	H6N1
EU030983	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/laughing gull/Delaware Bay/42/2006(H7N3))	H7N3
KU322270	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/Parma/58/2012(H3N2))	H3N2
KX978513	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/mallard duck/Netherlands/2/2009(H7N7))	H7N7
KX979204	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/black-headed gull/Netherlands/10/2010(H13N8))	HXN8
KX979457	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/mallard duck/Netherlands/1/2007(H10N7))	H10N7
KY415804	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/Pigeon/Longquan/LQ67/2016(H2N8))	H2N8
KY635658	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/duck/Bangladesh/24692/2015(H7N1))	H7N1
KY644159	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/blackish oystercatcher/Chile/C6534/2016(H2N2))	H2N2
KY990795	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/mallard duck/California/UCD470/2016(H12N5))	H12N5
LC371817	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/duck/Hokkaido/207/2014(H8N2))	H8N2
LC371841	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/duck/Hokkaido/95/2001(H2N2))	H2N2
LC431475	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/duck/Alaska/5111/1994(H2N3))	H2N3
MF147019	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/black-headed gull/Netherlands/57/2012(H13N6))	HXN6
MF147443	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/black-headed gull/Netherlands/2/2008(H13N8))	HXN8
MF959972	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/mallard duck/Netherlands/3/2001(H3N6))	H3N6
MF978419	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/feline/New York/WVDL-16/2016(H7N2))	H7N2
MG668914	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/Thailand/NBL1/2006(H5N1))	H5N1
MH134830	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H12N5
MH502287	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H10N2
MH569262	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H3N7
MH578790	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H11N8
MH578883	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H12N1
MH579169	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H9N1
MH596898	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H11N1
MH598162	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H12N5
MK077423	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H3N2
MN055196	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H11N2
MN988213	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H2N3
MW109583	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H6N6
MW333285	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H5N8
MW342699	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H5N8
MW547620	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H10N9
MW848667	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H1N2
MW857525	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H11N7
MW875660	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H4N9
MW876043	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H11N3
MW876092	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H12N1
MZ565043	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H5N2
MZ565339	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H5N2
MZ565615	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H2N7
MZ945739	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H1N2
NC_002022	iav-ncbi-refseqs-seg3	3	-	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	H1N1
OL370766	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H12N5
OL371254	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H5N9
OL371510	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H9N5
OL371654	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H1N7
OM373269	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H10N8
OM966131	iav-ncbi-refseqs-seg3	3	-	Influenza A virus	H10N9
CY005988	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/ruddy turnstone/DE/510/1988(H9N6))	H9N6
CY006008	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/ruddy turnstone/Delaware/97/2000(H12N5))	H12N5
CY014679	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/duck/England/1/1956(H11N6))	H11N6
CY067678	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/blue-winged teal/Guatemala/CIP049-02/2008(H7N9))	H7N9
CY075054	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/swine/Guangxi/10/2007(H9N2))	H9N2
CY079171	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/northern pintail/Interior Alaska/8BM3731/2008(H3N8))	H3N8
CY096648	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/blue-winged teal/Guatemala/CIP049-04/2010(H8N4))	H8N4
CY241063	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/environment/New Jersey/UGAI16-1117/2016(H10N2))	H10N2
DQ376624	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/chicken/Taiwan/0705/99(H6N1))	H6N1
EU030984	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/laughing gull/Delaware Bay/42/2006(H7N3))	H7N3
KU322313	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/Parma/58/2012(H3N2))	H3N2
KX978114	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/mallard duck/Netherlands/2/2009(H7N7))	H7N7
KX978155	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/black-headed gull/Netherlands/10/2010(H13N8))	HXN8
KX978192	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/mallard duck/Netherlands/1/2007(H10N7))	H10N7
KY415628	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/Pigeon/Longquan/LQ67/2016(H2N8))	H2N8
KY635574	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/duck/Bangladesh/24692/2015(H7N1))	H7N1
KY644183	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/blackish oystercatcher/Chile/C6534/2016(H2N2))	H2N2
KY990741	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/mallard duck/California/UCD470/2016(H12N5))	H12N5
LC029898	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/duck/Hokkaido/207/2014(H8N2))	H8N2
LC042003	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/duck/Alaska/5111/1994(H2N3))	H2N3
LC371842	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/duck/Hokkaido/95/2001(H2N2))	H2N2
MF146364	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/black-headed gull/Netherlands/2/2008(H13N8))	HXN8
MF147944	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/black-headed gull/Netherlands/57/2012(H13N6))	HXN6
MF959966	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/mallard duck/Netherlands/3/2001(H3N6))	H3N6
MF978414	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/feline/New York/WVDL-16/2016(H7N2))	H7N2
MG668923	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/Thailand/NBL1/2006(H5N1))	H5N1
MH134842	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H12N5
MH502282	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H10N2
MH569263	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H3N7
MH578773	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H9N1
MH579159	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H12N1
MH596891	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H11N1
MH598157	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H12N5
MH613320	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H11N8
MK077424	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H3N2
MN055195	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H11N2
MN988214	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H2N3
MW109584	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H6N6
MW333286	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H5N8
MW342700	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H5N8
MW547678	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H10N9
MW848663	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H1N2
MW857526	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H11N7
MW875653	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H4N9
MW876042	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H11N3
MW876090	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H12N1
MZ565044	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H5N2
MZ565340	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H5N2
MZ565610	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H2N7
MZ945740	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H1N2
NC_002017	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	H1N1
NC_007366	iav-ncbi-refseqs-seg4	4	-	Influenza A virus (A/New York/392/2004(H3N2))	H3N2
OL370767	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H12N5
OL371255	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H5N9
OL371511	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H9N5
OL371655	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H1N7
OM373270	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H10N8
OM966127	iav-ncbi-refseqs-seg4	4	-	Influenza A virus	H10N9
CY005136	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/ruddy turnstone/DE/510/1988(H9N6))	H9N6
CY005367	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/ruddy turnstone/Delaware/97/2000(H12N5))	H12N5
CY014682	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/duck/England/1/1956(H11N6))	H11N6
CY067679	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/blue-winged teal/Guatemala/CIP049-02/2008(H7N9))	H7N9
CY075055	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/swine/Guangxi/10/2007(H9N2))	H9N2
CY079174	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/northern pintail/Interior Alaska/8BM3731/2008(H3N8))	H3N8
CY096649	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/blue-winged teal/Guatemala/CIP049-04/2010(H8N4))	H8N4
CY241066	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/environment/New Jersey/UGAI16-1117/2016(H10N2))	H10N2
DQ376732	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/chicken/Taiwan/0705/99(H6N1))	H6N1
EU030985	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/laughing gull/Delaware Bay/42/2006(H7N3))	H7N3
KJ907471	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/Thailand/NBL1/2006(H5N1))	H5N1
KU322356	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/Parma/58/2012(H3N2))	H3N2
KX977706	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/black-headed gull/Netherlands/10/2010(H13N8))	HXN8
KX978654	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/mallard duck/Netherlands/2/2009(H7N7))	H7N7
KX979489	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/mallard duck/Netherlands/1/2007(H10N7))	H10N7
KY415760	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/Pigeon/Longquan/LQ67/2016(H2N8))	H2N8
KY635806	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/duck/Bangladesh/24692/2015(H7N1))	H7N1
KY644165	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/blackish oystercatcher/Chile/C6534/2016(H2N2))	H2N2
KY990797	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/mallard duck/California/UCD470/2016(H12N5))	H12N5
LC371819	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/duck/Hokkaido/207/2014(H8N2))	H8N2
LC371843	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/duck/Hokkaido/95/2001(H2N2))	H2N2
LC431477	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/duck/Alaska/5111/1994(H2N3))	H2N3
MF145744	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/black-headed gull/Netherlands/2/2008(H13N8))	HXN8
MF145885	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/black-headed gull/Netherlands/57/2012(H13N6))	HXN6
MF959982	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/mallard duck/Netherlands/3/2001(H3N6))	H3N6
MF978417	iav-ncbi-refseqs-seg5	5	-	Influenza A virus (A/feline/New York/WVDL-16/2016(H7N2))	H7N2
MH134715	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H12N5
MH502285	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H10N2
MH569264	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H3N7
MH578837	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H11N8
MH578859	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H9N1
MH579180	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H12N1
MH596896	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H11N1
MH598160	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H12N5
MK268611	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H3N2
MN055197	iav-ncbi-refseqs-seg5	5	-	Influenza A virus	H11N2
