isolate	gb_subtype	rec_subtype	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession
D/bovine/France/O-EB24D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/O-EB24D/2018	ON038806	ON038826	ON038847	-	ON038868	ON038889	ON038910
D/bovine/France/O-EA23D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/O-EA23D/2018	ON038796	ON038816	ON038837	-	ON038858	ON038879	ON038900
D/swine/Guangdong/NN13/2017	-	-	2017	MAR	23	Sus scrofa	-	China	D/swine/Guangdong/NN13/2017	-	-	-	MH315965	-	-	-
D/bovine/France/O-EA13/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/O-EA13/2018	ON038795	ON038815	ON038836	-	ON038857	ON038878	ON038899
D/bovine/Ireland/010807/2016	-	-	2016	-	-	Bos taurus	-	Ireland	D/bovine/Ireland/010807/2016	-	-	-	KY992093	-	KY992097	-
D/bovine/Italy/18RS182-14/2017	-	-	2017	DEC	18	Bos taurus	-	Italy	D/bovine/Italy/18RS182-14/2017	MK965375	-	MK965328	MK965269	MK965283	MK965350	MK965304
ASRA1	-	-	2011	-	-	Bos taurus	nasal swab	Australia	ASRA1	OQ348274	OQ348275	OQ348276	OQ348277	-	-	-
D/bovine/Ireland/023638/2016	-	-	2016	-	-	Bos taurus	-	Ireland	D/bovine/Ireland/023638/2016	-	-	-	KY992094	-	KY992098	-
D/bovine/Mississippi/C00013N/2014	-	-	2014	FEB	7	Bos taurus; 6 to 8 months	nasal swab	USA	D/bovine/Mississippi/C00013N/2014	-	-	-	KT581416	-	-	-
D/bovine/Italy/18788-3/2020	-	-	2020	-	-	Bos taurus	-	Italy	D/bovine/Italy/18788-3/2020	-	-	-	ON166838	-	-	-
D/bovine/Italy/11213/2021	-	-	2021	-	-	Bos taurus	-	Italy	D/bovine/Italy/11213/2021	-	-	-	ON166834	-	-	-
D/swine/Guangdong/YS1/2016	-	-	2016	NOV	11	Sus scrofa	-	China	D/swine/Guangdong/YS1/2016	-	-	-	KY441104	-	-	-
D/bovine/France/B23D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/B23D/2018	-	-	-	ON038786	-	-	-
D/bovine/Guangdong/PY1/2016	-	-	2016	FEB	10	buffalo	-	China	D/bovine/Guangdong/PY1/2016	-	-	-	KY441121	-	-	-
D/bovine/France/O-EB34/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/O-EB34/2018	-	ON038830	ON038851	-	ON038872	ON038893	ON038914
D/bovine/Kirklareli/403-10/2020	-	-	2020	DEC	28	Bos taurus	nasal swab	Turkey	D/bovine/Kirklareli/403-10/2020	-	-	-	PP297653	-	-	-
D/swine/Guangdong/LX-2/2018	-	-	2018	APR	15	Sus scrofa	-	China	D/swine/Guangdong/LX-2/2018	-	-	-	MH315966	-	-	-
D/bovine/Ireland/037157/2015	-	-	2015	-	-	Bos taurus	-	Ireland	D/bovine/Ireland/037157/2015	-	-	-	KY992092	-	KY992100	-
D/bovine/France/O-EB38D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/O-EB38D/2018	ON038811	ON038832	ON038853	-	ON038874	ON038895	ON038916
D/bovine/Bursa/ET-130/2013	-	-	2013	-	-	Bos taurus	nasal swab	Turkey	D/bovine/Bursa/ET-130/2013	-	-	-	OP353622	-	-	-
D/bovine/Guangdong/LG5/2016	-	-	2016	APR	15	dairy cow	-	China	D/bovine/Guangdong/LG5/2016	-	-	-	KY441112	-	-	-
D/bovine/Italy/344734/2021	-	-	2021	-	-	Bos taurus	-	Italy	D/bovine/Italy/344734/2021	-	-	-	ON166841	-	-	-
D/bovine/Italy/18RS182-12/2017	-	-	2017	DEC	1	Bos taurus	-	Italy	D/bovine/Italy/18RS182-12/2017	-	-	MK965326	MK965267	MK965281	MK965348	MK965302
D/bovine/France/O-EB13D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/O-EB13D/2018	ON038797	ON038817	ON038838	-	ON038859	ON038880	ON038902
D/bovine/Italy/18RS182-10/2017	-	-	2017	OCT	10	Bos taurus	-	Italy	D/bovine/Italy/18RS182-10/2017	-	-	MK965325	MK965266	MK965280	MK965347	MK965301
D/bovine/Guangdong/QQ7/2016	-	-	2016	MAY	20	dairy cow	-	China	D/bovine/Guangdong/QQ7/2016	-	-	-	KY441116	-	-	-
D/bovine/Italy/16RS483-3/2016	-	-	2016	MAR	14	Bos taurus	-	Italy	D/bovine/Italy/16RS483-3/2016	-	-	-	MK965260	-	-	-
D/bovine/France/O-EB32/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/O-EB32/2018	ON038808	ON038828	ON038849	-	ON038870	ON038891	ON038912
D/bovine/France/B38D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/B38D/2018	-	-	-	ON038793	-	-	-
D/bovine/Italy/18RS182-1/2017	-	-	2017	MAR	17	Bos taurus	-	Italy	D/bovine/Italy/18RS182-1/2017	-	-	MK965329	MK965265	MK965284	MK965351	MK965305
D/bovine/Italy/18RS182-17/2018	-	-	2018	JAN	19	Bos taurus	-	Italy	D/bovine/Italy/18RS182-17/2018	MK965379	-	MK965323	MK965271	MK965290	MK965345	MK965311
D/bovine/Guangdong/SQ/2018	-	-	2018	MAR	10	Bos taurus	-	China	D/bovine/Guangdong/SQ/2018	-	-	-	MH315968	-	-	-
D/bovine/France/B37D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/B37D/2018	-	-	-	ON038787	-	-	-
D/bovine/Guangdong/QQ12/2016	-	-	2016	MAY	20	dairy cow	-	China	D/bovine/Guangdong/QQ12/2016	-	-	-	KY441117	-	-	-
D/bovine/France/O-EB20D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/O-EB20D/2018	ON038802	ON038822	ON038843	-	ON038864	ON038887	ON038906
D/bovine/France/O-EB20/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/O-EB20/2018	ON038801	ON038821	ON038842	-	ON038863	ON038884	ON038905
D/bovine/France/B20/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/B20/2018	-	-	-	ON038780	-	-	-
D/bovine/Italy/18984/2020	-	-	2020	-	-	Bos taurus	-	Italy	D/bovine/Italy/18984/2020	-	-	-	ON166837	-	-	-
D/bovine/Guangdong/QQ1/2016	-	-	2016	MAY	20	dairy cow	-	China	D/bovine/Guangdong/QQ1/2016	-	-	-	KY441114	-	-	-
D/bovine/Guangdong/25969/2017	-	-	2017	MAR	23	Bos taurus	-	China	D/bovine/Guangdong/25969/2017	-	-	-	MH315969	-	-	-
D/bovine/France/B24D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/B24D/2018	-	-	-	ON038792	-	-	-
D/bovine/France/B21D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/B21D/2018	-	-	-	ON038785	-	-	-
D/swine/Guangdong/P8/2016	-	-	2016	OCT	8	Sus scrofa	-	China	D/swine/Guangdong/P8/2016	-	-	-	KY441106	-	-	-
D/bovine/Italy/27054-2/2020	-	-	2020	-	-	Bos taurus	-	Italy	D/bovine/Italy/27054-2/2020	-	-	-	ON166836	-	-	-
D/bovine/Fukushima/6/2023	-	-	2023	-	-	Bos taurus	-	Japan	D/bovine/Fukushima/6/2023	-	-	-	LC793500	-	-	-
D/bovine/Mississippi/C00014N/2014	-	-	2014	FEB	7	Bos taurus; 6 to 8 months	nasal swab	USA	D/bovine/Mississippi/C00014N/2014	-	-	-	KT581417	-	-	-
D/bovine/France/O-EA31/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/O-EA31/2018	-	-	-	-	-	-	ON038901
D/bovine/Kirklareli/2202-16/2021	-	-	2021	FEB	22	Bos taurus	nasal swab	Turkey	D/bovine/Kirklareli/2202-16/2021	-	-	-	PP574425	-	-	-
D/bovine/Italy/7368/2022	-	-	2022	-	-	Bos taurus	-	Italy	D/bovine/Italy/7368/2022	-	-	-	ON166842	-	-	-
D/swine/Guangdong/YS2/2016	-	-	2016	NOV	11	Sus scrofa	-	China	D/swine/Guangdong/YS2/2016	-	-	-	KY441105	-	-	-
D/bovine/France/O-EB39D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/O-EB39D/2018	ON038812	ON038833	ON038854	-	ON038875	ON038896	ON038917
D/swine/Guangdong/U16/2016	-	-	2016	SEP	26	Sus scrofa	-	China	D/swine/Guangdong/U16/2016	-	-	-	KY441110	-	-	-
D/bovine/France/O-EB37D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/O-EB37D/2018	ON038810	ON038831	ON038852	-	ON038873	ON038894	ON038915
D/bovine/France/B32/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/B32/2018	-	-	-	ON038779	-	-	-
D/swine/Guangdong/P14/2016	-	-	2016	OCT	8	Sus scrofa	-	China	D/swine/Guangdong/P14/2016	-	-	-	KY441107	-	-	-
D/bovine/Guangdong/NS1/2016	-	-	2016	MAR	16	buffalo	-	China	D/bovine/Guangdong/NS1/2016	-	-	-	KY441118	-	-	-
D/bovine/Guangdong/LG9/2016	-	-	2016	APR	15	dairy cow	-	China	D/bovine/Guangdong/LG9/2016	-	-	-	KY441113	-	-	-
D/bovine/Bursa/ET-138/2021	-	-	2021	-	-	Bos taurus	nasal swab	Turkey	D/bovine/Bursa/ET-138/2021	-	-	-	OP353623	-	-	-
D/bovine/Guangdong/LG2/2016	-	-	2016	APR	15	dairy cow	-	China	D/bovine/Guangdong/LG2/2016	-	-	-	KY441111	-	-	-
D/swine/Guangdong/PS1/2016	-	-	2016	OCT	9	Sus scrofa	-	China	D/swine/Guangdong/PS1/2016	-	-	-	KY441108	-	-	-
D/bovine/Guangdong/SK/2018	-	-	2018	APR	15	Bos taurus	-	China	D/bovine/Guangdong/SK/2018	-	-	-	MH315967	-	-	-
D/bovine/France/O-EB14D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/O-EB14D/2018	ON038798	ON038818	ON038839	-	ON038860	ON038881	-
D/bovine/Guangdong/QQ4/2016	-	-	2016	MAY	20	dairy cow	-	China	D/bovine/Guangdong/QQ4/2016	-	-	-	KY441115	-	-	-
D/bovine/Guangdong/GDQY/2018	-	-	2018	MAR	22	Bos taurus	nasal swab	China	D/bovine/Guangdong/GDQY/2018	-	-	-	MK290418	-	-	-
D/bovine/France/A31/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/A31/2018	-	-	-	ON038775	-	-	-
D/bovine/Guangdong/YC/2017	-	-	2017	MAR	23	Bos taurus	-	China	D/bovine/Guangdong/YC/2017	-	-	-	MH315970	-	-	-
D/caprine/Guangdong/JK1/2016	-	-	2016	JUL	5	goat	-	China	D/caprine/Guangdong/JK1/2016	-	-	-	KY441122	-	-	-
D/bovine/Quebec/3E-H/2018	-	-	2018	-	-	Bos taurus	-	Canada	D/bovine/Quebec/3E-H/2018	MT246285	MT246284	MT246283	MT246282	-	MT246281	MT246280
D/bovine/France/B45D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/B45D/2018	-	-	-	ON038789	-	-	-
D/bovine/France/A13/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/A13/2018	-	-	-	ON038774	-	-	-
D/bovine/France/O-EB31/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/O-EB31/2018	ON038807	ON038827	ON038848	-	ON038869	ON038890	ON038911
D/bovine/Italy/18RS182-3/2017	-	-	2017	MAR	20	Bos taurus	-	Italy	D/bovine/Italy/18RS182-3/2017	MK965376	-	MK965330	MK965273	MK965285	MK965352	MK965306
D/bovine/Italy/56705-6/2020	-	-	2020	-	-	Bos taurus	-	Italy	D/bovine/Italy/56705-6/2020	-	-	-	ON166835	-	-	-
D/bovine/France/B31/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/B31/2018	-	-	-	ON038777	-	-	-
D/bovine/Italy/16RS2581-9/2016	-	-	2016	DEC	29	Bos taurus	-	Italy	D/bovine/Italy/16RS2581-9/2016	MK965382	-	MK965335	MK965259	MK965293	MK965357	MK965314
D/bovine/Turkey/IDV-1/2018	-	-	2018	JAN	13	Bos taurus	nasal swabs from cattle	Turkey	D/bovine/Turkey/IDV-1/2018	-	-	-	MN598644	-	-	-
D/bovine/France/B39D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/B39D/2018	-	-	-	ON038788	-	-	-
D/bovine/Italy/18RS182-8/2017	-	-	2017	AUG	22	Bos taurus	-	Italy	D/bovine/Italy/18RS182-8/2017	-	-	MK965333	MK965276	MK965288	MK965355	MK965309
D/bovine/France/B33/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/B33/2018	-	-	-	ON038790	-	-	-
D/bovine/France/B8D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/B8D/2018	-	-	-	ON038781	-	-	-
D/bovine/France/B13D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/B13D/2018	-	-	-	ON038784	-	-	-
D/bovine/France/O-EB45D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/O-EB45D/2018	ON038813	ON038834	ON038855	-	ON038876	ON038897	ON038918
D/bovine/Italy/27930/2022	-	-	2022	-	-	Bos taurus	-	Italy	D/bovine/Italy/27930/2022	-	-	-	ON166843	-	-	-
D/bovine/France/O-EB23D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/O-EB23D/2018	ON038805	ON038825	ON038846	-	ON038867	ON038888	ON038909
D/bovine/Brazil/5058/2020	-	-	2020	MAY	1	Bos taurus	nasal swab	Brazil	D/bovine/Brazil/5058/2020	-	OK648461	OK648462	OK648460	OK648463	OK648464	-
D/bovine/Shizuoka/T1/2022	-	-	2022	-	-	Bos taurus	-	Japan	D/bovine/Shizuoka/T1/2022	-	-	-	LC793498	-	-	-
D/bovine/France/O-EB8D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/O-EB8D/2018	ON038814	ON038835	ON038856	-	ON038877	ON038898	ON038919
D/bovine/Aomori/6/2016	-	-	2016	-	-	Bos taurus	nasal swab	Japan	D/bovine/Aomori/6/2016	-	-	-	LC790326	-	-	-
D/bovine/France/O-EB18D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/O-EB18D/2018	ON038799	ON038819	ON038840	-	ON038861	ON038882	ON038903
D/bovine/Mississippi/C00030P/2014	-	-	2014	FEB	19	Bos taurus; 6 to 8 months	nasopharyngeal swab	USA	D/bovine/Mississippi/C00030P/2014	-	-	-	KT581418	-	-	-
D/bovine/France/A23D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/A23D/2018	-	-	-	ON038776	-	-	-
D/bovine/Italy/32965/2021	-	-	2021	-	-	Bos taurus	-	Italy	D/bovine/Italy/32965/2021	-	-	-	ON166839	-	-	-
D/bovine/Ireland/007780/2014	-	-	2014	-	-	Bos taurus	-	Ireland	D/bovine/Ireland/007780/2014	-	-	-	KY992090	-	KY992095	-
D/bovine/Guangdong/RS4/2016	-	-	2016	MAR	25	Bos taurus	-	China	D/bovine/Guangdong/RS4/2016	-	-	-	KY441120	-	-	-
D/bovine/France/B18D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/B18D/2018	-	-	-	ON038783	-	-	-
D/bovine/France/O-EC3/2018	-	-	2018	MAR	12	Bos taurus	nasal swab	France	D/bovine/France/O-EC3/2018	-	-	-	-	-	ON038928	ON038931
D/bovine/France/B22D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/B22D/2018	-	-	-	ON038794	-	-	-
D/swine/Guangdong/U1/2016	-	-	2016	SEP	26	Sus scrofa	-	China	D/swine/Guangdong/U1/2016	-	-	-	KY441109	-	-	-
D/bovine/Italy/14429/2018	-	-	2018	-	-	Bos taurus	-	Italy	D/bovine/Italy/14429/2018	MN165231	MN165232	MN165234	-	MN165236	MN165233	MN165235
D/bovine/France/C3/2018	-	-	2018	MAR	12	Bos taurus	nasal swab	France	D/bovine/France/C3/2018	-	-	-	ON038936	-	-	-
D/bovine/Pennsylvania/321/2017	-	-	2017	OCT	16	Bos taurus	nasal swab	USA	D/bovine/Pennsylvania/321/2017	-	-	-	MH785021	-	MH785020	MH785019
D/bovine/Kirklareli/2202-15/2021	-	-	2021	FEB	22	Bos taurus	-	Turkey	D/bovine/Kirklareli/2202-15/2021	-	-	-	PP574424	-	-	-
D/wildbeest/Namibia/W123/2020	-	-	2020	-	-	wildbeest	nasal swab	Namibia	D/wildbeest/Namibia/W123/2020	-	-	-	OK513029	-	-	-
D/bovine/Guangdong/RS1/2016	-	-	2016	MAR	25	Bos taurus	-	China	D/bovine/Guangdong/RS1/2016	-	-	-	KY441119	-	-	-
D/bovine/Aomori/2/2013	-	-	2013	-	-	Bos taurus	nasal swab	Japan	D/bovine/Aomori/2/2013	-	-	-	LC790324	-	-	-
D/bovine/Italy/132550/2021	-	-	2021	-	-	Bos taurus	-	Italy	D/bovine/Italy/132550/2021	-	-	-	ON166840	-	-	-
D/bovine/Ireland/082301/2014	-	-	2014	-	-	Bos taurus	-	Ireland	D/bovine/Ireland/082301/2014	-	-	-	KY992091	-	KY992096	-
D/bovine/France/B34/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/B34/2018	-	-	-	ON038791	-	-	-
D/bovine/France/O-EB33/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/O-EB33/2018	ON038809	ON038829	ON038850	-	ON038871	ON038892	ON038913
D/bovine/France/O-EB22D/2018	-	-	2018	FEB	28	Bos taurus	nasal swab	France	D/bovine/France/O-EB22D/2018	ON038804	ON038824	ON038845	-	ON038866	ON038886	ON038908
D/bovine/Italy/18RS182-6/2017	-	-	2017	APR	12	Bos taurus	-	Italy	D/bovine/Italy/18RS182-6/2017	MK965377	-	MK965332	MK965275	MK965287	MK965354	MK965308
D/bovine/Kirklareli/1803-8/2021	-	-	2021	MAR	18	Bos taurus	nasal swab	Turkey	D/bovine/Kirklareli/1803-8/2021	-	-	-	PP574423	-	-	-
