sequenceID	full_name	isolate	gb_segment	rec_segment	rec_subtype	gb_subtype	gb_year	gb_month	gb_day	gb_source	gb_lab_host	pubmed_id	length	gb_host	gb_country	gb_place_sampled	m49_country
AB034157	Influenza C virus	C/Sapporo/71	-	7	-	-	-	-	-	-	-	10900030	881	-	-	-	-
AB034158	Influenza C virus	C/Aomori/74	-	7	-	-	-	-	-	-	-	10900030	881	-	-	-	-
AB034159	Influenza C virus	C/Kanagawa/1/76	-	7	-	-	-	-	-	-	-	10900030	881	-	-	-	-
AB034160	Influenza C virus	C/Miyagi/77	-	7	-	-	-	-	-	-	-	10900030	881	-	-	-	-
AB034161	Influenza C virus	C/Kyoto/1/79	-	7	-	-	-	-	-	-	-	10900030	881	-	-	-	-
AB034162	Influenza C virus	C/Aichi/1/81	-	7	-	-	-	-	-	-	-	10900030	881	-	-	-	-
AB034163	Influenza C virus	C/Yamagata/26/81	-	7	-	-	-	-	-	-	-	10900030	881	-	-	-	-
AB034164	Influenza C virus	C/Pig/Beijing/115/81	-	7	-	-	-	-	-	-	-	10900030	881	-	-	-	-
AB034165	Influenza C virus	C/Nara/82	-	7	-	-	-	-	-	-	-	10900030	881	-	-	-	-
AB034166	Influenza C virus	C/Kyoto/41/82	-	7	-	-	-	-	-	-	-	10900030	881	-	-	-	-
AB034167	Influenza C virus	C/Hyogo/1/83	-	7	-	-	-	-	-	-	-	10900030	881	-	-	-	-
AB034168	Influenza C virus	C/Nara/1/85	-	7	-	-	-	-	-	-	-	10900030	881	-	-	-	-
AB034169	Influenza C virus	C/Nara/2/85	-	7	-	-	-	-	-	-	-	10900030	881	-	-	-	-
AB034170	Influenza C virus	C/Yamagata/1/86	-	7	-	-	-	-	-	-	-	10900030	881	-	-	-	-
AB034171	Influenza C virus	C/Nara/1/86	-	7	-	-	-	-	-	-	-	10900030	881	-	-	-	-
AB034172	Influenza C virus	C/Yamagata/7/88	-	7	-	-	-	-	-	-	-	10900030	881	-	-	-	-
AB034173	Influenza C virus	C/Yamagata/9/88	-	7	-	-	-	-	-	-	-	10900030	881	-	-	-	-
AB034174	Influenza C virus	C/Yamagata/5/89	-	7	-	-	-	-	-	-	-	10900030	881	-	-	-	-
AB034175	Influenza C virus	C/Yamagata/10/89	-	7	-	-	-	-	-	-	-	10900030	879	-	-	-	-
AB034176	Influenza C virus	C/Yamagata/1/90	-	7	-	-	-	-	-	-	-	10900030	881	-	-	-	-
AB034177	Influenza C virus	C/Miyagi/1/90	-	7	-	-	-	-	-	-	-	10900030	882	-	-	-	-
AB034178	Influenza C virus	C/Miyagi/5/91	-	7	-	-	-	-	-	-	-	10900030	881	-	-	-	-
AB034179	Influenza C virus	C/Miyagi/7/91	-	7	-	-	-	-	-	-	-	10900030	881	-	-	-	-
AB034180	Influenza C virus	C/Miyagi/9/91	-	7	-	-	-	-	-	-	-	10900030	879	-	-	-	-
AB034181	Influenza C virus	C/Yamagata/5/92	-	7	-	-	-	-	-	-	-	10900030	881	-	-	-	-
AB035357	Influenza C virus	C/Paris/1/67	-	4	AL_ICV_SEG4_Taylor	-	-	-	-	-	-	10811928	1987	-	-	-	-
AB035358	Influenza C virus	C/Johannesburg/4/67	-	4	-	-	-	-	-	-	-	10811928	1962	-	-	-	-
AB035359	Influenza C virus	C/Georgia/1/69	-	4	-	-	-	-	-	-	-	10811928	1952	-	-	-	-
AB035360	Influenza C virus	C/Kansas/1/79	-	4	AL_ICV_SEG4_Aichi	-	-	-	-	-	-	10811928	1986	-	-	-	-
AB035361	Influenza C virus	C/Kansas/2/79	-	4	AL_ICV_SEG4_Aichi	-	-	-	-	-	-	10811928	1986	-	-	-	-
AB035362	Influenza C virus	C/New Jersey/1/76	-	4	AL_ICV_SEG4_Yamagata	-	-	-	-	-	-	10811928	1962	-	-	-	-
AB035363	Influenza C virus	C/Greece/1/79	-	4	AL_ICV_SEG4_Mississippi	-	-	-	-	-	-	10811928	1965	-	-	-	-
AB035364	Influenza C virus	C/Sao Paulo/378/82	-	4	-	-	-	-	-	-	-	10811928	1993	-	-	-	-
AB035365	Influenza C virus	C/Yamagata/1/93	-	4	-	-	-	-	-	-	-	10811928	1970	-	-	-	-
AB035366	Influenza C virus	C/Sao Paulo/378/82	-	7	-	-	-	-	-	-	-	10811928	869	-	-	-	-
AB035367	Influenza C virus	C/Yamagata/1/93	-	7	-	-	-	-	-	-	-	10811928	883	-	-	-	-
AB035368	Influenza C virus	C/Sao Paulo/378/82	-	1	-	-	-	-	-	-	-	10811928	469	-	-	-	-
AB035369	Influenza C virus	C/Yamagata/1/93	-	1	-	-	-	-	-	-	-	10811928	469	-	-	-	-
AB035370	Influenza C virus	C/Sao Paulo/378/82	-	3	-	-	-	-	-	-	-	10811928	372	-	-	-	-
AB035371	Influenza C virus	C/Yamagata/1/93	-	3	-	-	-	-	-	-	-	10811928	372	-	-	-	-
AB035372	Influenza C virus	C/Sao Paulo/378/82	-	6	-	-	-	-	-	-	-	10811928	1124	-	-	-	-
AB035373	Influenza C virus	C/Yamagata/1/93	-	6	-	-	-	-	-	-	-	10811928	1124	-	-	-	-
AB035374	Influenza C virus	C/Sao Paulo/378/82	-	2	-	-	-	-	-	-	-	10811928	376	-	-	-	-
AB035375	Influenza C virus	C/Yamagata/1/93	-	2	-	-	-	-	-	-	-	10811928	376	-	-	-	-
AB035376	Influenza C virus	C/Sao Paulo/378/82	-	5	-	-	-	-	-	-	-	10811928	600	-	-	-	-
AB035377	Influenza C virus	C/Yamagata/1/93	-	5	-	-	-	-	-	-	-	10811928	600	-	-	-	-
AB064397	Influenza C virus (C/Yamagata/3/96)	C/Yamagata/3/96	-	4	AL_ICV_SEG4_Yamagata	-	-	-	-	-	-	11825952	1926	-	-	-	-
AB064398	Influenza C virus (C/Yamagata/8/96)	C/Yamagata/8/96	-	4	AL_ICV_SEG4_Yamagata	-	-	-	-	-	-	11825952	1926	-	-	-	-
AB064399	Influenza C virus (C/Yamagata/9/96)	C/Yamagata/9/96	-	4	AL_ICV_SEG4_Yamagata	-	-	-	-	-	-	11825952	1926	-	-	-	-
AB064400	Influenza C virus (C/Yamagata/20/96)	C/Yamagata/20/96	-	4	AL_ICV_SEG4_Yamagata	-	-	-	-	-	-	11825952	1926	-	-	-	-
AB064401	Influenza C virus (C/Yamagata/2/98)	C/Yamagata/2/98	-	4	AL_ICV_SEG4_Yamagata	-	-	-	-	-	-	11825952	1926	-	-	-	-
AB064402	Influenza C virus (C/Yamagata/6/98)	C/Yamagata/6/98	-	4	AL_ICV_SEG4_Yamagata	-	-	-	-	-	-	11825952	1926	-	-	-	-
AB064403	Influenza C virus (C/Yamagata/13/98)	C/Yamagata/13/98	-	4	AL_ICV_SEG4_Yamagata	-	-	-	-	-	-	11825952	1926	-	-	-	-
AB064404	Influenza C virus (C/Miyagi/4/96)	C/Miyagi/4/96	-	4	AL_ICV_SEG4_Mississippi	-	-	-	-	-	-	11825952	1923	-	-	-	-
AB064405	Influenza C virus (C/Miyagi/7/96)	C/Miyagi/7/96	-	4	AL_ICV_SEG4_Mississippi	-	-	-	-	-	-	11825952	1923	-	-	-	-
AB064406	Influenza C virus (C/Miyagi/8/96)	C/Miyagi/8/96	-	4	AL_ICV_SEG4_Mississippi	-	-	-	-	-	-	11825952	1923	-	-	-	-
AB064407	Influenza C virus (C/Miyagi/1/93)	C/Miyagi/1/93	-	4	AL_ICV_SEG4_Mississippi	-	-	-	-	-	-	11825952	1923	-	-	-	-
AB064408	Influenza C virus (C/Miyagi/3/93)	C/Miyagi/3/93	-	4	AL_ICV_SEG4_Mississippi	-	-	-	-	-	-	11825952	1923	-	-	-	-
AB064409	Influenza C virus (C/Miyagi/4/93)	C/Miyagi/4/93	-	4	AL_ICV_SEG4_Mississippi	-	-	-	-	-	-	11825952	1923	-	-	-	-
AB064410	Influenza C virus (C/Miyagi/6/93)	C/Miyagi/6/93	-	4	AL_ICV_SEG4_Mississippi	-	-	-	-	-	-	11825952	1923	-	-	-	-
AB064411	Influenza C virus (C/Miyagi/7/93)	C/Miyagi/7/93	-	4	AL_ICV_SEG4_Mississippi	-	-	-	-	-	-	11825952	1923	-	-	-	-
AB064412	Influenza C virus (C/Miyagi/1/94)	C/Miyagi/1/94	-	4	AL_ICV_SEG4_Mississippi	-	-	-	-	-	-	11825952	1923	-	-	-	-
AB064413	Influenza C virus (C/Miyagi/2/94)	C/Miyagi/2/94	-	4	AL_ICV_SEG4_Mississippi	-	-	-	-	-	-	11825952	1923	-	-	-	-
AB064414	Influenza C virus (C/Miyagi/3/94)	C/Miyagi/3/94	-	4	AL_ICV_SEG4_Mississippi	-	-	-	-	-	-	11825952	1923	-	-	-	-
AB064415	Influenza C virus (C/Kanagawa/1/76)	C/Kanagawa/1/76	-	1	-	-	-	-	-	-	-	11825952	469	-	-	-	-
AB064416	Influenza C virus (C/Miyagi/77)	C/Miyagi/77	-	1	-	-	-	-	-	-	-	11825952	469	-	-	-	-
AB064417	Influenza C virus (C/Yamagata/3/96)	C/Yamagata/3/96	-	1	-	-	-	-	-	-	-	11825952	469	-	-	-	-
AB064418	Influenza C virus (C/Yamagata/8/96)	C/Yamagata/8/96	-	1	-	-	-	-	-	-	-	11825952	469	-	-	-	-
AB064419	Influenza C virus (C/Yamagata/9/96)	C/Yamagata/9/96	-	1	-	-	-	-	-	-	-	11825952	469	-	-	-	-
AB064420	Influenza C virus (C/Yamagata/20/96)	C/Yamagata/20/96	-	1	-	-	-	-	-	-	-	11825952	469	-	-	-	-
AB064421	Influenza C virus (C/Yamagata/2/98)	C/Yamagata/2/98	-	1	-	-	-	-	-	-	-	11825952	469	-	-	-	-
AB064422	Influenza C virus (C/Yamagata/6/98)	C/Yamagata/6/98	-	1	-	-	-	-	-	-	-	11825952	469	-	-	-	-
AB064423	Influenza C virus (C/Kanagawa/1/76)	C/Kanagawa/1/76	-	2	-	-	-	-	-	-	-	11825952	376	-	-	-	-
AB064424	Influenza C virus (C/Miyagi/77)	C/Miyagi/77	-	2	-	-	-	-	-	-	-	11825952	376	-	-	-	-
AB064425	Influenza C virus (C/Yamagata/3/96)	C/Yamagata/3/96	-	2	-	-	-	-	-	-	-	11825952	376	-	-	-	-
AB064426	Influenza C virus (C/Yamagata/8/96)	C/Yamagata/8/96	-	2	-	-	-	-	-	-	-	11825952	376	-	-	-	-
AB064427	Influenza C virus (C/Yamagata/9/96)	C/Yamagata/9/96	-	2	-	-	-	-	-	-	-	11825952	376	-	-	-	-
AB064428	Influenza C virus (C/Yamagata/20/96)	C/Yamagata/20/96	-	2	-	-	-	-	-	-	-	11825952	376	-	-	-	-
AB064429	Influenza C virus (C/Yamagata/2/98)	C/Yamagata/2/98	-	2	-	-	-	-	-	-	-	11825952	376	-	-	-	-
AB064430	Influenza C virus (C/Yamagata/6/98)	C/Yamagata/6/98	-	2	-	-	-	-	-	-	-	11825952	376	-	-	-	-
AB064431	Influenza C virus (C/Yamagata/13/98)	C/Yamagata/13/98	-	2	-	-	-	-	-	-	-	11825952	376	-	-	-	-
AB064432	Influenza C virus (C/Yamagata/3/96)	C/Yamagata/3/96	-	6	-	-	-	-	-	-	-	11825952	1122	-	-	-	-
AB064433	Influenza C virus (C/Yamagata/8/96)	C/Yamagata/8/96	-	6	-	-	-	-	-	-	-	11825952	1122	-	-	-	-
AB064434	Influenza C virus (C/Yamagata/9/96)	C/Yamagata/9/96	-	6	-	-	-	-	-	-	-	11825952	1122	-	-	-	-
AB064435	Influenza C virus (C/Yamagata/20/96)	C/Yamagata/20/96	-	6	-	-	-	-	-	-	-	11825952	1122	-	-	-	-
AB064436	Influenza C virus (C/Yamagata/2/98)	C/Yamagata/2/98	-	6	-	-	-	-	-	-	-	11825952	1122	-	-	-	-
AB064437	Influenza C virus (C/Yamagata/6/98)	C/Yamagata/6/98	-	6	-	-	-	-	-	-	-	11825952	1122	-	-	-	-
AB064438	Influenza C virus (C/Yamagata/13/98)	C/Yamagata/13/98	-	6	-	-	-	-	-	-	-	11825952	1122	-	-	-	-
AB064439	Influenza C virus (C/Yamagata/3/96)	C/Yamagata/3/96	-	7	-	-	-	-	-	-	-	11825952	862	-	-	-	-
AB064440	Influenza C virus (C/Yamagata/8/96)	C/Yamagata/8/96	-	7	-	-	-	-	-	-	-	11825952	862	-	-	-	-
AB064441	Influenza C virus (C/Yamagata/9/96)	C/Yamagata/9/96	-	7	-	-	-	-	-	-	-	11825952	862	-	-	-	-
AB064442	Influenza C virus (C/Yamagata/20/96)	C/Yamagata/20/96	-	7	-	-	-	-	-	-	-	11825952	862	-	-	-	-
AB064443	Influenza C virus (C/Yamagata/2/98)	C/Yamagata/2/98	-	7	-	-	-	-	-	-	-	11825952	862	-	-	-	-
AB064444	Influenza C virus (C/Yamagata/6/98)	C/Yamagata/6/98	-	7	-	-	-	-	-	-	-	11825952	862	-	-	-	-
AB064445	Influenza C virus (C/Yamagata/13/98)	C/Yamagata/13/98	-	7	-	-	-	-	-	-	-	11825952	862	-	-	-	-
AB064446	Influenza C virus (C/Kanagawa/1/76)	C/Kanagawa/1/76	-	3	-	-	-	-	-	-	-	11825952	372	-	-	-	-
AB064447	Influenza C virus (C/Miyagi/77)	C/Miyagi/77	-	3	-	-	-	-	-	-	-	11825952	372	-	-	-	-
AB064448	Influenza C virus (C/Yamagata/3/96)	C/Yamagata/3/96	-	3	-	-	-	-	-	-	-	11825952	372	-	-	-	-
AB064449	Influenza C virus (C/Yamagata/8/96)	C/Yamagata/8/96	-	3	-	-	-	-	-	-	-	11825952	372	-	-	-	-
AB064450	Influenza C virus (C/Yamagata/9/96)	C/Yamagata/9/96	-	3	-	-	-	-	-	-	-	11825952	372	-	-	-	-
AB064451	Influenza C virus (C/Yamagata/20/96)	C/Yamagata/20/96	-	3	-	-	-	-	-	-	-	11825952	372	-	-	-	-
AB064452	Influenza C virus (C/Yamagata/2/98)	C/Yamagata/2/98	-	3	-	-	-	-	-	-	-	11825952	372	-	-	-	-
AB064453	Influenza C virus (C/Yamagata/6/98)	C/Yamagata/6/98	-	3	-	-	-	-	-	-	-	11825952	372	-	-	-	-
AB064454	Influenza C virus (C/Yamagata/13/98)	C/Yamagata/13/98	-	3	-	-	-	-	-	-	-	11825952	372	-	-	-	-
AB064455	Influenza C virus (C/Miyagi/1/93)	C/Miyagi/1/93	-	3	-	-	-	-	-	-	-	11825952	372	-	-	-	-
AB064456	Influenza C virus (C/Miyagi/2/93)	C/Miyagi/2/93	-	3	-	-	-	-	-	-	-	11825952	372	-	-	-	-
AB064457	Influenza C virus (C/Miyagi/3/93)	C/Miyagi/3/93	-	3	-	-	-	-	-	-	-	11825952	372	-	-	-	-
AB064458	Influenza C virus (C/Miyagi/4/93)	C/Miyagi/4/93	-	3	-	-	-	-	-	-	-	11825952	372	-	-	-	-
AB064459	Influenza C virus (C/Miyagi/6/93)	C/Miyagi/6/93	-	3	-	-	-	-	-	-	-	11825952	372	-	-	-	-
AB064460	Influenza C virus (C/Miyagi/7/93)	C/Miyagi/7/93	-	3	-	-	-	-	-	-	-	11825952	372	-	-	-	-
AB064461	Influenza C virus (C/Miyagi/1/94)	C/Miyagi/1/94	-	3	-	-	-	-	-	-	-	11825952	372	-	-	-	-
AB064462	Influenza C virus (C/Miyagi/2/94)	C/Miyagi/2/94	-	3	-	-	-	-	-	-	-	11825952	372	-	-	-	-
AB064463	Influenza C virus (C/Miyagi/3/94)	C/Miyagi/3/94	-	3	-	-	-	-	-	-	-	11825952	372	-	-	-	-
AB064464	Influenza C virus (C/Miyagi/4/96)	C/Miyagi/4/96	-	3	-	-	-	-	-	-	-	11825952	372	-	-	-	-
AB064465	Influenza C virus (C/Miyagi/7/96)	C/Miyagi/7/96	-	3	-	-	-	-	-	-	-	11825952	372	-	-	-	-
AB064466	Influenza C virus (C/Miyagi/8/96)	C/Miyagi/8/96	-	3	-	-	-	-	-	-	-	11825952	372	-	-	-	-
AB064467	Influenza C virus (C/Kanagawa/1/76)	C/Kanagawa/1/76	-	5	-	-	-	-	-	-	-	11825952	600	-	-	-	-
AB064468	Influenza C virus (C/Miyagi/77)	C/Miyagi/77	-	5	-	-	-	-	-	-	-	11825952	600	-	-	-	-
AB064469	Influenza C virus (C/Yamagata/3/96)	C/Yamagata/3/96	-	5	-	-	-	-	-	-	-	11825952	600	-	-	-	-
AB064470	Influenza C virus (C/Yamagata/8/96)	C/Yamagata/8/96	-	5	-	-	-	-	-	-	-	11825952	600	-	-	-	-
AB064471	Influenza C virus (C/Yamagata/9/96)	C/Yamagata/9/96	-	5	-	-	-	-	-	-	-	11825952	600	-	-	-	-
AB064472	Influenza C virus (C/Yamagata/20/96)	C/Yamagata/20/96	-	5	-	-	-	-	-	-	-	11825952	600	-	-	-	-
AB064473	Influenza C virus (C/Yamagata/2/98)	C/Yamagata/2/98	-	5	-	-	-	-	-	-	-	11825952	600	-	-	-	-
AB064474	Influenza C virus (C/Yamagata/6/98)	C/Yamagata/6/98	-	5	-	-	-	-	-	-	-	11825952	600	-	-	-	-
AB064475	Influenza C virus (C/Yamagata/13/98)	C/Yamagata/13/98	-	5	-	-	-	-	-	-	-	11825952	600	-	-	-	-
AB064476	Influenza C virus (C/Miyagi/1/93)	C/Miyagi/1/93	-	5	-	-	-	-	-	-	-	11825952	600	-	-	-	-
AB064477	Influenza C virus (C/Miyagi/2/93)	C/Miyagi/2/93	-	5	-	-	-	-	-	-	-	11825952	600	-	-	-	-
AB064478	Influenza C virus (C/Miyagi/3/93)	C/Miyagi/3/93	-	5	-	-	-	-	-	-	-	11825952	600	-	-	-	-
AB064479	Influenza C virus (C/Miyagi/4/93)	C/Miyagi/4/93	-	5	-	-	-	-	-	-	-	11825952	600	-	-	-	-
AB064480	Influenza C virus (C/Miyagi/6/93)	C/Miyagi/6/93	-	5	-	-	-	-	-	-	-	11825952	600	-	-	-	-
AB064481	Influenza C virus (C/Miyagi/7/93)	C/Miyagi/7/93	-	5	-	-	-	-	-	-	-	11825952	600	-	-	-	-
AB064482	Influenza C virus (C/Miyagi/1/94)	C/Miyagi/1/94	-	5	-	-	-	-	-	-	-	11825952	600	-	-	-	-
AB064483	Influenza C virus (C/Miyagi/2/94)	C/Miyagi/2/94	-	5	-	-	-	-	-	-	-	11825952	600	-	-	-	-
AB064484	Influenza C virus (C/Miyagi/3/94)	C/Miyagi/3/94	-	5	-	-	-	-	-	-	-	11825952	600	-	-	-	-
AB064485	Influenza C virus (C/Miyagi/4/96)	C/Miyagi/4/96	-	5	-	-	-	-	-	-	-	11825952	600	-	-	-	-
AB064486	Influenza C virus (C/Miyagi/7/96)	C/Miyagi/7/96	-	5	-	-	-	-	-	-	-	11825952	600	-	-	-	-
AB064487	Influenza C virus (C/Miyagi/8/96)	C/Miyagi/8/96	-	5	-	-	-	-	-	-	-	11825952	600	-	-	-	-
AB064488	Influenza C virus (C/Yamagata/13/98)	C/Yamagata/13/98	-	1	-	-	-	-	-	-	-	11825952	469	-	-	-	-
AB086656	Influenza C virus (C/Shizuoka/79)	C/Shizuoka/79	-	4	AL_ICV_SEG4_Yamagata	-	-	-	-	-	-	12502803	1926	-	-	-	-
AB086657	Influenza C virus (C/Yamagata/1/86)	C/Yamagata/1/86	-	4	AL_ICV_SEG4_Aichi	-	-	-	-	-	-	12502803	1926	-	-	-	-
AB086658	Influenza C virus (C/Miyagi/1/90)	C/Miyagi/1/90	-	4	AL_ICV_SEG4_Aichi	-	-	-	-	-	-	12502803	1926	-	-	-	-
AB086659	Influenza C virus (C/Miyagi/5/91)	C/Miyagi/5/91	-	4	AL_ICV_SEG4_Aichi	-	-	-	-	-	-	12502803	1926	-	-	-	-
AB086660	Influenza C virus (C/Miyagi/7/91)	C/Miyagi/7/91	-	4	AL_ICV_SEG4_Aichi	-	-	-	-	-	-	12502803	1926	-	-	-	-
AB086661	Influenza C virus (C/Miyagi/5/93)	C/Miyagi/5/93	-	4	-	-	-	-	-	-	-	12502803	1926	-	-	-	-
AB086662	Influenza C virus (C/Miyagi/2/96)	C/Miyagi/2/96	-	4	AL_ICV_SEG4_Yamagata	-	-	-	-	-	-	12502803	1926	-	-	-	-
AB086663	Influenza C virus (C/Miyagi/6/96)	C/Miyagi/6/96	-	4	AL_ICV_SEG4_Yamagata	-	-	-	-	-	-	12502803	1926	-	-	-	-
AB086664	Influenza C virus (C/Miyagi/9/96)	C/Miyagi/9/96	-	4	AL_ICV_SEG4_Kanagawa	-	-	-	-	-	-	12502803	1926	-	-	-	-
AB086665	Influenza C virus (C/Miyagi/1/97)	C/Miyagi/1/97	-	4	AL_ICV_SEG4_Yamagata	-	-	-	-	-	-	12502803	1926	-	-	-	-
AB086666	Influenza C virus (C/Miyagi/2/98)	C/Miyagi/2/98	-	4	AL_ICV_SEG4_Yamagata	-	-	-	-	-	-	12502803	1926	-	-	-	-
AB086667	Influenza C virus (C/Miyagi/4/98)	C/Miyagi/4/98	-	4	AL_ICV_SEG4_Yamagata	-	-	-	-	-	-	12502803	1926	-	-	-	-
AB086668	Influenza C virus (C/Miyagi/1/99)	C/Miyagi/1/99	-	4	AL_ICV_SEG4_Yamagata	-	-	-	-	-	-	12502803	1926	-	-	-	-
AB086669	Influenza C virus (C/Miyagi/3/99)	C/Miyagi/3/99	-	4	AL_ICV_SEG4_Yamagata	-	-	-	-	-	-	12502803	1926	-	-	-	-
AB086670	Influenza C virus (C/Sapporo/71)	C/Sapporo/71	-	1	-	-	-	-	-	-	-	12502803	469	-	-	-	-
AB086671	Influenza C virus (C/Aomori/74)	C/Aomori/74	-	1	-	-	-	-	-	-	-	12502803	469	-	-	-	-
AB086672	Influenza C virus (C/Kyoto/1/79)	C/Kyoto/1/79	-	1	-	-	-	-	-	-	-	12502803	469	-	-	-	-
AB086673	Influenza C virus (C/Shizuoka/79)	C/Shizuoka/79	-	1	-	-	-	-	-	-	-	12502803	469	-	-	-	-
AB086674	Influenza C virus (C/Yamagata/1/86)	C/Yamagata/1/86	-	1	-	-	-	-	-	-	-	12502803	469	-	-	-	-
AB086675	Influenza C virus (C/Miyagi/1/90)	C/Miyagi/1/90	-	1	-	-	-	-	-	-	-	12502803	469	-	-	-	-
AB086676	Influenza C virus (C/Miyagi/5/91)	C/Miyagi/5/91	-	1	-	-	-	-	-	-	-	12502803	469	-	-	-	-
AB086677	Influenza C virus (C/Miyagi/7/91)	C/Miyagi/7/91	-	1	-	-	-	-	-	-	-	12502803	469	-	-	-	-
AB086678	Influenza C virus (C/Miyagi/1/93)	C/Miyagi/1/93	-	1	-	-	-	-	-	-	-	12502803	469	-	-	-	-
AB086679	Influenza C virus (C/Miyagi/2/93)	C/Miyagi/2/93	-	1	-	-	-	-	-	-	-	12502803	469	-	-	-	-
AB086680	Influenza C virus (C/Miyagi/3/93)	C/Miyagi/3/93	-	1	-	-	-	-	-	-	-	12502803	469	-	-	-	-
AB086681	Influenza C virus (C/Miyagi/4/93)	C/Miyagi/4/93	-	1	-	-	-	-	-	-	-	12502803	469	-	-	-	-
AB086682	Influenza C virus (C/Miyagi/5/93)	C/Miyagi/5/93	-	1	-	-	-	-	-	-	-	12502803	469	-	-	-	-
AB086683	Influenza C virus (C/Miyagi/6/93)	C/Miyagi/6/93	-	1	-	-	-	-	-	-	-	12502803	469	-	-	-	-
AB086684	Influenza C virus (C/Miyagi/7/93)	C/Miyagi/7/93	-	1	-	-	-	-	-	-	-	12502803	469	-	-	-	-
AB086685	Influenza C virus (C/Miyagi/1/94)	C/Miyagi/1/94	-	1	-	-	-	-	-	-	-	12502803	469	-	-	-	-
AB086686	Influenza C virus (C/Miyagi/2/94)	C/Miyagi/2/94	-	1	-	-	-	-	-	-	-	12502803	469	-	-	-	-
AB086687	Influenza C virus (C/Miyagi/3/94)	C/Miyagi/3/94	-	1	-	-	-	-	-	-	-	12502803	469	-	-	-	-
AB086688	Influenza C virus (C/Miyagi/2/96)	C/Miyagi/2/96	-	1	-	-	-	-	-	-	-	12502803	469	-	-	-	-
AB086689	Influenza C virus (C/Miyagi/4/96)	C/Miyagi/4/96	-	1	-	-	-	-	-	-	-	12502803	469	-	-	-	-
AB086690	Influenza C virus (C/Miyagi/6/96)	C/Miyagi/6/96	-	1	-	-	-	-	-	-	-	12502803	469	-	-	-	-
AB086691	Influenza C virus (C/Miyagi/7/96)	C/Miyagi/7/96	-	1	-	-	-	-	-	-	-	12502803	469	-	-	-	-
AB086692	Influenza C virus (C/Miyagi/8/96)	C/Miyagi/8/96	-	1	-	-	-	-	-	-	-	12502803	469	-	-	-	-
