isolate	gb_serotype	rec_serotype	mlca_serotype	genome_lineage	iso_year	iso_month	iso_day	origin_type	iso_host	sample_type	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession
C/Yamagata/1/93	-	-	-	-|-|-|-|-|-|-	1993	-	-	host	Homo sapiens	-	Japan	-	LC123314	LC123416	LC123518	AB035365	LC123750	AB035373	AB035367
C/Biliran/3/2013	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2013	-	-	host	Homo sapiens	-	Philippines	-	AB979715	AB980273	AB981336	AB978562	AB981433	AB982142	AB985627
C/Georgia/1/69	-	-	-	-|-|-|-|-|-|-	1969	-	-	host	Homo sapiens	-	USA	-	LC123288	LC123390	LC123492	AB035359	LC123726	LC123818	LC124981
C/Miyagi/2/2000	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	-	-	-	host	-	-	-	-	AB099437	AB099462	AB099536	AB099416	AB099561	AB099585	AB099609
C/Hiroshima/290/99	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	Japan	-	AB099444	AB099469	AB099543	AB093480	AB099568	AB099592	AB099616
C/Yamagata/14/2006	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2006	-	-	host	Homo sapiens	-	Japan	-	LC123352	LC123454	LC123556	LC013262	LC123784	LC123850	LC125014
C/Miyagi/1/2018	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2018	-	-	host	Homo sapiens	-	Japan	-	LC739915	LC739928	LC739941	LC739899	LC739954	LC739967	LC739980
C/Yamagata/30/2014	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2014	-	-	host	Homo sapiens	-	Japan	-	LC123376	LC123478	LC123580	LC013258	LC123806	LC123874	LC125038
C/Yamagata/2/98	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB064421	AB064429	AB064452	AB064401	AB064473	AB064436	AB064443
C/Miyagi/2/93	-	-	Mississippi	-|-|-|Mississippi|-|-|-	-	-	-	host	-	-	-	-	AB086679	AB086707	AB064456	D88427	AB064477	AB086768	AB086791
C/Miyagi/6/96	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB086690	AB086718	AB086737	AB086663	AB086754	AB086779	AB086802
C/Miyagi/5/91	-	-	Aichi	-|-|-|Aichi|-|-|-	1991	-	-	host	Homo sapiens	-	Japan	-	LC123311	LC123413	LC123515	AB086659	LC123747	AB086764	AB034178
C/Yamagata/1/86	-	-	Aichi	-|-|-|Aichi|-|-|-	-	-	-	host	Homo sapiens	-	-	-	AB086674	AB086702	AB086731	AB086657	AB086748	AB000611	AB034170
C/Miyagi/1/2011	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2011	-	-	host	Homo sapiens	-	Japan	-	LC739908	LC739921	LC739934	LC739875	LC739947	LC739960	LC739973
C/Yamagata/14/2004	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	2004	-	-	host	Homo sapiens	-	Japan	-	LC123333	LC123435	LC123537	AB899779	LC123767	LC123831	LC124995
C/Saitama/2/2000	-	-	Mississippi	-|-|-|Mississippi|-|-|-	-	-	-	host	-	-	-	-	AB099442	AB099467	AB099541	AB099421	AB099566	AB099590	AB099614
C/Sao Paulo/378/82	-	-	-	-|-|-|-|-|-|-	1982	-	-	host	Homo sapiens	-	Brazil	-	LC123305	LC123407	LC123509	AB035364	LC123741	AB035372	AB035366
C/Yamagata/20/96	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB064420	AB064428	AB064451	AB064400	AB064472	AB064435	AB064442
C/Miyagi/2/98	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB086695	AB086723	AB086740	AB086666	AB086757	AB086784	AB086807
C/Miyagi/1/2020	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2020	-	-	host	Homo sapiens	-	Japan	-	LC739919	LC739932	LC739945	LC739906	LC739958	LC739971	LC739984
C/Yamagata/2/2000	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB099433	AB099458	AB099532	AB099412	AB099557	AB099581	AB099605
C/Hiroshima/250/2000	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	-	-	-	host	-	-	Japan	-	AB099450	AB099475	AB099549	AB093477	AB099574	AB099598	AB099622
C/Yamagata/13/98	-	-	Yamagata	-|-|-|Yamagata|-|-|-	1998	-	-	host	Homo sapiens	-	Japan	-	LC123321	LC123423	LC123525	AB064403	LC123757	AB064438	AB064445
C/Yamagata/6/98	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB064422	AB064430	AB064453	AB064402	AB064474	AB064437	AB064444
C/Yamagata/3/96	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB064417	AB064425	AB064448	AB064397	AB064469	AB064432	AB064439
C/Yamagata/18/2008	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2008	-	-	host	Homo sapiens	-	Japan	-	LC123359	LC123461	LC123563	LC013263	LC123790	LC123857	LC125021
C/Miyagi/1/97	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB086694	AB086722	AB086739	AB086665	AB086756	AB086783	AB086806
C/Kyoto/1/79	-	-	Yamagata	-|-|-|Yamagata|-|-|-	1979	-	-	host	Homo sapiens	-	Japan	-	LC123297	LC123399	LC123501	D63472	LC123733	AB000609	AB034161
C/Sendai/TU3/2008	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2008	-	-	host	Homo sapiens	-	Japan	-	AB979709	AB980267	AB981327	AB978555	AB981427	AB982136	AB985621
C/Yamagata/9/88	-	-	Aichi	-|-|-|Aichi|-|-|-	1988	-	-	host	Homo sapiens	-	Japan	-	LC123309	LC123411	LC123513	D28969	LC123745	AB000728	AB034173
C/Yamagata/33/2014	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2014	-	-	host	Homo sapiens	-	Japan	-	LC123378	LC123480	LC123582	LC013260	LC123808	LC123876	LC125040
C/Sapporo/71	-	-	Yamagata	-|-|-|Yamagata|-|-|-	1971	-	-	host	Homo sapiens	-	Japan	-	LC123289	LC123391	LC123493	D63468	LC123727	AB000605	AB034157
C/Leyte/3/2013	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2013	-	-	host	Homo sapiens	-	Philippines	-	AB979718	AB980276	AB981333	AB978565	AB981436	AB982145	AB985630
C/Yamagata/5/92	-	-	Mississippi	-|-|-|Mississippi|-|-|-	1992	-	-	host	Homo sapiens	-	Japan	-	LC123313	LC123415	LC123517	D78433	LC123749	LC123822	AB034181
C/Miyagi/8/96	-	-	Mississippi	-|-|-|Mississippi|-|-|-	1996	-	-	host	Homo sapiens	-	Japan	-	LC123318	LC123420	LC123522	AB064406	LC123754	AB086781	AB086804
C/Miyagi/1/90	-	-	Aichi	-|-|-|Aichi|-|-|-	-	-	-	host	-	-	-	-	AB086675	AB086703	AB086732	AB086658	AB086749	AB086763	AB034177
C/Yamagata/29/2012	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2012	-	-	host	Homo sapiens	-	Japan	-	LC123370	LC123472	LC123574	AB899782	LC123800	LC123868	LC125032
C/Hiroshima/251/2000	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	-	-	-	host	-	-	Japan	-	AB099451	AB099476	AB099550	AB093478	AB099575	AB099599	AB099623
C/Sendai/TU1/2012	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2012	-	-	host	Homo sapiens	-	Japan	-	AB979711	AB980269	AB981329	AB978558	AB981429	AB982138	AB985623
C/Biliran/1/2013	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2013	-	-	host	Homo sapiens	-	Philippines	-	AB979713	AB980271	AB981334	AB978560	AB981431	AB982140	AB985625
C/Miyagi/1/99	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB086697	AB086725	AB086742	AB086668	AB086759	AB086786	AB086809
C/Johannesburg/4/67	-	-	-	-|-|-|-|-|-|-	1967	-	-	host	Homo sapiens	-	South Africa	-	LC123286	LC123388	LC123490	AB035358	AB684308	LC123816	AB034156
C/Yamagata/6/2000	-	-	Yamagata	-|-|-|Yamagata|-|-|-	2000	-	-	host	Homo sapiens	-	Japan	-	LC123324	LC123426	LC123528	AB099414	LC123759	AB099583	AB099607
C/Hiroshima/252/99	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB099445	AB099470	AB099544	AB099424	AB099569	AB099593	AB099617
C/Miyagi/6/2018	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2018	-	-	host	Homo sapiens	-	Japan	-	LC739917	LC739930	LC739943	LC739904	LC739956	LC739969	LC739982
C/Kanagawa/1/76	-	-	-	-|-|-|-|-|-|-	1976	-	-	host	Homo sapiens	-	Japan	-	LC123292	LC123394	LC123496	D63470	LC123729	AB000606	AB034159
C/Leyte/2/2013	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2013	-	-	host	Homo sapiens	-	Philippines	-	AB979717	AB980275	AB981332	AB978564	AB981435	AB982144	AB985629
C/Miyagi/2/94	-	-	Mississippi	-|-|-|Mississippi|-|-|-	-	-	-	host	-	-	-	-	AB086686	AB086714	AB064462	AB064413	AB064483	AB086775	AB086798
C/Miyagi/5/2000	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	-	-	-	host	-	-	-	-	AB099440	AB099465	AB099539	AB099419	AB099564	AB099588	AB099612
C/Miyagi/2/96	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB086688	AB086716	AB086736	AB086662	AB086753	AB086777	AB086800
C/Miyagi/6/93	-	-	Mississippi	-|-|-|Mississippi|-|-|-	-	-	-	host	-	-	-	-	AB086683	AB086711	AB064459	AB064410	AB064480	AB086772	AB086795
C/Miyagi/1/94	-	-	Mississippi	-|-|-|Mississippi|-|-|-	-	-	-	host	-	-	-	-	AB086685	AB086713	AB064461	AB064412	AB064482	AB086774	AB086797
C/Miyagi/10/2010	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2010	-	-	host	Homo sapiens	-	Japan	-	LC739907	LC739920	LC739933	LC739874	LC739946	LC739959	LC739972
C/Sendai/TU2/2008	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2008	-	-	host	Homo sapiens	-	Japan	-	AB979708	AB980266	AB981326	AB978554	AB981426	AB982135	AB985620
C/canine/China/Guangzhou-2/2020	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2020	-	-	host	Canis familiaris	swab	China	-	OQ030198	OQ030197	OQ030196	OQ030192	OQ030194	OK254896	OQ030195
C/Miyagi/1/2016	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2016	-	-	host	Homo sapiens	-	Japan	-	LC739913	LC739926	LC739939	LC739891	LC739952	LC739965	LC739978
C/China/Taian106/2020	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2020	OCT	22	host	Homo sapiens	oropharyngeal swab	China	-	OQ733379	OQ733378	OQ733377	OQ733382	OQ733381	OQ733376	OQ733380
C/Aichi/1/99	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	1999	-	-	host	Homo sapiens	-	Japan	-	LC123322	LC123424	LC123526	AB182357	LC123758	AB182362	AB182363
C/Biliran/TB5-312/2017	-	-	-	-|-|-|-|-|-|-	2017	JUN	13	host	Homo sapiens	nasal swab	Philippines	-	-	-	-	-	-	MZ330959	MZ330961
C/Yamagata/15/2014	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2014	-	-	host	Homo sapiens	-	Japan	-	-	-	-	LC013256	-	-	-
C/Yamagata/8/2002	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	2002	-	-	host	Homo sapience	-	Japan	-	-	-	-	LC630941	-	-	-
C/Hyogo/1/83	-	-	-	-|-|-|-|-|-|-	-	-	-	host	Homo sapiens	-	-	-	-	-	-	-	-	AB000610	AB034167
C/Nara/1/85	-	-	-	-|-|-|-|-|-|-	-	-	-	host	Homo sapiens	-	-	-	D78396	D78397	D78395	-	D78438	AB000726	AB034168
C/Leyte/5/2011	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	-	-	-	host	Homo sapiens	-	Philippines	-	-	-	-	AB978552	-	-	-
C/Yamagata/3/2012	-	-	-	-|-|-|-|-|-|-	2012	-	-	host	Homo sapiens	-	Japan	-	-	-	-	-	-	LC123863	LC125027
C/Nara/2/85	-	-	-	-|-|-|-|-|-|-	-	-	-	host	Homo sapiens	-	-	-	D78399	D78400	D78398	-	D30703	AB000727	AB034169
C/Yamagata/10/81	-	-	Yamagata	-|-|-|Yamagata|-|-|-	1981	-	-	host	Homo sapiens	-	Japan	-	-	-	-	AB899776	-	-	M15093
C/Thailand/B12597_M_gene/2015	-	-	-	-|-|-|-|-|-|-	2015	AUG	31	host	Homo sapiens	nasal swab	Thailand	-	-	-	-	-	-	MK480586	-
C/Yamagata/13/2006	-	-	-	-|-|-|-|-|-|-	2006	-	-	host	Homo sapiens	-	Japan	-	-	-	-	-	-	LC123849	LC125013
C/Miyagi/2/2016	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2016	-	-	host	Homo sapiens	-	Japan	-	-	-	-	LC739892	-	-	-
C/Catalonia/1457/2009	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	2009	SEP	29	host	Homo sapiens	nasopharyngeal swab	Spain	-	-	-	-	HM748633	-	-	-
C/Johannesburg/66	-	-	-	-|-|-|-|-|-|-	-	-	-	host	Homo sapiens	-	South Africa	-	-	-	-	-	-	AB000604	-
C/Thailand/B12983_NS_gene/2015	-	-	-	-|-|-|-|-|-|-	2015	SEP	25	host	Homo sapiens	nasal swab	Thailand	-	-	-	-	-	-	-	MK480594
C/Mie/180/2012	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	-	-	-	host	-	-	Japan	-	-	-	-	AB751603	-	-	-
C/Yamagata/28/2016	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2016	-	-	host	Homo sapiens	-	Japan	-	-	-	-	LC512494	-	-	-
