sequenceID	virus_name	genus	source.name	rec_segment	gb_subtype	strain	isolate_name	iso_host	iso_country	iso_region	iso_year	iso_month	iso_day	length
MF959980	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg1	1	H3N6	A/mallard duck/Netherlands/3/2001	-	Anas platyrhynchos	Netherlands	-	2001	SEP	24	2341
LC314499	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg1	1	H5N6	A/whooper swan/Ibaraki/28-309/2016	-	Cygnus cygnus	Japan	Ibaraki	2016	-		2308
MK045456	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg1	1	H7N6	A/turkey/Chile/17-002742-9/2017	-	Meleagris sp.	Chile	-	2017	-		2333
LC371815	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg1	1	H8N2	A/duck/Hokkaido/207/2014	-	Anseriformes	Japan	Hokkaido	2014	-		2328
MH596900	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg1	1	mixed	A/ruddy turnstone/Delaware/650622/2002	-	Arenaria interpres	USA	Delaware	2002	MAY	26	2316
OM966132	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg2	2	H10N9	A/Ruddy Turnstone/Delaware/49/2021	-	Arenaria interpres	USA	-	2021	JUN	1	2316
MN055191	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg2	2	H11N2	A/chinstrap penguin/Antarctica/HP04/2018	-	Pygoscelis antarcticus	Chile	-	2018	-		2341
OL370765	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg2	2	H12N5	A/ruddy turnstone/King Island/13149/2018	13149	Arenaria interpres	Australia	Tasmania, King Island	2018	DEC	8	2274
NC_002021	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg2	2	H1N1	A/Puerto Rico/8/1934	-	Homo sapiens	Puerto Rico	-	1934	-		2341
MK239099	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg2	2	H1N2v	A/Michigan/383/2018	-	Homo sapiens	USA	Michigan	2018	JUL	31	2316
LC431474	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg2	2	H2N3	A/duck/Alaska/5111/1994	-	Anseriformes sp.	USA	Alaska	1994	-		2321
KU322227	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg2	2	H3N2	A/Parma/58/2012	-	Homo sapiens	Italy	-	2012	-		2316
OL371253	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg2	2	H5N9	A/wild duck/Victoria/14-0961-1/2014	14-0961-1	Anseriformes sp	Australia	Victoria	2014	MAY	13	2277
MZ945738	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg2	2	HxNx	A/swine/Spain/45600-2/2017	-	Sus scrofa	Spain	-	2017	JUL	28	2341
MH502287	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg3	3	H10N2	A/ruddy turnstone/New Jersey/AI13-2544/2013	-	Arenaria interpres	USA	New Jersey	2013	MAY	27	2200
OM373269	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg3	3	H10N8	A/swan/Shandong/W3875/2020	-	Anseriformes sp	China	Shandong province	2020	NOV	23	2151
MW547620	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg3	3	H10N9	A/aquatic bird/Gunsan/145/2006	145	Aves	South Korea	Gunsan	2006	FEB	6	2183
MN055196	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg3	3	H11N2	A/chinstrap penguin/Antarctica/HP04/2018	-	Pygoscelis antarcticus	Chile	-	2018	-		2233
MW876043	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg3	3	H11N3	A/ruddy turnstone/Delaware Bay/209/2020	-	Arenaria interpres	USA	-	2020	MAY	29	2208
MH578883	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg3	3	H12N1	A/ruddy turnstone/Delaware Bay/554/2007	-	Arenaria interpres	USA	-	2007	MAY	24	2151
KY990795	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg3	3	H12N5	A/mallard duck/California/UCD470/2016	-	Anas platyrhynchos	USA	-	2016	JUL	18	2233
MF147443	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg3	3	H13N8	A/black-headed gull/Netherlands/2/2008	-	Chroicocephalus ridibundus	Netherlands	-	2008	JUN	28	2233
MH502499	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg3	3	H16N3	A/ruddy turnstone/New Jersey/AI13-2872/2013	-	Arenaria interpres	USA	New Jersey	2013	MAY	15	2196
NC_002022	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg3	3	H1N1	A/Puerto Rico/8/1934	-	Homo sapiens	Puerto Rico	-	1934	-		2233
MZ945779	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg3	4	H1N1	A/swine/Spain/45690-8/2018	-	Sus scrofa	Spain	-	2018	JAN	30	1777
KY644159	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg3	3	H2N2	A/blackish oystercatcher/Chile/C6534/2016	-	Haematopus ater	Chile	-	2016	JAN	29	2151
MH061510	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg3	3	H3N1	A/swine/Mexico/9783514/2013	9783514	Sus scrofa	Mexico	-	2013	APR	15	2232
KU322270	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg3	3	H3N2	A/Parma/58/2012	-	Homo sapiens	Italy	-	2012	-		2189
MK239124	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg3	3	H3N2v	A/Iowa/38/2017	-	Homo sapiens	USA	Iowa	2017	DEC	1	2208
MW875660	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg3	3	H4N9	A/ruddy turnstone/Delaware Bay/235/2020	-	Arenaria interpres	USA	-	2020	MAY	29	2208
MZ565339	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg3	3	H5N2	A/chicken/Queretaro/CPA-03805-19/2019	CPA-03805-19	Gallus gallus	Mexico	Queretaro	2019	MAR	7	2151
MW333285	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg3	3	H5N8	A/chicken/Kaohsiung/16040021-1/2016	16040021-1	Gallus gallus	Taiwan	Kaohsiung	2016	APR	20	2233
MW109583	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg3	3	H6N6	A/environment/Jiangxi/2.16_SRGFYK103-E/2017	2.16_SRGFYK103-E	Environment	China	Jiangxi	2017	FEB	16	2151
MF978419	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg3	3	H7N2	A/feline/New York/WVDL-16/2016	-	Felidae sp.	USA	-	2016	-		2233
MW109695	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg3	3	H7N9	A/environment/Jiangxi/3.14_NCDZT83T-E/2016	3.14_NCDZT83T-E	Environment	China	Jiangxi	2016	MAR	14	2151
MZ945739	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg3	3	HxNx	A/swine/Spain/45600-2/2017	-	Sus scrofa	Spain	-	2017	JUL	28	2233
KX978192	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H10N7	A/mallard duck/Netherlands/1/2007	-	Anas platyrhynchos	Netherlands	-	2007	MAR	26	1728
CY014679	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H11N6	A/duck/England/1956	-	Aves	United Kingdom	England	1956	-		1760
CY006008	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H12N5	A/ruddy turnstone/DE/97/2000	-	Aves	USA	Delaware	2000	MAY	15	1737
CY014694	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H13N6	A/gull/Maryland/704/1977	-	Aves	USA	Maryland	1977	SEP	22	1768
CY014604	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H14N5	A/mallard duck/Astrakhan/263/1982	-	Aves	Russia	Astrakhan	1982	-		1748
CY006009	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H15N8	A/duck/AUS/341/1983	-	Aves	Australia	Australia	1983	FEB	23	1762
MF146268	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H16N3	A/black-headed gull/Netherlands/23/2009	-	Chroicocephalus ridibundus	Netherlands	-	2009	JUL	22	1758
CY103892	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H17N10	A/little yellow-shouldered bat/Guatemala/060/2010	-	Sturnira lilium	Guatemala	Aguero	2010	-		1784
CY125945	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H18N11	A/flat-faced bat/Peru/033/2010	-	Artibeus planirostris	Peru	Truenococha	2010	-		1771
MK159405	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H1N1	A/California/04/2009	-	Homo sapiens	USA	-	2009	-		1777
CY031336	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H1N1	A/New Caledonia/20/1999	-	Homo sapiens	New Caledonia	-	1999	JUN	9	1775
NC_002017	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H1N1	A/Puerto Rico/8/1934	-	Homo sapiens	Puerto Rico	-	1934	-		1778
MW244325	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H1N1	A/swine/Italy/58247/2020	58247	Sus scrofa	Italy	-	2020	-		1701
AF116200	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H2N2	A/Guinea fowl/NY/20221-11/95	-	Numida meleagris	-	-	1995	-		1178
L20410	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H2N2	A/Singapore/1/1957	-	Homo sapiens	-	-	1957	-		1773
AB284320	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H3N2	A/Aichi/2/1968	-	Homo sapiens	-	-	1968	-		1765
NC_007366	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H3N2	A/New York/392/2004	-	Homo sapiens	USA	Tompkins County, NY	2004	DEC	21	1762
AF285883	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H4N6	A/Swine/Ontario/01911-2/99	-	Sus scrofa	-	-	1999	-		1695
CY014630	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H4N8	A/red-necked stint/Australia/4189/1980	-	Aves	Australia	-	1980	OCT	25	1739
AF098538	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H5N1	A/chicken/chiapis/15224/97	-	Gallus gallus	-	-	1997	-		963
KR732539	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H5N1	A/chicken/Egypt/07118-NLQP/2007	-	Gallus gallus	Egypt	-	2007	-		1779
HM006759	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H5N1	A/Viet Nam/1203/2004	-	Homo sapiens	Viet Nam	-	2004	-		1779
CY015115	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H5N2	A/chicken/Italy/312/1997	-	Aves	Italy	-	1997	-		1773
DQ376624	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H6N1	A/chicken/Taiwan/0705/99	-	Gallus gallus	Taiwan	-	1999	-		1747
EU030984	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H7N3	A/laughing gull/Delaware/42/06	42	Leucophaeus atricilla	USA	-	2006	-		1731
AY338459	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H7N7	A/Netherlands/219/2003	-	Meleagris gallopavo	-	-	2003	-		1737
CY014659	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H8N4	A/turkey/Ontario/6118/1968	-	Aves	Canada	Ontario	1968	-		1744
CY075054	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg4	4	H9N2	A/swine/Guangxi/10/2007	-	Sus scrofa	China	Guangxi	2007	FEB	1	1742
KY561179	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg5	5	H10N2	A/American coot/Missouri/15OS6556/2015	-	Fulica americana	USA	-	2015	OCT	31	1537
CY241066	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg5	5	H10N2	A/environment/New Jersey/UGAI16-1117/2016	-	Environment	USA	Cape May Co., NJ	2016	MAY	19	1507
MW857527	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg5	5	H11N7	A/duck/Thailand/CU-16340C/2015	CU-16340C	Anseriformes sp	Thailand	-	2015	-		1470
MH578837	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg5	5	H11N8	A/ruddy turnstone/Delaware Bay/446/2005	-	Arenaria interpres	USA	-	2005	MAY	21	1497
MW876094	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg5	5	H12N1	A/ruddy turnstone/Delaware Bay/218/2020	-	Arenaria interpres	USA	-	2020	MAY	29	1539
MF145885	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg5	5	H13N6	A/black-headed gull/Netherlands/57/2012	-	Chroicocephalus ridibundus	Netherlands	-	2012	JUL	9	1565
MH502497	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg5	5	H16N3	A/ruddy turnstone/New Jersey/AI13-2872/2013	-	Arenaria interpres	USA	New Jersey	2013	MAY	15	1507
NC_002019	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg5	5	H1N1	A/Puerto Rico/8/1934	-	Homo sapiens	-	-	1934	-		1565
KY644165	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg5	5	H2N2	A/blackish oystercatcher/Chile/C6534/2016	-	Haematopus ater	Chile	-	2016	JAN	29	1497
KY415760	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg5	5	H2N8	A/Pigeon/Longquan/LQ67/2016	-	Columba livia	China	-	2016	JAN	30	1499
KU322356	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg5	5	H3N2	A/Parma/58/2012	-	Homo sapiens	Italy	-	2012	-		1541
MW024907	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg5	5	H3N2v	A/Hawaii/28/2020	-	Homo sapiens	USA	Hawaii	2020	JUL	1	1540
MZ565045	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg5	5	H5N2	A/chicken/Jalisco/CPA-06432-19/2019	CPA-06432-19	Gallus gallus	Mexico	Jalisco	2019	APR	15	1497
MW342701	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg5	5	H5N8	A/falcated duck/Kagoshima/KU-d3/2020	KU-d3	Mareca falcata	Japan	Kagoshima	2020	NOV	5	1497
OL371256	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg5	5	H5N9	A/wild duck/Victoria/14-0961-1/2014	14-0961-1	Anseriformes sp	Australia	Victoria	2014	MAY	13	1497
MF978417	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg5	5	H7N2	A/feline/New York/WVDL-16/2016	-	Felidae sp.	USA	-	2016	-		1565
OL371512	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg5	5	H9N5	A/wild waterbird/South Australia/18-9201854-12/2018	18-9201854-12	Aves	Australia	South Australia	2018	OCT	10	1497
MH134707	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg6	6	H12N5	A/yellow-billed pintail/Chile/C14831/2016	-	Anas georgica	Chile	-	2016	AUG	18	1469
KX978990	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg6	6	H13N8	A/black-headed gull/Netherlands/10/2010	-	Chroicocephalus ridibundus	Netherlands	-	2010	JUL	21	1461
CY103894	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg6	6	H17N10	A/little yellow-shouldered bat/Guatemala/060/2010	-	Sturnira lilium	Guatemala	Aguero	2010	-		1390
CY125947	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg6	6	H18N11	A/flat-faced bat/Peru/033/2010	-	Artibeus planirostris	Peru	Truenococha	2010	-		1426
MK159404	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg6	6	H1N1	A/California/04/2009	-	Homo sapiens	USA	-	2009	-		1458
X15281	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg6	6	H1N1	A/Chile/1/83	-	Homo sapiens	-	-	1983	-		1461
NC_002018	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg6	6	H1N1	A/Puerto Rico/8/1934	-	Homo sapiens	-	-	1934	-		1413
AF342820	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg6	6	H1N1	A/Wisconsin/10/1998	-	Homo sapiens	-	-	1998	-		1458
NC_007368	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg6	6	H3N2	A/New York/392/2004	-	Homo sapiens	USA	Tompkins County, NY	2004	DEC	21	1467
L06582	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg6	6	H3N8	A/equine/Sao paulo/6/1969	-	Equus caballus	-	-	1969	-		1461
CY079173	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg6	6	H3N8	A/northern pintail/Interior Alaska/8BM3731/2008	-	Anas acuta	USA	Minto Flats, Interior Alaska	2008	SEP	27	1425
CY005059	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg6	6	H7N3	A/mallard duck/ALB/435/1985	-	Aves	Canada	Alberta	1985	AUG	20	1453
CY005802	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg6	6	H7N7	A/equine/Prague/1/1956	-	Equus caballus	Czech Republic	Prague	1956	-		1457
KX978763	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg6	6	H7N7	A/mallard duck/Netherlands/2/2009	-	Anas platyrhynchos	Netherlands	-	2009	JAN	9	1464
CY067680	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg6	6	H7N9	A/blue-winged teal/Guatemala/CIP049-02/2008	-	Anas discors	Guatemala	Santa Rosa	2008	MAR	5	1460
CY096650	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg6	6	H8N4	A/blue-winged teal/Guatemala/CIP049-04/2010	-	Anas discors	Guatemala	Santa Rosa	2010	JAN	31	1463
MK968546	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg6	6	H9N2	A/chicken/Hamadan/RIV-1/2017	RIV-1	Gallus gallus	Iran	Hamadan	2017	-		1467
CY005135	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg6	6	H9N6	A/ruddy turnstone/DE/510/1988	-	Aves	USA	Delaware	1988	MAY	15	1466
MN055192	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg7	7	H11N2	A/chinstrap penguin/Antarctica/HP04/2018	-	Pygoscelis antarcticus	Chile	-	2018	-		1027
NC_002016	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg7	7	H1N1	A/Puerto Rico/8/1934	-	Homo sapiens	Puerto Rico	-	1934	-		1027
KU322442	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg7	7	H3N2	A/Parma/58/2012	-	Homo sapiens	Italy	-	2012	-		1003
MW024909	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg7	7	H3N2v	A/Hawaii/28/2020	-	Homo sapiens	USA	Hawaii	2020	JUL	1	1002
MH569266	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg7	7	H3N7	A/emperor goose/Alaska/UGAI15-8445/2015	UGAI15-8445	Anser canagicus	USA	Alaska	2015	DEC	15	1002
MZ565343	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg7	7	H5N2	A/chicken/Queretaro/CPA-03805-19/2019	CPA-03805-19	Gallus gallus	Mexico	Queretaro	2019	MAR	7	982
KY273001	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg7	7	H5N6	A/environment/Korea/W541/2016	-	Environment	South Korea	-	2016	NOV	18	982
KY635810	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg7	7	H7N1	A/duck/Bangladesh/24692/2015	-	Anas sp.	Bangladesh	-	2015	FEB	22	991
MH579025	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg7	7	H9N1	A/ruddy turnstone/Delaware Bay/95/2003	-	Arenaria interpres	USA	-	2003	MAY	19	982
CY103896	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg8	8	H17N10	A/little yellow-shouldered bat/Guatemala/060/2010	-	Sturnira lilium	Guatemala	Aguero	2010	-		895
NC_002020	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg8	8	H1N1	A/Puerto Rico/8/1934	-	Homo sapiens	Puerto Rico	-	1934	-		890
AY060139	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg8	8	H1N2	A/SW/MN/17138/01	-	Sus scrofa	-	-	2001	-		842
CY005144	IAV	Alphainfluenzavirus	iav-ncbi-refseqs-seg8	8	H9N2	A/mallard duck/ALB/321/1988	-	Aves	Canada	Alberta	1988	SEP	3	890
CQ903172	IBV	Betainfluenzavirus	ibv-ncbi-refseqs-seg1	1	-	WO2004094466	-	Homo sapiens	-	-		-		2396
CQ903173	IBV	Betainfluenzavirus	ibv-ncbi-refseqs-seg2	2	-	WO2004094466	-	Homo sapiens	-	-		-		2368
CQ903174	IBV	Betainfluenzavirus	ibv-ncbi-refseqs-seg3	3	-	WO2004094466	-	Homo sapiens	-	-		-		2307
CQ903175	IBV	Betainfluenzavirus	ibv-ncbi-refseqs-seg4	4	-	WO2004094466	-	Homo sapiens	-	-		-		1882
CQ903177	IBV	Betainfluenzavirus	ibv-ncbi-refseqs-seg5	5	-	WO2004094466	-	Homo sapiens	-	-		-		1841
CQ903176	IBV	Betainfluenzavirus	ibv-ncbi-refseqs-seg6	6	-	WO2004094466	-	Homo sapiens	-	-		-		1557
CQ903178	IBV	Betainfluenzavirus	ibv-ncbi-refseqs-seg7	7	-	WO2004094466	-	Homo sapiens	-	-		-		1191
CQ903179	IBV	Betainfluenzavirus	ibv-ncbi-refseqs-seg8	8	-	WO2004094466	-	Homo sapiens	-	-		-		1096
NC_006307	ICV	Gammainfluenzavirus	icv-ncbi-refseqs-seg1	1	-	C/Ann Arbor/1/50	-	Homo sapiens	USA	-	1950	-		2365
NC_006308	ICV	Gammainfluenzavirus	icv-ncbi-refseqs-seg2	2	-	C/Ann Arbor/1/50	-	Homo sapiens	USA	-	1950	-		2363
NC_006309	ICV	Gammainfluenzavirus	icv-ncbi-refseqs-seg3	3	-	C/Ann Arbor/1/50	-	Homo sapiens	USA	-	1950	-		2183
NC_006310	ICV	Gammainfluenzavirus	icv-ncbi-refseqs-seg4	4	-	C/Ann Arbor/1/50	-	Homo sapiens	USA	-	1950	-		2073
NC_006311	ICV	Gammainfluenzavirus	icv-ncbi-refseqs-seg5	5	-	C/Ann Arbor/1/50	-	Homo sapiens	USA	-	1950	-		1807
NC_006312	ICV	Gammainfluenzavirus	icv-ncbi-refseqs-seg6	6	-	C/Ann Arbor/1/50	-	Homo sapiens	USA	-	1950	-		1180
NC_006306	ICV	Gammainfluenzavirus	icv-ncbi-refseqs-seg7	7	-	C/Ann Arbor/1/50	-	Homo sapiens	USA	-	1950	-		935
NC_036616	IDV	Deltainfluenzavirus	idv-ncbi-refseqs-seg1	1	-	D/swine/Oklahoma/1334/2011	-	Sus scrofa	USA	-	2011	MAR	21	2364
NC_036615	IDV	Deltainfluenzavirus	idv-ncbi-refseqs-seg2	2	-	D/swine/Oklahoma/1334/2011	-	Sus scrofa	USA	-	2011	MAR	21	2330
NC_036619	IDV	Deltainfluenzavirus	idv-ncbi-refseqs-seg3	3	-	D/swine/Oklahoma/1334/2011	-	Sus scrofa	USA	-	2011	MAR	21	2195
NC_036618	IDV	Deltainfluenzavirus	idv-ncbi-refseqs-seg4	4	-	D/swine/Oklahoma/1334/2011	-	Sus scrofa	USA	-	2011	MAR	21	2049
NC_036617	IDV	Deltainfluenzavirus	idv-ncbi-refseqs-seg5	5	-	D/swine/Oklahoma/1334/2011	-	Sus scrofa	USA	-	2011	MAR	21	1775
NC_036620	IDV	Deltainfluenzavirus	idv-ncbi-refseqs-seg6	6	-	D/swine/Oklahoma/1334/2011	-	Sus scrofa	USA	-	2011	MAR	21	1219
NC_036621	IDV	Deltainfluenzavirus	idv-ncbi-refseqs-seg7	7	-	D/swine/Oklahoma/1334/2011	-	Sus scrofa	USA	-	2011	MAR	21	868
