isolate_id	species	genome_lineage	gb_serotype	rec_serotype	mlca_serotype	iso_year	iso_month	iso_day	origin_type	sample_type	lab_host	host	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession	segment8_accession
A/chicken/Taiwan/0705/99	IAV	A3|D1|A12|H6|A8|N1|A|A	H6N1	H6N1	-	1999	-	-	host	-	-	Gallus gallus	Taiwan	NULL	DQ376876	DQ376840	DQ376803	DQ376624	DQ376732	DQ376696	DQ376659	DQ376768
A/chinstrap penguin/Antarctica/HP04/2018	IAV	B9|A1|A2|H11|A11|N2|B|A	H11N2	H11N2	-	2018	-	-	host	feces	-	Pygoscelis antarcticus	Chile	NULL	MN055194	MN055191	MN055196	MN055195	MN055197	MN055193	MN055192	MN055190
A/duck/Alaska/5111/1994	IAV	B8|E1|A7|H2|A11|N3|B|A	H2N3	H2N3	-	1994	-	-	host	-	-	Anseriformes sp.	USA	Alaska	LC431473	LC431474	LC431475	LC042003	LC431477	LC431478	LC431479	LC431480
A/duck/Bangladesh/24692/2015	IAV	A5|D1|A12|H7|A8|N1|A|A	H7N1	H7N1	-	2015	FEB	22	host	-	-	Anas sp.	Bangladesh	NULL	KY635738	KY635673	KY635658	KY635574	KY635806	KY635787	KY635810	KY635768
A/duck/England/1956	IAV	A3|E1|A7|H11|A8|N6|A|A	H11N6	H11N6	-	1956	-	-	host	-	-	Anseriformes sp.	United Kingdom	England	CY130069	CY130068	CY130067	CY014679	CY014682	GQ247863	CY014680	CY130066
A/duck/Hokkaido/207/2014	IAV	A3|D1|A12|H8|A8|N2|A|A	H8N2	H8N2	-	2014	-	-	host	-	-	Anseriformes sp.	Japan	Hokkaido	LC371815	LC371816	LC371817	LC029898	LC371819	LC029899	LC371821	LC371822
A/duck/Hokkaido/95/2001	IAV	A5|D1|A11|H2|A8|N2|A|B	H2N2	H2N2	-	2001	-	-	host	-	-	Anseriformes sp.	Japan	Hokkaido	LC371839	LC371840	LC371841	LC371842	LC371843	LC371844	LC371845	LC371846
A/duck/Thailand/CU-16340C/2015	IAV	A5|D1|A12|H11|A6|N7|B|A	H11N7	H11N7	-	2015	-	-	host	cloacal swab	-	Anseriformes sp.	Thailand	NULL	MW857523	MW857524	MW857525	MW857526	MW857527	MW857528	MW857529	MW857530
A/emperor goose/Alaska/UGAI15-8445/2015	IAV	B9|E1|A3|H3|A11|N7|B|A	H3N7	H3N7	-	2015	DEC	15	host	Environmental (feces)	-	Anser canagicus	USA	Alaska	MH569260	MH569261	MH569262	MH569263	MH569264	MH569265	MH569266	MH569267
A/environment/Jiangxi/2.16_SRGFYK103-E/2017	IAV	A4|D1|A5|H6|A8|N6|A|A	H6N6	H6N6	-	2017	FEB	16	host	swab	-	Environment	China	Jiangxi	MW109581	MW109582	MW109583	MW109584	MW109585	MW109586	MW109587	MW109588
A/environment/New Jersey/UGAI16-1117/2016	IAV	B10|E1|A3|H10|A5|N2|B|B	H10N2	H10N2	-	2016	MAY	19	host	-	-	Environment	USA	Cape May Co., NJ	CY241070	CY241069	CY241068	CY241063	CY241066	CY241065	CY241064	CY241067
A/falcated duck/Kagoshima/KU-d3/2020	IAV	A5|D1|A12|H5|A8|N8|A|A	H5N8	H5N8	-	2020	NOV	5	host	feces	-	Mareca falcata	Japan	Kagoshima	MW342697	MW342698	MW342699	MW342700	MW342701	MW342702	MW342703	MW342704
A/feline/New York/WVDL-16/2016	IAV	B3|E1|A8|H7|A11|N2|B|B	H7N2	H7N2	-	2016	-	-	host	-	-	Felidae sp.	USA	NULL	MF978421	MF978420	MF978419	MF978414	MF978417	MF978416	MF978415	MF978418
A/laughing gull/Delaware/42/06	IAV	B10|E1|A3|H7|A11|N3|B|A	H7N3	H7N3	-	2006	-	-	host	allantoic fluid harvested from an infected egg	-	Leucophaeus atricilla	USA	NULL	EU030982	EU030981	EU030983	EU030984	EU030985	EU030986	EU030987	EU030988
A/lesser black-backed gull/Iceland/1656/2012	IAV	B4|D1|A12|H2|A8|N7|A|A	H2N7	H2N7	-	2012	-	-	host	cloacal swab	-	Larus fuscus	Iceland	NULL	MZ565617	MZ565616	MZ565615	MZ565610	MZ565613	MZ565612	MZ565611	MZ565614
A/mallard duck/California/UCD470/2016	IAV	B10|E1|A3|H12|A11|N5|B|A	H12N5	H12N5	-	2016	JUL	18	host	-	-	Anas platyrhynchos	USA	NULL	KY990773	KY990738	KY990795	KY990741	KY990797	KY990770	KY990765	KY990785
A/mallard duck/Netherlands/1/2007	IAV	A3|D1|A12|H10|A8|N7|A|B	H10N7	H10N7	-	2007	MAR	26	host	-	-	Anas platyrhynchos	Netherlands	NULL	KX978035	KX979605	KX979457	KX978192	KX979489	KX977605	KX978780	KX979276
A/mallard duck/Netherlands/2/2009	IAV	A5|D1|A12|H7|A8|N7|A|A	H7N7	H7N7	-	2009	JAN	9	host	-	-	Anas platyrhynchos	Netherlands	NULL	KX977942	KX979604	KX978513	KX978114	KX978654	KX978763	KX979181	KX978582
A/mallard duck/Netherlands/3/2001	IAV	A4|D1|A12|H3|A8|N6|A|A	H3N6	H3N6	-	2001	SEP	24	host	-	-	Anas platyrhynchos	Netherlands	NULL	MF959980	MF959951	MF959972	MF959966	MF959982	MF959949	MF959942	MF959996
A/mallard/Minnesota/MN18-WB1-025A/2018	IAV	B10|E1|A3|H2|A11|N3|B|A	H2N3	H2N3	-	2018	SEP	10	host	oropharyngeal/cloacal swab pool from individual bird	-	Anas platyrhynchos	USA	Minnesota	MN988211	MN988212	MN988213	MN988214	MN988215	MN988216	MN988217	MN988218
A/New York/392/2004	IAV	B2|C1|A1|H3|A2|N2|B2|A	H3N2	H3N2	-	2004	DEC	21	host	gender:M; age:16y	-	Homo sapiens	USA	Tompkins County, NY	NC_007373	NC_007372	CY002069	NC_007366	NC_007369	NC_007368	NC_007367	NC_007370
A/New York/40/2018	IAV	B2|C1|A1|H3|A2|N2|B2|A	H3N2	H3N2	-	2018	SEP	5	host	-	-	Homo sapiens	USA	New York	MK077421	MK268562	MK077423	MK077424	MK268611	MK268559	MK268561	MK077428
A/northern pintail/Interior Alaska/8BM3731/2008	IAV	B4|E1|A11|H3|A11|N8|B|B	H3N8	H3N8	-	2008	SEP	27	host	-	-	Anas acuta	USA	Minto Flats, Interior Alaska	CY079178	CY079177	CY079176	CY079171	CY079174	CY079173	CY079172	CY079175
A/Parma/58/2012	IAV	B2|C1|A1|H3|A2|N2|B2|A	H3N2	H3N2	-	2012	-	-	host	-	-	Homo sapiens	Italy	NULL	KU322185	KU322227	KU322270	KU322313	KU322356	KU322399	KU322442	KU322485
A/Pigeon/Longquan/LQ67/2016	IAV	A5|D1|A12|H2|A8|N8|A|A	H2N8	H2N8	-	2016	JAN	30	host	pigeon fecal	-	Columba livia	China	NULL	KY415892	KY415848	KY415804	KY415628	KY415760	KY415716	KY415672	KY415936
A/Puerto Rico/8/1934	IAV	B2|A1|A1|H1|A2|N1|B|A	H1N1	H1N1	-	1934	FEB	28	host	nasal swab	-	Homo sapiens	USA	Puerto Rico	NC_002023	NC_002021	NC_002022	NC_002017	NC_002019	NC_002018	NC_002016	NC_002020
A/ruddy turnstone/DE/510/1988	IAV	B8|E1|A10|H9|A11|N6|A|A	H9N6	H9N6	-	1988	MAY	15	host	-	-	Aves	USA	Delaware	CY005140	CY005139	CY005138	CY005988	CY005136	CY005135	CY005134	CY005137
A/ruddy turnstone/DE/97/2000	IAV	B9|E1|A3|H12|A11|N5|B|A	H12N5	H12N5	-	2000	MAY	15	host	-	-	Aves	USA	Delaware	CY005371	CY005370	CY005369	CY006008	CY005367	CY005366	CY005365	CY005368
A/ruddy turnstone/Delaware Bay/209/2020	IAV	B10|E1|A3|H11|A11|N3|B|A	H11N3	H11N3	-	2020	MAY	29	host	feces	-	Arenaria interpres	USA	NULL	MW876049	MW876046	MW876043	MW876042	MW876044	MW876047	MW876045	MW876048
A/ruddy turnstone/Delaware Bay/218/2020	IAV	B10|E1|A11|H12|A11|N1|B|A	H12N1	H12N1	-	2020	MAY	29	host	feces	-	Arenaria interpres	USA	NULL	MW876095	MW876097	MW876092	MW876090	MW876094	MW876096	MW876093	MW876091
A/ruddy turnstone/Delaware Bay/235/2020	IAV	B10|E1|A11|H4|A11|N9|B|A	H4N9	H4N9	-	2020	MAY	29	host	feces	-	Arenaria interpres	USA	NULL	MW875655	MW875654	MW875660	MW875653	MW875656	MW875657	MW875658	MW875659
A/ruddy turnstone/Delaware Bay/446/2005	IAV	B9|E1|A7|H11|A11|N8|B|B	H11N8	H11N8	-	2005	MAY	21	host	-	-	Arenaria interpres	USA	NULL	MH579142	MH578767	MH578790	MH613320	MH578837	MH579126	MH578808	MH613324
A/ruddy turnstone/Delaware Bay/554/2007	IAV	B9|E1|A10|H12|A11|N1|B|A	H12N1	H12N1	-	2007	MAY	24	host	-	-	Arenaria interpres	USA	NULL	MH579104	MH578843	MH578883	MH579159	MH579180	MH578787	MH579081	MH579079
A/ruddy turnstone/Delaware Bay/95/2003	IAV	B5|E1|A10|H9|A11|N1|A|A	H9N1	H9N1	-	2003	MAY	19	host	-	-	Arenaria interpres	USA	NULL	MH579312	MH578980	MH579169	MH578773	MH578859	MH579131	MH579025	MH578894
A/Ruddy Turnstone/Delaware/49/2021	IAV	B10|E1|A11|H10|A11|N9|B|A	H10N9	H10N9	-	2021	JUN	1	host	feces	-	Arenaria interpres	USA	NULL	OM966133	OM966132	OM966131	OM966127	OM966129	OM966134	OM966128	OM966130
A/ruddy turnstone/Delaware/650622/2002	IAV	B5|E1|A3|H7|A11|N3|B|A	H11N1	H11N1	-	2002	MAY	26	host	feces;SPF ECE	-	Arenaria interpres	USA	Delaware	MH596900	MH596899	MH596898	MH596891	MH596896	MH596894	MH596893	MH596897
A/ruddy turnstone/King Island/13149/2018	IAV	A5|D1|A12|H12|A8|N5|A|A	H12N5	H12N5	-	2018	DEC	8	host	pooled cloacal and oropharyngeal swab	-	Arenaria interpres	Australia	Tasmania, King Island	OL370764	OL370765	OL370766	OL370767	OL370768	OL370769	OL370770	OL370771
A/ruddy turnstone/New Jersey/AI00-1091/2000	IAV	B9|E1|A3|H12|A11|N5|B|A	H12N5	H12N5	-	2000	MAY	16	host	feces;SPF ECE	-	Arenaria interpres	USA	New Jersey	MH598164	MH598163	MH598162	MH598157	MH598160	MH598159	MH598158	MH598161
A/ruddy turnstone/New Jersey/AI13-2544/2013	IAV	B10|E1|A7|H10|A11|N2|B|A	H10N2	H10N2	-	2013	MAY	27	host	feces	-	Arenaria interpres	USA	New Jersey	MH502289	MH502288	MH502287	MH502282	MH502285	MH502284	MH502283	MH502286
A/swan/Shandong/W3875/2020	IAV	A5|D1|A12|H10|A8|N8|A|A	H10N8	H10N8	-	2020	NOV	23	host	-	-	Anseriformes sp.	China	Shandong province	OM373267	OM373268	OM373269	OM373270	OM373271	OM373272	OM373273	OM373274
A/swine/Guangxi/10/2007	IAV	A3|D1|A11|H9|A8|N2|A|A	H9N2	H9N2	-	2007	FEB	1	host	Nasal Swab	-	Sus scrofa	China	Guangxi	CY075051	CY075052	CY075053	CY075054	CY075055	CY075056	CY075057	CY075058
A/swine/Spain/25001-2/2019	IAV	A3|D1|A4|H1|A8|N2|A|A	H1N2	H1N2	-	2019	NOV	20	host	Lungs	-	Sus scrofa	Spain	NULL	MW848669	MW848665	MW848667	MW848663	MW848662	MW848668	MW848666	MW848664
A/swine/Spain/45600-2/2017	IAV	A3|D1|A4|H1|A8|N2|B|A	H1N2	H1N2	-	2017	JUL	28	host	nasal swab	-	Sus scrofa	Spain	NULL	MZ945737	MZ945738	MZ945739	MZ945740	MZ945741	MZ945742	MZ945743	MZ945744
A/Thailand/NBL1/2006	IAV	A3|D1|A12|H5|A8|N1|A|A	H5N1	H5N1	-	2006	AUG	10	host	fecal specimen	-	Homo sapiens	Thailand	NULL	GQ466181	MG668913	MG668914	MG668923	KJ907471	MG668925	KJ907481	MG668935
A/wild duck/Victoria/14-0961-1/2014	IAV	A3|B1|A12|H5|A9|N9|A|A	H5N9	H5N9	-	2014	MAY	13	host	pooled fecal swabs	-	Anseriformes sp.	Australia	Victoria	OL371252	OL371253	OL371254	OL371255	OL371256	OL371257	OL371258	OL371259
A/wild waterbird/South Australia/18-9201854-12/2018	IAV	A3|B1|A12|H9|A9|N5|A|A	H9N5	H9N5	-	2018	OCT	10	host	pooled fecal swabs	-	Aves	Australia	South Australia	OL371508	OL371509	OL371510	OL371511	OL371512	OL371513	OL371514	OL371515
A/wild waterbird/Tasmania/18-1081-5/2018	IAV	A5|D1|A12|H1|A11|N7|A|A	H1N7	H1N7	-	2018	MAR	22	host	pooled fecal swabs	-	Aves	Australia	Tasmania	OL371652	OL371653	OL371654	OL371655	OL371656	OL371657	OL371658	OL371659
A/yellow-billed pintail/Chile/C14831/2016	IAV	B1|E1|A2|H12|A4|N5|B|B	H12N5	H12N5	-	2016	AUG	18	host	-	-	Anas georgica	Chile	NULL	MH134767	MH134611	MH134830	MH134842	MH134715	MH134707	MH134607	MH134670
C/Ann Arbor/1/50	ICV	-	-		-	1950	-	-	host	-	-	Homo sapiens	USA	NULL	NC_006307	NC_006308	NC_006309	NC_006310	NC_006311	NC_006312	NC_006306	-
C/Ann Arbor/1/50(2)	ICV	-	-	-	-	1950	-	-	host	-	-	Homo sapiens	USA	NULL	AB126191	AB126192	AB126193		AB126195		M15088	-
C/Biliran/TB2-162/2014	ICV	-	-	-	-	2014	JUN	25	host	nasal swab	-	Homo sapiens	Philippines	Biliran	MZ330887	MZ330886	MZ330885	MZ330881	MZ330883	MZ330882	MZ330884	-
C/Biliran/TB2-180/2014	ICV	-	-	-	-	2014	JUL	7	host	nasal swab	-	Homo sapiens	Philippines	Biliran	MZ330894	MZ330893	MZ330892	MZ330888	MZ330890	MZ330889	MZ330891	-
C/Biliran/TB2-204/2014	ICV	-	-	-	-	2014	JUL	24	host	nasal swab	-	Homo sapiens	Philippines	Biliran	MZ330901	MZ330900	MZ330899	MZ330895	MZ330897	MZ330896	MZ330898	-
C/Biliran/TB2-293/2014	ICV	-	-	-	-	2014	OCT	2	host	nasal swab	-	Homo sapiens	Philippines	Biliran	MZ330908	MZ330907	MZ330906	MZ330902	MZ330904	MZ330903	MZ330905	-
C/Biliran/TB4-024/2017	ICV	-	-	-	-	2017	MAY	16	host	nasal swab	-	Homo sapiens	Philippines	Biliran	MZ330915	MZ330914	MZ330913	MZ330909	MZ330911	MZ330910	MZ330912	-
C/Biliran/TB4-067/2017	ICV	-	-	-	-	2017	JUN	15	host	nasal swab	-	Homo sapiens	Philippines	Biliran	MZ330922	MZ330921	MZ330920	MZ330916	MZ330918	MZ330917	MZ330919	-
C/Biliran/TB4-130/2018	ICV	-	-	-	-	2018	MAR	27	host	nasal swab	-	Homo sapiens	Philippines	Biliran	MZ330929	MZ330928	MZ330927	MZ330923	MZ330925	MZ330924	MZ330926	-
C/Biliran/TB4-169/2018	ICV	-	-	-	-	2018	APR	24	host	nasal swab	-	Homo sapiens	Philippines	Biliran	MZ330936	MZ330935	MZ330934	MZ330930	MZ330932	MZ330931	MZ330933	-
C/Biliran/TB4-271/2019	ICV	-	-	-	-	2019	JUL	8	host	nasal swab	-	Homo sapiens	Philippines	Biliran	MZ330943	MZ330942	MZ330941	MZ330937	MZ330939	MZ330938	MZ330940	-
C/Biliran/TB5-195/2014	ICV	-	-	-	-	2014	JUN	2	host	nasal swab	-	Homo sapiens	Philippines	Biliran	MZ330950	MZ330949	MZ330948	MZ330944	MZ330946	MZ330945	MZ330947	-
C/Biliran/TB5-241/2014	ICV	-	-	-	-	2014	JUN	20	host	nasal swab	-	Homo sapiens	Philippines	Biliran	MZ330957	MZ330956	MZ330955	MZ330951	MZ330953	MZ330952	MZ330954	-
C/Biliran/TB5-312/2017	ICV	-	-	-	-	2017	JUN	13	host	nasal swab	-	Homo sapiens	Philippines	Biliran	MZ330964	MZ330963	MZ330962	MZ330958	MZ330960	MZ330959	MZ330961	-
C/Biliran/TB5-498/2016	ICV	-	-	-	-	2016	JUN	29	host	nasal swab	-	Homo sapiens	Philippines	Biliran	MZ330971	MZ330970	MZ330969	MZ330965	MZ330967	MZ330966	MZ330968	-
C/Biliran/TB5-536/2016	ICV	-	-	-	-	2016	JUL	18	host	nasal swab	-	Homo sapiens	Philippines	Biliran	MZ330978	MZ330977	MZ330976	MZ330972	MZ330974	MZ330973	MZ330975	-
C/Biliran/TB5-625/2016	ICV	-	-	-	-	2016	AUG	23	host	nasal swab	-	Homo sapiens	Philippines	Biliran	MZ330985	MZ330984	MZ330983	MZ330979	MZ330981	MZ330980	MZ330982	-
C/Biliran/TB5-736/2016	ICV	-	-	-	-	2016	OCT	5	host	nasal swab	-	Homo sapiens	Philippines	Biliran	MZ330992	MZ330991	MZ330990	MZ330986	MZ330988	MZ330987	MZ330989	-
C/Biliran/TB8-250/2014	ICV	-	-	-	-	2014	JUL	10	host	nasal swab	-	Homo sapiens	Philippines	Biliran	MZ330999	MZ330998	MZ330997	MZ330993	MZ330995	MZ330994	MZ330996	-
C/Bovine/Montana/12/2016	ICV	-	-	-	-	2016	NOV	18	host	sick calve's nasal swab	-	Bos taurus	USA	Montana	MH348113	MH348114	MH348115	MH348116	MH348117	MH421868	MH348119	-
C/California/78	ICV	-	-	-	-	1978	-	-	host	-	-	Homo sapiens	USA	NULL	LC123294	LC123396	LC123498	LC122634	LC123731	AB000608	M10087	-
C/canine/China/Guangzhou-1/2020	ICV	-	-	-	-	2020	-	-	host	nasal swab	-	Canis familiaris	China	NULL	OK254894	OK254893	OK254892	OK254888	OK254890	OK254889	OK254891	-
C/canine/China/Guangzhou-2/2020	ICV	-	-	-	-	2020	-	-	host	nasal swab	-	Canis familiaris	China	NULL	OK254901	OK254900	OK254899	OK254895	OK254897	OK254896	OK254898	-
C/Eastern India/1202/2011	ICV	-	-	-	-	2011	JUL	15	host	-	-	Homo sapiens	India	NULL	JX947865	JX947864	JX947863	JX947861	JX947862	JX947866	JX947867	-
C/Fukuoka/1/2005	ICV	-	-	-	-	2005	-	-	host	-	-	Homo sapiens	Japan	Fukuoka	LC123347	LC123449	LC123551	LC122653	LC123779	LC123845	LC125009	-
C/Fukuoka/1/2012	ICV	-	-	-	-	2012	-	-	host	-	-	Homo sapiens	Japan	Fukuoka	LC123372	LC123474	LC123576	LC122673	LC123802	LC123870	LC125034	-
C/Fukuoka/2/2006	ICV	-	-	-	-	2006	-	-	host	-	-	Homo sapiens	Japan	Fukuoka	LC123348	LC123450	LC123552	LC122654	LC123780	LC123846	LC125010	-
C/Fukushima/O181/2018	ICV	-	-	-	-	2018	-	-	host	nasopharyngea swab using HBTEC-ALI culture	-	Homo sapiens	Japan	Fukushima	LC720290	LC720289	LC720291	LC720285	LC720287	LC720286	LC720288	-
C/Great Lakes/1167/1954	ICV	-	-	-	-	1954	-	-	host	-	-	Homo sapiens	USA	NULL	LC123284	LC123386	LC123488	LC122633	LC123723	LC123815	LC124978	-
C/India/P119564/2011	ICV	-	-	-	-	2011	JUN	10	host	TS/NS	-	Homo sapiens	India	NULL	KT232082	KT232083	KT232084	KT232085	KT232086	KT232087	KT232088	-
C/India/P121719/2012	ICV	-	-	-	-	2012	FEB	24	host	TS/NS	-	Homo sapiens	India	NULL	KM507545	KM507546	KM507547	KM507548	KM507549	KM507550	KM507551	-
C/India/P135047/2013	ICV	-	-	-	-	2013	APR	25	host	TS/NS	-	Homo sapiens	India	NULL	KM507552	KM507553	KM507554	KM507555	KM507556	KM507557	KM507558	-
C/Iwate/1/2016	ICV	-	-	-	-	2016	-	-	host	-	-	Homo sapiens	Japan	Iwate	LC327652	LC327653	LC327654	LC327655	LC327656	LC327657	LC327658	-
C/Iwate/2/2016	ICV	-	-	-	-	2016	-	-	host	-	-	Homo sapiens	Japan	Iwate	LC327659	LC327660	LC327661	LC327662	LC327663	LC327664	LC327665	-
C/Mississippi/80	ICV	-	-	-	-	1980	-	-	host	-	-	Homo sapiens	USA	NULL	D78393	LC123401	D78392	LC122635	LC123735	AB000720	M31007	-
C/Miyagi/11/2002	ICV	-	-	-	-	2002	-	-	host	-	-	Homo sapiens	Japan	Miyagi	LC123328	LC123430	LC123532	LC122640	LC123762	LC123826	LC124990	-
C/Miyagi/12/2004	ICV	-	-	-	-	2004	-	-	host	-	-	Homo sapiens	Japan	Miyagi	LC123338	LC123440	LC123542	AB252156	LC123771	LC123836	LC125000	-
C/Miyagi/2/2005	ICV	-	-	-	-	2005	-	-	host	-	-	Homo sapiens	Japan	Miyagi	LC123345	LC123447	LC123549	LC122651	LC123777	LC123843	LC125007	-
C/Miyagi/2/2008	ICV	-	-	-	-	2008	-	-	host	-	-	Homo sapiens	Japan	Miyagi	LC123360	LC123462	LC123564	LC122664	LC123791	LC123858	LC125022	-
C/Miyagi/2/2012	ICV	-	-	-	-	2012	-	-	host	-	-	Homo sapiens	Japan	Miyagi	LC123371	LC123473	LC123575	LC122672	LC123801	LC123869	LC125033	-
C/Miyagi/2/2014	ICV	-	-	-	-	2014	-	-	host	-	-	Homo sapiens	Japan	Miyagi	LC123380	LC123482	LC123584	LC122674	LC123810	LC123878	LC125042	-
C/Miyagi/20/2002	ICV	-	-	-	-	2002	-	-	host	-	-	Homo sapiens	Japan	Miyagi	LC123329	LC123431	LC123533	LC122641	LC123763	LC123827	LC124991	-
C/Miyagi/25/2004	ICV	-	-	-	-	2004	-	-	host	-	-	Homo sapiens	Japan	Miyagi	LC123339	LC123441	LC123543	LC122646	LC123772	LC123837	LC125001	-
C/Miyagi/28/2002	ICV	-	-	-	-	2002	-	-	host	-	-	Homo sapiens	Japan	Miyagi	LC123330	LC123432	LC123534	LC122642	LC123764	LC123828	LC124992	-
C/Miyagi/3/2010	ICV	-	-	-	-	2010	-	-	host	-	-	Homo sapiens	Japan	Miyagi	LC123362	LC123464	LC123566	LC122665	LC123792	LC123860	LC125024	-
C/Miyagi/31/2002	ICV	-	-	-	-	2002	-	-	host	-	-	Homo sapiens	Japan	Miyagi	LC123331	LC123433	LC123535	LC122643	LC123765	LC123829	LC124993	-
C/Miyagi/4/2002	ICV	-	-	-	-	2002	JAN	24	host	-	-	Homo sapiens	Japan	Miyagi	LC123327	LC123429	LC123531	LC122639	AB684312	LC123825	LC124989	-
C/Miyagi/4/2005	ICV	-	-	-	-	2005	-	-	host	-	-	Homo sapiens	Japan	Miyagi	LC123346	LC123448	LC123550	LC122652	LC123778	LC123844	LC125008	-
C/Miyagi/4/2006	ICV	-	-	-	-	2006	-	-	host	-	-	Homo sapiens	Japan	Miyagi	LC123354	LC123456	LC123558	LC122659	LC123786	LC123852	LC125016	-
C/Miyagi/42/2004	ICV	-	-	-	-	2004	-	-	host	-	-	Homo sapiens	Japan	Miyagi	LC123340	LC123442	LC123544	AB252157	LC123773	LC123838	LC125002	-
C/Miyagi/47/2004	ICV	-	-	-	-	2004	-	-	host	-	-	Homo sapiens	Japan	Miyagi	LC123341	LC123443	LC123545	LC122647	LC123774	LC123839	LC125003	-
C/Miyagi/5/2014	ICV	-	-	-	-	2014	-	-	host	-	-	Homo sapiens	Japan	Miyagi	LC123381	LC123483	LC123585	LC122675	LC123811	LC123879	LC125043	-
C/Miyagi/6/2014	ICV	-	-	-	-	2014	-	-	host	-	-	Homo sapiens	Japan	Miyagi	LC123382	LC123484	LC123586	LC122676	LC123812	LC123880	LC125044	-
C/Nara/2/85	ICV	-	-	-	-	1985	-	-	host	-	-	Homo sapiens	-	NULL	D30700	D30698	D30695	D30697	D78440	D30701	D78441	-
C/Palawan/061/2015	ICV	-	-	-	-	2015	JUL	3	host	nasal swab	-	Homo sapiens	Philippines	Palawan	MZ331006	MZ331005	MZ331004	MZ331000	MZ331002	MZ331001	MZ331003	-
C/Palawan/068/2014	ICV	-	-	-	-	2014	MAR	18	host	nasal swab	-	Homo sapiens	Philippines	Palawan	MZ331013	MZ331012	MZ331011	MZ331007	MZ331009	MZ331008	MZ331010	-
C/Scotland/6855/2007	ICV	-	-	-	-	2007	-	-	host	respiratory sample	-	Homo sapiens	United Kingdom	NULL	KT835343	KT835338	KT835348	KT835351	KT835360	KT835361	KT835370	-
C/Scotland/7274/2007	ICV	-	-	-	-	2007	-	-	host	respiratory sample	-	Homo sapiens	United Kingdom	NULL	KT835342	KT835339	KT835347	KT835352	KT835358	KT835362	KT835369	-
C/Scotland/7383/2007	ICV	-	-	-	-	2007	-	-	host	respiratory sample	-	Homo sapiens	United Kingdom	NULL	KT835341	KT835337	KT835346	KT835353	KT835356	KT835364	KT835368	-
