cg_subtype	strain_count
B5|E1|A10|H4|A11|N6|B|A	3
B9|E1|A7|H10|A11|N8|B|A	3
B10|E1|A3|H10|A11|N9|B|B	2
B9|E1|A3|H3|A11|N7|B|A	9
A5|D1|A5|H2|A8|N8|A|B	1
A3|D1|A12|H2|A11|N6|A|A	1
A4|D1|A12|H7|A8|N7|A|A	32
B4|E1|A11|H1|A11|N1|B|B	3
B4|E1|A10|H10|A11|N7|B|A	1
B3|E1|A8|H3|A11|N8|B|B	6
A3|D1|A12|H4|A11|N8|A|A	1
A3|D1|A4|H3|A3|N2|B|A	1
B3|E1|A10|H3|A11|N8|B|A	2
B9|E1|A11|H12|A11|N9|B|A	1
B9|E1|A11|H4|A11|N1|B|B	2
A3|D1|A12|H5|A8|N1|A|B	16
B9|E1|A1|H1|A3|N1|B1|X	3
B8|E1|A7|H12|A11|N5|B|B	4
B10|E1|A10|H4|A11|N2|B|A	2
B8|E1|A11|H7|A11|N1|B|B	1
B9|E1|A3|H1|A11|N1|B|A	50
B10|E1|A12|H2|A11|N3|B|B	10
A4|D1|A12|H7|A8|N1|A|A	2
A4|D1|A5|H6|A8|N2|A|A	178
A4|D1|A12|H6|A8|N2|A|B	1
B4|E1|A11|H5|A11|N1|B|A	20
B5|E1|A10|H1|A11|N1|B|A	4
B9|E1|A7|H3|A11|N1|B|B	1
B5|E1|A3|H2|A11|N1|B|A	1
B9|E1|A3|H7|A11|N1|B|A	4
A3|D1|A7|H6|A8|N2|A|B	2
B10|E1|A12|H3|A11|N9|B|A	5
B3|E1|A7|H6|A11|N2|B|A	2
A5|D1|A12|H1|A8|N1|A|A	61
B4|E1|A3|H7|A8|N3|B|A	1
B8|E1|A7|H4|A11|N6|B|B	11
B9|E1|A7|H5|A11|N2|B|B	2
A5|D1|A5|H7|A8|N6|A|A	3
B10|E1|A12|H5|A11|N5|B|B	1
A3|C1|A1|H3|A2|N2|B1|A	1
B10|D1|A7|H3|A11|N8|B|B	5
B9|E1|A11|H5|A11|N1|B|A	1
B9|E1|A11|H9|A11|N5|B|A	2
B5|E1|A10|H9|A11|N5|A|A	2
B10|E1|A11|H10|A11|N6|B|B	1
B8|E1|A7|H3|A11|N8|B|A	12
B10|E1|A3|H7|A8|N1|B|A	1
A3|D1|A4|H1|A8|N2|B|A	102
B9|E1|A11|H6|A11|N1|B|A	26
B4|E1|A7|H10|A11|N1|B|A	1
A3|D1|A12|H10|A8|N8|A|A	5
B8|E1|A12|H3|A11|N8|B|B	1
B8|E1|A11|H3|A11|N6|B|B	1
B10|E1|A12|H11|A11|N9|B|B	3
B10|E1|A3|H2|A11|N5|B|B	2
A5|D1|A12|H12|A8|N2|A|A	11
A3|D1|A5|H2|A8|N7|A|A	2
B1|E1|A2|H7|A5|N3|B|B	1
B9|E1|A11|H5|A11|N8|B|A	1
B4|E1|A8|H5|A11|N2|B|B	19
B9|E1|A11|H5|A11|N2|B|A	35
A2|D1|A6|H2|A8|N7|A|A	1
A4|D1|A12|H5|A8|N6|A|A	274
B9|E1|A7|H6|A11|N1|B|B	1
A3|D1|A12|H8|A8|N2|A|A	1
B10|E1|A11|H1|A11|N8|B|A	16
B1|E1|A10|H6|A4|N1|B|A	6
B5|E1|A10|H9|A11|N1|A|A	6
B9|E1|A12|H9|A11|N2|B|B	1
A1|E1|A8|H13|A7|N2|B|A	1
B3|E1|A7|H7|A11|N3|B|A	2
A5|E1|A12|H1|A8|N2|A|A	2
B4|E1|A11|H11|A11|N9|B|A	1
B9|E1|A3|H2|A11|N9|B|A	2
A3|D1|A12|H10|A8|N8|B|B	2
B10|E1|A3|H1|A11|N1|B|A	43
A5|D1|A12|H8|A11|N4|A|A	2
A4|D1|A12|H6|A8|N6|A|A	80
B9|E1|A3|H12|A11|N5|B|A	23
B9|E1|A3|H5|A11|N2|B|B	12
B5|C1|A7|H1|A3|N2|B|X	9
B10|E1|A10|H6|A11|N5|B|B	2
B4|E1|A11|H4|A11|N5|B|A	1
B7|C1|A7|H1|A3|N2|A|A	1
A5|D1|A12|H11|A8|N8|A|A	3
B8|E1|A11|H7|A11|N9|B|B	1
A5|E1|A12|H6|A8|N2|A|A	2
A5|D1|A12|H6|A11|N8|A|B	2
B9|E1|A7|H12|A11|N4|B|B	1
A3|D1|A4|H3|A8|N2|A|X	1
A3|D1|A12|H1|A8|N3|A|A	10
B2|C1|A1|H1|A2|N2|B|A	1
B10|E1|A3|H7|A11|N3|B|A	119
B9|E1|A7|H4|A11|N6|B|A	19
B4|E1|A11|H2|A11|N5|B|A	1
B9|E1|A3|H12|A11|N4|B|A	5
B5|C1|A7|H3|A3|N2|A|X	1
B10|E1|A3|H11|A11|N9|B|A	28
B8|E1|A10|H6|A11|N6|B|A	1
B9|E1|A10|H6|A8|N8|B|A	1
B9|E1|A3|H4|A8|N6|B|B	1
A3|D1|A7|H3|A11|N8|A|A	1
B4|E1|A11|H10|A11|N3|B|A	2
B10|E1|A11|H7|A11|N6|B|A	9
B10|E1|A3|H7|A11|N1|B|A	15
B9|E1|A11|H10|A11|N4|B|A	1
B10|E1|A7|H8|A11|N4|B|A	2
A3|D1|A12|H7|A8|N3|A|B	4
A5|D1|A12|H9|A8|N2|A|B	13
B2|E1|A1|H2|A2|N2|B2|A	85
B9|E1|A10|H12|A11|N9|B|B	1
B3|E1|A7|H8|A11|N4|B|A	2
B9|E1|A7|H3|A11|N3|B|A	2
B3|E1|A10|H2|A11|N8|A|A	1
B9|A1|A1|H1|A2|N1|B|A	1
A3|D1|A12|H9|A8|N6|A|A	1
B8|E1|A7|H6|A11|N2|B|B	2
A4|D1|A12|H4|A8|N6|A|A	2
B10|E1|A3|H3|A11|N6|B|A	16
A4|E1|A12|H6|A11|N8|B|B	1
A5|D1|A12|H9|A8|N8|A|B	1
B9|E1|A11|H3|A11|N1|B|B	1
B8|E1|A3|H3|A11|N8|B|B	12
B3|D1|A1|H3|A3|N1|B1|X	1
A4|D1|A7|H5|A8|N8|A|A	1
B9|E1|A12|H8|A11|N4|B|A	1
A3|D1|A12|H5|A8|N3|A|B	4
B9|E1|A11|H10|A11|N7|B|A	6
A3|D1|A7|H5|A8|N1|A|A	3
B10|E1|A10|H5|A11|N8|B|A	3
B10|E1|A2|H10|A5|N2|B|A	1
B8|E1|A11|H6|A11|N1|B|B	2
B8|E1|A3|H11|A11|N7|B|B	1
B4|E1|A7|H7|A11|N3|B|A	3
B10|E1|A11|H1|A11|N1|B|B	82
B9|E1|A8|H11|A11|N9|B|A	4
A4|E1|A7|H4|A8|N6|A|A	1
A3|D1|A7|H7|A8|N2|A|B	17
B5|E1|A11|H6|A11|N2|B|A	1
B5|E1|A3|H11|A11|N1|B|A	3
B1|E1|A2|H12|A4|N5|B|B	2
A3|D1|A5|H11|A8|N2|A|A	1
B4|E1|A10|H4|A11|N9|B|A	5
B9|E1|A3|H4|A11|N1|B|A	2
B8|E1|A7|H6|A11|N3|B|B	1
B1|E1|A2|H1|A4|N1|B|A	2
B10|E1|A11|H2|A11|N3|B|A	36
A3|D1|A4|H1|A3|N2|B|A	3
B8|E1|A7|H4|A11|N1|B|B	1
B10|E1|A3|H2|A11|N1|B|A	1
B10|E1|A11|H3|A11|N6|B|A	10
B9|E1|A10|H8|A11|N4|B|A	12
B2|C1|A1|H1|A2|N2|B1|A	1
A5|D1|A12|H4|A11|N2|A|A	1
B9|E1|A10|H14|A11|N2|B|B	1
A5|D1|A12|H7|A8|N9|A|A	22
B9|E1|A11|H6|A11|N4|B|A	1
B9|E1|A7|H11|A11|N8|B|B	9
A4|D1|A12|H10|A8|N2|A|A	1
A5|D1|A5|H10|A8|N3|A|A	1
A4|E1|A5|H9|A8|N2|A|A	21
B10|E1|A10|H5|A11|N2|B|B	2
B4|E1|A11|H6|A11|N9|B|A	1
A3|D1|A12|H3|A8|N6|A|B	4
B8|E1|A11|H5|A11|N2|B|A	1
B9|E1|A11|H10|A11|N1|B|A	1
B4|E1|A3|H2|A11|N3|B|A	3
B2|B1|A1|H1|A2|N2|B2|A	2
B10|E1|A11|H5|A11|N1|B|A	5
B9|E1|A10|H3|A11|N2|B|B	1
A3|E1|A7|H7|A8|N3|A|A	1
A5|E1|A3|H3|A11|N8|B|B	2
B4|E1|A10|H3|A11|N6|B|A	4
B10|E1|A11|H11|A11|N2|B|B	1
B7|C1|A1|H1|A2|N1|B|A	1
B10|E1|A12|H13|A7|N8|A|A	2
A3|D1|A12|H10|A8|N4|A|A	12
B10|E1|A11|H5|A11|N1|B|B	1
B1|E1|A2|H1|A5|N1|B|B	4
A5|D1|A12|H1|A8|N3|A|A	7
B10|E1|A12|H7|A11|N7|B|A	1
A5|D1|A12|H2|A8|N7|B|A	2
A5|D1|A12|H3|A8|N6|A|A	29
A3|D1|A4|H3|A11|N2|B|X	6
B10|D1|A12|H9|A8|N7|B|A	1
A4|D1|A12|H1|A8|N1|A|B	1
A3|E1|A12|H10|A8|N8|A|A	2
B4|E1|A8|H11|A11|N9|B|A	18
B4|E1|A3|H6|A11|N8|A|A	2
B10|E1|A3|H10|A11|N8|B|B	4
B6|D1|A7|H5|A3|N2|B1|B	1
B3|C1|A1|H1|A2|N2|B2|A	1
B10|E1|A3|H2|A11|N9|B|B	4
B10|E1|A11|H10|A11|N3|B|B	2
B10|E1|A7|H3|A11|N8|B|B	30
A5|D1|A12|H4|A8|N1|A|A	5
B10|E1|A11|H4|A11|N2|B|B	5
B10|E1|A11|H4|A11|N3|B|A	3
B4|E1|A10|H3|A11|N6|B|B	1
B4|E1|A3|H3|A11|N2|A|A	2
B9|E1|A11|H11|A11|N3|B|B	1
B9|E1|A11|H12|A11|N8|B|A	1
B5|E1|A10|H11|A11|N9|B|B	5
B10|E1|A7|H11|A11|N2|B|A	12
B9|E1|A7|H14|A11|N3|B|A	1
B3|D1|A8|H1|A3|N1|B1|X	1
B4|E1|A10|H11|A11|N9|B|B	1
B9|E1|A11|H4|A11|N6|B|A	66
B9|E1|A7|H1|A11|N1|B|B	6
B4|D1|A10|H3|A11|N6|B|A	2
A3|D1|A7|H6|A8|N2|A|A	1
B4|E1|A8|H3|A11|N8|B|A	3
B5|E1|A12|H9|A11|N5|B|A	1
B4|E1|A10|H1|A11|N1|B|B	5
B3|E1|A8|H6|A11|N3|B|A	4
B8|E1|A3|H7|A11|N4|B|A	3
A3|D1|A12|H11|A11|N5|A|B	1
B4|E1|A11|H1|A8|N2|B|A	1
B3|D1|A3|H3|A11|N3|B|A	1
B1|E1|A2|H4|A4|N6|B|A	4
B9|E1|A10|H6|A11|N5|B|B	1
B10|E1|A3|H4|A8|N8|B|B	1
B5|C1|A7|H1|A3|N2|A|X	3
B10|E1|A3|H3|A11|N3|B|A	1
B7|C1|A7|H3|A3|N2|A|A	2
B10|D1|A12|H13|A7|N6|A|A	1
A5|D1|A12|H9|A8|N1|A|B	2
B10|E1|A7|H2|A11|N3|B|A	1
B9|E1|A11|H6|A11|N8|B|B	2
A3|D1|A4|H1|A8|N1|B|A	58
B9|E1|A3|H8|A11|N4|B|A	18
A5|D1|A12|H1|A8|N1|A|B	28
A5|E1|A12|H3|A11|N3|B|B	1
B8|E1|A7|H12|A11|N4|B|A	1
A5|D1|A12|H6|A8|N5|A|B	7
B10|E1|A7|H8|A11|N4|B|B	1
B10|E1|A3|H3|A8|N8|B|B	58
B10|E1|A10|H7|A11|N3|B|A	6
B10|E1|A12|H3|A11|N8|A|A	1
A5|D1|A5|H5|A8|N2|A|A	15
A4|E1|A12|H3|A8|N8|A|A	2
A3|D1|A7|H3|A11|N8|B|A	2
A5|D1|A12|H7|A8|N1|A|B	129
B9|E1|A7|H9|A11|N2|B|A	6
B8|E1|A3|H8|A11|N4|B|A	3
A5|D1|A12|H10|A8|N7|B|A	1
B10|E1|A11|H11|A11|N3|B|B	3
A3|D1|A12|H4|A11|N6|A|A	2
B10|D1|A3|H9|A11|N2|B|A	1
B10|E1|A11|H2|A11|N9|B|B	1
B5|E1|A7|H1|A11|N1|B|B	1
B10|E1|A3|H8|A11|N4|B|A	16
A5|E1|A12|H5|A11|N2|B|B	1
A2|E1|A6|H13|A7|N2|A|A	7
B5|E1|A3|H9|A11|N2|B|B	2
A5|D1|A12|H10|A8|N7|A|B	4
B8|E1|A10|H9|A11|N9|B|A	1
A3|B1|A12|H7|A9|N6|A|A	1
B9|E1|A3|H1|A11|N9|B|A	14
B9|E1|A11|H10|A11|N1|B|B	1
B1|E1|A2|H7|A5|N3|B|A	2
A5|D1|A12|H12|A8|N1|A|B	1
A5|D1|A12|H2|A8|N1|A|A	1
B8|E1|A7|H11|A11|N2|B|B	1
B4|E1|A10|H3|A11|N2|B|A	3
B5|E1|A10|H1|A11|N5|B|B	1
B10|E1|A11|H11|A11|N8|B|A	1
B4|E1|A3|H8|A11|N1|B|B	1
A3|D1|A12|H6|A8|N2|A|B	3
B4|E1|A3|H10|A11|N2|B|A	1
B4|E1|A11|H3|A11|N2|B|B	1
B10|E1|A3|H5|A11|N8|A|A	1
B10|E1|A12|H13|A8|N8|A|A	1
A2|E1|A12|H13|A7|N2|A|A	6
B9|E1|A10|H12|A11|N8|B|A	1
B4|E1|A3|H6|A11|N3|B|A	1
B10|E1|A10|H2|A11|N3|B|A	4
B10|E1|A11|H7|A11|N2|B|A	1
B8|E1|A3|H3|A1|N8|B|A	1
A5|D1|A12|H9|A8|N1|B|A	1
A3|D1|A12|H11|A6|N9|A|A	3
B10|E1|A11|H1|A11|N2|B|B	4
A4|B1|A7|H5|A9|N2|A|A	1
A5|E1|A12|H11|A7|N8|A|A	1
A3|E1|A12|H4|A8|N6|A|A	1
B7|B1|A1|H1|A2|N1|B2|A	1
A3|D1|A12|H11|A11|N2|A|A	2
A5|D1|A12|H11|A11|N8|A|A	1
B10|E1|A11|H3|A11|N6|B|B	8
B10|E1|A10|H10|A8|N7|B|B	1
B8|E1|A3|H4|A11|N6|B|A	16
B8|E1|A3|H7|A11|N3|B|A	5
B9|E1|A3|H1|A11|N2|B|B	1
B3|E1|A7|H3|A11|N8|B|A	5
A5|D1|A12|H5|A11|N2|A|A	3
A5|D1|A12|H5|A8|N1|A|B	3
B8|E1|A3|H10|A11|N7|B|A	3
A5|D1|A12|H11|A8|N1|A|B	1
A5|D1|A12|H11|A8|N1|A|A	5
B8|E1|A3|H4|A11|N6|B|B	6
B10|E1|A3|H13|A7|N8|A|A	1
A3|B1|A12|H7|A9|N7|A|A	1
A3|D1|A5|H10|A8|N9|A|A	1
B8|E1|A7|H4|A11|N2|B|B	2
B10|E1|A10|H3|A11|N6|B|A	4
B3|E1|A12|H1|A3|N1|B1|X	2
A3|D1|A4|H1|A8|N1|B1|A	1
B2|C1|A1|H3|A2|N2|B2|X	7
B8|E1|A12|H6|A11|N2|B|A	1
B8|E1|A3|H4|A11|N8|B|A	5
B10|E1|A3|H6|A11|N2|B|A	11
B9|E1|A3|H7|A11|N6|B|A	1
B3|E1|A7|H6|A11|N1|B|A	1
B9|E1|A3|H6|A11|N2|B|A	15
B10|E1|A11|H10|A11|N7|B|A	5
B6|C1|A7|H3|A3|N2|A|X	11
A3|E1|A7|H4|A8|N6|A|A	1
B2|A1|A1|H9|A2|N1|B|A	1
B9|E1|A3|H12|A8|N5|B|A	1
B8|D1|A12|H5|A8|N1|A|A	1
B9|E1|A10|H3|A11|N6|B|B	1
A4|D1|A12|H1|A8|N1|B|A	1
B4|E1|A10|H9|A11|N2|B|A	1
B8|E1|A8|H4|A11|N2|B|B	1
A5|D1|A12|H6|A8|N5|A|A	13
B9|E1|A3|H4|A11|N3|B|A	2
B8|E1|A10|H3|A11|N8|B|B	7
A3|D1|A12|H6|A8|N5|A|A	1
B8|E1|A7|H3|A11|N2|B|B	1
B9|E1|A10|H10|A11|N7|B|A	25
A5|D1|A12|H3|A8|N1|A|B	4
B7|D1|A7|H3|A3|N1|A|A	1
A5|D1|A12|H1|A11|N7|A|A	2
B10|E1|A10|H10|A11|N7|B|A	2
A5|D1|A12|H4|A8|N9|A|A	4
B10|E1|A3|H1|A11|N2|B|B	4
A5|D1|A5|H7|A8|N8|A|A	1
A3|D1|A5|H4|A8|N6|A|A	13
B5|E1|A3|H3|A11|N8|B|A	6
B10|E1|A11|H3|A11|N2|B|A	9
A5|D1|A12|H5|A11|N1|A|A	2
B10|E1|A3|H5|A11|N5|B|A	1
B10|E1|A3|H11|A11|N8|B|B	1
B10|E1|A3|H1|A11|N2|B|A	3
B5|E1|A11|H2|A11|N8|B|A	1
B4|E1|A3|H6|A11|N6|B|A	1
B3|E1|A10|H3|A11|N9|B|B	1
A5|D1|A12|H4|A8|N6|A|B	144
A3|D1|A12|H4|A11|N7|B|A	1
B4|E1|A11|H4|A11|N6|B|B	8
B10|E1|A3|H2|A11|N6|B|A	2
B3|E1|A3|H3|A11|N2|B|A	2
B3|E1|A11|H3|A11|N2|B|A	1
B10|E1|A10|H11|A11|N2|B|B	3
B4|E1|A12|H3|A11|N8|B|B	2
A5|D1|A12|H10|A8|N6|A|B	2
B8|E1|A3|H5|A11|N2|B|A	13
B9|E1|A12|H4|A11|N6|B|B	2
B8|A1|A2|H11|A11|N2|B|A	4
A3|D1|A4|H1|A8|N1|A|X	22
A5|D1|A12|H1|A8|N8|A|B	1
A4|E1|A3|H1|A11|N2|A|A	3
B4|E1|A10|H8|A11|N4|B|B	1
B10|E1|A10|H6|A11|N2|B|A	3
B5|E1|A8|H6|A11|N2|B|A	1
A5|D1|A12|H9|A8|N3|B|A	2
B10|E1|A3|H6|A11|N9|B|B	2
B10|E1|A11|H5|A8|N2|B|A	2
B10|E1|A7|H4|A11|N6|B|B	45
B10|E1|A11|H5|A11|N3|B|A	4
B8|E1|A7|H6|A11|N5|B|A	1
A3|D1|A12|H5|A8|N6|A|X	6
B4|E1|A10|H3|A11|N8|B|A	6
B9|E1|A12|H9|A11|N1|B|B	1
B10|E1|A7|H1|A11|N1|B|A	7
A5|E1|A5|H9|A8|N2|A|A	41
A1|D1|A3|H13|A7|N6|B|A	1
A5|D1|A12|H11|A8|N6|A|A	2
B4|E1|A10|H11|A11|N8|B|B	1
B9|E1|A3|H4|A11|N7|B|A	1
B8|E1|A7|H3|A11|N6|B|A	5
B9|E1|A10|H4|A11|N2|B|A	5
B4|E1|A10|H1|A11|N1|B|A	7
B9|E1|A3|H1|A11|N3|B|A	4
A3|D1|A5|H5|A8|N1|A|A	13
A5|D1|A12|H6|A8|N1|A|B	14
B4|E1|A3|H6|A11|N1|B|A	6
A3|D1|A7|H5|A8|N3|A|A	1
B8|E1|A7|H12|A11|N1|B|A	1
B10|E1|A3|H6|A11|N2|B|B	12
B5|E1|A7|H2|A11|N3|B|A	5
A5|D1|A12|H1|A11|N4|A|B	1
A5|E1|A12|H2|A8|N1|A|A	1
B8|D1|A1|H1|A3|N1|B1|X	7
B4|E1|A7|H6|A11|N4|B|A	1
B8|E1|A12|H3|A11|N8|B|A	1
B8|E1|A11|H3|A8|N8|B|B	1
B9|E1|A7|H3|A11|N2|B|B	2
B9|E1|A3|H3|A11|N6|B|A	21
B5|E1|A3|H4|A11|N2|B|A	1
B8|E1|A7|H5|A11|N8|B|A	1
A3|B1|A12|H4|A9|N6|A|A	1
A5|D1|A12|H10|A8|N2|A|A	9
A4|D1|A12|H9|A8|N1|A|A	2
B8|E1|A7|H8|A11|N4|B|A	2
B2|C1|A1|H3|A3|N2|B2|A	2
A3|D1|A12|H6|A8|N1|A|B	4
B3|D1|A1|H3|A3|N2|B1|X	1
B3|E1|A10|H2|A11|N1|B|A	2
A5|D1|A12|H1|A11|N1|A|B	4
B9|E1|A3|H3|A11|N1|B|B	2
A5|D1|A7|H7|A8|N7|A|A	2
B4|E1|A3|H10|A11|N7|B|A	1
B4|E1|A11|H11|A11|N2|A|A	3
B10|E1|A10|H1|A11|N1|B|B	3
B4|E1|A11|H11|A11|N2|B|A	1
B4|E1|A11|H3|A11|N8|B|B	8
B9|E1|A11|H3|A11|N6|B|B	7
B8|E1|A7|H5|A11|N2|B|A	5
B5|E1|A1|H1|A3|N1|A|A	1
B5|E1|A7|H4|A11|N2|B|A	2
A4|D1|A12|H5|A8|N3|A|B	1
B10|E1|A11|H3|A11|N1|B|B	2
A5|E1|A12|H6|A8|N6|A|A	2
B4|E1|A3|H11|A11|N4|B|A	1
B4|E1|A10|H5|A11|N6|B|B	2
B10|E1|A3|H9|A11|N4|B|A	1
B10|E1|A7|H6|A11|N1|B|B	9
B9|E1|A10|H9|A11|N2|B|B	1
A3|D1|A4|H1|A11|N1|B|A	29
B10|E1|A11|H4|A11|N1|B|A	4
B5|E1|A10|H3|A11|N9|B|A	1
A4|D1|A12|H9|A8|N6|A|A	12
A3|D1|A12|H6|A11|N2|A|B	1
B9|E1|A10|H10|A11|N6|B|A	1
B9|E1|A11|H7|A11|N7|B|B	1
B4|D1|A12|H2|A8|N7|A|A	1
A5|D1|A12|H7|A8|N4|A|A	1
B9|E1|A11|H3|A11|N8|B|A	30
A3|D1|A4|H1|A8|N1|A|A	465
A3|D1|A12|H4|A11|N2|A|A	1
A5|E1|A12|H5|A8|N2|B|A	1
B10|E1|A10|H9|A11|N3|B|A	1
B2|C1|A1|H3|A2|N2|B1|A	10
A3|D1|A7|H4|A11|N8|B|A	2
A4|D1|A5|H9|A8|N6|A|A	13
B5|E1|A3|H6|A11|N8|B|A	3
B9|E1|A7|H2|A11|N2|B|A	1
A4|E1|A3|H7|A11|N1|B|A	1
A5|D1|A10|H3|A8|N2|A|A	1
B5|E1|A10|H2|A11|N3|B|A	2
B2|C1|A1|H7|A2|N9|A|A	1
B9|E1|A12|H4|A11|N2|B|A	1
B4|E1|A3|H4|A11|N4|B|A	1
A5|E1|A7|H5|A11|N2|B|A	3
B10|E1|A3|H10|A11|N5|B|A	23
B5|E1|A3|H11|A11|N2|A|A	1
B3|E1|A7|H7|A11|N9|B|A	2
B4|E1|A11|H6|A11|N2|B|B	1
B1|E1|A2|H7|A4|N9|B|A	1
B4|D1|A3|H3|A11|N8|B|B	2
B8|E1|A10|H12|A11|N5|B|B	1
A5|D1|A12|H3|A8|N5|A|A	1
A5|D1|A12|H2|A8|N5|B|A	1
B5|E1|A12|H9|A11|N5|A|A	2
A5|D1|A12|H5|A11|N3|A|A	4
B4|E1|A11|H7|A11|N3|B|A	1
B1|E1|A2|H1|A5|N9|B|B	1
A3|E1|A12|H7|A11|N7|A|B	2
A3|D1|A12|H9|A11|N1|A|A	1
B10|E1|A11|H6|A11|N1|B|B	31
B10|E1|A7|H3|A11|N8|B|A	24
B1|E1|A2|H1|A4|N9|B|B	1
B10|E1|A10|H3|A11|N2|B|B	1
B4|E1|A8|H5|A11|N2|B|A	1
B9|E1|A11|H12|A8|N8|B|B	1
B10|E1|A3|H6|A11|N3|B|A	1
A5|D1|A12|H7|A8|N7|A|A	93
B9|E1|A12|H9|A11|N5|B|A	3
A4|E1|A12|H10|A8|N4|A|A	1
B8|E1|A3|H10|A11|N3|B|A	6
B9|E1|A10|H7|A11|N3|B|A	31
B9|E1|A7|H9|A11|N1|B|A	4
B10|E1|A3|H10|A11|N7|B|A	5
A5|D1|A12|H9|A11|N3|A|A	2
B9|E1|A3|H2|A11|N3|B|A	22
B9|E1|A7|H4|A11|N8|B|A	2
B8|E1|A11|H4|A11|N6|B|A	7
B9|E1|A12|H5|A11|N2|B|A	2
B10|E1|A3|H4|A11|N6|B|B	72
A5|D1|A12|H7|A11|N7|A|A	1
B4|E1|A3|H4|A8|N6|B|A	2
B4|E1|A7|H3|A11|N8|B|B	24
A3|D1|A5|H7|A8|N1|A|A	1
A5|D1|A5|H7|A8|N3|A|B	1
A4|D1|A5|H6|A8|N8|A|A	1
B4|E1|A3|H7|A11|N7|B|A	1
A5|D1|A12|H12|A8|N1|A|A	5
B8|E1|A7|H7|A11|N3|B|A	5
A5|E1|A12|H7|A7|N6|A|B	1
B10|E1|A10|H4|A11|N6|B|B	18
A5|D1|A5|H6|A8|N9|A|A	1
B8|E1|A3|H7|A11|N6|B|A	3
B10|E1|A3|H6|A11|N8|B|A	4
A3|D1|A7|H12|A8|N5|A|A	1
A5|D1|A12|H3|A8|N8|A|B	69
A5|D1|A12|H6|A8|N8|A|B	40
A5|D1|A5|H7|A8|N3|A|A	11
B3|E1|A3|H3|A11|N1|B|A	1
B5|E1|A10|H4|A11|N8|B|A	1
B9|E1|A7|H4|A11|N2|B|B	2
B9|E1|A7|H12|A11|N5|B|A	1
B9|E1|A11|H2|A11|N3|B|B	1
B10|E1|A7|H10|A8|N3|B|B	1
A5|D1|A12|H12|A8|N5|A|B	7
B10|E1|A3|H6|A11|N8|B|B	5
B10|E1|A12|H4|A11|N8|B|A	1
