sequenceID	full_name	isolate	gb_segment	rec_segment	rec_subtype	gb_subtype	length
AB252161	Influenza C virus (C/Kanagawa/2/2004)	C/Kanagawa/2/2004	4	4	Kanagawa	-	1926
AB252162	Influenza C virus (C/Osaka/2/2004)	C/Osaka/2/2004	4	4	Kanagawa	-	1926
AB252163	Influenza C virus (C/Hiroshima/4/2004)	C/Hiroshima/4/2004	4	4	Kanagawa	-	1926
AB252165	Influenza C virus (C/Fukuoka/3/2004)	C/Fukuoka/3/2004	4	4	Kanagawa	-	1926
AB899778	Influenza C virus (C/Yamagata/7/2002)	C/Yamagata/7/2002	-	4	Kanagawa	-	1926
AB899779	Influenza C virus (C/Yamagata/14/2004)	C/Yamagata/14/2004	-	4	Kanagawa	-	1926
AB899781	Influenza C virus (C/Yamagata/4/2012)	C/Yamagata/4/2012	-	4	Kanagawa	-	1986
CY239417	Influenza C virus (C/Minnesota/01/2014)	C/Minnesota/01/2014	4	4	Kanagawa	-	1971
CY239418	Influenza C virus (C/Minnesota/01/2015)	C/Minnesota/01/2015	4	4	Kanagawa	-	2009
CY239421	Influenza C virus (C/Minnesota/02/2015)	C/Minnesota/02/2015	4	4	Kanagawa	-	1990
CY239422	Influenza C virus (C/Minnesota/03/2015)	C/Minnesota/03/2015	4	4	Kanagawa	-	2026
CY239427	Influenza C virus (C/Minnesota/05/2015)	C/Minnesota/05/2015	4	4	Kanagawa	-	2000
CY239428	Influenza C virus (C/Minnesota/06/2015)	C/Minnesota/06/2015	4	4	Kanagawa	-	1946
CY239430	Influenza C virus (C/Minnesota/07/2015)	C/Minnesota/07/2015	4	4	Kanagawa	-	1946
CY239436	Influenza C virus (C/Minnesota/10/2015)	C/Minnesota/10/2015	4	4	Kanagawa	-	1987
CY239438	Influenza C virus (C/Minnesota/12/2015)	C/Minnesota/12/2015	4	4	Kanagawa	-	2037
CY239440	Influenza C virus (C/Minnesota/13/2015)	C/Minnesota/13/2015	4	4	Kanagawa	-	2038
CY239442	Influenza C virus (C/Minnesota/14/2015)	C/Minnesota/14/2015	4	4	Kanagawa	-	2035
CY239444	Influenza C virus (C/Minnesota/15/2015)	C/Minnesota/15/2015	4	4	Kanagawa	-	2036
CY239452	Influenza C virus (C/Minnesota/20/2015)	C/Minnesota/20/2015	4	4	Kanagawa	-	2033
CY239461	Influenza C virus (C/Minnesota/25/2015)	C/Minnesota/25/2015	4	4	Kanagawa	-	2001
CY239463	Influenza C virus (C/Minnesota/26/2015)	C/Minnesota/26/2015	4	4	Kanagawa	-	2033
CY239465	Influenza C virus (C/Minnesota/03/2014)	C/Minnesota/03/2014	4	4	Kanagawa	-	2038
CY239467	Influenza C virus (C/Minnesota/04/2014)	C/Minnesota/04/2014	4	4	Kanagawa	-	2040
CY239469	Influenza C virus (C/Minnesota/27/2015)	C/Minnesota/27/2015	4	4	Kanagawa	-	2040
CY239471	Influenza C virus (C/Minnesota/28/2015)	C/Minnesota/28/2015	4	4	Kanagawa	-	2040
CY239475	Influenza C virus (C/Minnesota/30/2015)	C/Minnesota/30/2015	4	4	Kanagawa	-	2043
CY239477	Influenza C virus (C/Minnesota/31/2015)	C/Minnesota/31/2015	4	4	Kanagawa	-	2038
CY239479	Influenza C virus (C/Minnesota/32/2015)	C/Minnesota/32/2015	4	4	Kanagawa	-	2041
CY239484	Influenza C virus (C/Minnesota/01/2016)	C/Minnesota/01/2016	4	4	Kanagawa	-	2031
D63471	Influenza C virus (C/Miyagi/77)	C/Miyagi/77	-	4	Kanagawa	-	1974
GQ853452	Influenza C virus (C/Singapore/DSO-070203/2006)	C/Singapore/DSO-070203/2006	4	4	Kanagawa	-	1988
GQ853453	Influenza C virus (C/Singapore/DSO-070170/2006)	C/Singapore/DSO-070170/2006	4	4	Kanagawa	-	1983
GQ853454	Influenza C virus (C/Singapore/DSO-070193/2006)	C/Singapore/DSO-070193/2006	4	4	Kanagawa	-	1997
GQ853455	Influenza C virus (C/Singapore/DSO-050530/2006)	C/Singapore/DSO-050530/2006	4	4	Kanagawa	-	1987
HM748623	Influenza C virus (C/Catalonia/1824/2009)	C/Catalonia/1824/2009	4	4	Kanagawa	-	1946
HM748624	Influenza C virus (C/Catalonia/1754/2009)	C/Catalonia/1754/2009	4	4	Kanagawa	-	1946
HM748625	Influenza C virus (C/Catalonia/1945/2009)	C/Catalonia/1945/2009	4	4	Kanagawa	-	1946
HM748626	Influenza C virus (C/Catalonia/2072/2009)	C/Catalonia/2072/2009	4	4	Kanagawa	-	1946
HM748627	Influenza C virus (C/Catalonia/1372/2009)	C/Catalonia/1372/2009	4	4	Kanagawa	-	1946
HM748628	Influenza C virus (C/Catalonia/1373/2009)	C/Catalonia/1373/2009	4	4	Kanagawa	-	1946
HM748629	Influenza C virus (C/Catalonia/1266/2009)	C/Catalonia/1266/2009	4	4	Kanagawa	-	1946
HM748633	Influenza C virus (C/Catalonia/1457/2009)	C/Catalonia/1457/2009	4	4	Kanagawa	-	1946
HM748634	Influenza C virus (C/Catalonia/2588/2010)	C/Catalonia/2588/2010	4	4	Kanagawa	-	1946
JX080409	Influenza C virus (C/Alberta/2921/2011)	C/Alberta/2921/2011	4	4	Kanagawa	-	1807
JX080410	Influenza C virus (C/Alberta/3087/2011)	C/Alberta/3087/2011	4	4	Kanagawa	-	1807
JX080412	Influenza C virus (C/Alberta/4753/2011)	C/Alberta/4753/2011	4	4	Kanagawa	-	1807
JX080413	Influenza C virus (C/Alberta/4941/2011)	C/Alberta/4941/2011	4	4	Kanagawa	-	1807
JX080414	Influenza C virus (C/Alberta/10161/2011)	C/Alberta/10161/2011	4	4	Kanagawa	-	1807
JX129180	Influenza C virus (C/Milan/128/2009)	C/Milan/128/2009	4	4	Kanagawa	-	957
JX129181	Influenza C virus (C/Milan/550/2008)	C/Milan/550/2008	4	4	Kanagawa	-	957
JX947861	Influenza C virus (C/Eastern India/1202/2011)	C/Eastern India/1202/2011	4	4	Kanagawa	-	1944
KM507555	Influenza C virus (C/India/P135047/2013)	C/India/P135047/2013	4	4	Kanagawa	-	1942
KT835350	Influenza C virus (C/Scotland/5500/2007)	C/Scotland/5500/2007	4	4	Kanagawa	-	1817
KT835353	Influenza C virus (C/Scotland/7383/2007)	C/Scotland/7383/2007	4	4	Kanagawa	-	1817
LC013254	Influenza C virus (C/Yamagata/13/2014)	C/Yamagata/13/2014	-	4	Kanagawa	-	1986
LC013255	Influenza C virus (C/Yamagata/14/2014)	C/Yamagata/14/2014	-	4	Kanagawa	-	1986
LC013257	Influenza C virus (C/Yamagata/16/2014)	C/Yamagata/16/2014	-	4	Kanagawa	-	1986
LC013261	Influenza C virus (C/Yamagata/35/2014)	C/Yamagata/35/2014	-	4	Kanagawa	-	1986
LC122638	Influenza C virus (C/Yamagata/5/2002)	C/Yamagata/5/2002	4	4	Kanagawa	-	1926
LC122639	Influenza C virus (C/Miyagi/4/2002)	C/Miyagi/4/2002	4	4	Kanagawa	-	1926
LC122640	Influenza C virus (C/Miyagi/11/2002)	C/Miyagi/11/2002	4	4	Kanagawa	-	1926
LC122642	Influenza C virus (C/Miyagi/28/2002)	C/Miyagi/28/2002	4	4	Kanagawa	-	1926
LC122643	Influenza C virus (C/Miyagi/31/2002)	C/Miyagi/31/2002	4	4	Kanagawa	-	1926
LC122646	Influenza C virus (C/Miyagi/25/2004)	C/Miyagi/25/2004	4	4	Kanagawa	-	1926
LC122647	Influenza C virus (C/Miyagi/47/2004)	C/Miyagi/47/2004	4	4	Kanagawa	-	1926
LC122649	Influenza C virus (C/Yamagata/2/2005)	C/Yamagata/2/2005	4	4	Kanagawa	-	1964
LC122651	Influenza C virus (C/Miyagi/2/2005)	C/Miyagi/2/2005	4	4	Kanagawa	-	1964
LC122652	Influenza C virus (C/Miyagi/4/2005)	C/Miyagi/4/2005	4	4	Kanagawa	-	1986
LC122654	Influenza C virus (C/Fukuoka/2/2006)	C/Fukuoka/2/2006	4	4	Kanagawa	-	1964
LC122655	Influenza C virus (C/Yamagata/1/2006)	C/Yamagata/1/2006	4	4	Kanagawa	-	1986
LC122657	Influenza C virus (C/Yamagata/13/2006)	C/Yamagata/13/2006	4	4	Kanagawa	-	1986
LC122667	Influenza C virus (C/Yamagata/1/2012)	C/Yamagata/1/2012	4	4	Kanagawa	-	1986
LC122669	Influenza C virus (C/Yamagata/7/2012)	C/Yamagata/7/2012	4	4	Kanagawa	-	1986
LC122671	Influenza C virus (C/Yamagata/28/2012)	C/Yamagata/28/2012	4	4	Kanagawa	-	1986
LC122674	Influenza C virus (C/Miyagi/2/2014)	C/Miyagi/2/2014	4	4	Kanagawa	-	1986
LC603648	Influenza C virus	C/Yamagata/29/2004	4	4	Kanagawa	-	1986
LC630941	Influenza C virus	C/Yamagata/8/2002	4	4	Kanagawa	-	1986
LC739888	Influenza C virus	C/Miyagi/3/2014	4	4	Kanagawa	-	1986
LC739889	Influenza C virus	C/Miyagi/4/2014	4	4	Kanagawa	-	1986
LC739905	Influenza C virus	C/Miyagi/7/2018	4	4	Kanagawa	-	1986
MH828688	Influenza C virus	C/Vietnam/1290/2014	4	4	Kanagawa	-	1867
MK480578	Influenza C virus	C/Thailand/c5395_HE_gene/2015	4	4	Kanagawa	-	1840
MK480592	Influenza C virus	C/Thailand/B12983_HE_gene/2015	4	4	Kanagawa	-	1843
MZ330881	Influenza C virus	C/Biliran/TB2-162/2014	4	4	Kanagawa	-	1968
MZ330888	Influenza C virus	C/Biliran/TB2-180/2014	4	4	Kanagawa	-	1968
MZ330895	Influenza C virus	C/Biliran/TB2-204/2014	4	4	Kanagawa	-	1968
MZ330909	Influenza C virus	C/Biliran/TB4-024/2017	4	4	Kanagawa	-	1968
MZ330916	Influenza C virus	C/Biliran/TB4-067/2017	4	4	Kanagawa	-	1968
MZ330944	Influenza C virus	C/Biliran/TB5-195/2014	4	4	Kanagawa	-	1968
MZ330951	Influenza C virus	C/Biliran/TB5-241/2014	4	4	Kanagawa	-	1968
MZ330958	Influenza C virus	C/Biliran/TB5-312/2017	4	4	Kanagawa	-	1968
MZ330965	Influenza C virus	C/Biliran/TB5-498/2016	4	4	Kanagawa	-	1968
MZ330972	Influenza C virus	C/Biliran/TB5-536/2016	4	4	Kanagawa	-	1968
MZ330979	Influenza C virus	C/Biliran/TB5-625/2016	4	4	Kanagawa	-	1968
MZ330986	Influenza C virus	C/Biliran/TB5-736/2016	4	4	Kanagawa	-	1968
MZ331000	Influenza C virus	C/Palawan/061/2015	4	4	Kanagawa	-	1968
AB035363	Influenza C virus	C/Greece/1/79	-	4	Mississippi	-	1965
AB064404	Influenza C virus (C/Miyagi/4/96)	C/Miyagi/4/96	-	4	Mississippi	-	1923
AB064405	Influenza C virus (C/Miyagi/7/96)	C/Miyagi/7/96	-	4	Mississippi	-	1923
AB064406	Influenza C virus (C/Miyagi/8/96)	C/Miyagi/8/96	-	4	Mississippi	-	1923
AB064407	Influenza C virus (C/Miyagi/1/93)	C/Miyagi/1/93	-	4	Mississippi	-	1923
AB064408	Influenza C virus (C/Miyagi/3/93)	C/Miyagi/3/93	-	4	Mississippi	-	1923
AB064409	Influenza C virus (C/Miyagi/4/93)	C/Miyagi/4/93	-	4	Mississippi	-	1923
AB064410	Influenza C virus (C/Miyagi/6/93)	C/Miyagi/6/93	-	4	Mississippi	-	1923
AB064411	Influenza C virus (C/Miyagi/7/93)	C/Miyagi/7/93	-	4	Mississippi	-	1923
AB064412	Influenza C virus (C/Miyagi/1/94)	C/Miyagi/1/94	-	4	Mississippi	-	1923
AB064413	Influenza C virus (C/Miyagi/2/94)	C/Miyagi/2/94	-	4	Mississippi	-	1923
AB064414	Influenza C virus (C/Miyagi/3/94)	C/Miyagi/3/94	-	4	Mississippi	-	1923
AB099413	Influenza C virus (C/Yamagata/3/2000)	C/Yamagata/3/2000	-	4	Mississippi	-	1923
AB099421	Influenza C virus (C/Saitama/2/2000)	C/Saitama/2/2000	-	4	Mississippi	-	1923
AB252160	Influenza C virus (C/Saitama/1/2004)	C/Saitama/1/2004	4	4	Mississippi	-	1923
D78433	Influenza C virus (C/Yamagata/5/92)	C/Yamagata/5/92	4	4	Mississippi	-	1961
D88427	Influenza C virus (C/Miyagi/2/93)	C/Miyagi/2/93	4	4	Mississippi	-	1983
LC122635	Influenza C virus (C/Mississippi/80)	C/Mississippi/80	4	4	Mississippi	-	1983
LC122645	Influenza C virus (C/Yamagata/26/2004)	C/Yamagata/26/2004	4	4	Mississippi	-	1983
M11640	Influenza C virus	-	-	4	Mississippi	-	2010
M25361	Influenza C virus	-	-	4	Mississippi	-	1926
M25362	Influenza C virus	-	-	4	Mississippi	-	1926
M25363	Influenza C virus	-	-	4	Mississippi	-	1926
MH348116	Influenza C virus	C/Bovine/Montana/12/2016	4	4	Mississippi	-	1992
AB182357	Influenza C virus (C/Aichi/1/99)	C/Aichi/1/99	-	4	SaoPaolo	-	1926
AB252155	Influenza C virus (C/Yamagata/27/2004)	C/Yamagata/27/2004	-	4	SaoPaolo	-	1926
AB751364	Influenza C virus (C/Mie/186/2012)	C/Mie/186/2012	4	4	SaoPaolo	-	1021
AB751365	Influenza C virus (C/Mie/277/2012)	C/Mie/277/2012	4	4	SaoPaolo	-	1021
AB751594	Influenza C virus (C/Mie/275/2012)	C/Mie/275/2012	4	4	SaoPaolo	-	902
AB751595	Influenza C virus (C/Mie/265/2012)	C/Mie/265/2012	4	4	SaoPaolo	-	1020
AB751596	Influenza C virus (C/Mie/199/2012egg)	C/Mie/199/2012egg	4	4	SaoPaolo	-	1005
AB751597	Influenza C virus (C/Mie/193/2012)	C/Mie/193/2012	4	4	SaoPaolo	-	1010
AB751598	Influenza C virus (C/Mie/185/2012)	C/Mie/185/2012	4	4	SaoPaolo	-	902
AB751599	Influenza C virus (C/Mie/204/2012)	C/Mie/204/2012	4	4	SaoPaolo	-	1851
AB751600	Influenza C virus (C/Mie/67/2012)	C/Mie/67/2012	4	4	SaoPaolo	-	1041
AB751601	Influenza C virus (C/Mie/198/2012)	C/Mie/198/2012	4	4	SaoPaolo	-	973
AB751602	Influenza C virus (C/Mie/182/2012)	C/Mie/182/2012	4	4	SaoPaolo	-	902
AB751603	Influenza C virus (C/Mie/180/2012)	C/Mie/180/2012	4	4	SaoPaolo	-	1934
AB811846	Influenza C virus (C/Mie/188/2012)	C/Mie/188/2012	-	4	SaoPaolo	-	970
AB811847	Influenza C virus (C/Mie/231/2012)	C/Mie/231/2012	-	4	SaoPaolo	-	1926
AB899780	Influenza C virus (C/Yamagata/2/2010)	C/Yamagata/2/2010	-	4	SaoPaolo	-	1986
AB899782	Influenza C virus (C/Yamagata/29/2012)	C/Yamagata/29/2012	-	4	SaoPaolo	-	1986
AB978548	Influenza C virus (C/Leyte/1/2011)	C/Leyte/1/2011	4	4	SaoPaolo	-	1926
AB978549	Influenza C virus (C/Leyte/2/2011)	C/Leyte/2/2011	4	4	SaoPaolo	-	1926
AB978550	Influenza C virus (C/Leyte/3/2011)	C/Leyte/3/2011	4	4	SaoPaolo	-	1926
AB978551	Influenza C virus (C/Leyte/4/2011)	C/Leyte/4/2011	4	4	SaoPaolo	-	1926
AB978552	Influenza C virus (C/Leyte/5/2011)	C/Leyte/5/2011	4	4	SaoPaolo	-	1926
AB978553	Influenza C virus (C/Sendai/TU1/2008)	C/Sendai/TU1/2008	4	4	SaoPaolo	-	1926
AB978554	Influenza C virus (C/Sendai/TU2/2008)	C/Sendai/TU2/2008	4	4	SaoPaolo	-	1926
AB978555	Influenza C virus (C/Sendai/TU3/2008)	C/Sendai/TU3/2008	4	4	SaoPaolo	-	1926
AB978556	Influenza C virus (C/Sendai/TU4/2008)	C/Sendai/TU4/2008	4	4	SaoPaolo	-	1926
AB978557	Influenza C virus (C/Sendai/TU5/2008)	C/Sendai/TU5/2008	4	4	SaoPaolo	-	1926
AB978558	Influenza C virus (C/Sendai/TU1/2012)	C/Sendai/TU1/2012	4	4	SaoPaolo	-	1926
AB978559	Influenza C virus (C/Sendai/TU2/2012)	C/Sendai/TU2/2012	4	4	SaoPaolo	-	1926
AB978560	Influenza C virus (C/Biliran/1/2013)	C/Biliran/1/2013	4	4	SaoPaolo	-	1926
AB978561	Influenza C virus (C/Biliran/2/2013)	C/Biliran/2/2013	4	4	SaoPaolo	-	1926
AB978562	Influenza C virus (C/Biliran/3/2013)	C/Biliran/3/2013	4	4	SaoPaolo	-	1926
AB978563	Influenza C virus (C/Leyte/1/2013)	C/Leyte/1/2013	4	4	SaoPaolo	-	1926
AB978564	Influenza C virus (C/Leyte/2/2013)	C/Leyte/2/2013	4	4	SaoPaolo	-	1926
AB978565	Influenza C virus (C/Leyte/3/2013)	C/Leyte/3/2013	4	4	SaoPaolo	-	1926
AB978566	Influenza C virus (C/Palawan/1/2013)	C/Palawan/1/2013	4	4	SaoPaolo	-	1926
CY239424	Influenza C virus (C/Minnesota/04/2015)	C/Minnesota/04/2015	4	4	SaoPaolo	-	1994
CY239433	Influenza C virus (C/Minnesota/08/2015)	C/Minnesota/08/2015	4	4	SaoPaolo	-	1992
CY239435	Influenza C virus (C/Minnesota/09/2015)	C/Minnesota/09/2015	4	4	SaoPaolo	-	1950
CY239446	Influenza C virus (C/Minnesota/16/2015)	C/Minnesota/16/2015	4	4	SaoPaolo	-	2034
CY239447	Influenza C virus (C/Minnesota/17/2015)	C/Minnesota/17/2015	4	4	SaoPaolo	-	2029
CY239448	Influenza C virus (C/Minnesota/18/2015)	C/Minnesota/18/2015	4	4	SaoPaolo	-	2035
CY239450	Influenza C virus (C/Minnesota/19/2015)	C/Minnesota/19/2015	4	4	SaoPaolo	-	2024
CY239454	Influenza C virus (C/Minnesota/21/2015)	C/Minnesota/21/2015	4	4	SaoPaolo	-	2010
CY239455	Influenza C virus (C/Minnesota/22/2015)	C/Minnesota/22/2015	4	4	SaoPaolo	-	2042
CY239457	Influenza C virus (C/Minnesota/23/2015)	C/Minnesota/23/2015	4	4	SaoPaolo	-	2027
CY239459	Influenza C virus (C/Minnesota/24/2015)	C/Minnesota/24/2015	4	4	SaoPaolo	-	2027
CY239473	Influenza C virus (C/Minnesota/29/2015)	C/Minnesota/29/2015	4	4	SaoPaolo	-	2036
CY239481	Influenza C virus (C/Minnesota/33/2015)	C/Minnesota/33/2015	4	4	SaoPaolo	-	2043
EU086910	Influenza C virus (C/Caen/ME1/2005)	CaenME1	-	4	SaoPaolo	-	1729
EU086911	Influenza C virus (C/Caen/HE2/2005)	CaenHE2	-	4	SaoPaolo	-	1729
EU086912	Influenza C virus (C/Caen/MA3/2005)	CaenMA3	-	4	SaoPaolo	-	1729
EU086913	Influenza C virus (C/Caen/CA4/2005)	CaenCA4	-	4	SaoPaolo	-	1729
EU086914	Influenza C virus (C/Caen/MA5/2005)	CaenMA5	-	4	SaoPaolo	-	1729
EU086915	Influenza C virus (C/Caen/BA1/2007)	CaenBA1	-	4	SaoPaolo	-	1729
EU086916	Influenza C virus (C/Caen/BR1/2006)	CaenBR1	-	4	SaoPaolo	-	1729
EU086917	Influenza C virus (C/Caen/LE2/2006)	CaenLE2	-	4	SaoPaolo	-	1729
HM748630	Influenza C virus (C/Catalonia/1284/2009)	C/Catalonia/1284/2009	4	4	SaoPaolo	-	1946
HM748631	Influenza C virus (C/Catalonia/1318/2009)	C/Catalonia/1318/2009	4	4	SaoPaolo	-	1946
HM748632	Influenza C virus (C/Catalonia/1430/2009)	C/Catalonia/1430/2009	4	4	SaoPaolo	-	1946
JN899406	Influenza C virus (C/Melbourne/2/2011)	C/Melbourne/2/2011	4	4	SaoPaolo	-	1199
JQ045710	Influenza C virus (C/Melbourne/1/2011)	C/Melbourne/1/2011	4	4	SaoPaolo	-	410
JX080411	Influenza C virus (C/Alberta/3502/2011)	C/Alberta/3502/2011	4	4	SaoPaolo	-	1807
JX129182	Influenza C virus (C/Milan/1101/2009)	C/Milan/1101/2009	4	4	SaoPaolo	-	957
JX129183	Influenza C virus (C/Milan/1130/2010)	C/Milan/1130/2010	4	4	SaoPaolo	-	973
JX129184	Influenza C virus (C/Milan/976/2010)	C/Milan/976/2010	4	4	SaoPaolo	-	973
KM504280	Influenza C virus (C/Victoria/2/2012)	C/Victoria/2/2012	4	4	SaoPaolo	-	2073
KM507548	Influenza C virus (C/India/P121719/2012)	C/India/P121719/2012	4	4	SaoPaolo	-	1883
KT232085	Influenza C virus (C/India/P119564/2011)	C/India/P119564/2011	4	4	SaoPaolo	-	1926
KT835351	Influenza C virus (C/Scotland/6855/2007)	C/Scotland/6855/2007	4	4	SaoPaolo	-	1817
KT835352	Influenza C virus (C/Scotland/7274/2007)	C/Scotland/7274/2007	4	4	SaoPaolo	-	1817
KT835354	Influenza C virus (C/Scotland/7482/2007)	C/Scotland/7482/2007	4	4	SaoPaolo	-	1817
LC013253	Influenza C virus (C/Yamagata/6/2014)	C/Yamagata/6/2014	-	4	SaoPaolo	-	1986
LC013256	Influenza C virus (C/Yamagata/15/2014)	C/Yamagata/15/2014	-	4	SaoPaolo	-	1986
LC013258	Influenza C virus (C/Yamagata/30/2014)	C/Yamagata/30/2014	-	4	SaoPaolo	-	1986
LC013259	Influenza C virus (C/Yamagata/32/2014)	C/Yamagata/32/2014	-	4	SaoPaolo	-	1986
LC013260	Influenza C virus (C/Yamagata/33/2014)	C/Yamagata/33/2014	-	4	SaoPaolo	-	1986
LC013262	Influenza C virus (C/Yamagata/14/2006)	C/Yamagata/14/2006	-	4	SaoPaolo	-	1986
LC013263	Influenza C virus (C/Yamagata/18/2008)	C/Yamagata/18/2008	-	4	SaoPaolo	-	1986
LC122644	Influenza C virus (C/Yamagata/18/2004)	C/Yamagata/18/2004	4	4	SaoPaolo	-	1926
LC122648	Influenza C virus (C/Yamagata/1/2005)	C/Yamagata/1/2005	4	4	SaoPaolo	-	1986
LC122650	Influenza C virus (C/Yamagata/3/2005)	C/Yamagata/3/2005	4	4	SaoPaolo	-	1964
LC122653	Influenza C virus (C/Fukuoka/1/2005)	C/Fukuoka/1/2005	4	4	SaoPaolo	-	1951
LC122656	Influenza C virus (C/Yamagata/9/2006)	C/Yamagata/9/2006	4	4	SaoPaolo	-	1986
LC122658	Influenza C virus (C/Yamagata/20/2006)	C/Yamagata/20/2006	4	4	SaoPaolo	-	1986
LC122659	Influenza C virus (C/Miyagi/4/2006)	C/Miyagi/4/2006	4	4	SaoPaolo	-	1986
LC122660	Influenza C virus (C/Yamagata/1/2007)	C/Yamagata/1/2007	4	4	SaoPaolo	-	1986
LC122661	Influenza C virus (C/Yamagata/3/2008)	C/Yamagata/3/2008	4	4	SaoPaolo	-	1986
LC122662	Influenza C virus (C/Yamagata/11/2008)	C/Yamagata/11/2008	4	4	SaoPaolo	-	1986
LC122663	Influenza C virus (C/Yamagata/16/2008)	C/Yamagata/16/2008	4	4	SaoPaolo	-	1986
LC122664	Influenza C virus (C/Miyagi/2/2008)	C/Miyagi/2/2008	4	4	SaoPaolo	-	1986
LC122665	Influenza C virus (C/Miyagi/3/2010)	C/Miyagi/3/2010	4	4	SaoPaolo	-	1986
LC122666	Influenza C virus (C/Tokyo/3/2010)	C/Tokyo/3/2010	4	4	SaoPaolo	-	1986
LC122668	Influenza C virus (C/Yamagata/3/2012)	C/Yamagata/3/2012	4	4	SaoPaolo	-	1986
LC122670	Influenza C virus (C/Yamagata/14/2012)	C/Yamagata/14/2012	4	4	SaoPaolo	-	1986
LC122672	Influenza C virus (C/Miyagi/2/2012)	C/Miyagi/2/2012	4	4	SaoPaolo	-	1986
LC122673	Influenza C virus (C/Fukuoka/1/2012)	C/Fukuoka/1/2012	4	4	SaoPaolo	-	1986
