sequenceID	source.name	rec_segment	gb_subtype	rec_subtype
MN123911	idv-ncbi-nuccore	4	-	D660
MN123918	idv-ncbi-nuccore	4	-	D660
MN123925	idv-ncbi-nuccore	4	-	D660
MN123932	idv-ncbi-nuccore	4	-	D660
MN123939	idv-ncbi-nuccore	4	-	DOK
MN123946	idv-ncbi-nuccore	4	-	D660
MN123953	idv-ncbi-nuccore	4	-	DOK
MN123959	idv-ncbi-nuccore	4	-	D660
MN165181	idv-ncbi-nuccore	4	-	DOK
MN165188	idv-ncbi-nuccore	4	-	DOK
MN165195	idv-ncbi-nuccore	4	-	DOK
MN165202	idv-ncbi-nuccore	4	-	DOK
MN165209	idv-ncbi-nuccore	4	-	DOK
MN165216	idv-ncbi-nuccore	4	-	DOK
MN165223	idv-ncbi-nuccore	4	-	DOK
MN165230	idv-ncbi-nuccore	4	-	DOK
MN165243	idv-ncbi-nuccore	4	-	DOK
MN165250	idv-ncbi-nuccore	4	-	DOK
MN165257	idv-ncbi-nuccore	4	-	DOK
MN173611	idv-ncbi-nuccore	4	-	D660
MN598644	idv-ncbi-nuccore	4	-	-
MT246269	idv-ncbi-nuccore	4	-	-
MT246276	idv-ncbi-nuccore	4	-	-
MT246282	idv-ncbi-nuccore	4	-	D660
MT246289	idv-ncbi-nuccore	4	-	-
MT246296	idv-ncbi-nuccore	4	-	-
MT349516	idv-ncbi-nuccore	4	-	D660
MT349523	idv-ncbi-nuccore	4	-	D660
MT349530	idv-ncbi-nuccore	4	-	D660
MT349542	idv-ncbi-nuccore	4	-	DOK
MT349552	idv-ncbi-nuccore	4	-	DOK
MT349564	idv-ncbi-nuccore	4	-	DOK
MT349571	idv-ncbi-nuccore	4	-	DOK
MT349578	idv-ncbi-nuccore	4	-	DOK
MT349585	idv-ncbi-nuccore	4	-	DOK
MT349592	idv-ncbi-nuccore	4	-	DOK
MT349599	idv-ncbi-nuccore	4	-	D660
MT349606	idv-ncbi-nuccore	4	-	D660
MT349613	idv-ncbi-nuccore	4	-	DOK
MT349620	idv-ncbi-nuccore	4	-	DOK
MT349627	idv-ncbi-nuccore	4	-	DOK
MT349634	idv-ncbi-nuccore	4	-	DOK
MT349647	idv-ncbi-nuccore	4	-	D660
MT349654	idv-ncbi-nuccore	4	-	D660
MT511336	idv-ncbi-nuccore	4	-	D660
MT511343	idv-ncbi-nuccore	4	-	D660
MT511350	idv-ncbi-nuccore	4	-	D660
MT511357	idv-ncbi-nuccore	4	-	DOK
MT511364	idv-ncbi-nuccore	4	-	DOK
MT511377	idv-ncbi-nuccore	4	-	DOK
MT511384	idv-ncbi-nuccore	4	-	DOK
MT511391	idv-ncbi-nuccore	4	-	D660
MT511398	idv-ncbi-nuccore	4	-	DOK
MT511405	idv-ncbi-nuccore	4	-	DOK
MT511412	idv-ncbi-nuccore	4	-	D660
MT511419	idv-ncbi-nuccore	4	-	D660
MT511426	idv-ncbi-nuccore	4	-	DOK
MT511433	idv-ncbi-nuccore	4	-	DOK
MT511440	idv-ncbi-nuccore	4	-	DOK
MT511453	idv-ncbi-nuccore	4	-	DOK
MT511460	idv-ncbi-nuccore	4	-	DOK
MT511467	idv-ncbi-nuccore	4	-	DOK
MT511474	idv-ncbi-nuccore	4	-	DOK
MT511481	idv-ncbi-nuccore	4	-	DOK
MT511488	idv-ncbi-nuccore	4	-	-
MT511495	idv-ncbi-nuccore	4	-	DOK
MT511502	idv-ncbi-nuccore	4	-	DOK
MT511515	idv-ncbi-nuccore	4	-	DOK
MT511522	idv-ncbi-nuccore	4	-	DOK
MT511529	idv-ncbi-nuccore	4	-	D660
MT511536	idv-ncbi-nuccore	4	-	DOK
MT511543	idv-ncbi-nuccore	4	-	DOK
MT636473	idv-ncbi-nuccore	4	-	-
MT700545	idv-ncbi-nuccore	4	-	-
MW020308	idv-ncbi-nuccore	4	-	-
MW020315	idv-ncbi-nuccore	4	-	-
MW020322	idv-ncbi-nuccore	4	-	-
MW079472	idv-ncbi-nuccore	4	-	-
MW079473	idv-ncbi-nuccore	4	-	D660
MW079474	idv-ncbi-nuccore	4	-	D660
MW079475	idv-ncbi-nuccore	4	-	-
MW079476	idv-ncbi-nuccore	4	-	D660
MW079477	idv-ncbi-nuccore	4	-	D660
MW079478	idv-ncbi-nuccore	4	-	-
MW632174	idv-ncbi-nuccore	4	-	-
MW632181	idv-ncbi-nuccore	4	-	-
MW632188	idv-ncbi-nuccore	4	-	D660
MZ264979	idv-ncbi-nuccore	4	-	DOK
NC_036618	idv-ncbi-nuccore	4	-	DOK
OK513025	idv-ncbi-nuccore	4	-	-
OK513029	idv-ncbi-nuccore	4	-	-
OK648460	idv-ncbi-nuccore	4	-	-
OM468233	idv-ncbi-nuccore	4	-	D660
OM468234	idv-ncbi-nuccore	4	-	D660
OM468235	idv-ncbi-nuccore	4	-	D660
OM468236	idv-ncbi-nuccore	4	-	D660
OM468237	idv-ncbi-nuccore	4	-	DOK
OM468238	idv-ncbi-nuccore	4	-	DOK
OM468239	idv-ncbi-nuccore	4	-	DOK
OM468240	idv-ncbi-nuccore	4	-	DOK
OM468241	idv-ncbi-nuccore	4	-	DOK
OM468242	idv-ncbi-nuccore	4	-	DOK
OM468243	idv-ncbi-nuccore	4	-	DOK
OM468244	idv-ncbi-nuccore	4	-	DOK
OM468245	idv-ncbi-nuccore	4	-	DOK
OM468246	idv-ncbi-nuccore	4	-	DOK
OM468247	idv-ncbi-nuccore	4	-	DOK
OM468248	idv-ncbi-nuccore	4	-	DOK
OM468296	idv-ncbi-nuccore	4	-	DOK
OM639976	idv-ncbi-nuccore	4	-	-
OM639977	idv-ncbi-nuccore	4	-	-
OM763677	idv-ncbi-nuccore	4	-	-
ON038774	idv-ncbi-nuccore	4	-	DOK
ON038775	idv-ncbi-nuccore	4	-	DOK
ON038776	idv-ncbi-nuccore	4	-	DOK
ON038777	idv-ncbi-nuccore	4	-	DOK
ON038778	idv-ncbi-nuccore	4	-	DOK
ON038779	idv-ncbi-nuccore	4	-	DOK
ON038780	idv-ncbi-nuccore	4	-	DOK
ON038781	idv-ncbi-nuccore	4	-	DOK
ON038782	idv-ncbi-nuccore	4	-	DOK
ON038783	idv-ncbi-nuccore	4	-	DOK
ON038784	idv-ncbi-nuccore	4	-	DOK
ON038785	idv-ncbi-nuccore	4	-	DOK
ON038786	idv-ncbi-nuccore	4	-	DOK
ON038787	idv-ncbi-nuccore	4	-	DOK
ON038788	idv-ncbi-nuccore	4	-	DOK
ON038789	idv-ncbi-nuccore	4	-	DOK
ON038790	idv-ncbi-nuccore	4	-	DOK
ON038791	idv-ncbi-nuccore	4	-	DOK
ON038792	idv-ncbi-nuccore	4	-	DOK
ON038793	idv-ncbi-nuccore	4	-	DOK
ON038794	idv-ncbi-nuccore	4	-	DOK
ON038934	idv-ncbi-nuccore	4	-	DOK
ON038935	idv-ncbi-nuccore	4	-	DOK
ON038936	idv-ncbi-nuccore	4	-	DOK
ON166834	idv-ncbi-nuccore	4	-	D660
ON166835	idv-ncbi-nuccore	4	-	D660
ON166836	idv-ncbi-nuccore	4	-	D660
ON166837	idv-ncbi-nuccore	4	-	D660
ON166838	idv-ncbi-nuccore	4	-	D660
ON166839	idv-ncbi-nuccore	4	-	D660
ON166840	idv-ncbi-nuccore	4	-	D660
ON166841	idv-ncbi-nuccore	4	-	D660
ON166842	idv-ncbi-nuccore	4	-	-
ON166843	idv-ncbi-nuccore	4	-	-
ON415266	idv-ncbi-nuccore	4	-	-
OP020135	idv-ncbi-nuccore	4	-	-
OP020136	idv-ncbi-nuccore	4	-	-
OP353622	idv-ncbi-nuccore	4	-	DOK
OP353623	idv-ncbi-nuccore	4	-	-
OP474074	idv-ncbi-nuccore	4	-	D660
OQ348277	idv-ncbi-nuccore	4	-	-
OR126153	idv-ncbi-nuccore	4	-	-
OR126154	idv-ncbi-nuccore	4	-	-
OR126155	idv-ncbi-nuccore	4	-	-
OR880337	idv-ncbi-nuccore	4	-	-
OR880344	idv-ncbi-nuccore	4	-	-
OR880345	idv-ncbi-nuccore	4	-	-
PP133485	idv-ncbi-nuccore	4	-	-
PP297653	idv-ncbi-nuccore	4	-	DOK
PP574423	idv-ncbi-nuccore	4	-	DOK
PP574424	idv-ncbi-nuccore	4	-	DOK
PP574425	idv-ncbi-nuccore	4	-	DOK
PP763073	idv-ncbi-nuccore	4	-	DOK
PP763074	idv-ncbi-nuccore	4	-	-
PP763075	idv-ncbi-nuccore	4	-	-
PP763076	idv-ncbi-nuccore	4	-	DOK
PP763077	idv-ncbi-nuccore	4	-	DOK
PP763078	idv-ncbi-nuccore	4	-	DOK
PP763079	idv-ncbi-nuccore	4	-	DOK
PP763080	idv-ncbi-nuccore	4	-	DOK
PP763081	idv-ncbi-nuccore	4	-	DOK
PP825809	idv-ncbi-nuccore	4	-	-
PP825810	idv-ncbi-nuccore	4	-	-
PP832904	idv-ncbi-nuccore	4	-	DOK
KF425655	idv-ncbi-refseqs-seg4	4	D/OK	D/OK
KF425662	idv-ncbi-refseqs-seg4	4	D/660	D/660
KF425669	idv-ncbi-refseqs-seg4	4	D/OK	D/OK
KM015494	idv-ncbi-refseqs-seg4	4	D/OK	D/OK
KM015501	idv-ncbi-refseqs-seg4	4	D/OK	D/OK
KM015508	idv-ncbi-refseqs-seg4	4	D/OK	D/OK
KM392471	idv-ncbi-refseqs-seg4	4	D/660	D/660
KM392478	idv-ncbi-refseqs-seg4	4	D/OK	D/OK
KM392485	idv-ncbi-refseqs-seg4	4	D/660	D/660
KM392492	idv-ncbi-refseqs-seg4	4	D/660	D/660
KM392499	idv-ncbi-refseqs-seg4	4	D/OK	D/OK
KM392506	idv-ncbi-refseqs-seg4	4	D/660	D/660
KT581412	idv-ncbi-refseqs-seg4	4	D/OK	D/OK
KT592522	idv-ncbi-refseqs-seg4	4	D/OK	D/OK
KT592526	idv-ncbi-refseqs-seg4	4	D/OK	D/OK
KT592533	idv-ncbi-refseqs-seg4	4	D/OK	D/OK
KU171126	idv-ncbi-refseqs-seg4	4	D/660	D/660
KU171127	idv-ncbi-refseqs-seg4	4	D/660	D/660
KU171128	idv-ncbi-refseqs-seg4	4	D/660	D/660
KU171129	idv-ncbi-refseqs-seg4	4	D/OK	D/OK
KX768820	idv-ncbi-refseqs-seg4	4	D/OK	D/OK
KX768827	idv-ncbi-refseqs-seg4	4	D/OK	D/OK
KX768834	idv-ncbi-refseqs-seg4	4	D/OK	D/OK
KX768841	idv-ncbi-refseqs-seg4	4	D/OK	D/OK
LC128433	idv-ncbi-refseqs-seg4	4	D/Yama2016	D/Yama2016
LC270268	idv-ncbi-refseqs-seg4	4	D/Yama2016	D/Yama2016
LC318668	idv-ncbi-refseqs-seg4	4	D/Yama2016	D/Yama2016
LC494108	idv-ncbi-refseqs-seg4	4	D/Yama2019	D/Yama2019
MG720235	idv-ncbi-refseqs-seg4	4	D/OK	D/OK
MK054184	idv-ncbi-refseqs-seg4	4	D/660	D/660
MK101121	idv-ncbi-refseqs-seg4	4	D/OK	D/OK
NC_036618	idv-ncbi-refseqs-seg4	4	D/OK	D/OK
