strain_id	complete	seq_count	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession	segment_1_counts	segment_2_counts	segment_3_counts	segment_4_counts	segment_5_counts	segment_6_counts	segment_7_counts
D/bovine/Texas/3-13/2011	TRUE	7	2011	JUN	1	Bos taurus	-	USA	NULL	KM392482	KM392483	KM392484	KM392485	KM392486	KM392487	KM392488	1	1	1	1	1	1	1
D/bovine/Mexico/S8/2015	TRUE	7	2015	-	-	Bos taurus	-	Mexico	NULL	KU710439	KU710435	KU710427	KU171127	KU710419	KU710431	KU710423	1	1	1	1	1	1	1
D/bovine/Kansas/11-8/2012	TRUE	7	2012	APR	19	Bos taurus	-	USA	NULL	KM392503	KM392504	KM392505	KM392506	KM392507	KM392508	KM392509	1	1	1	1	1	1	1
D/bovine/Kansas/14-22/2012	TRUE	7	2012	DEC	1	Bos taurus	-	USA	NULL	KM392496	KM392497	KM392498	KM392499	KM392500	KM392501	KM392502	1	1	1	1	1	1	1
D/bovine/Mexico/S7/2015	TRUE	7	2015	-	-	Bos taurus	-	Mexico	NULL	KU710438	KU710434	KU710426	KU171126	KU710418	KU710430	KU710422	1	1	1	1	1	1	1
D/bovine/Minnesota/729/2013	TRUE	7	2013	FEB	26	Bos taurus	-	USA	NULL	KF425666	KF425667	KF425668	KF425669	KF425670	KF425671	KF425672	1	1	1	1	1	1	1
D/bovine/Ibaraki/7768/2016	TRUE	7	2016	-	-	Bos taurus	-	Japan	NULL	LC128439	LC128438	LC128437	LC128433	LC128435	LC128434	LC128436	1	1	1	1	1	1	1
D/bovine/Miyazaki/B22/2016	TRUE	7	2016	-	-	Bos taurus	-	Japan	Miyazaki	LC270265	LC270266	LC270267	LC270268	LC270269	LC270270	LC270271	1	1	1	1	1	1	1
D/swine/Italy/254578/2015	TRUE	7	2015	-	-	Sus scrofa	-	Italy	NULL	KX768831	KX768832	KX768833	KX768834	KX768835	KX768836	KX768837	1	1	1	1	1	1	1
D/bovine/Northern Ireland/24280/2017	TRUE	7	2017	DEC	1	Bos taurus	-	United Kingdom	NULL	MK101118	MK101119	MK101120	MK101121	MK101122	MK101123	MK101124	1	1	1	1	1	1	1
D/bovine/Minnesota/628/2013	TRUE	7	2013	FEB	18	Bos taurus	-	USA	NULL	KF425652	KF425653	KF425654	KF425655	KF425656	KF425657	KF425658	1	1	1	1	1	1	1
