sequenceID	source.name	rec_segment	gb_segment	gb_subtype	rec_subtype	gb_year	gb_month	gb_day	gb_country	length	pubmed_id	full_name	gb_lab_host	gb_host	isolate	gb_source	m49_country
KT835341	icv-ncbi-refseqs-seg1	1	1	-	-	2007	-	-	United Kingdom	2221	26655269	Influenza C virus (C/Scotland/7383/2007)	-	Homo sapiens	C/Scotland/7383/2007	respiratory sample	custom-table-row/m49_country/GBR
KT835342	icv-ncbi-refseqs-seg1	1	1	-	-	2007	-	-	United Kingdom	2221	26655269	Influenza C virus (C/Scotland/7274/2007)	-	Homo sapiens	C/Scotland/7274/2007	respiratory sample	custom-table-row/m49_country/GBR
KT835343	icv-ncbi-refseqs-seg1	1	1	-	-	2007	-	-	United Kingdom	2221	26655269	Influenza C virus (C/Scotland/6855/2007)	-	Homo sapiens	C/Scotland/6855/2007	respiratory sample	custom-table-row/m49_country/GBR
LC123284	icv-ncbi-refseqs-seg1	1	1	-	-	1954	-	-	USA	2325	27384661	Influenza C virus (C/Great Lakes/1167/1954)	-	Homo sapiens	C/Great Lakes/1167/1954	-	custom-table-row/m49_country/USA
LC123287	icv-ncbi-refseqs-seg1	1	1	-	-	1967	-	-	France	2325	27384661	Influenza C virus (C/Paris/1/67)	-	Homo sapiens	C/Paris/1/67	-	custom-table-row/m49_country/FRA
LC123294	icv-ncbi-refseqs-seg1	1	1	-	-	1978	-	-	USA	2325	27384661	Influenza C virus (C/California/78)	-	Homo sapiens	C/California/78	-	custom-table-row/m49_country/USA
LC123312	icv-ncbi-refseqs-seg1	1	1	-	-	1992	-	-	Japan	2325	27384661	Influenza C virus (C/Yamagata/4/92)	-	Homo sapiens	C/Yamagata/4/92	-	custom-table-row/m49_country/JPN
LC123325	icv-ncbi-refseqs-seg1	1	1	-	-	2002	-	-	Japan	2325	27384661	Influenza C virus (C/Yamagata/5/2002)	-	Homo sapiens	C/Yamagata/5/2002	-	custom-table-row/m49_country/JPN
LC123327	icv-ncbi-refseqs-seg1	1	1	-	-	2002	-	-	Japan	2325	27384661	Influenza C virus (C/Miyagi/4/2002)	-	Homo sapiens	C/Miyagi/4/2002	-	custom-table-row/m49_country/JPN
LC123328	icv-ncbi-refseqs-seg1	1	1	-	-	2002	-	-	Japan	2325	27384661	Influenza C virus (C/Miyagi/11/2002)	-	Homo sapiens	C/Miyagi/11/2002	-	custom-table-row/m49_country/JPN
LC123329	icv-ncbi-refseqs-seg1	1	1	-	-	2002	-	-	Japan	2325	27384661	Influenza C virus (C/Miyagi/20/2002)	-	Homo sapiens	C/Miyagi/20/2002	-	custom-table-row/m49_country/JPN
LC123330	icv-ncbi-refseqs-seg1	1	1	-	-	2002	-	-	Japan	2325	27384661	Influenza C virus (C/Miyagi/28/2002)	-	Homo sapiens	C/Miyagi/28/2002	-	custom-table-row/m49_country/JPN
LC123331	icv-ncbi-refseqs-seg1	1	1	-	-	2002	-	-	Japan	2325	27384661	Influenza C virus (C/Miyagi/31/2002)	-	Homo sapiens	C/Miyagi/31/2002	-	custom-table-row/m49_country/JPN
LC123332	icv-ncbi-refseqs-seg1	1	1	-	-	2004	-	-	Japan	2325	27384661	Influenza C virus (C/Yamagata/3/2004)	-	Homo sapiens	C/Yamagata/3/2004	-	custom-table-row/m49_country/JPN
LC123335	icv-ncbi-refseqs-seg1	1	1	-	-	2004	-	-	Japan	2325	27384661	Influenza C virus (C/Yamagata/18/2004)	-	Homo sapiens	C/Yamagata/18/2004	-	custom-table-row/m49_country/JPN
LC123336	icv-ncbi-refseqs-seg1	1	1	-	-	2004	-	-	Japan	2325	27384661	Influenza C virus (C/Yamagata/26/2004)	-	Homo sapiens	C/Yamagata/26/2004	-	custom-table-row/m49_country/JPN
LC123338	icv-ncbi-refseqs-seg1	1	1	-	-	2004	-	-	Japan	2325	27384661	Influenza C virus (C/Miyagi/12/2004)	-	Homo sapiens	C/Miyagi/12/2004	-	custom-table-row/m49_country/JPN
LC123339	icv-ncbi-refseqs-seg1	1	1	-	-	2004	-	-	Japan	2325	27384661	Influenza C virus (C/Miyagi/25/2004)	-	Homo sapiens	C/Miyagi/25/2004	-	custom-table-row/m49_country/JPN
LC123340	icv-ncbi-refseqs-seg1	1	1	-	-	2004	-	-	Japan	2325	27384661	Influenza C virus (C/Miyagi/42/2004)	-	Homo sapiens	C/Miyagi/42/2004	-	custom-table-row/m49_country/JPN
LC123341	icv-ncbi-refseqs-seg1	1	1	-	-	2004	-	-	Japan	2325	27384661	Influenza C virus (C/Miyagi/47/2004)	-	Homo sapiens	C/Miyagi/47/2004	-	custom-table-row/m49_country/JPN
LC123342	icv-ncbi-refseqs-seg1	1	1	-	-	2005	-	-	Japan	2325	27384661	Influenza C virus (C/Yamagata/1/2005)	-	Homo sapiens	C/Yamagata/1/2005	-	custom-table-row/m49_country/JPN
LC123343	icv-ncbi-refseqs-seg1	1	1	-	-	2005	-	-	Japan	2325	27384661	Influenza C virus (C/Yamagata/2/2005)	-	Homo sapiens	C/Yamagata/2/2005	-	custom-table-row/m49_country/JPN
LC123344	icv-ncbi-refseqs-seg1	1	1	-	-	2005	-	-	Japan	2325	27384661	Influenza C virus (C/Yamagata/3/2005)	-	Homo sapiens	C/Yamagata/3/2005	-	custom-table-row/m49_country/JPN
LC123345	icv-ncbi-refseqs-seg1	1	1	-	-	2005	-	-	Japan	2325	27384661	Influenza C virus (C/Miyagi/2/2005)	-	Homo sapiens	C/Miyagi/2/2005	-	custom-table-row/m49_country/JPN
LC123346	icv-ncbi-refseqs-seg1	1	1	-	-	2005	-	-	Japan	2325	27384661	Influenza C virus (C/Miyagi/4/2005)	-	Homo sapiens	C/Miyagi/4/2005	-	custom-table-row/m49_country/JPN
LC123347	icv-ncbi-refseqs-seg1	1	1	-	-	2005	-	-	Japan	2325	27384661	Influenza C virus (C/Fukuoka/1/2005)	-	Homo sapiens	C/Fukuoka/1/2005	-	custom-table-row/m49_country/JPN
LC123348	icv-ncbi-refseqs-seg1	1	1	-	-	2006	-	-	Japan	2325	27384661	Influenza C virus (C/Fukuoka/2/2006)	-	Homo sapiens	C/Fukuoka/2/2006	-	custom-table-row/m49_country/JPN
LC123349	icv-ncbi-refseqs-seg1	1	1	-	-	2006	-	-	Japan	2325	27384661	Influenza C virus (C/Yamagata/1/2006)	-	Homo sapiens	C/Yamagata/1/2006	-	custom-table-row/m49_country/JPN
LC123350	icv-ncbi-refseqs-seg1	1	1	-	-	2006	-	-	Japan	2325	27384661	Influenza C virus (C/Yamagata/9/2006)	-	Homo sapiens	C/Yamagata/9/2006	-	custom-table-row/m49_country/JPN
LC123351	icv-ncbi-refseqs-seg1	1	1	-	-	2006	-	-	Japan	2325	27384661	Influenza C virus (C/Yamagata/13/2006)	-	Homo sapiens	C/Yamagata/13/2006	-	custom-table-row/m49_country/JPN
LC123353	icv-ncbi-refseqs-seg1	1	1	-	-	2006	-	-	Japan	2325	27384661	Influenza C virus (C/Yamagata/20/2006)	-	Homo sapiens	C/Yamagata/20/2006	-	custom-table-row/m49_country/JPN
LC123354	icv-ncbi-refseqs-seg1	1	1	-	-	2006	-	-	Japan	2325	27384661	Influenza C virus (C/Miyagi/4/2006)	-	Homo sapiens	C/Miyagi/4/2006	-	custom-table-row/m49_country/JPN
LC123355	icv-ncbi-refseqs-seg1	1	1	-	-	2007	-	-	Japan	2325	27384661	Influenza C virus (C/Yamagata/1/2007)	-	Homo sapiens	C/Yamagata/1/2007	-	custom-table-row/m49_country/JPN
LC123356	icv-ncbi-refseqs-seg1	1	1	-	-	2008	-	-	Japan	2325	27384661	Influenza C virus (C/Yamagata/3/2008)	-	Homo sapiens	C/Yamagata/3/2008	-	custom-table-row/m49_country/JPN
LC123357	icv-ncbi-refseqs-seg1	1	1	-	-	2008	-	-	Japan	2325	27384661	Influenza C virus (C/Yamagata/11/2008)	-	Homo sapiens	C/Yamagata/11/2008	-	custom-table-row/m49_country/JPN
LC123358	icv-ncbi-refseqs-seg1	1	1	-	-	2008	-	-	Japan	2325	27384661	Influenza C virus (C/Yamagata/16/2008)	-	Homo sapiens	C/Yamagata/16/2008	-	custom-table-row/m49_country/JPN
LC123360	icv-ncbi-refseqs-seg1	1	1	-	-	2008	-	-	Japan	2325	27384661	Influenza C virus (C/Miyagi/2/2008)	-	Homo sapiens	C/Miyagi/2/2008	-	custom-table-row/m49_country/JPN
LC123362	icv-ncbi-refseqs-seg1	1	1	-	-	2010	-	-	Japan	2325	27384661	Influenza C virus (C/Miyagi/3/2010)	-	Homo sapiens	C/Miyagi/3/2010	-	custom-table-row/m49_country/JPN
LC123363	icv-ncbi-refseqs-seg1	1	1	-	-	2010	-	-	Japan	2325	27384661	Influenza C virus (C/Tokyo/3/2010)	-	Homo sapiens	C/Tokyo/3/2010	-	custom-table-row/m49_country/JPN
LC123364	icv-ncbi-refseqs-seg1	1	1	-	-	2012	-	-	Japan	2325	27384661	Influenza C virus (C/Yamagata/1/2012)	-	Homo sapiens	C/Yamagata/1/2012	-	custom-table-row/m49_country/JPN
LC123365	icv-ncbi-refseqs-seg1	1	1	-	-	2012	-	-	Japan	2325	27384661	Influenza C virus (C/Yamagata/3/2012)	-	Homo sapiens	C/Yamagata/3/2012	-	custom-table-row/m49_country/JPN
LC123367	icv-ncbi-refseqs-seg1	1	1	-	-	2012	-	-	Japan	2325	27384661	Influenza C virus (C/Yamagata/7/2012)	-	Homo sapiens	C/Yamagata/7/2012	-	custom-table-row/m49_country/JPN
LC123368	icv-ncbi-refseqs-seg1	1	1	-	-	2012	-	-	Japan	2325	27384661	Influenza C virus (C/Yamagata/14/2012)	-	Homo sapiens	C/Yamagata/14/2012	-	custom-table-row/m49_country/JPN
LC123369	icv-ncbi-refseqs-seg1	1	1	-	-	2012	-	-	Japan	2325	27384661	Influenza C virus (C/Yamagata/28/2012)	-	Homo sapiens	C/Yamagata/28/2012	-	custom-table-row/m49_country/JPN
LC123371	icv-ncbi-refseqs-seg1	1	1	-	-	2012	-	-	Japan	2325	27384661	Influenza C virus (C/Miyagi/2/2012)	-	Homo sapiens	C/Miyagi/2/2012	-	custom-table-row/m49_country/JPN
LC123372	icv-ncbi-refseqs-seg1	1	1	-	-	2012	-	-	Japan	2325	27384661	Influenza C virus (C/Fukuoka/1/2012)	-	Homo sapiens	C/Fukuoka/1/2012	-	custom-table-row/m49_country/JPN
LC123380	icv-ncbi-refseqs-seg1	1	1	-	-	2014	-	-	Japan	2325	27384661	Influenza C virus (C/Miyagi/2/2014)	-	Homo sapiens	C/Miyagi/2/2014	-	custom-table-row/m49_country/JPN
LC123381	icv-ncbi-refseqs-seg1	1	1	-	-	2014	-	-	Japan	2325	27384661	Influenza C virus (C/Miyagi/5/2014)	-	Homo sapiens	C/Miyagi/5/2014	-	custom-table-row/m49_country/JPN
LC123382	icv-ncbi-refseqs-seg1	1	1	-	-	2014	-	-	Japan	2325	27384661	Influenza C virus (C/Miyagi/6/2014)	-	Homo sapiens	C/Miyagi/6/2014	-	custom-table-row/m49_country/JPN
LC123383	icv-ncbi-refseqs-seg1	1	1	-	-	2014	-	-	Japan	2325	27384661	Influenza C virus (C/Tokyo/1/2014)	-	Homo sapiens	C/Tokyo/1/2014	-	custom-table-row/m49_country/JPN
LC123384	icv-ncbi-refseqs-seg1	1	1	-	-	2014	-	-	Japan	2325	27384661	Influenza C virus (C/Tokyo/4/2014)	-	Homo sapiens	C/Tokyo/4/2014	-	custom-table-row/m49_country/JPN
LC327652	icv-ncbi-refseqs-seg1	1	1	-	-	2016	-	-	Japan	2320	30068890	Influenza C virus (C/Iwate/1/2016)	-	Homo sapiens	C/Iwate/1/2016	-	custom-table-row/m49_country/JPN
LC327659	icv-ncbi-refseqs-seg1	1	1	-	-	2016	-	-	Japan	2320	30068890	Influenza C virus (C/Iwate/2/2016)	-	Homo sapiens	C/Iwate/2/2016	-	custom-table-row/m49_country/JPN
LC603646	icv-ncbi-refseqs-seg1	1	1	-	-	1988	-	-	Japan	2325	33802440	Influenza C virus	-	Homo sapiens	C/Yamagata/11/88	-	custom-table-row/m49_country/JPN
LC603653	icv-ncbi-refseqs-seg1	1	1	-	-	2004	-	-	Japan	2325	33802440	Influenza C virus	-	Homo sapiens	C/Yamagata/29/2004	-	custom-table-row/m49_country/JPN
LC720290	icv-ncbi-refseqs-seg1	1	1	-	-	2018	-	-	Japan	2385	37741464	Influenza C virus	-	Homo sapiens	-	nasopharyngea swab using HBTEC-ALI culture	custom-table-row/m49_country/JPN
MH348113	icv-ncbi-refseqs-seg1	1	1	-	-	2016	NOV	18	USA	2328	-	Influenza C virus	-	Bos taurus	C/Bovine/Montana/12/2016	sick calve's nasal swab	custom-table-row/m49_country/USA
MH828694	icv-ncbi-refseqs-seg1	1	1	-	-	2014	APR	16	Viet Nam	2325	32499763	Influenza C virus	-	Homo sapiens	C/Vietnam/1290/2014	nasopharyngeal swab	custom-table-row/m49_country/VNM
MK050104	icv-ncbi-refseqs-seg1	1	1	-	-	2015	APR	11	South Korea	2325	30978620	Influenza C virus	-	Homo sapiens	C/Seoul/APD462/2015	-	custom-table-row/m49_country/KOR
MZ330887	icv-ncbi-refseqs-seg1	1	1	-	-	2014	JUN	25	Philippines	2325	-	Influenza C virus	-	Homo sapiens	C/Biliran/TB2-162/2014	nasal swab	custom-table-row/m49_country/PHL
MZ330894	icv-ncbi-refseqs-seg1	1	1	-	-	2014	JUL	7	Philippines	2325	-	Influenza C virus	-	Homo sapiens	C/Biliran/TB2-180/2014	nasal swab	custom-table-row/m49_country/PHL
MZ330901	icv-ncbi-refseqs-seg1	1	1	-	-	2014	JUL	24	Philippines	2325	-	Influenza C virus	-	Homo sapiens	C/Biliran/TB2-204/2014	nasal swab	custom-table-row/m49_country/PHL
MZ330908	icv-ncbi-refseqs-seg1	1	1	-	-	2014	OCT	2	Philippines	2325	-	Influenza C virus	-	Homo sapiens	C/Biliran/TB2-293/2014	nasal swab	custom-table-row/m49_country/PHL
MZ330915	icv-ncbi-refseqs-seg1	1	1	-	-	2017	MAY	16	Philippines	2325	-	Influenza C virus	-	Homo sapiens	C/Biliran/TB4-024/2017	nasal swab	custom-table-row/m49_country/PHL
MZ330922	icv-ncbi-refseqs-seg1	1	1	-	-	2017	JUN	15	Philippines	2325	-	Influenza C virus	-	Homo sapiens	C/Biliran/TB4-067/2017	nasal swab	custom-table-row/m49_country/PHL
MZ330929	icv-ncbi-refseqs-seg1	1	1	-	-	2018	MAR	27	Philippines	2325	-	Influenza C virus	-	Homo sapiens	C/Biliran/TB4-130/2018	nasal swab	custom-table-row/m49_country/PHL
MZ330936	icv-ncbi-refseqs-seg1	1	1	-	-	2018	APR	24	Philippines	2325	-	Influenza C virus	-	Homo sapiens	C/Biliran/TB4-169/2018	nasal swab	custom-table-row/m49_country/PHL
MZ330943	icv-ncbi-refseqs-seg1	1	1	-	-	2019	JUL	8	Philippines	2325	-	Influenza C virus	-	Homo sapiens	C/Biliran/TB4-271/2019	nasal swab	custom-table-row/m49_country/PHL
MZ330950	icv-ncbi-refseqs-seg1	1	1	-	-	2014	JUN	2	Philippines	2325	-	Influenza C virus	-	Homo sapiens	C/Biliran/TB5-195/2014	nasal swab	custom-table-row/m49_country/PHL
MZ330957	icv-ncbi-refseqs-seg1	1	1	-	-	2014	JUN	20	Philippines	2325	-	Influenza C virus	-	Homo sapiens	C/Biliran/TB5-241/2014	nasal swab	custom-table-row/m49_country/PHL
MZ330964	icv-ncbi-refseqs-seg1	1	1	-	-	2017	JUN	13	Philippines	2325	-	Influenza C virus	-	Homo sapiens	C/Biliran/TB5-312/2017	nasal swab	custom-table-row/m49_country/PHL
MZ330971	icv-ncbi-refseqs-seg1	1	1	-	-	2016	JUN	29	Philippines	2325	-	Influenza C virus	-	Homo sapiens	C/Biliran/TB5-498/2016	nasal swab	custom-table-row/m49_country/PHL
MZ330978	icv-ncbi-refseqs-seg1	1	1	-	-	2016	JUL	18	Philippines	2325	-	Influenza C virus	-	Homo sapiens	C/Biliran/TB5-536/2016	nasal swab	custom-table-row/m49_country/PHL
MZ330985	icv-ncbi-refseqs-seg1	1	1	-	-	2016	AUG	23	Philippines	2325	-	Influenza C virus	-	Homo sapiens	C/Biliran/TB5-625/2016	nasal swab	custom-table-row/m49_country/PHL
MZ330992	icv-ncbi-refseqs-seg1	1	1	-	-	2016	OCT	5	Philippines	2325	-	Influenza C virus	-	Homo sapiens	C/Biliran/TB5-736/2016	nasal swab	custom-table-row/m49_country/PHL
MZ330999	icv-ncbi-refseqs-seg1	1	1	-	-	2014	JUL	10	Philippines	2325	-	Influenza C virus	-	Homo sapiens	C/Biliran/TB8-250/2014	nasal swab	custom-table-row/m49_country/PHL
MZ331006	icv-ncbi-refseqs-seg1	1	1	-	-	2015	JUL	3	Philippines	2325	-	Influenza C virus	-	Homo sapiens	C/Palawan/061/2015	nasal swab	custom-table-row/m49_country/PHL
MZ331013	icv-ncbi-refseqs-seg1	1	1	-	-	2014	MAR	18	Philippines	2325	-	Influenza C virus	-	Homo sapiens	C/Palawan/068/2014	nasal swab	custom-table-row/m49_country/PHL
NC_006307	icv-ncbi-refseqs-seg1	1	1	-	-	-	-	-	-	2365	15218173	Influenza C virus (C/Ann Arbor/1/50)	-	-	C/Ann Arbor/1/50	-	-
OK254894	icv-ncbi-refseqs-seg1	1	1	-	-	2020	-	-	China	2325	-	Influenza C virus	-	Canis familiaris	C/canine/China/Guangzhou-1/2020	nasal swab	custom-table-row/m49_country/CHN
OK254901	icv-ncbi-refseqs-seg1	1	1	-	-	2020	-	-	China	2325	-	Influenza C virus	-	Canis familiaris	C/canine/China/Guangzhou-2/2020	nasal swab	custom-table-row/m49_country/CHN
AB126192	icv-ncbi-refseqs-seg2	2	2	-	-	-	-	-	-	2363	15218173	Influenza C virus (C/Ann Arbor/1/50)	-	-	C/Ann Arbor/1/50	-	-
D30698	icv-ncbi-refseqs-seg2	2	2	-	-	-	-	-	-	342	7996155	Influenza C virus (C/Nara/2/85)	-	-	C/Nara/2/85	-	-
JX947864	icv-ncbi-refseqs-seg2	2	2	-	-	2011	JUL	15	India	2264	23523822	Influenza C virus (C/Eastern India/1202/2011)	-	Homo sapiens	C/Eastern India/1202/2011	-	custom-table-row/m49_country/IND
JX963122	icv-ncbi-refseqs-seg2	2	2	-	-	2006	MAY	18	Singapore	2211	-	Influenza C virus (C/Singapore/DSO-050530/2006)	-	Homo sapiens	C/Singapore/DSO-050530/2006	-	custom-table-row/m49_country/SGP
JX963123	icv-ncbi-refseqs-seg2	2	2	-	-	2006	NOV	17	Singapore	2189	-	Influenza C virus (C/Singapore/DSO-070170/2006)	-	Homo sapiens	C/Singapore/DSO-070170/2006	-	custom-table-row/m49_country/SGP
JX963124	icv-ncbi-refseqs-seg2	2	2	-	-	2006	NOV	29	Singapore	2163	-	Influenza C virus (C/Singapore/DSO-070193/2006)	-	Homo sapiens	C/Singapore/DSO-070193/2006	-	custom-table-row/m49_country/SGP
JX963125	icv-ncbi-refseqs-seg2	2	2	-	-	2006	DEC	4	Singapore	2209	-	Influenza C virus (C/Singapore/DSO-070203/2006)	-	Homo sapiens	C/Singapore/DSO-070203/2006	-	custom-table-row/m49_country/SGP
KM504278	icv-ncbi-refseqs-seg2	2	2	-	-	2012	-	-	Australia	2363	-	Influenza C virus (C/Victoria/2/2012)	-	Homo sapiens	C/Victoria/2/2012	-	custom-table-row/m49_country/AUS
KM507546	icv-ncbi-refseqs-seg2	2	2	-	-	2012	FEB	24	India	2265	-	Influenza C virus (C/India/P121719/2012)	-	Homo sapiens	C/India/P121719/2012	TS/NS	custom-table-row/m49_country/IND
KM507553	icv-ncbi-refseqs-seg2	2	2	-	-	2013	APR	25	India	2265	-	Influenza C virus (C/India/P135047/2013)	-	Homo sapiens	C/India/P135047/2013	TS/NS	custom-table-row/m49_country/IND
KT232083	icv-ncbi-refseqs-seg2	2	2	-	-	2011	JUN	10	India	2264	-	Influenza C virus (C/India/P119564/2011)	-	Homo sapiens	C/India/P119564/2011	TS/NS	custom-table-row/m49_country/IND
KT835336	icv-ncbi-refseqs-seg2	2	2	-	-	2007	-	-	United Kingdom	2194	26655269	Influenza C virus (C/Scotland/7482/2007)	-	Homo sapiens	C/Scotland/7482/2007	respiratory sample	custom-table-row/m49_country/GBR
KT835337	icv-ncbi-refseqs-seg2	2	2	-	-	2007	-	-	United Kingdom	2194	26655269	Influenza C virus (C/Scotland/7383/2007)	-	Homo sapiens	C/Scotland/7383/2007	respiratory sample	custom-table-row/m49_country/GBR
KT835338	icv-ncbi-refseqs-seg2	2	2	-	-	2007	-	-	United Kingdom	2194	26655269	Influenza C virus (C/Scotland/6855/2007)	-	Homo sapiens	C/Scotland/6855/2007	respiratory sample	custom-table-row/m49_country/GBR
KT835339	icv-ncbi-refseqs-seg2	2	2	-	-	2007	-	-	United Kingdom	2194	26655269	Influenza C virus (C/Scotland/7274/2007)	-	Homo sapiens	C/Scotland/7274/2007	respiratory sample	custom-table-row/m49_country/GBR
LC123386	icv-ncbi-refseqs-seg2	2	2	-	-	1954	-	-	USA	2322	27384661	Influenza C virus (C/Great Lakes/1167/1954)	-	Homo sapiens	C/Great Lakes/1167/1954	-	custom-table-row/m49_country/USA
LC123389	icv-ncbi-refseqs-seg2	2	2	-	-	1967	-	-	France	2322	27384661	Influenza C virus (C/Paris/1/67)	-	Homo sapiens	C/Paris/1/67	-	custom-table-row/m49_country/FRA
LC123396	icv-ncbi-refseqs-seg2	2	2	-	-	1978	-	-	USA	2322	27384661	Influenza C virus (C/California/78)	-	Homo sapiens	C/California/78	-	custom-table-row/m49_country/USA
LC123401	icv-ncbi-refseqs-seg2	2	2	-	-	1980	-	-	USA	2322	27384661	Influenza C virus (C/Mississippi/80)	-	Homo sapiens	C/Mississippi/80	-	custom-table-row/m49_country/USA
LC123414	icv-ncbi-refseqs-seg2	2	2	-	-	1992	-	-	Japan	2322	27384661	Influenza C virus (C/Yamagata/4/92)	-	Homo sapiens	C/Yamagata/4/92	-	custom-table-row/m49_country/JPN
LC123427	icv-ncbi-refseqs-seg2	2	2	-	-	2002	-	-	Japan	2322	27384661	Influenza C virus (C/Yamagata/5/2002)	-	Homo sapiens	C/Yamagata/5/2002	-	custom-table-row/m49_country/JPN
LC123429	icv-ncbi-refseqs-seg2	2	2	-	-	2002	-	-	Japan	2322	27384661	Influenza C virus (C/Miyagi/4/2002)	-	Homo sapiens	C/Miyagi/4/2002	-	custom-table-row/m49_country/JPN
LC123430	icv-ncbi-refseqs-seg2	2	2	-	-	2002	-	-	Japan	2322	27384661	Influenza C virus (C/Miyagi/11/2002)	-	Homo sapiens	C/Miyagi/11/2002	-	custom-table-row/m49_country/JPN
LC123431	icv-ncbi-refseqs-seg2	2	2	-	-	2002	-	-	Japan	2322	27384661	Influenza C virus (C/Miyagi/20/2002)	-	Homo sapiens	C/Miyagi/20/2002	-	custom-table-row/m49_country/JPN
LC123432	icv-ncbi-refseqs-seg2	2	2	-	-	2002	-	-	Japan	2322	27384661	Influenza C virus (C/Miyagi/28/2002)	-	Homo sapiens	C/Miyagi/28/2002	-	custom-table-row/m49_country/JPN
LC123433	icv-ncbi-refseqs-seg2	2	2	-	-	2002	-	-	Japan	2322	27384661	Influenza C virus (C/Miyagi/31/2002)	-	Homo sapiens	C/Miyagi/31/2002	-	custom-table-row/m49_country/JPN
LC123434	icv-ncbi-refseqs-seg2	2	2	-	-	2004	-	-	Japan	2322	27384661	Influenza C virus (C/Yamagata/3/2004)	-	Homo sapiens	C/Yamagata/3/2004	-	custom-table-row/m49_country/JPN
LC123437	icv-ncbi-refseqs-seg2	2	2	-	-	2004	-	-	Japan	2322	27384661	Influenza C virus (C/Yamagata/18/2004)	-	Homo sapiens	C/Yamagata/18/2004	-	custom-table-row/m49_country/JPN
LC123438	icv-ncbi-refseqs-seg2	2	2	-	-	2004	-	-	Japan	2322	27384661	Influenza C virus (C/Yamagata/26/2004)	-	Homo sapiens	C/Yamagata/26/2004	-	custom-table-row/m49_country/JPN
LC123440	icv-ncbi-refseqs-seg2	2	2	-	-	2004	-	-	Japan	2322	27384661	Influenza C virus (C/Miyagi/12/2004)	-	Homo sapiens	C/Miyagi/12/2004	-	custom-table-row/m49_country/JPN
LC123441	icv-ncbi-refseqs-seg2	2	2	-	-	2004	-	-	Japan	2322	27384661	Influenza C virus (C/Miyagi/25/2004)	-	Homo sapiens	C/Miyagi/25/2004	-	custom-table-row/m49_country/JPN
LC123442	icv-ncbi-refseqs-seg2	2	2	-	-	2004	-	-	Japan	2322	27384661	Influenza C virus (C/Miyagi/42/2004)	-	Homo sapiens	C/Miyagi/42/2004	-	custom-table-row/m49_country/JPN
