isolate	gb_subtype	rec_subtype	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession
D/bovine/Denmark/5224403563-5/2019	-	-	2019	APR	24	Bos taurus	nasal swab	Denmark	D/bovine/Denmark/5224403563-5/2019	OM468191	OM468213	OM468223	OM468244	OM468262	OM468271	OM468285
D/bovine/Denmark/3058506689-11/2019	-	-	2019	OCT	9	Bos taurus	nasal swab	Denmark	D/bovine/Denmark/3058506689-11/2019	OM468192	OM468204	OM468222	OM468248	OM468263	OM468268	OM468291
D/bovine/Denmark/1052304114-10/2020	-	-	2020	JAN	16	Bos taurus	nasal swab	Denmark	D/bovine/Denmark/1052304114-10/2020	OM468199	OM468205	OM468231	OM468235	OM468250	OM468279	OM468294
D/bovine/California/17/2019	-	-	2019	JAN	16	Bos taurus	sick bovine's nasal swab	USA	D/bovine/California/17/2019	MW079431	MW079438	MW079452	MW079473	MW079466	MW079445	MW079459
D/bovine/California/0363/2019	-	-	2019	-	-	Bos taurus	-	USA	D/bovine/California/0363/2019	MW020305	MW020306	MW020307	MW020308	MW020309	MW020310	MW020311
D/bovine/Italy/28145/2019	-	-	2019	-	-	Bos taurus	-	Italy	D/bovine/Italy/28145/2019	MN123862	MN123958	MN123954	MN123959	MN123955	MN123956	MN123957
D/bovine/Quebec/4Q-J20/2020	-	-	2020	-	-	Bos taurus	-	Canada	D/bovine/Quebec/4Q-J20/2020	MT246299	MT246298	MT246297	MT246296	MT246295	MT246294	MT246293
D/bovine/Texas/72/2017	-	-	2017	-	-	Bos taurus	-	USA	D/bovine/Texas/72/2017	MT636470	MT636471	MT636472	MT636473	MT636474	MT636475	MT636476
D/bovine/Kansas/14-22/2012	-	-	2012	DEC	1	Bos taurus	-	USA	D/bovine/Kansas/14-22/2012	KM392496	KM392497	KM392498	KM392499	KM392500	KM392501	KM392502
D/bovine/Miyazaki/B22/2016	-	-	2016	-	-	Bos taurus	-	Japan	D/bovine/Miyazaki/B22/2016	LC270265	LC270266	LC270267	LC270268	LC270269	LC270270	LC270271
D/bovine/Michigan/0377/2019	-	-	2019	FEB	1	Bos taurus	-	USA	D/bovine/Michigan/0377/2019	MW632171	MW632172	MW632173	MW632174	MW632175	MW632176	MW632177
D/bovine/Italy/35490/2019	-	-	2019	-	-	Bos taurus	-	Italy	D/bovine/Italy/35490/2019	MN123877	MN123882	MN123878	MN123883	MN123879	MN123880	MN123881
D/bovine/Yamagata/1/2019	-	-	2019	-	-	Bos taurus	-	Japan	D/bovine/Yamagata/1/2019	LC494105	LC494106	LC494107	LC494108	LC494109	LC494110	LC494111
D/bovine/Italy/17RS397-3/2017	-	-	2017	FEB	6	Bos taurus	-	Italy	D/bovine/Italy/17RS397-3/2017	MK965386	MK965370	MK965339	MK965264	MK965297	MK965361	MK965318
D/bovine/Italy/17RS396-10/2017	-	-	2017	FEB	8	Bos taurus	-	Italy	D/bovine/Italy/17RS396-10/2017	MK965385	MK965369	MK965338	MK965263	MK965296	MK965360	MK965317
D/bovine/Kansas/33/2019	-	-	2019	AUG	20	Bos taurus	lung	USA	D/bovine/Kansas/33/2019	MW079436	MW079443	MW079457	MW079478	MW079471	MW079450	MW079464
D/bovine/Italy/20749/2018	-	-	2018	-	-	Bos taurus	-	Italy	D/bovine/Italy/20749/2018	MN165224	MN165225	MN165227	MN165230	MN165229	MN165226	MN165228
D/bovine/Denmark/3313408142-6/2020	-	-	2020	JAN	8	Bos taurus	nasal swab	Denmark	D/bovine/Denmark/3313408142-6/2020	OM468186	OM468206	OM468228	OM468241	OM468264	OM468266	OM468286
D/bovine/Hokkaido/HKD3/2020	-	-	2020	-	-	Bos taurus	-	Japan	D/bovine/Hokkaido/HKD3/2020	LC565469	LC565472	LC565475	LC565478	LC565481	LC565484	LC565487
D/bovine/Mexico/S8/2015	-	-	2015	-	-	Bos taurus	-	Mexico	D/bovine/Mexico/S8/2015	KU710439	KU710435	KU710427	KU171127	KU710419	KU710431	KU710423
D/bovine/Mexico/S7/2015	-	-	2015	-	-	Bos taurus	-	Mexico	D/bovine/Mexico/S7/2015	KU710438	KU710434	KU710426	KU171126	KU710418	KU710430	KU710422
D/bovine/Italy/72875/2019	-	-	2019	-	-	Bos taurus	-	Italy	D/bovine/Italy/72875/2019	MN123898	MN123903	MN123899	MN123904	MN123900	MN123901	MN123902
D/bovine/Shandong/Y217/2014	-	-	2014	APR	2	Bos taurus	-	China	D/bovine/Shandong/Y217/2014	KM015505	KM015506	KM015507	KM015508	KM015509	KM015510	KM015511
D/bovine/Italy/3907772/2018	-	-	2018	-	-	Bos taurus	-	Italy	D/bovine/Italy/3907772/2018	MN123919	MN123924	MN123920	MN123925	MN123921	MN123922	MN123923
D/bovine/Kansas/25/2019	-	-	2019	APR	16	Bos taurus	sick bovine's nasal swab	USA	D/bovine/Kansas/25/2019	MW079432	MW079439	MW079453	MW079474	MW079467	MW079446	MW079460
D/bovine/Italy/108524/2018	-	-	2018	-	-	Bos taurus	-	Italy	D/bovine/Italy/108524/2018	MN165251	MN165252	MN165254	MN165257	MN165256	MN165253	MN165255
D/bovine/Quebec/3M-B/2020	-	-	2020	-	-	Bos taurus	-	Canada	D/bovine/Quebec/3M-B/2020	MT246292	MT246291	MT246290	MT246289	MT246288	MT246287	MT246286
D/bovine/France/5920/2014	-	-	2014	FEB	18	Bos taurus	lung fragment	France	D/bovine/France/5920/2014	MG720239	MG720241	MG720238	MG720235	MG720237	MG720240	MG720236
D/bovine/Kansas/1-35/2010	-	-	2010	DEC	10	Bos taurus	-	USA	D/bovine/Kansas/1-35/2010	KM392475	KM392476	KM392477	KM392478	KM392479	KM392480	KM392481
D/bovine/Italy/50543-3/2018	-	-	2018	-	-	Bos taurus	-	Italy	D/bovine/Italy/50543-3/2018	MN165189	MN165190	MN165192	MN165195	MN165194	MN165191	MN165193
D/bovine/Italy/38955/2019	-	-	2019	-	-	Bos taurus	-	Italy	D/bovine/Italy/38955/2019	MN123884	MN123889	MN123885	MN123890	MN123886	MN123887	MN123888
D/bovine/Denmark/5195604714-5/2019	-	-	2019	JAN	15	Bos taurus	nasal swab	Denmark	D/bovine/Denmark/5195604714-5/2019	OM468195	OM468210	OM468221	OM468238	OM468255	OM468276	OM468289
D/bovine/Yamagata/10710/2016	-	-	2016	-	-	Bos taurus	-	Japan	D/bovine/Yamagata/10710/2016	LC318665	LC318666	LC318667	LC318668	LC318669	LC318670	LC318671
D/bovine/Italy/17RS395-6/2017	-	-	2017	FEB	8	Bos taurus	-	Italy	D/bovine/Italy/17RS395-6/2017	MK965384	MK965368	MK965337	MK965262	MK965295	MK965359	MK965316
D/swine/Italy/218655/2017	-	-	2017	-	-	Sus scrofa	-	Italy	D/swine/Italy/218655/2017	MN123947	MN123952	MN123948	MN123953	MN123949	MN123950	MN123951
D/bovine/Italy/15RS1509-14/2015	-	-	2015	SEP	10	Bos taurus	-	Italy	D/bovine/Italy/15RS1509-14/2015	MK965387	MK965371	MK965340	MK965277	MK965298	MK965362	MK965319
D/bovine/Italy/59542/2018	-	-	2018	-	-	Bos taurus	-	Italy	D/bovine/Italy/59542/2018	MN165182	MN165183	MN165185	MN165188	MN165187	MN165184	MN165186
D/bovine/Italy/17VIR1851/2016	-	-	2016	OCT	26	Bos taurus	-	Italy	D/bovine/Italy/17VIR1851/2016	MK965373	MK965363	MK965321	MK965257	MK965279	MK965342	MK965300
D/swine/Italy/254578/2015	-	-	2015	-	-	Sus scrofa	-	Italy	D/swine/Italy/254578/2015	KX768831	KX768832	KX768833	KX768834	KX768835	KX768836	KX768837
D/swine/Oklahoma/1334/2011	-	-	2011	MAR	21	Sus scrofa	-	USA	D/swine/Oklahoma/1334/2011	JQ922305	NC_036615	NC_036619	NC_036618	JQ922309	NC_036620	NC_036621
D/swine/Italy/73601-3/2017	-	-	2017	-	-	Sus scrofa	-	Italy	D/swine/Italy/73601-3/2017	MK131022	MK131023	MK131024	MK131026	MK131027	MK131025	MK131028
D/bovine/Oklahoma/660/2013	-	-	2013	FEB	20	Bos taurus	-	USA	D/bovine/Oklahoma/660/2013	KF425659	KF425660	KF425661	KF425662	KF425663	KF425664	KF425665
D/bovine/Italy/345075/2018	-	-	2018	-	-	Bos taurus	-	Italy	D/bovine/Italy/345075/2018	MN123912	MN123917	MN123913	MN123918	MN123914	MN123915	MN123916
D/bovine/Denmark/4559602762-5/2019	-	-	2019	JAN	15	Bos taurus	nasal swab	Denmark	D/bovine/Denmark/4559602762-5/2019	OM468196	OM468211	OM468218	OM468240	OM468258	OM468274	OM468290
D/bovine/Quebec/5E-H/2018	-	-	2018	-	-	Bos taurus	-	Canada	D/bovine/Quebec/5E-H/2018	MT246272	MT246271	MT246270	MT246269	MT246268	MT246267	MT246266
D/swine/Italy/173287-4/2016	-	-	2016	-	-	Sus scrofa	-	Italy	D/swine/Italy/173287-4/2016	KX768824	KX768825	KX768826	KX768827	KX768828	KX768829	KX768830
D/swine/Italy/354017/2015	-	-	2015	-	-	Sus scrofa	-	Italy	D/swine/Italy/354017/2015	KX768838	KX768839	KX768840	KX768841	KX768842	KX768843	KX768844
D/bovine/Italy/78668/2019	-	-	2019	-	-	Bos taurus	-	Italy	D/bovine/Italy/78668/2019	MN123905	MN123910	MN123906	MN123911	MN123907	MN123908	MN123909
D/bovine/Kansas/26/2019	-	-	2019	APR	16	Bos taurus	sick bovine's nasal swab	USA	D/bovine/Kansas/26/2019	MW079433	MW079440	MW079454	MW079475	MW079468	MW079447	MW079461
D/bovine/Italy/40574/2018	-	-	2018	-	-	Bos taurus	-	Italy	D/bovine/Italy/40574/2018	MN165203	MN165204	MN165206	MN165209	MN165208	MN165205	MN165207
D/bovine/Kansas/13-21/2012	-	-	2012	OCT	17	Bos taurus	-	USA	D/bovine/Kansas/13-21/2012	KM392489	KM392490	KM392491	KM392492	KM392493	KM392494	KM392495
D/bovine/Nebraska/9-5/2012	-	-	2012	JAN	31	Bos taurus	-	USA	D/bovine/Nebraska/9-5/2012	KM392468	KM392469	KM392470	KM392471	KM392472	KM392473	KM392474
D/bovine/Kansas/28/2019	-	-	2019	APR	16	Bos taurus	sick bovine's nasal swab	USA	D/bovine/Kansas/28/2019	MW079435	MW079442	MW079456	MW079477	MW079470	MW079449	MW079463
D/bovine/Denmark/6171103755-1/2019	-	-	2019	FEB	6	Bos taurus	nasal swab	Denmark	D/bovine/Denmark/6171103755-1/2019	OM468189	OM468201	OM468224	OM468243	OM468260	OM468270	OM468297
D/bovine/Shandong/Y127/2014	-	-	2014	APR	2	Bos taurus	-	China	D/bovine/Shandong/Y127/2014	KM015498	KM015499	KM015500	KM015501	KM015502	KM015503	KM015504
D/bovine/Italy/12002-1/2018	-	-	2018	-	-	Bos taurus	-	Italy	D/bovine/Italy/12002-1/2018	MN165244	MN165245	MN165247	MN165250	MN165249	MN165246	MN165248
D/bovine/Ibaraki/7768/2016	-	-	2016	-	-	Bos taurus	-	Japan	D/bovine/Ibaraki/7768/2016	LC128439	LC128438	LC128437	LC128433	LC128435	LC128434	LC128436
D/bovine/Kansas/27/2019	-	-	2019	APR	16	Bos taurus	sick bovine's nasal swab	USA	D/bovine/Kansas/27/2019	MW079434	MW079441	MW079455	MW079476	MW079469	MW079448	MW079462
D/bovine/Italy/56649-11/2018	-	-	2018	-	-	Bos taurus	-	Italy	D/bovine/Italy/56649-11/2018	MN123933	MN123938	MN123934	MN123939	MN123935	MN123936	MN123937
D/swine/Oklahoma/1334/2011 (plaque-cloned)	-	-	2018	-	-	Sus scrofa	-	Japan	D/swine/Oklahoma/1334/2011 (plaque-cloned)	LC522351	LC522352	LC522353	LC522354	LC522355	LC522356	LC522357
D/bovine/France/CO-E2256.01/2018	-	-	2018	-	-	Bos taurus	nasal swab	France	D/bovine/France/CO-E2256.01/2018	ON038921	ON038923	ON038925	ON038935	ON038927	ON038930	ON038932
D/swine/Italy/199724-3/2015	-	-	2015	-	-	Sus scrofa	-	Italy	D/swine/Italy/199724-3/2015	KT592530	KT592531	KT592532	KT592533	KT592534	KT592535	KT592536
D/bovine/Kansas/11-8/2012	-	-	2012	APR	19	Bos taurus	-	USA	D/bovine/Kansas/11-8/2012	KM392503	KM392504	KM392505	KM392506	KM392507	KM392508	KM392509
D/bovine/Italy/407865/2018	-	-	2018	-	-	Bos taurus	-	Italy	D/bovine/Italy/407865/2018	MN123926	MN123931	MN123927	MN123932	MN123928	MN123929	MN123930
D/bovine/Italy/37760/2019	-	-	2019	-	-	Bos taurus	-	Italy	D/bovine/Italy/37760/2019	MN165210	MN165211	MN165213	MN165216	MN165215	MN165212	MN165214
D/bovine/Italy/287448/2015	-	-	2015	-	-	Bos taurus	-	Italy	D/bovine/Italy/287448/2015	MZ264973	MZ264978	MZ264974	MZ264979	MZ264975	MZ264976	MZ264977
D/bovine/Mexico/S56/2015	-	-	2015	-	-	Bos taurus	-	Mexico	D/bovine/Mexico/S56/2015	KU710440	KU710436	KU710428	KU171128	KU710420	KU710432	KU710424
D/bovine/Mississippi/C00046N/2014	-	-	2014	FEB	19	Bos taurus; 6 to 8 months	nasal swab	USA	D/bovine/Mississippi/C00046N/2014	KT581409	KT581410	KT581411	KT581412	KT581413	KT581414	KT581415
D/bovine/California/1490/2018	-	-	2018	NOV	1	Bos taurus	-	USA	D/bovine/California/1490/2018	MW632178	MW632179	MW632180	MW632181	MW632182	MW632183	MW632184
D/bovine/Denmark/1173303525-4/2019	-	-	2019	APR	5	Bos taurus	nasal swab	Denmark	D/bovine/Denmark/1173303525-4/2019	OM468187	OM468207	OM468226	OM468242	OM468254	OM468267	OM468282
D/bovine/Minnesota/729/2013	-	-	2013	FEB	26	Bos taurus	-	USA	D/bovine/Minnesota/729/2013	KF425666	KF425667	KF425668	KF425669	KF425670	KF425671	KF425672
D/bovine/Italy/12545-8/2018	-	-	2018	-	-	Bos taurus	-	Italy	D/bovine/Italy/12545-8/2018	MN165237	MN165238	MN165240	MN165243	MN165242	MN165239	MN165241
D/bovine/Italy/30787/2017	-	-	2017	-	-	Bos taurus	-	Italy	D/bovine/Italy/30787/2017	MN123876	MN123875	MN123873	MN123870	MN123871	MN123874	MN123872
D/bovine/Italy/45097/2019	-	-	2019	-	-	Bos taurus	-	Italy	D/bovine/Italy/45097/2019	MN123891	MN123896	MN123892	MN123897	MN123893	MN123894	MN123895
D/bovine/Shandong/Y125/2014	-	-	2014	APR	2	Bos taurus	-	China	D/bovine/Shandong/Y125/2014	KM015491	KM015492	KM015493	KM015494	KM015495	KM015496	KM015497
D/bovine/Mexico/S62/2015	-	-	2015	-	-	Bos taurus	-	Mexico	D/bovine/Mexico/S62/2015	KU710441	KU710437	KU710429	KU171129	KU710421	KU710433	KU710425
D/bovine/Utah/9/2019	-	-	2019	JAN	9	Bos taurus	sick bovine's nasal swab	USA	D/bovine/Utah/9/2019	MW079430	MW079437	MW079451	MW079472	MW079465	MW079444	MW079458
D/bovine/China/JY3001/2021	-	-	2021	DEC	17	Bos taurus	-	China	D/bovine/China/JY3001/2021	ON415263	ON415264	ON415265	ON415266	ON415267	ON415268	ON415269
D/bovine/Italy/16RS2359/2016	-	-	2016	DEC	16	Bos taurus	-	Italy	D/bovine/Italy/16RS2359/2016	MK965381	MK965366	MK965334	MK965258	MK965292	MK965356	MK965313
D/bovine/Texas/3-13/2011	-	-	2011	JUN	1	Bos taurus	-	USA	D/bovine/Texas/3-13/2011	KM392482	KM392483	KM392484	KM392485	KM392486	KM392487	KM392488
D/bovine/Hokkaido/HKD1/2018	-	-	2018	-	-	Bos taurus	-	Japan	D/bovine/Hokkaido/HKD1/2018	LC565467	LC565470	LC565473	LC565476	LC565479	LC565482	LC565485
D/bovine/Italy/28300/2019	-	-	2019	-	-	Bos taurus	-	Italy	D/bovine/Italy/28300/2019	MN123863	MN123868	MN123864	MN123869	MN123865	MN123866	MN123867
D/bovine/Italy/4128547/2018	-	-	2018	-	-	Bos taurus	-	Italy	D/bovine/Italy/4128547/2018	MN165196	MN165197	MN165199	MN165202	MN165201	MN165198	MN165200
D/bovine/Minnesota/628/2013	-	-	2013	FEB	18	Bos taurus	-	USA	D/bovine/Minnesota/628/2013	KF425652	KF425653	KF425654	KF425655	KF425656	KF425657	KF425658
D/swine/Kentucky/17TOSU1262/2017	-	-	2017	NOV	1	Sus scrofa	nasal swab	USA	D/swine/Kentucky/17TOSU1262/2017	MK054181	MK054182	MK054180	MK054184	MK054178	MK054183	MK054179
D/bovine/Denmark/5256205576-8/2020	-	-	2020	MAR	6	Bos taurus	nasal swab	Denmark	D/bovine/Denmark/5256205576-8/2020	OM468198	OM468215	OM468230	OM468234	OM468249	OM468278	OM468293
D/bovine/Denmark/5022903340-5/2019	-	-	2019	JAN	15	Bos taurus	nasal swab	Denmark	D/bovine/Denmark/5022903340-5/2019	OM468193	OM468208	OM468219	OM468237	OM468256	OM468275	OM468287
D/bovine/Italy/18RS182-16/2018	-	-	2018	JAN	19	Bos taurus	-	Italy	D/bovine/Italy/18RS182-16/2018	MK965378	MK965365	MK965322	MK965270	MK965289	MK965344	MK965310
D/bovine/Italy/18RS182-13/2017	-	-	2017	DEC	19	Bos taurus	-	Italy	D/bovine/Italy/18RS182-13/2017	MK965374	MK965364	MK965327	MK965268	MK965282	MK965349	MK965303
D/bovine/Italy/46484/2015	-	-	2015	-	-	Bos taurus	-	Italy	D/bovine/Italy/46484/2015	KT592523	KT592524	KT592525	KT592526	KT592527	KT592528	KT592529
D/bovine/Quebec/1M-H/2019	-	-	2019	-	-	Bos taurus	-	Canada	D/bovine/Quebec/1M-H/2019	MT246279	MT246278	MT246277	MT246276	MT246275	MT246274	MT246273
D/bovine/Italy/72637/2019	-	-	2019	-	-	Bos taurus	-	Italy	D/bovine/Italy/72637/2019	MN165175	MN165176	MN165178	MN165181	MN165180	MN165177	MN165179
D/bovine/Italy/17RS393-6/2017	-	-	2017	FEB	17	Bos taurus	-	Italy	D/bovine/Italy/17RS393-6/2017	MK965383	MK965367	MK965336	MK965261	MK965294	MK965358	MK965315
