sequenceID	isolate	length	collection_year	collection_month	collection_month_day	gb_segment	country	place_sampled	pubmed_id	host_sci_name
CY063342	B/Minas Gerais/264/2008	1032	2008	JUL	30	4	Brazil: MG	MG	-	human; gender F; age 10Y
CY063343	B/Minas Gerais/349/2008	1034	2008	SEP	2	4	Brazil: MG	MG	-	human; gender M; age 8Y
CY063344	B/Minas Gerais/350/2008	1051	2008	SEP	2	4	Brazil: MG	MG	-	human; gender F; age 6Y
CY063345	B/Minas Gerais/351/2008	1058	2008	SEP	3	4	Brazil: MG	MG	-	human; gender M; age 32Y
CY063346	B/Minas Gerais/352/2008	1057	2008	SEP	10	4	Brazil: MG	MG	-	human; gender M; age 29Y
CY063347	B/Minas Gerais/355/2008	1049	2008	SEP	3	4	Brazil: MG	MG	-	human; gender F; age 3Y
CY063348	B/Minas Gerais/4/2007	997	2007	FEB	14	4	Brazil: MG	MG	-	human; gender F; age 38Y
CY063349	B/Minas Gerais/459/2006	947	2006	JUN	1	4	Brazil: MG	MG	-	human; gender M; age 26Y
CY063350	B/Minas Gerais/461/2006	1063	2006	JUN	7	4	Brazil: MG	MG	-	human; gender F; age 12Y
CY063351	B/Minas Gerais/466/2006	1072	2006	JUN	21	4	Brazil: MG	MG	-	human; gender F; age 57Y
CY063352	B/Minas Gerais/5/2007	1023	2007	FEB	21	4	Brazil: MG	MG	-	human; gender F; age 7Y
CY063353	B/Parana/282/2008	1044	2008	JUN	23	4	Brazil: PR	PR	-	human; gender F; age 26Y
CY063354	B/Parana/283/2008	980	2008	AUG	19	4	Brazil: PR	PR	-	human; gender M; age 8Y
CY063356	B/Parana/286/2008	1025	2008	JUL	2	4	Brazil: PR	PR	-	human; gender M; age 14Y
CY063357	B/Parana/288/2008	1036	2008	JUL	4	4	Brazil: PR	PR	-	human; gender M; age 12Y
CY063358	B/Parana/290/2008	1048	2008	JUN	9	4	Brazil: PR	PR	-	human; gender M; age 33Y
CY063359	B/Parana/292/2008	1054	2008	AUG	12	4	Brazil: PR	PR	-	human; gender F; age 16Y
CY063360	B/Parana/294/2008	1040	2008	JUL	10	4	Brazil: PR	PR	-	human; gender M; age 25Y
CY063361	B/Parana/295/2008	1048	2008	JUL	15	4	Brazil: PR	PR	-	human; gender M; age 24Y
CY063364	B/Rio de Janeiro/379/2007	1057	2007	NOV	28	4	Brazil: RJ	RJ	-	human; gender F; age 33Y
CY063367	B/Rio Grande do Sul/157/2008	1047	2008	JUN	23	4	Brazil: RS	RS	-	human; gender F; age 41Y
CY063368	B/Rio Grande do Sul/161/2008	1031	2008	JUN	30	4	Brazil: RS	RS	-	human; gender F; age 23Y
CY063369	B/Rio Grande do Sul/189/2005	1080	2005	JUN	17	4	Brazil: RS	RS	-	human; gender M; age 2Y
CY063373	B/Rio Grande do Sul/312/2008	1069	2008	JUL	22	4	Brazil: RS	RS	-	human; gender M; age 26Y
CY063374	B/Rio Grande do Sul/314/2008	906	2008	JUN	23	4	Brazil: RS	RS	-	human; gender F; age 48Y
CY063375	B/Rio Grande do Sul/316/2008	1056	2008	JUL	28	4	Brazil: RS	RS	-	human; gender F; age 23Y
CY063376	B/Rio Grande do Sul/317/2008	1036	2008	JUL	29	4	Brazil: RS	RS	-	human; gender M; age 29Y
CY063377	B/Rio Grande do Sul/321/2008	1017	2008	AUG	6	4	Brazil: RS	RS	-	human; gender M; age 54Y
CY063378	B/Rio Grande do Sul/324/2008	1052	2008	AUG	22	4	Brazil: RS	RS	-	human; gender F; age 33Y
CY063379	B/Rio Grande do Sul/327/2008	1054	2008	SEP	3	4	Brazil: RS	RS	-	human; gender M; age 31Y
CY063380	B/Rio Grande do Sul/347/2007	1063	2007	AUG	16	4	Brazil: RS	RS	-	human; gender F; age 5Y
CY063381	B/Rio Grande do Sul/397/2007	1055	2007	NOV	1	4	Brazil: RS	RS	-	human; gender M; age 9Y
CY063382	B/Rio Grande do Sul/398/2007	1041	2007	NOV	22	4	Brazil: RS	RS	-	human; gender F; age 24Y
CY063383	B/Rio Grande do Sul/399/2007	1059	2007	DEC	6	4	Brazil: RS	RS	-	human; gender F; age 26Y
CY063384	B/Rio Grande do Sul/44/2008	1055	2008	MAR	3	4	Brazil: RS	RS	-	human; gender F; age 4Y
CY063385	B/Rio Grande do Sul/47/2008	1051	2008	APR	28	4	Brazil: RS	RS	-	human; gender M; age 13Y
CY063386	B/Rio Grande do Sul/48/2008	1060	2008	MAY	15	4	Brazil: RS	RS	-	human; gender M; age 47
CY063387	B/Rio Grande do Sul/52/2008	1049	2008	MAY	21	4	Brazil: RS	RS	-	human; gender M; age 12Y
CY063388	B/Rio Grande do Sul/53/2008	1036	2008	JUN	29	4	Brazil: RS	RS	-	human; gender M; age 42Y
CY063389	B/Rio Grande do Sul/55/2008	940	2008	JUN	10	4	Brazil: RS	RS	-	human; gender M; age 1Y
CY063390	B/Rio Grande do Sul/56/2008	1002	2008	JUN	12	4	Brazil: RS	RS	-	human; gender F; age 14Y
CY063391	B/Rio Grande do Sul/57/2008	1027	2008	JUN	13	4	Brazil: RS	RS	-	human; gender F; age 11M
CY063392	B/Rio Grande do Sul/707/2006	1072	2006	MAR	16	4	Brazil: RS	RS	-	human; gender F; age 22Y
CY063393	B/Rio Grande do Sul/710/2006	1063	2006	JUL	17	4	Brazil: RS	RS	-	human; gender F; age 29Y
CY063395	B/Rio Grande do Sul/734/2006	935	2006	AUG	2	4	Brazil: RS	RS	-	human; gender F; age 41Y
CY063401	B/Sergipe/258/2008	1022	2008	APR	23	4	Brazil: SE	SE	-	human; gender F; age 30Y
CY063402	B/Bahia/26/2008	1177	2008	MAY	15	6	Brazil: BA	BA	-	human; gender M
CY063403	B/Bahia/27/2008	1245	2008	MAY	15	6	Brazil: BA	BA	-	human; gender F
CY063404	B/Bahia/301/2008	1242	2008	JUL	30	6	Brazil: BA	BA	-	human; gender F; age 39Y
CY063405	B/Bahia/31/2008	1161	2008	MAY	15	6	Brazil: BA	BA	-	human; gender M
CY063406	B/Minas Gerais/106/2008	1247	2008	MAR	18	6	Brazil: MG	MG	-	human; gender M; age 8Y
CY063407	B/Minas Gerais/114/2008	1248	2008	MAY	14	6	Brazil: MG	MG	-	human; gender M; age 22Y
CY063408	B/Minas Gerais/117/2008	1246	2008	JUN	11	6	Brazil: MG	MG	-	human; gender F; age 17Y
CY063409	B/Minas Gerais/122/2008	1241	2008	JUN	24	6	Brazil: MG	MG	-	human; gender F; age 25Y
CY063410	B/Minas Gerais/125/2008	1246	2008	JUN	25	6	Brazil: MG	MG	-	human; gender M; age 18Y
CY063411	B/Minas Gerais/261/2008	1246	2008	JUL	22	6	Brazil: MG	MG	-	human; gender F; age 53Y
CY063412	B/Minas Gerais/263/2008	1225	2008	JUL	23	6	Brazil: MG	MG	-	human; gender M; age 39Y
CY063413	B/Minas Gerais/264/2008	1211	2008	JUL	30	6	Brazil: MG	MG	-	human; gender F; age 10Y
CY063414	B/Minas Gerais/349/2008	1210	2008	SEP	2	6	Brazil: MG	MG	-	human; gender M; age 8Y
CY063415	B/Minas Gerais/350/2008	1243	2008	SEP	2	6	Brazil: MG	MG	-	human; gender F; age 6Y
CY063416	B/Minas Gerais/351/2008	1225	2008	SEP	3	6	Brazil: MG	MG	-	human; gender M; age 32Y
CY063417	B/Minas Gerais/352/2008	1283	2008	SEP	10	6	Brazil: MG	MG	-	human; gender M; age 29Y
CY063418	B/Minas Gerais/355/2008	1229	2008	SEP	3	6	Brazil: MG	MG	-	human; gender F; age 3Y
CY063419	B/Minas Gerais/4/2007	1264	2007	FEB	14	6	Brazil: MG	MG	-	human; gender F; age 38Y
CY063420	B/Parana/282/2008	1240	2008	JUN	23	6	Brazil: PR	PR	-	human; gender F; age 26Y
CY063421	B/Parana/283/2008	1247	2008	AUG	19	6	Brazil: PR	PR	-	human; gender M; age 8Y
CY063422	B/Parana/284/2008	1225	2008	JUN	3	6	Brazil: PR	PR	-	human; gender M; age 35Y
CY063423	B/Parana/286/2008	1238	2008	JUL	2	6	Brazil: PR	PR	-	human; gender M; age 14Y
CY063424	B/Parana/288/2008	1245	2008	JUL	4	6	Brazil: PR	PR	-	human; gender M; age 12Y
CY063425	B/Parana/290/2008	1256	2008	JUN	9	6	Brazil: PR	PR	-	human; gender M; age 33Y
CY063426	B/Parana/292/2008	1259	2008	AUG	12	6	Brazil: PR	PR	-	human; gender F; age 16Y
CY063427	B/Parana/294/2008	1248	2008	JUL	10	6	Brazil: PR	PR	-	human; gender M; age 25Y
CY063428	B/Parana/295/2008	1230	2008	JUL	15	6	Brazil: PR	PR	-	human; gender M; age 24Y
CY063429	B/Parana/566/2006	1124	2006	JUN	8	6	Brazil: PR	PR	-	human; gender M; age 20Y
CY063430	B/Rio de Janeiro/379/2007	1247	2007	NOV	28	6	Brazil: RJ	RJ	-	human; gender F; age 33Y
CY063431	B/Rio de Janeiro/792/2004	1246	2004	NOV	17	6	Brazil: RJ	RJ	-	human; gender M; age 15Y
CY063432	B/Rio de Janeiro/809/2004	1248	2004	DEC	8	6	Brazil: RJ	RJ	-	human; gender F; age 1Y
CY063433	B/Rio Grande do Sul/157/2008	1244	2008	JUN	23	6	Brazil: RS	RS	-	human; gender F; age 41Y
CY063434	B/Rio Grande do Sul/161/2008	1248	2008	JUN	30	6	Brazil: RS	RS	-	human; gender F; age 23Y
CY063435	B/Rio Grande do Sul/312/2008	1233	2008	JUL	22	6	Brazil: RS	RS	-	human; gender M; age 26Y
CY063436	B/Rio Grande do Sul/314/2008	1219	2008	JUN	23	6	Brazil: RS	RS	-	human; gender F; age 48Y
CY063437	B/Rio Grande do Sul/316/2008	1203	2008	JUL	28	6	Brazil: RS	RS	-	human; gender F; age 23Y
CY063438	B/Rio Grande do Sul/317/2008	1199	2008	JUL	29	6	Brazil: RS	RS	-	human; gender M; age 29Y
CY063439	B/Rio Grande do Sul/321/2008	1241	2008	AUG	6	6	Brazil: RS	RS	-	human; gender M; age 54Y
CY063440	B/Rio Grande do Sul/324/2008	1193	2008	AUG	22	6	Brazil: RS	RS	-	human; gender F; age 33Y
CY063441	B/Rio Grande do Sul/327/2008	1226	2008	SEP	3	6	Brazil: RS	RS	-	human; gender M; age 31Y
CY063442	B/Rio Grande do Sul/347/2007	1248	2007	AUG	16	6	Brazil: RS	RS	-	human; gender F; age 5Y
CY063443	B/Rio Grande do Sul/44/2008	1246	2008	MAR	3	6	Brazil: RS	RS	-	human; gender F; age 4Y
CY063444	B/Rio Grande do Sul/47/2008	1223	2008	APR	28	6	Brazil: RS	RS	-	human; gender M; age 13Y
CY063445	B/Rio Grande do Sul/48/2008	1280	2008	MAY	15	6	Brazil: RS	RS	-	human; gender M; age 47
CY063446	B/Rio Grande do Sul/52/2008	1243	2008	MAY	21	6	Brazil: RS	RS	-	human; gender M; age 12Y
CY063447	B/Rio Grande do Sul/53/2008	1247	2008	JUN	29	6	Brazil: RS	RS	-	human; gender M; age 42Y
CY063448	B/Rio Grande do Sul/55/2008	1243	2008	JUN	10	6	Brazil: RS	RS	-	human; gender M; age 1Y
CY063449	B/Rio Grande do Sul/56/2008	1245	2008	JUN	12	6	Brazil: RS	RS	-	human; gender F; age 14Y
CY063450	B/Rio Grande do Sul/57/2008	1246	2008	JUN	13	6	Brazil: RS	RS	-	human; gender F; age 11M
CY063451	B/Rio Grande do Sul/734/2006	1245	2006	AUG	2	6	Brazil: RS	RS	-	human; gender F; age 41Y
CY063452	B/Santa Catarina/150/2008	1232	2008	JUL	11	6	Brazil: SC	SC	-	human; gender F; age 7Y
CY063453	B/Sergipe/258/2008	1214	2008	APR	23	6	Brazil: SE	SE	-	human; gender F; age 30Y
CY068894	B/Memphis/1/2003	1472	2003	-	-	6	USA: Memphis	Memphis	-	Homo sapiens
CY068895	B/Memphis/1/2003	1174	2003	-	-	7	USA: Memphis	Memphis	-	Homo sapiens
CY069565	B/North Carolina/WRAIR1582P/2009	1834	2009	-	-	4	USA: North Carolina	North Carolina	-	human; gender Male; age 26
CY069576	B/Oklahoma/WRAIR1587P/2009	1055	2009	JAN	1	8	USA: Oklahoma	Oklahoma	-	human; gender Male; age 42
CY069577	B/North Carolina/WRAIR1582P/2009	1055	2009	-	-	8	USA: North Carolina	North Carolina	-	human; gender Male; age 26
CY070043	B/California/AF2161/2009	1200	2009	OCT	31	4	USA: California	California	-	human; gender F; age 2
CY070044	B/California/AF2162/2009	1100	2009	OCT	26	4	USA: California	California	-	human; gender F; age 2
CY070045	B/Japan/AF2164/2009	1100	2009	NOV	2	4	Japan	-	-	human; gender M; age 29
CY070046	B/Korea/AF2166/2009	1200	2009	SEP	15	4	South Korea	-	-	human; gender M; age 4
CY070047	B/Maryland/AF2168/2009	1200	2009	SEP	17	4	USA: Maryland	Maryland	-	human; gender M; age 27
CY070048	B/Texas/AF2169/2009	1200	2009	SEP	18	4	USA: Texas	Texas	-	human; gender F; age 26
CY070049	B/District of Columbia/AF2170/2009	1200	2009	SEP	26	4	USA: District of Columbia	District of Columbia	-	human; gender F; age 34
CY070050	B/GermanyAF2163/2010	1200	2010	FEB	16	4	Germany	-	-	human; gender M; age 44
CY070051	B/Korea/AF2165/2010	1200	2010	MAY	19	4	South Korea	-	-	human; gender M; age 26
CY070052	B/Guam/AF2167/2010	1200	2010	APR	14	4	Guam	-	-	human; gender F; age 11
CY071968	B/Beijing/1782/2010	934	2010	-	-	4	China: Beijing	Beijing	-	Homo sapiens
CY071970	B/Beijing/1889/2010	905	2010	-	-	4	China: Beijing	Beijing	-	Homo sapiens
CY071972	B/Beijing/2055/2010	924	2010	-	-	4	China: Beijing	Beijing	-	Homo sapiens
CY071973	B/Beijing/2070/2010	925	2010	-	-	4	China: Beijing	Beijing	-	Homo sapiens
CY073893	B/Brisbane/60/2008	1758	2008	-	-	4	Australia: Brisbane	Brisbane	-	Homo sapiens
CY073894	B/Brisbane/60/2008	1401	2008	-	-	6	Australia: Brisbane	Brisbane	-	Homo sapiens
CY073895	B/Florida/4/2006	1740	2006	NOV	1	4	USA: Florida	Florida	-	Homo sapiens
CY073896	B/Florida/4/2006	1401	2006	NOV	1	6	USA: Florida	Florida	-	Homo sapiens
CY077414	B/Ulaanbaatar/2481/2008	1828	2008	FEB	2	4	Mongolia: Ulaanbaatar/Chingeltei district	Ulaanbaatar/Chingeltei district	-	human; gender F; age 4
CY077415	B/Ulaanbaatar/2481/2008	1401	2008	FEB	2	6	Mongolia: Ulaanbaatar/Chingeltei district	Ulaanbaatar/Chingeltei district	-	human; gender F; age 4
CY084350	B/Alaska/AF2731/2010	1200	2010	JUL	27	4	USA: Alaska	Alaska	-	human; gender F; age 16
CY084351	B/Hawaii/AF2732/2010	1200	2010	SEP	9	4	USA: Hawaii	Hawaii	-	Homo sapiens
CY084352	B/Hawaii/AF2733/2010	1200	2010	SEP	16	4	USA: Hawaii	Hawaii	-	Homo sapiens
CY084353	B/Guam/AF2734/2010	1197	2010	OCT	7	4	Northern Mariana Islands: Guam	Guam	-	human; gender M; age 7
CY084354	B/Guam/AF2735/2010	1200	2010	OCT	13	4	Northern Mariana Islands: Guam	Guam	-	human; gender F; age 11
CY084355	B/Guam/AF2736/2010	1200	2010	OCT	20	4	Northern Mariana Islands: Guam	Guam	-	human; gender F; age 8
CY084356	B/Hawaii/AF2737/2010	1200	2010	OCT	4	4	USA: Hawaii	Hawaii	-	human; gender M; age 57
CY084357	B/California/AF2738/2010	1200	2010	NOV	4	4	USA: California	California	-	human; gender F; age 8
CY084358	B/Guam/AF2739/2010	1200	2010	NOV	9	4	Northern Mariana Islands: Guam	Guam	-	human; gender M; age 9
CY084359	B/Guam/AF2740/2010	1200	2010	NOV	29	4	Northern Mariana Islands: Guam	Guam	-	human; gender F; age 34
CY084360	B/Texas/AF2741/2010	1200	2010	DEC	2	4	USA: Texas	Texas	-	human; gender F; age 6
CY084361	B/Arizona/AF2743/2010	1200	2010	DEC	20	4	USA: Arizona	Arizona	-	human; gender F; age 14
CY084362	B/Florida/AF2746/2010	1200	2010	DEC	13	4	USA: Florida	Florida	-	human; gender F; age 9
CY084363	B/Florida/AF2747/2010	1200	2010	DEC	14	4	USA: Florida	Florida	-	human; gender F; age 5
CY084364	B/Georgia/AF2751/2010	1200	2010	DEC	21	4	USA: Georgia	Georgia	-	human; gender F; age 29
CY084365	B/Hawaii/AF2753/2010	1200	2010	NOV	9	4	USA: Hawaii	Hawaii	-	human; gender M; age 14
CY084366	B/Hawaii/AF2754/2010	1200	2010	NOV	22	4	USA: Hawaii	Hawaii	-	human; gender M; age 12
CY084367	B/Hawaii/AF2755/2010	1200	2010	NOV	26	4	USA: Hawaii	Hawaii	-	human; gender F; age 16
CY084368	B/Hawaii/AF2756/2010	1200	2010	NOV	28	4	USA: Hawaii	Hawaii	-	human; gender F; age 18
CY084369	B/Hawaii/AF2757/2010	1200	2010	NOV	29	4	USA: Hawaii	Hawaii	-	human; gender F; age 20
CY084370	B/Washington/AF2763/2010	1200	2010	DEC	20	4	USA: Washington	Washington	-	human; gender F; age 28
CY084371	B/Alabama/AF2766/2010	1200	2010	DEC	15	4	USA: Alabama	Alabama	-	human; gender M; age 17
CY084372	B/Alabama/AF2767/2010	1200	2010	DEC	28	4	USA: Alabama	Alabama	-	human; gender M; age 47
CY084373	B/North Carolina/AF2717/2011	1200	2011	JAN	4	4	USA: North Carolina	North Carolina	-	human; gender M; age 8
CY084374	B/Arizona/AF2744/2011	1200	2011	JAN	10	4	USA: Arizona	Arizona	-	human; gender M; age 10
CY084375	B/Arizona/AF2745/2011	1200	2011	JAN	11	4	USA: Arizona	Arizona	-	human; gender M; age 14
CY084376	B/Florida/AF2748/2011	1200	2011	JAN	9	4	USA: Florida	Florida	-	human; gender M; age 44
CY084377	B/Florida/AF2749/2011	1200	2011	JAN	13	4	USA: Florida	Florida	-	human; gender F; age 7
CY084378	B/Florida/AF2750/2011	1197	2011	JAN	10	4	USA: Florida	Florida	-	human; gender F; age 5
CY084379	B/Guam/AF2752/2011	1200	2011	JAN	6	4	Northern Mariana Islands: Guam	Guam	-	human; gender F; age 30
CY084380	B/New Mexico/AF2758/2011	1200	2011	JAN	13	4	USA: New Mexico	New Mexico	-	human; gender M; age 8
CY084381	B/South Carolina/AF2759/2011	1200	2011	JAN	5	4	USA: South Carolina	South Carolina	-	human; gender F; age 28
CY084382	B/South Carolina/AF2760/2011	1200	2011	JAN	5	4	USA: South Carolina	South Carolina	-	human; gender F; age 41
CY084383	B/Texas/AF2761/2011	1200	2011	JAN	18	4	USA: Texas	Texas	-	human; gender F; age 11
CY084384	B/Texas/AF2762/2011	1200	2011	JAN	19	4	USA: Texas	Texas	-	human; gender M; age 25
CY090779	B/Prahova/54376/2011	1374	2011	FEB	22	6	Romania: Prahova	Prahova	-	human; gender F; age 22
CY090781	B/Prahova/54372/2011	1374	2011	FEB	25	6	Romania: Prahova	Prahova	-	human; gender F; age 21
CY090783	B/Galati/54883/2011	1326	2011	FEB	28	6	Romania: Galati	Galati	-	human; gender F; age 2
CY090786	B/Bucuresti/7114/2011	1368	2011	MAR	7	6	Romania: Bucuresti	Bucuresti	-	human; gender F; age 11
CY090787	B/Iasi/2513/2011	1374	2011	MAR	14	6	Romania: Iasi	Iasi	-	human; gender F; age 24
CY093580	B/Singapore/1/2011	1741	2011	APR	12	5	Singapore	-	21871229	human; gender M; age 3
CY093581	B/Singapore/5/2011	1742	2011	APR	13	5	Singapore	-	21871229	human; gender M; age 55
CY098858	B/Brisbane/60-8/2010	1792	2010	SEP	28	4	Australia: Sydney, NSW	Sydney, NSW	-	human; gender F; age 1Y
CY098859	B/Brisbane/60-8/2010	1016	2010	SEP	28	8	Australia: Sydney, NSW	Sydney, NSW	-	human; gender F; age 1Y
CY098860	B/Brisbane/60-8/2010	2254	2010	SEP	28	3	Australia: Sydney, NSW	Sydney, NSW	-	human; gender F; age 1Y
CY098861	B/Brisbane/60-8/2010	2278	2010	SEP	28	1	Australia: Sydney, NSW	Sydney, NSW	-	human; gender F; age 1Y
CY098862	B/Brisbane/60-9/2010	1792	2010	OCT	28	4	Australia: Sydney, NSW	Sydney, NSW	-	human; gender F; age 4M
CY098863	B/Brisbane/60-9/2010	1150	2010	OCT	28	7	Australia: Sydney, NSW	Sydney, NSW	-	human; gender F; age 4M
CY098864	B/Brisbane/60-9/2010	1512	2010	OCT	28	6	Australia: Sydney, NSW	Sydney, NSW	-	human; gender F; age 4M
CY098865	B/Brisbane/60-9/2010	1762	2010	OCT	28	5	Australia: Sydney, NSW	Sydney, NSW	-	human; gender F; age 4M
CY098866	B/Brisbane/60-9/2010	1041	2010	OCT	28	8	Australia: Sydney, NSW	Sydney, NSW	-	human; gender F; age 4M
CY098867	B/Brisbane/60-9/2010	2254	2010	OCT	28	3	Australia: Sydney, NSW	Sydney, NSW	-	human; gender F; age 4M
CY098868	B/Brisbane/60-9/2010	2330	2010	OCT	28	1	Australia: Sydney, NSW	Sydney, NSW	-	human; gender F; age 4M
CY098869	B/Brisbane/60-9/2010	2358	2010	OCT	28	2	Australia: Sydney, NSW	Sydney, NSW	-	human; gender F; age 4M
CY098870	B/Brisbane/60-10/2010	1792	2010	SEP	29	4	Australia: Sydney, NSW	Sydney, NSW	-	human; gender F; age 7Y
CY098871	B/Brisbane/60-10/2010	1150	2010	SEP	29	7	Australia: Sydney, NSW	Sydney, NSW	-	human; gender F; age 7Y
CY098872	B/Brisbane/60-10/2010	1512	2010	SEP	29	6	Australia: Sydney, NSW	Sydney, NSW	-	human; gender F; age 7Y
CY098873	B/Brisbane/60-10/2010	1762	2010	SEP	29	5	Australia: Sydney, NSW	Sydney, NSW	-	human; gender F; age 7Y
CY098874	B/Brisbane/60-10/2010	1050	2010	SEP	29	8	Australia: Sydney, NSW	Sydney, NSW	-	human; gender F; age 7Y
CY098875	B/Brisbane/60-10/2010	2254	2010	SEP	29	3	Australia: Sydney, NSW	Sydney, NSW	-	human; gender F; age 7Y
CY098876	B/Brisbane/60-10/2010	2330	2010	SEP	29	1	Australia: Sydney, NSW	Sydney, NSW	-	human; gender F; age 7Y
CY098877	B/Brisbane/60-10/2010	2358	2010	SEP	29	2	Australia: Sydney, NSW	Sydney, NSW	-	human; gender F; age 7Y
CY098878	B/Managua/70.01/2008	1794	2008	FEB	19	4	Nicaragua: Managua	Managua	-	Human; gender F; age 11
CY098879	B/Managua/70.01/2008	1102	2008	FEB	19	7	Nicaragua: Managua	Managua	-	Human; gender F; age 11
CY098880	B/Managua/70.01/2008	1431	2008	FEB	19	6	Nicaragua: Managua	Managua	-	Human; gender F; age 11
CY098881	B/Managua/70.01/2008	1778	2008	FEB	19	5	Nicaragua: Managua	Managua	-	Human; gender F; age 11
CY098883	B/Managua/70.01/2008	2244	2008	FEB	19	3	Nicaragua: Managua	Managua	-	Human; gender F; age 11
CY098884	B/Managua/70.01/2008	1064	2008	FEB	19	1	Nicaragua: Managua	Managua	-	Human; gender F; age 11
CY098885	B/South Carolina/NHRC0001/2006	1792	2006	FEB	15	4	USA: Columbia, SC	Columbia, SC	-	human; gender M; age 21Y
CY098886	B/South Carolina/NHRC0001/2006	1151	2006	FEB	15	7	USA: Columbia, SC	Columbia, SC	-	human; gender M; age 21Y
CY098887	B/South Carolina/NHRC0001/2006	1512	2006	FEB	15	6	USA: Columbia, SC	Columbia, SC	-	human; gender M; age 21Y
CY098888	B/South Carolina/NHRC0001/2006	1762	2006	FEB	15	5	USA: Columbia, SC	Columbia, SC	-	human; gender M; age 21Y
CY098889	B/South Carolina/NHRC0001/2006	1075	2006	FEB	15	8	USA: Columbia, SC	Columbia, SC	-	human; gender M; age 21Y
CY098890	B/South Carolina/NHRC0001/2006	2254	2006	FEB	15	3	USA: Columbia, SC	Columbia, SC	-	human; gender M; age 21Y
CY098891	B/South Carolina/NHRC0001/2006	2330	2006	FEB	15	1	USA: Columbia, SC	Columbia, SC	-	human; gender M; age 21Y
CY098892	B/South Carolina/NHRC0001/2006	2358	2006	FEB	15	2	USA: Columbia, SC	Columbia, SC	-	human; gender M; age 21Y
CY098893	B/Missouri/NHRC0001/2005	1789	2005	MAR	1	4	USA: Pulaski county, MO	Pulaski county, MO	-	human; gender M; age 30Y
CY098894	B/Missouri/NHRC0001/2005	1151	2005	MAR	1	7	USA: Pulaski county, MO	Pulaski county, MO	-	human; gender M; age 30Y
CY098895	B/Missouri/NHRC0001/2005	1508	2005	MAR	1	6	USA: Pulaski county, MO	Pulaski county, MO	-	human; gender M; age 30Y
CY098896	B/Missouri/NHRC0001/2005	2254	2005	MAR	1	3	USA: Pulaski county, MO	Pulaski county, MO	-	human; gender M; age 30Y
CY098897	B/Missouri/NHRC0001/2005	2330	2005	MAR	1	1	USA: Pulaski county, MO	Pulaski county, MO	-	human; gender M; age 30Y
CY098899	B/Hawaii/NHRC0001/2003	1789	2003	JAN	19	4	USA: Hawaii	Hawaii	-	human; gender M; age 20Y
