isolate	gb_subtype	rec_subtype	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession
C/Miyagi/4/2012	-	-	2012	-	-	Homo sapiens	-	Japan	-	-	-	LC739877	-	-	-
C/Catalonia/1318/2009	-	-	2009	SEP	1	Homo sapiens	nasopharyngeal swab	Spain	-	-	-	HM748631	-	-	-
C/Miyagi/5/93	-	-	-	-	-	-	-	-	AB086682	AB086710	-	AB086661	AB086752	AB086771	AB086794
C/Thailand/B12983_HE_gene/2015	-	-	2015	SEP	25	Homo sapiens	nasal swab	Thailand	-	-	-	MK480592	-	-	-
C/Alberta/2921/2011	-	-	2011	MAR	4	Homo sapiens	nasopharyngeal swab	Canada	-	-	-	JX080409	-	JX133151	-
C/Minnesota/01/2014	-	-	2014	DEC	27	Homo sapiens	-	USA	-	-	-	CY239417	-	CY239416	-
C/Yamagata/16/2018	-	-	2018	-	-	Homo sapiens	-	Japan	-	-	-	LC512503	-	-	-
C/Bovine/Kansas/20/2017	-	-	2017	OCT	10	Bos taurus	lung	USA	-	-	-	-	-	MH421871	-
C/JHB/1/66	-	-	-	-	-	-	-	South Africa	-	-	-	AY880247	-	-	-
C/Kaohsiung/106051925/2014	-	-	2014	MAY	19	Homo sapiens	throat swab	Taiwan	-	-	-	MH185832	-	-	-
C/Miyagi/5/2008	-	-	2008	-	-	Homo sapiens	-	Japan	-	-	-	LC739863	-	-	-
C/Fukuoka/2/2004	-	-	-	-	-	-	-	Japan	-	-	-	AB252164	-	-	-
C/Yamagata/2/2017	-	-	2017	-	-	Homo sapiens	-	Japan	-	-	-	LC512498	-	-	-
C/Philippines/2811-2010/2010	-	-	2010	-	-	Homo sapiens	nasopharynx/oropharynx	Philippines	-	-	-	ON013506	-	-	-
England/892/83	-	-	-	-	-	-	-	-	-	-	-	-	-	-	D00034
C/Yamagata/14/2016	-	-	2016	-	-	Homo sapiens	-	Japan	-	-	-	LC512491	-	-	-
C/Taylor/1233/1947	-	-	1947	-	-	Homo sapiens	-	USA	LC123283	LC123385	LC123487	LC122632	LC123722	-	LC124977
C/Influenza B virus/USSR/B/1993	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
C/Yamagata/2/2018	-	-	2018	-	-	Homo sapiens	-	Japan	-	-	-	LC512500	-	-	-
Yamagata/64	-	-	-	-	-	-	-	-	-	-	-	-	-	D16258	-
C/Minnesota/17/2015	-	-	2015	MAR	27	Homo sapiens	-	USA	-	-	-	CY239447	-	-	-
C/Miyagi/4/2018	-	-	2018	-	-	Homo sapiens	-	Japan	-	-	-	LC739902	-	-	-
C/Hyogo/1/83	-	-	-	-	-	Homo sapiens	-	-	-	-	-	-	-	AB000610	AB034167
CaenCA4	-	-	2005	-	-	-	-	France	-	-	-	EU086913	-	-	-
C/Chenogju/GPD805/2015	-	-	2015	MAR	19	Homo sapiens	-	South Korea	-	-	-	-	-	-	MK050099
C/China/Taian003/2020	-	-	2020	OCT	16	Homo sapiens	oropharyngeal swab	China	-	-	-	-	-	-	OQ733375
C/Miyagi/7/2006	-	-	2006	-	-	Homo sapiens	-	Japan	-	-	-	LC739860	-	-	-
C/Nara/1/86	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AB034171
C/Catalonia/2072/2009	-	-	2009	DEC	9	Homo sapiens	nasopharyngeal swab	Spain	-	-	-	HM748626	-	-	-
C/Thailand/CN38_PB1_gene/2017	-	-	2017	MAR	7	Homo sapiens	nasal swab	Thailand	-	MK480603	-	-	-	-	-
C/Milan/976/2010	-	-	2010	-	-	Homo sapiens	nasopharyngeal swab	Italy	-	-	-	JX129184	-	-	-
C/Minnesota/08/2015	-	-	2015	MAR	4	Homo sapiens	-	USA	-	-	-	CY239433	-	CY239432	-
C/Thailand/CN38_P3_gene/2017	-	-	2017	MAR	7	Homo sapiens	nasal swab	Thailand	-	-	MK480605	-	-	-	-
C/Miyagi/8/91	-	-	1991	-	-	Homo sapiens	-	Japan	-	-	-	LC739855	-	-	-
C/Miyagi/6/2012	-	-	2012	-	-	Homo sapiens	-	Japan	-	-	-	LC739879	-	-	-
Taylor/1233/47	-	-	-	-	-	-	-	-	-	-	-	-	-	D26546	D00028
C/Leyte/5/2011	-	-	-	-	-	Homo sapiens	-	Philippines	-	-	-	AB978552	-	-	-
C/Milan/1101/2009	-	-	2009	-	-	Homo sapiens	nasopharyngeal swab	Italy	-	-	-	JX129182	-	-	-
C/Miyagi/12/2008	-	-	2008	-	-	Homo sapiens	-	Japan	-	-	-	LC739868	-	-	-
C/Minnesota/05/2015	-	-	2015	FEB	5	Homo sapiens	-	USA	-	-	-	CY239427	-	CY239426	-
C/Philippines/2079-2011/2011	-	-	2011	-	-	Homo sapiens	nasopharynx/oropharynx	Philippines	-	-	-	ON013509	-	-	-
C/Yamagata/42/2018	-	-	2018	-	-	Homo sapiens	-	Japan	-	-	-	LC512509	-	-	-
C/Aomori/74	-	-	1974	-	-	Homo sapiens	-	Japan	LC123290	LC123392	LC123494	D63469	LC123728	-	AB034158
C/Yamagata/26/2016	-	-	2016	-	-	Homo sapiens	-	Japan	-	-	-	LC385865	-	-	-
C/Thailand/c5395_PB1_gene/2015	-	-	2015	JAN	7	Homo sapiens	nasal swab	Thailand	-	MK480582	-	-	-	-	-
C/Yamagata/16/2010	-	-	2010	-	-	Homo sapiens	-	Japan	-	-	-	LC512487	-	-	-
C/Miyagi/6/2008	-	-	2008	-	-	Homo sapiens	-	Japan	-	-	-	LC739864	-	-	-
C/Lancaster/1/2015	-	-	2015	JAN	23	Homo sapiens	-	United Kingdom	KY075641	-	-	-	-	KY075642	-
C/NewJersey/76	-	-	-	-	-	-	-	USA	AB099452	AB099477	AB099551	-	AB684309	AB099600	AB099624
C/Thailand/B12983_PB2_gene/2015	-	-	2015	SEP	25	Homo sapiens	nasal swab	Thailand	MK480597	-	-	-	-	-	-
C/Miyagi/1/2017	-	-	2017	-	-	Homo sapiens	-	Japan	-	-	-	LC739898	-	-	-
C/Thailand/B12597_HE_gene/2015	-	-	2015	AUG	31	Homo sapiens	nasal swab	Thailand	-	-	-	MK480585	-	-	-
C/Minnesota/12/2015	-	-	2015	MAR	12	Homo sapiens	-	USA	-	-	-	CY239438	-	CY239439	-
