isolate	gb_subtype	rec_subtype	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession
C/Miyagi/9/96	-	-	1996	-	-	Homo sapiens	-	Japan	LC123319	LC123421	LC123523	AB086664	LC123755	AB086782	AB086805
C/Sendai/TU3/2008	-	-	2008	-	-	Homo sapiens	-	Japan	AB979709	AB980267	AB981327	AB978555	AB981427	AB982136	AB985621
C/Yamagata/6/98	-	-	-	-	-	-	-	-	AB064422	AB064430	AB064453	AB064402	AB064474	AB064437	AB064444
C/Mississippi/80	-	-	1980	-	-	Homo sapiens	-	USA	LC123299	LC123401	LC123503	LC122635	LC123735	AB000720	M31007
C/Johannesburg/4/67	-	-	1967	-	-	Homo sapiens	-	South Africa	LC123286	LC123388	LC123490	AB035358	AB684308	LC123816	AB034156
C/Miyagi/4/2005	-	-	2005	-	-	Homo sapiens	-	Japan	LC123346	LC123448	LC123550	LC122652	LC123778	LC123844	LC125008
C/Miyagi/7/2018	-	-	2018	-	-	Homo sapiens	-	Japan	LC739918	LC739931	LC739944	LC739905	LC739957	LC739970	LC739983
C/Miyagi/4/98	-	-	-	-	-	-	-	-	AB086696	AB086724	AB086741	AB086667	AB086758	AB086785	AB086808
C/Connecticut/UNK154/2017	-	-	2017	-	-	Homo sapiens	nasopharyngeal swab	USA	OK625709	OK625708	OK625707	OK625710	OK625712	OK625706	OK625711
C/Yamagata/13/98	-	-	1998	-	-	Homo sapiens	-	Japan	LC123321	LC123423	LC123525	AB064403	LC123757	AB064438	AB064445
C/Sao Paulo/378/82	-	-	1982	-	-	Homo sapiens	-	Brazil	LC123305	LC123407	LC123509	AB035364	LC123741	AB035372	AB035366
C/Yamagata/1/2012	-	-	2012	-	-	Homo sapiens	-	Japan	LC123364	LC123466	LC123568	LC122667	LC123794	LC123862	LC125026
C/Miyagi/12/2004	-	-	2004	-	-	Homo sapiens	-	Japan	LC123338	LC123440	LC123542	AB252156	LC123771	LC123836	LC125000
C/Miyagi/4/2006	-	-	2006	-	-	Homo sapiens	-	Japan	LC123354	LC123456	LC123558	LC122659	LC123786	LC123852	LC125016
C/Biliran/TB5-536/2016	-	-	2016	JUL	18	Homo sapiens	nasal swab	Philippines	MZ330978	MZ330977	MZ330976	MZ330972	MZ330974	MZ330973	MZ330975
C/Miyagi/1/2020	-	-	2020	-	-	Homo sapiens	-	Japan	LC739919	LC739932	LC739945	LC739906	LC739958	LC739971	LC739984
C/Yamagata/2/2010	-	-	2010	FEB	9	Homo sapiens	-	Japan	LC123361	LC123463	LC123565	AB899780	AB684316	LC123859	LC125023
C/Miyagi/3/99	-	-	-	-	-	-	-	-	AB086698	AB086726	AB086743	AB086669	AB086760	AB086787	AB086811
C/Kyoto/1/79	-	-	1979	-	-	Homo sapiens	-	Japan	LC123297	LC123399	LC123501	D63472	LC123733	AB000609	AB034161
C/Biliran/TB5-736/2016	-	-	2016	OCT	5	Homo sapiens	nasal swab	Philippines	MZ330992	MZ330991	MZ330990	MZ330986	MZ330988	MZ330987	MZ330989
C/Yamagata/9/2000	-	-	-	-	-	-	-	-	AB099432	AB099457	AB099531	AB099411	AB099556	AB099580	AB099604
C/Singapore/DSO-050530/2006	-	-	2006	MAY	18	Homo sapiens	-	Singapore	JX963126	JX963122	JX963118	GQ853455	JX963110	JX963106	JX963114
C/Fukushima/O181/2018	-	-	2018	-	-	Homo sapiens	nasopharyngea swab using HBTEC-ALI culture	Japan	LC720290	LC720289	LC720291	LC720285	LC720287	LC720286	LC720288
C/Yamagata/10/89	-	-	1989	-	-	Homo sapiens	-	Japan	LC123310	LC123412	LC123514	D49361	LC123746	AB000613	AB034175
C/Hiroshima/249/2000	-	-	-	-	-	-	-	Japan	AB099446	AB099471	AB099545	AB099425	AB099570	AB099594	AB099618
C/Leyte/3/2013	-	-	2013	-	-	Homo sapiens	-	Philippines	AB979718	AB980276	AB981333	AB978565	AB981436	AB982145	AB985630
C/Biliran/TB5-195/2014	-	-	2014	JUN	2	Homo sapiens	nasal swab	Philippines	MZ330950	MZ330949	MZ330948	MZ330944	MZ330946	MZ330945	MZ330947
C/Biliran/3/2013	-	-	2013	-	-	Homo sapiens	-	Philippines	AB979715	AB980273	AB981336	AB978562	AB981433	AB982142	AB985627
C/Yamagata/6/2000	-	-	2000	-	-	Homo sapiens	-	Japan	LC123324	LC123426	LC123528	AB099414	LC123759	AB099583	AB099607
C/Paris/1/67	-	-	1967	-	-	Homo sapiens	-	France	LC123287	LC123389	LC123491	AB035357	LC123725	LC123817	LC124980
C/Miyagi/47/2004	-	-	2004	-	-	Homo sapiens	-	Japan	LC123341	LC123443	LC123545	LC122647	LC123774	LC123839	LC125003
C/Saitama/1/2000	-	-	-	-	-	-	-	-	AB099441	AB099466	AB099540	AB099420	AB099565	AB099589	AB099613
C/Yamagata/3/2005	-	-	2005	SEP	7	Homo sapiens	-	Japan	LC123344	LC123446	LC123548	LC122650	AB684314	LC123842	LC125006
C/Miyagi/1/2018	-	-	2018	-	-	Homo sapiens	-	Japan	LC739915	LC739928	LC739941	LC739899	LC739954	LC739967	LC739980
C/Miyagi/25/2004	-	-	2004	-	-	Homo sapiens	-	Japan	LC123339	LC123441	LC123543	LC122646	LC123772	LC123837	LC125001
C/Sendai/TU2/2012	-	-	2012	-	-	Homo sapiens	-	Japan	AB979712	AB980270	AB981330	AB978559	AB981430	AB982139	AB985624
C/Miyagi/5/2014	-	-	2014	-	-	Homo sapiens	-	Japan	LC123381	LC123483	LC123585	LC122675	LC123811	LC123879	LC125043
C/Yamagata/35/2014	-	-	2014	-	-	Homo sapiens	-	Japan	LC123379	LC123481	LC123583	LC013261	LC123809	LC123877	LC125041
C/Leyte/1/2011	-	-	2011	-	-	Homo sapiens	-	Philippines	AB979704	AB980262	AB981322	AB978548	AB981422	AB982131	AB985616
C/Yamagata/5/92	-	-	1992	-	-	Homo sapiens	-	Japan	LC123313	LC123415	LC123517	D78433	LC123749	LC123822	AB034181
C/canine/China/Guangzhou-1/2020	-	-	2020	-	-	Canis familiaris	swab	China	OQ030191	OQ030190	OK254892	OK254888	OQ030187	OQ030186	OK254891
C/Iwate/1/2016	-	-	2016	-	-	Homo sapiens	-	Japan	LC327652	LC327653	LC327654	LC327655	LC327656	LC327657	LC327658
C/Yamagata/7/88	-	-	1988	-	-	Homo sapiens	-	Japan	LC123308	LC123410	LC123512	D28967	LC123744	AB086762	AB034172
C/Miyagi/31/2002	-	-	2002	-	-	Homo sapiens	-	Japan	LC123331	LC123433	LC123535	LC122643	LC123765	LC123829	LC124993
C/Yamagata/20/96	-	-	-	-	-	-	-	-	AB064420	AB064428	AB064451	AB064400	AB064472	AB064435	AB064442
C/Biliran/TB4-067/2017	-	-	2017	JUN	15	Homo sapiens	nasal swab	Philippines	MZ330922	MZ330921	MZ330920	MZ330916	MZ330918	MZ330917	MZ330919
C/Yamagata/29/2004	-	-	2004	-	-	Homo sapiens	-	Japan	LC603653	LC603654	LC603652	LC603648	LC603650	LC603649	LC603651
C/Miyagi/4/93	-	-	-	-	-	-	-	-	AB086681	AB086709	AB064458	AB064409	AB064479	AB086770	AB086793
C/Hiroshima/251/2000	-	-	-	-	-	-	-	Japan	AB099451	AB099476	AB099550	AB099430	AB099575	AB099599	AB099623
C/Ann Arbor/1/50	-	-	1950	-	-	Homo sapiens	-	USA	NC_006307	AB126192	AB126193	AB126194	NC_006311	AB126196	AB283001
C/Miyagi/1/2016	-	-	2016	-	-	Homo sapiens	-	Japan	LC739913	LC739926	LC739939	LC739891	LC739952	LC739965	LC739978
C/Miyagi/4/96	-	-	-	-	-	-	-	-	AB086689	AB086717	AB064464	AB064404	AB064485	AB086778	AB086801
C/Miyagi/1/99	-	-	-	-	-	-	-	-	AB086697	AB086725	AB086742	AB086668	AB086759	AB086786	AB086809
C/Miyagi/4/2002	-	-	2002	JAN	24	Homo sapiens	-	Japan	LC123327	LC123429	LC123531	LC122639	AB684312	LC123825	LC124989
C/Biliran/TB2-204/2014	-	-	2014	JUL	24	Homo sapiens	nasal swab	Philippines	MZ330901	MZ330900	MZ330899	MZ330895	MZ330897	MZ330896	MZ330898
C/Tokyo/1/2014	-	-	2014	-	-	Homo sapiens	-	Japan	LC123383	LC123485	LC123587	LC122677	LC123813	LC123881	LC125045
C/Yamagata/7/81	-	-	1981	-	-	Homo sapiens	-	Japan	LC123301	LC123403	LC123505	AB899775	LC123737	LC123819	LC124983
C/Yamagata/2/2000	-	-	-	-	-	-	-	-	AB099433	AB099458	AB099532	AB099412	AB099557	AB099581	AB099605
C/Miyagi/1/2015	-	-	2015	-	-	Homo sapiens	-	Japan	LC739912	LC739925	LC739938	LC739890	LC739951	LC739964	LC739977
C/Biliran/TB4-271/2019	-	-	2019	JUL	8	Homo sapiens	nasal swab	Philippines	MZ330943	MZ330942	MZ330941	MZ330937	MZ330939	MZ330938	MZ330940
C/India/P135047/2013	-	-	2013	APR	25	Homo sapiens	TS/NS	India	KM507552	KM507553	KM507554	KM507555	KM507556	KM507557	KM507558
C/Miyagi/2/2000	-	-	-	-	-	-	-	-	AB099437	AB099462	AB099536	AB099416	AB099561	AB099585	AB099609
C/Miyagi/1/2011	-	-	2011	-	-	Homo sapiens	-	Japan	LC739908	LC739921	LC739934	LC739875	LC739947	LC739960	LC739973
C/Kanagawa/1/76	-	-	1976	-	-	Homo sapiens	-	Japan	LC123292	LC123394	LC123496	D63470	LC123729	AB000606	AB034159
C/Fukuoka/2/2006	-	-	2006	-	-	Homo sapiens	-	Japan	LC123348	LC123450	LC123552	LC122654	LC123780	LC123846	LC125010
C/Yamagata/33/2014	-	-	2014	-	-	Homo sapiens	-	Japan	LC123378	LC123480	LC123582	LC013260	LC123808	LC123876	LC125040
C/Scotland/6855/2007	-	-	2007	-	-	Homo sapiens	respiratory sample	United Kingdom	KT835343	KT835338	KT835348	KT835351	KT835360	KT835361	KT835370
C/Yamagata/9/96	-	-	-	-	-	-	-	-	AB064419	AB064427	AB064450	AB064399	AB064471	AB064434	AB064441
C/Miyagi/2/92	-	-	-	-	-	-	-	-	D87368	D87372	D87376	D87392	D87380	AB086766	AB086789
C/Miyagi/9/91	-	-	-	-	-	Homo sapiens	-	-	D87370	D87374	D87378	D87394	D87382	AB000614	AB034180
C/Saitama/2/2000	-	-	-	-	-	-	-	-	AB099442	AB099467	AB099541	AB099421	AB099566	AB099590	AB099614
C/Biliran/TB5-312/2017	-	-	2017	JUN	13	Homo sapiens	nasal swab	Philippines	MZ330964	MZ330963	MZ330962	MZ330958	MZ330960	MZ330959	MZ330961
C/Yamagata/2/98	-	-	-	-	-	-	-	-	AB064421	AB064429	AB064452	AB064401	AB064473	AB064436	AB064443
C/Yamagata/3/2004	-	-	2004	-	-	Homo sapiens	-	Japan	LC123332	LC123434	LC123536	AB252153	LC123766	LC123830	LC124994
C/Yamagata/3/2008	-	-	2008	-	-	Homo sapiens	-	Japan	LC123356	LC123458	LC123560	LC122661	LC123787	LC123854	LC125018
C/China/Taian062/2020	-	-	2020	OCT	24	Homo sapiens	oropharyngeal swab	China	OQ733373	OQ733368	OQ733374	OQ733370	OQ733372	OQ733371	OQ733369
C/Miyagi/6/93	-	-	-	-	-	-	-	-	AB086683	AB086711	AB064459	AB064410	AB064480	AB086772	AB086795
C/Miyagi/11/2002	-	-	2002	-	-	Homo sapiens	-	Japan	LC123328	LC123430	LC123532	LC122640	LC123762	LC123826	LC124990
C/Fukuoka/1/2012	-	-	2012	-	-	Homo sapiens	-	Japan	LC123372	LC123474	LC123576	LC122673	LC123802	LC123870	LC125034
C/Miyagi/3/2000	-	-	-	-	-	-	-	-	AB099438	AB099463	AB099537	AB099417	AB099562	AB099586	AB099610
C/Miyagi/7/2016	-	-	2016	-	-	Homo sapiens	-	Japan	LC739914	LC739927	LC739940	LC739896	LC739953	LC739966	LC739979
C/Miyagi/5/2000	-	-	-	-	-	-	-	-	AB099440	AB099465	AB099539	AB099419	AB099564	AB099588	AB099612
C/Miyagi/6/96	-	-	-	-	-	-	-	-	AB086690	AB086718	AB086737	AB086663	AB086754	AB086779	AB086802
C/Yamagata/1/2006	-	-	2006	-	-	Homo sapiens	-	Japan	LC123349	LC123451	LC123553	LC122655	LC123781	LC123847	LC125011
C/Yamagata/5/2002	-	-	2002	-	-	Homo sapiens	-	Japan	LC123325	LC123427	LC123529	LC122638	LC123760	LC123823	LC124987
C/Biliran/TB2-293/2014	-	-	2014	OCT	2	Homo sapiens	nasal swab	Philippines	MZ330908	MZ330907	MZ330906	MZ330902	MZ330904	MZ330903	MZ330905
C/Singapore/DSO-070193/2006	-	-	2006	NOV	29	Homo sapiens	-	Singapore	JX963128	JX963124	JX963120	GQ853454	JX963112	JX963108	JX963116
C/Singapore/DSO-070203/2006	-	-	2006	DEC	4	Homo sapiens	-	Singapore	JX963129	JX963125	JX963121	GQ853452	JX963113	JX963109	JX963117
C/canine/China/Guangzhou-2/2020	-	-	2020	-	-	Canis familiaris	swab	China	OQ030198	OK254900	OK254899	OQ030192	OK254897	OQ030193	OQ030195
C/Scotland/7274/2007	-	-	2007	-	-	Homo sapiens	respiratory sample	United Kingdom	KT835342	KT835339	KT835347	KT835352	KT835358	KT835362	KT835369
C/Miyagi/1/2014	-	-	2014	-	-	Homo sapiens	-	Japan	LC739910	LC739923	LC739936	LC739887	LC739949	LC739962	LC739975
C/Singapore/DSO-070170/2006	-	-	2006	NOV	17	Homo sapiens	-	Singapore	JX963127	JX963123	JX963119	GQ853453	JX963111	JX963107	JX963115
C/Miyagi/3/2018	-	-	2018	-	-	Homo sapiens	-	Japan	LC739916	LC739929	LC739942	LC739901	LC739955	LC739968	LC739981
C/Sendai/TU1/2012	-	-	2012	-	-	Homo sapiens	-	Japan	AB979711	AB980269	AB981329	AB978558	AB981429	AB982138	AB985623
C/Biliran/TB4-169/2018	-	-	2018	APR	24	Homo sapiens	nasal swab	Philippines	MZ330936	MZ330935	MZ330934	MZ330930	MZ330932	MZ330931	MZ330933
C/Kansas/1/79	-	-	1979	-	-	Homo sapiens	-	USA	LC123295	LC123397	LC123499	AB035360	LC123732	AB099601	AB099626
C/Miyagi/2/2012	-	-	2012	-	-	Homo sapiens	-	Japan	LC123371	LC123473	LC123575	LC122672	LC123801	LC123869	LC125033
C/Yamagata/29/2012	-	-	2012	-	-	Homo sapiens	-	Japan	LC123370	LC123472	LC123574	AB899782	LC123800	LC123868	LC125032
C/Yamagata/9/2006	-	-	2006	-	-	Homo sapiens	-	Japan	LC123350	LC123452	LC123554	LC122656	LC123782	LC123848	LC125012
C/Leyte/2/2013	-	-	2013	-	-	Homo sapiens	-	Philippines	AB979717	AB980275	AB981332	AB978564	AB981435	AB982144	AB985629
C/India/P121719/2012	-	-	2012	FEB	24	Homo sapiens	TS/NS	India	KM507545	KM507546	KM507547	KM507548	KM507549	KM507550	KM507551
C/Yamagata/30/2014	-	-	2014	-	-	Homo sapiens	-	Japan	LC123376	LC123478	LC123580	LC013258	LC123806	LC123874	LC125038
C/Yamagata/1/93	-	-	1993	-	-	Homo sapiens	-	Japan	LC123314	LC123416	LC123518	AB035365	LC123750	AB035373	AB035367
C/Miyagi/10/2010	-	-	2010	-	-	Homo sapiens	-	Japan	LC739907	LC739920	LC739933	LC739874	LC739946	LC739959	LC739972
C/Miyagi/12/2012	-	-	2012	-	-	Homo sapiens	-	Japan	LC739909	LC739922	LC739935	LC739885	LC739948	LC739961	LC739974
C/Yamagata/15/2004	-	-	2004	MAY	11	Homo sapiens	-	Japan	LC123334	LC123436	LC123538	LC385859	AB684313	LC123832	LC124996
C/Miyagi/3/93	-	-	1993	-	-	Homo sapiens	-	Japan	LC123316	LC123418	LC123520	AB064408	LC123752	AB086769	AB086792
C/Yamagata/2/99	-	-	-	-	-	-	-	-	AB099431	AB099456	AB099530	AB099410	AB099555	AB099579	AB099603
C/Yamagata/3/96	-	-	-	-	-	-	-	-	AB064417	AB064425	AB064448	AB064397	AB064469	AB064432	AB064439
C/Miyagi/1/94	-	-	-	-	-	-	-	-	AB086685	AB086713	AB064461	AB064412	AB064482	AB086774	AB086797
C/Yamagata/18/2008	-	-	2008	-	-	Homo sapiens	-	Japan	LC123359	LC123461	LC123563	LC013263	LC123790	LC123857	LC125021
C/Sendai/TU2/2008	-	-	2008	-	-	Homo sapiens	-	Japan	AB979708	AB980266	AB981326	AB978554	AB981426	AB982135	AB985620
C/Miyagi/42/2004	-	-	2004	-	-	Homo sapiens	-	Japan	LC123340	LC123442	LC123544	AB252157	LC123773	LC123838	LC125002
C/Tokyo/4/2014	-	-	2014	-	-	Homo sapiens	-	Japan	LC123384	LC123486	LC123588	LC122678	LC123814	LC123882	LC125046
C/Miyagi/2/2008	-	-	2008	-	-	Homo sapiens	-	Japan	LC123360	LC123462	LC123564	LC122664	LC123791	LC123858	LC125022
C/Yamagata/13/2014	-	-	2014	-	-	Homo sapiens	-	Japan	LC123374	LC123476	LC123578	LC013254	LC123804	LC123872	LC125036
C/Yamagata/16/2014	-	-	2014	-	-	Homo sapiens	-	Japan	LC123375	LC123477	LC123579	LC013257	LC123805	LC123873	LC125037
C/Miyagi/6/2018	-	-	2018	-	-	Homo sapiens	-	Japan	LC739917	LC739930	LC739943	LC739904	LC739956	LC739969	LC739982
C/Miyagi/1/97	-	-	-	-	-	-	-	-	AB086694	AB086722	AB086739	AB086665	AB086756	AB086783	AB086806
C/Yamagata/11/2008	-	-	2008	-	-	Homo sapiens	-	Japan	LC123357	LC123459	LC123561	LC122662	LC123788	LC123855	LC125019
C/Fukuoka/1/2005	-	-	2005	-	-	Homo sapiens	-	Japan	LC123347	LC123449	LC123551	LC122653	LC123779	LC123845	LC125009
C/Yamagata/13/2006	-	-	2006	-	-	Homo sapiens	-	Japan	LC123351	LC123453	LC123555	LC122657	LC123783	LC123849	LC125013
C/Miyagi/28/2002	-	-	2002	-	-	Homo sapiens	-	Japan	LC123330	LC123432	LC123534	LC122642	LC123764	LC123828	LC124992
C/Biliran/TB8-250/2014	-	-	2014	JUL	10	Homo sapiens	nasal swab	Philippines	MZ330999	MZ330998	MZ330997	MZ330993	MZ330995	MZ330994	MZ330996
C/Vietnam/1290/2014	-	-	2014	APR	16	Homo sapiens	nasopharyngeal swab	Viet Nam	MH828694	MH828693	MH828692	MH828688	MH828690	MH828689	MH828691
C/Biliran/2/2013	-	-	2013	-	-	Homo sapiens	-	Philippines	AB979714	AB980272	AB981335	AB978561	AB981432	AB982141	AB985626
C/Great Lakes/1167/1954	-	-	1954	-	-	Homo sapiens	-	USA	LC123284	LC123386	LC123488	LC122633	LC123723	LC123815	LC124978
C/Aichi/1/99	-	-	1999	-	-	Homo sapiens	-	Japan	LC123322	LC123424	LC123526	AB182357	LC123758	AB182362	AB182363
C/Miyagi/4/2000	-	-	-	-	-	-	-	-	AB099439	AB099464	AB099538	AB099418	AB099563	AB099587	AB099611
C/Eastern India/1202/2011	-	-	2011	JUL	15	Homo sapiens	-	India	JX947865	JX947864	JX947863	JX947861	JX947862	JX947866	JX947867
C/Biliran/TB2-180/2014	-	-	2014	JUL	7	Homo sapiens	nasal swab	Philippines	MZ330894	MZ330893	MZ330892	MZ330888	MZ330890	MZ330889	MZ330891
C/Miyagi/77	-	-	1977	-	-	Homo sapiens	-	Japan	LC123293	LC123395	LC123497	D63471	LC123730	AB000607	AB034160
