strain_id	complete	seq_count	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession	segment_1_counts	segment_2_counts	segment_3_counts	segment_4_counts	segment_5_counts	segment_6_counts	segment_7_counts
C/Kansas/2/79	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Ann Arbor/1/50 persistent variant (C/AA-pi)	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Thailand/B12597_HE_gene/2015	FALSE	1	2015	AUG	31	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	MK480585	0	0	0	0	0	0	1	0	0	0
Yamagata/1/88	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	D16261	0	0	0	0	0	0	1	0
C/Miyagi/6/93	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Alberta/10161/2011	FALSE	2	2011	APR	15	Homo sapiens	nasopharyngeal swab	Canada	Alberta	0	0	0	JX080414	0	JX133159	0	0	0	0	1	0	1	0
Johannesburg/1/66	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Yamagata/6/2018	FALSE	1	2018	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512501	0	0	0	0	0	0	1	0	0	0
C/Mie/198/2012	FALSE	1	-	-	-	-	-	Japan	Mie	0	0	0	AB751601	0	0	0	0	0	0	1	0	0	0
CaenLE2	FALSE	1	2006	-	-	-	-	France	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Yamagata/16/2018	FALSE	1	2018	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512503	0	0	0	0	0	0	1	0	0	0
C/Scotland/5334/2007	FALSE	2	2007	-	-	Homo sapiens	respiratory sample	United Kingdom	NULL	0	0	0	0	KT835359	KT835366	0	0	0	0	0	1	1	0
C/Thailand/CN38_M_gene/2017	FALSE	1	2017	MAR	7	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	0	0	MK480600	0	0	0	0	0	0	1	0
C/Saitama/3/2000	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Yamagata/1/88	FALSE	1	-	-	-	Homo sapiens	-	-	NULL	0	0	0	0	0	0	AB002469	0	0	0	0	0	0	1
C/Thailand/B12983_P3_gene/2015	FALSE	1	2015	SEP	25	Homo sapiens	nasal swab	Thailand	NULL	0	0	MK480598	0	0	0	0	0	0	1	0	0	0	0
C/Yamagata/9/96	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Kyoto/41/82	FALSE	5	-	-	-	Homo sapiens	-	-	NULL	0	0	0	0	D78434	AB000724	D78435	0	0	0	0	1	2	1
C/Yamagata/1/2017	FALSE	1	2017	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512497	0	0	0	0	0	0	1	0	0	0
C/Alberta/2921/2011	FALSE	2	2011	MAR	4	Homo sapiens	nasopharyngeal swab	Canada	Alberta	0	0	0	JX080409	0	JX133151	0	0	0	0	1	0	1	0
C/Thailand/c5395_HE_gene/2015	FALSE	1	2015	JAN	7	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	MK480578	0	0	0	0	0	0	1	0	0	0
C/Yamagata/39/2018	FALSE	1	2018	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512513	0	0	0	0	0	0	1	0	0	0
CMiyagi/5/93	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Minnesota/06/2015	FALSE	2	2015	FEB	15	Homo sapiens	-	USA	Minnesota	0	0	0	CY239428	0	CY239429	0	0	0	0	1	0	1	0
C/Yamagata/5/2018	FALSE	1	2018	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512512	0	0	0	0	0	0	1	0	0	0
Mississippi/80	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Yamagata/42/2018	FALSE	1	2018	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512509	0	0	0	0	0	0	1	0	0	0
C/Yamagata/15/2014	FALSE	1	2014	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Thailand/c5395_M_gene/2015	FALSE	1	2015	JAN	7	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	0	0	MK480579	0	0	0	0	0	0	1	0
England/892/83	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Nara/1/85	FALSE	14	-	-	-	Homo sapiens	-	-	NULL	D78396	D30691	D78395	0	D30708	D30709	D30707	2	2	2	0	2	3	2
C/Minnesota/20/2015	FALSE	2	2015	MAR	29	Homo sapiens	-	USA	Minnesota	0	0	0	CY239452	0	CY239453	0	0	0	0	1	0	1	0
C/Mie/265/2012	FALSE	1	-	-	-	-	-	Japan	Mie	0	0	0	AB751595	0	0	0	0	0	0	1	0	0	0
CaenBA1	FALSE	1	2007	-	-	-	-	France	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Minnesota/32/2015	FALSE	2	2015	MAR	2	Homo sapiens	-	USA	Minnesota	0	0	0	CY239479	0	CY239480	0	0	0	0	1	0	1	0
C/Miyagi/4/2000	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Great Lakes/1167/54	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ann Arbor/1/50	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Minnesota/31/2015	FALSE	2	2015	FEB	28	Homo sapiens	-	USA	Minnesota	0	0	0	CY239477	0	CY239478	0	0	0	0	1	0	1	0
C/Johannesburg/66	FALSE	1	-	-	-	Homo sapiens	-	-	NULL	0	0	0	0	0	AB000604	0	0	0	0	0	0	1	0
C/Alberta/2193/2011	FALSE	1	2011	JAN	24	Homo sapiens	nasopharyngeal fluid	Canada	Alberta	0	0	0	0	0	JX133157	0	0	0	0	0	0	1	0
C/Yamagata/12/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC385863	0	0	0	0	0	0	1	0	0	0
C/Miyagi/1/99	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Minnesota/33/2015	FALSE	2	2015	MAR	11	Homo sapiens	-	USA	Minnesota	0	0	0	CY239481	0	CY239482	0	0	0	0	1	0	1	0
C/England/892/1983	FALSE	6	1983	-	-	Homo sapiens	-	United Kingdom	NULL	LC123307	LC123409	LC123511	LC122637	LC123743	0	LC124985	1	1	1	1	1	0	1
C/Yamagata/7/2002	FALSE	7	2002	-	-	Homo sapiens	-	Japan	Yamagata	LC123326	LC123428	LC123530	0	LC123761	LC123824	LC124988	1	1	1	0	1	1	1
C/Minnesota/18/2015	FALSE	2	2015	MAR	27	Homo sapiens	-	USA	Minnesota	0	0	0	CY239448	0	CY239449	0	0	0	0	1	0	1	0
C/Fukuoka/2/2004	FALSE	1	-	-	-	-	-	Japan	Fukuoka	0	0	0	AB252164	0	0	0	0	0	0	1	0	0	0
C/Miyagi/2/93	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	D88427	0	0	0	0	0	0	1	0	0	0
C/Yamagata/36/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC385867	0	0	0	0	0	0	1	0	0	0
C/Mie/275/2012	FALSE	1	-	-	-	-	-	Japan	Mie	0	0	0	AB751594	0	0	0	0	0	0	1	0	0	0
C/Minnesota/05/2015	FALSE	2	2015	FEB	5	Homo sapiens	-	USA	Minnesota	0	0	0	CY239427	0	CY239426	0	0	0	0	1	0	1	0
C/Yamagata/2/2015	FALSE	1	2015	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512488	0	0	0	0	0	0	1	0	0	0
C/Yamagata/10/1981	FALSE	6	1981	-	-	Homo sapiens	-	Japan	Yamagata	LC123302	LC123404	LC123506	0	LC123738	LC123820	LC124984	1	1	1	0	1	1	1
C/Mie/186/2012	FALSE	1	-	-	-	-	-	Japan	Mie	0	0	0	AB751364	0	0	0	0	0	0	1	0	0	0
C/Leyte/5/2011	FALSE	1	-	-	-	Homo sapiens	-	Philippines	Leyte	0	0	0	AB978552	0	0	0	0	0	0	1	0	0	0
C/Miyagi/7/91	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Miyagi/7/96	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Thailand/CN38_PB1_gene/2017	FALSE	1	2017	MAR	7	Homo sapiens	nasal swab	Thailand	NULL	0	MK480603	0	0	0	0	0	0	1	0	0	0	0	0
C/Yamagata/1/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC385860	0	0	0	0	0	0	1	0	0	0
C/Yamagata/6/98	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Minnesota/08/2015	FALSE	2	2015	MAR	4	Homo sapiens	-	USA	Minnesota	0	0	0	CY239433	0	CY239432	0	0	0	0	1	0	1	0
C/kyouto/41/82	FALSE	2	-	-	-	Homo sapiens	-	-	NULL	D78390	D78391	0	0	0	0	0	1	1	0	0	0	0	0
C/Yamagata/30/2014	FALSE	7	2014	-	-	Homo sapiens	-	Japan	Yamagata	LC123376	LC123478	LC123580	0	LC123806	LC123874	LC125038	1	1	1	0	1	1	1
C/Mie/199/2012egg	FALSE	1	-	-	-	-	-	Japan	Mie	0	0	0	AB751596	0	0	0	0	0	0	1	0	0	0
C/Catalonia/1945/2009	FALSE	1	2009	NOV	23	Homo sapiens	nasopharyngeal swab	Spain	Catalonia	0	0	0	HM748625	0	0	0	0	0	0	1	0	0	0
C/Lancaster/1/2015	FALSE	3	2015	JAN	23	Homo sapiens	-	United Kingdom	Lancaster	KY075640	0	0	0	0	KY075642	0	2	0	0	0	0	1	0
C/Miyagi/4/93	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Pig/Beijing/115/81	FALSE	4	-	-	-	Homo sapiens	-	-	NULL	0	0	0	0	D78444	D78426	D78445	0	0	0	0	1	1	1
C/Mie/182/2012	FALSE	1	-	-	-	-	-	Japan	Mie	0	0	0	AB751602	0	0	0	0	0	0	1	0	0	0
C/Thailand/c5395_PB1_gene/2015	FALSE	1	2015	JAN	7	Homo sapiens	nasal swab	Thailand	NULL	0	MK480582	0	0	0	0	0	0	1	0	0	0	0	0
C/Minnesota/29/2015	FALSE	2	2015	FEB	23	Homo sapiens	-	USA	Minnesota	0	0	0	CY239473	0	CY239474	0	0	0	0	1	0	1	0
CaenMA5	FALSE	1	2005	-	-	-	-	France	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C/Seoul/APD401/2015	FALSE	2	2015	MAR	29	Homo sapiens	-	South Korea	NULL	0	0	0	MK050093	0	0	MK050095	0	0	0	1	0	0	1
C/Yamagata/25/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512492	0	0	0	0	0	0	1	0	0	0
C/Yamagata/4/2012	FALSE	7	2012	-	-	Homo sapiens	-	Japan	Yamagata	LC123366	LC123468	LC123570	0	LC123796	LC123864	LC125028	1	1	1	0	1	1	1
C/Cheongju/GPD1653/2016	FALSE	1	2016	MAY	19	Homo sapiens	-	South Korea	NULL	0	0	0	0	0	0	MK050098	0	0	0	0	0	0	1
C/Minnesota/16/2015	FALSE	1	2015	MAR	19	Homo sapiens	-	USA	Minnesota	0	0	0	CY239446	0	0	0	0	0	0	1	0	0	0
