strain_id	complete	seq_count	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	iso_region	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession	segment_1_counts	segment_2_counts	segment_3_counts	segment_4_counts	segment_5_counts	segment_6_counts	segment_7_counts																							
C/Yamagata/9/2006	TRUE	7	2006	-	-	Homo sapiens	-	Japan	Yamagata	LC123350	LC123452	LC123554	LC122656	LC123782	LC123848	LC125012	1	1	1	1	1	1	1																							
C/Biliran/TB4-169/2018	TRUE	7	2018	APR	24	Homo sapiens	nasal swab	Philippines	Biliran	MZ330936	MZ330935	MZ330934	MZ330930	MZ330932	MZ330931	MZ330933	1	1	1	1	1	1	1																							
C/Nara/2/85	TRUE	15	1985	-	-	Homo sapiens	-	-	NULL	D30700	D30698	D30695	D30697	D78440	D30701	D78441	2	2	2	1	2	3	2																							
C/Biliran/TB5-625/2016	TRUE	7	2016	AUG	23	Homo sapiens	nasal swab	Philippines	Biliran	MZ330985	MZ330984	MZ330983	MZ330979	MZ330981	MZ330980	MZ330982	1	1	1	1	1	1	1																							
C/Yamagata/2/2005	TRUE	7	2005	-	-	Homo sapiens	-	Japan	Yamagata	LC123343	LC123445	LC123547	LC122649	LC123776	LC123841	LC125005	1	1	1	1	1	1	1																							
C/Scotland/7274/2007	TRUE	7	2007	-	-	Homo sapiens	respiratory sample	United Kingdom	NULL	KT835342	KT835339	KT835347	KT835352	KT835358	KT835362	KT835369	1	1	1	1	1	1	1																							
C/Fukuoka/2/2006	TRUE	7	2006	-	-	Homo sapiens	-	Japan	Fukuoka	LC123348	LC123450	LC123552	LC122654	LC123780	LC123846	LC125010	1	1	1	1	1	1	1																							
C/Miyagi/31/2002	TRUE	7	2002	-	-	Homo sapiens	-	Japan	Miyagi	LC123331	LC123433	LC123535	LC122643	LC123765	LC123829	LC124993	1	1	1	1	1	1	1																							
C/Yamagata/1/2006	TRUE	7	2006	-	-	Homo sapiens	-	Japan	Yamagata	LC123349	LC123451	LC123553	LC122655	LC123781	LC123847	LC125011	1	1	1	1	1	1	1																							
C/Singapore/DSO-050530/2006	TRUE	7	2006	MAY	18	Homo sapiens	-	Singapore	NULL	JX963126	JX963122	JX963118	GQ853455	JX963110	JX963106	JX963114	1	1	1	1	1	1	1																							
C/Seoul/APD462/2015	TRUE	7	2015	APR	11	Homo sapiens	-	South Korea	NULL	MK050104	MK050103	MK050102	MK050092	MK050100	MK050101	MK050096	1	1	1	1	1	1	1																							
C/Victoria/2/2012	TRUE	7	2012	-	-	Homo sapiens	-	Australia	NULL	KM504277	KM504278	KM504279	KM504280	KM504281	KM504282	KM504283	1	1	1	1	1	1	1																							
C/India/P119564/2011	TRUE	7	2011	JUN	10	Homo sapiens	TS/NS	India	NULL	KT232082	KT232083	KT232084	KT232085	KT232086	KT232087	KT232088	1	1	1	1	1	1	1																							
C/Yamagata/3/2008	TRUE	7	2008	-	-	Homo sapiens	-	Japan	Yamagata	LC123356	LC123458	LC123560	LC122661	LC123787	LC123854	LC125018	1	1	1	1	1	1	1																							
C/Yamagata/7/2012	TRUE	7	2012	-	-	Homo sapiens	-	Japan	Yamagata	LC123367	LC123469	LC123571	LC122669	LC123797	LC123865	LC125029	1	1	1	1	1	1	1																							
C/Yamagata/13/2006	TRUE	7	2006	-	-	Homo sapiens	-	Japan	Yamagata	LC123351	LC123453	LC123555	LC122657	LC123783	LC123849	LC125013	1	1	1	1	1	1	1																							
C/Biliran/TB5-736/2016	TRUE	7	2016	OCT	5	Homo sapiens	nasal swab	Philippines	Biliran	MZ330992	MZ330991	MZ330990	MZ330986	MZ330988	MZ330987	MZ330989	1	1	1	1	1	1	1																							
C/Biliran/TB2-162/2014	TRUE	7	2014	JUN	25	Homo sapiens	nasal swab	Philippines	Biliran	MZ330887	MZ330886	MZ330885	MZ330881	MZ330883	MZ330882	MZ330884	1	1	1	1	1	1	1																							
C/Miyagi/25/2004	TRUE	7	2004	-	-	Homo sapiens	-	Japan	Miyagi	LC123339	LC123441	LC123543	LC122646	LC123772	LC123837	LC125001	1	1	1	1	1	1	1																							
C/Yamagata/11/2008	TRUE	7	2008	-	-	Homo sapiens	-	Japan	Yamagata	LC123357	LC123459	LC123561	LC122662	LC123788	LC123855	LC125019	1	1	1	1	1	1	1																							
C/Scotland/6855/2007	TRUE	7	2007	-	-	Homo sapiens	respiratory sample	United Kingdom	NULL	KT835343	KT835338	KT835348	KT835351	KT835360	KT835361	KT835370	1	1	1	1	1	1	1																							
C/Biliran/TB2-180/2014	TRUE	7	2014	JUL	7	Homo sapiens	nasal swab	Philippines	Biliran	MZ330894	MZ330893	MZ330892	MZ330888	MZ330890	MZ330889	MZ330891	1	1	1	1	1	1	1																							
C/Yamagata/1/2005	TRUE	7	2005	-	-	Homo sapiens	-	Japan	Yamagata	LC123342	LC123444	LC123546	LC122648	LC123775	LC123840	LC125004	1	1	1	1	1	1	1																							
C/Yamagata/16/2008	TRUE	7	2008	-	-	Homo sapiens	-	Japan	Yamagata	LC123358	LC123460	LC123562	LC122663	LC123789	LC123856	LC125020	1	1	1	1	1	1	1																							
C/Miyagi/6/2014	TRUE	7	2014	-	-	Homo sapiens	-	Japan	Miyagi	LC123382	LC123484	LC123586	LC122676	LC123812	LC123880	LC125044	1	1	1	1	1	1	1																							
C/Biliran/TB4-024/2017	TRUE	7	2017	MAY	16	Homo sapiens	nasal swab	Philippines	Biliran	MZ330915	MZ330914	MZ330913	MZ330909	MZ330911	MZ330910	MZ330912	1	1	1	1	1	1	1																							
C/Miyagi/4/2005	TRUE	7	2005	-	-	Homo sapiens	-	Japan	Miyagi	LC123346	LC123448	LC123550	LC122652	LC123778	LC123844	LC125008	1	1	1	1	1	1	1																							
C/Palawan/068/2014	TRUE	7	2014	MAR	18	Homo sapiens	nasal swab	Philippines	Palawan	MZ331013	MZ331012	MZ331011	MZ331007	MZ331009	MZ331008	MZ331010	1	1	1	1	1	1	1																							
C/Yamagata/3/2004	TRUE	7	2004	-	-	Homo sapiens	-	Japan	Yamagata	LC123332	LC123434	LC123536	AB252153	LC123766	LC123830	LC124994	1	1	1	1	1	1	1																							
C/Yamagata/5/2002	TRUE	7	2002	-	-	Homo sapiens	-	Japan	Yamagata	LC123325	LC123427	LC123529	LC122638	LC123760	LC123823	LC124987	1	1	1	1	1	1	1																							
C/Miyagi/2/2014	TRUE	7	2014	-	-	Homo sapiens	-	Japan	Miyagi	LC123380	LC123482	LC123584	LC122674	LC123810	LC123878	LC125042	1	1	1	1	1	1	1																							
C/Singapore/DSO-070170/2006	TRUE	7	2006	NOV	17	Homo sapiens	-	Singapore	NULL	JX963127	JX963123	JX963119	GQ853453	JX963111	JX963107	JX963115	1	1	1	1	1	1	1																							
C/Eastern India/1202/2011	TRUE	7	2011	JUL	15	Homo sapiens	-	India	NULL	JX947865	JX947864	JX947863	JX947861	JX947862	JX947866	JX947867	1	1	1	1	1	1	1																							
C/California/78	TRUE	11	1978	-	-	Homo sapiens	-	USA	NULL	LC123294	LC123396	LC123498	LC122634	LC123731	AB000608	M10087	1	1	1	1	1	1	1																							
C/Miyagi/11/2002	TRUE	7	2002	-	-	Homo sapiens	-	Japan	Miyagi	LC123328	LC123430	LC123532	LC122640	LC123762	LC123826	LC124990	1	1	1	1	1	1	1																							
C/canine/China/Guangzhou-1/2020	TRUE	7	2020	-	-	Canis familiaris	nasal swab	China	NULL	OK254894	OK254893	OK254892	OK254888	OK254890	OK254889	OK254891	1	1	1	1	1	1	1																							
C/Yamagata/3/2012	TRUE	7	2012	-	-	Homo sapiens	-	Japan	Yamagata	LC123365	LC123467	LC123569	LC122668	LC123795	LC123863	LC125027	1	1	1	1	1	1	1																							
C/Biliran/TB2-204/2014	TRUE	7	2014	JUL	24	Homo sapiens	nasal swab	Philippines	Biliran	MZ330901	MZ330900	MZ330899	MZ330895	MZ330897	MZ330896	MZ330898	1	1	1	1	1	1	1																							
C/Miyagi/2/2012	TRUE	7	2012	-	-	Homo sapiens	-	Japan	Miyagi	LC123371	LC123473	LC123575	LC122672	LC123801	LC123869	LC125033	1	1	1	1	1	1	1																							
C/Fukuoka/1/2012	TRUE	7	2012	-	-	Homo sapiens	-	Japan	Fukuoka	LC123372	LC123474	LC123576	LC122673	LC123802	LC123870	LC125034	1	1	1	1	1	1	1																							
C/Biliran/TB8-250/2014	TRUE	7	2014	JUL	10	Homo sapiens	nasal swab	Philippines	Biliran	MZ330999	MZ330998	MZ330997	MZ330993	MZ330995	MZ330994	MZ330996	1	1	1	1	1	1	1																							
C/Yamagata/26/2004	TRUE	7	2004	-	-	Homo sapiens	-	Japan	Yamagata	LC123336	LC123438	LC123540	LC122645	LC123769	LC123834	LC124998	1	1	1	1	1	1	1																							
C/Biliran/TB5-241/2014	TRUE	7	2014	JUN	20	Homo sapiens	nasal swab	Philippines	Biliran	MZ330957	MZ330956	MZ330955	MZ330951	MZ330953	MZ330952	MZ330954	1	1	1	1	1	1	1																							
C/Fukushima/O181/2018	TRUE	7	2018	-	-	Homo sapiens	nasopharyngea swab using HBTEC-ALI culture	Japan	Fukushima	LC720290	LC720289	LC720291	LC720285	LC720287	LC720286	LC720288	1	1	1	1	1	1	1																							
C/Mississippi/80	TRUE	13	1980	-	-	Homo sapiens	-	USA	NULL	D78393	LC123401	D78392	LC122635	LC123735	AB000720	M31007	2	2	2	1	2	2	2																							
C/Miyagi/28/2002	TRUE	7	2002	-	-	Homo sapiens	-	Japan	Miyagi	LC123330	LC123432	LC123534	LC122642	LC123764	LC123828	LC124992	1	1	1	1	1	1	1																							
C/Biliran/TB5-312/2017	TRUE	7	2017	JUN	13	Homo sapiens	nasal swab	Philippines	Biliran	MZ330964	MZ330963	MZ330962	MZ330958	MZ330960	MZ330959	MZ330961	1	1	1	1	1	1	1																							
C/India/P121719/2012	TRUE	7	2012	FEB	24	Homo sapiens	TS/NS	India	NULL	KM507545	KM507546	KM507547	KM507548	KM507549	KM507550	KM507551	1	1	1	1	1	1	1																							
C/Biliran/TB5-195/2014	TRUE	7	2014	JUN	2	Homo sapiens	nasal swab	Philippines	Biliran	MZ330950	MZ330949	MZ330948	MZ330944	MZ330946	MZ330945	MZ330947	1	1	1	1	1	1	1																							
C/Miyagi/4/2002	TRUE	7	2002	JAN	24	Homo sapiens	-	Japan	Miyagi	LC123327	LC123429	LC123531	LC122639	AB684312	LC123825	LC124989	1	1	1	1	1	1	1																							
C/Miyagi/4/2006	TRUE	7	2006	-	-	Homo sapiens	-	Japan	Miyagi	LC123354	LC123456	LC123558	LC122659	LC123786	LC123852	LC125016	1	1	1	1	1	1	1																							
C/Great Lakes/1167/1954	TRUE	7	1954	-	-	Homo sapiens	-	USA	NULL	LC123284	LC123386	LC123488	LC122633	LC123723	LC123815	LC124978	1	1	1	1	1	1	1																							
C/Singapore/DSO-070193/2006	TRUE	7	2006	NOV	29	Homo sapiens	-	Singapore	NULL	JX963128	JX963124	JX963120	GQ853454	JX963112	JX963108	JX963116	1	1	1	1	1	1	1																							
C/Tokyo/4/2014	TRUE	7	2014	-	-	Homo sapiens	-	Japan	Tokyo	LC123384	LC123486	LC123588	LC122678	LC123814	LC123882	LC125046	1	1	1	1	1	1	1																							
C/Miyagi/5/2014	TRUE	7	2014	-	-	Homo sapiens	-	Japan	Miyagi	LC123381	LC123483	LC123585	LC122675	LC123811	LC123879	LC125043	1	1	1	1	1	1	1strain_id	complete	seq_count	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession	segment_1_counts	segment_2_counts	segment_3_counts	segment_4_counts	segment_5_counts	segment_6_counts	segment_7_counts
C/Thailand/B12597_PB2_gene/2015	FALSE	1	2015	AUG	31	Homo sapiens	nasal swab	Thailand	NULL	MK480590	0	0	0	0	0	0	1	0	0	0	0	0	0																							
C/Yamagata/10/81	FALSE	1	1981	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/New Jersey/1/76	FALSE	4	1976	-	-	Homo sapiens	-	USA	NULL	LC123291	LC123393	LC123495	0	0	0	0	1	1	1	0	0	0	0																							
C/Sendai/TU2/2012	FALSE	7	2012	-	-	Homo sapiens	-	Japan	"Miyagi, Sendai"	AB979712	AB980270	AB981330	AB978559	0	AB982139	AB985624	1	1	1	1	0	1	1																							
C/Minnesota/03/2014	FALSE	2	2014	DEC	15	Homo sapiens	-	USA	Minnesota	0	0	0	CY239465	0	CY239466	0	0	0	0	1	0	1	0																							
C/Fukuoka/3/2004	FALSE	1	-	-	-	-	-	Japan	Fukuoka	0	0	0	AB252165	0	0	0	0	0	0	1	0	0	0																							
C/Niigata/1/2004	FALSE	1	-	-	-	-	-	Japan	Niigata	0	0	0	AB252158	0	0	0	0	0	0	1	0	0	0																							
C/Yamagata/1/86	FALSE	7	-	-	-	Homo sapiens	-	-	NULL	0	0	0	0	0	AB000611	0	0	0	0	0	0	1	0																							
C/Minnesota/26/2015	FALSE	2	2015	APR	15	Homo sapiens	-	USA	Minnesota	0	0	0	CY239463	0	CY239464	0	0	0	0	1	0	1	0																							
C/Miyagi/1/90	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Miyagi/6/96	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Alberta/4406/2011	FALSE	1	2011	APR	8	Homo sapiens	nasopharyngeal swab	Canada	Alberta	0	0	0	0	0	JX133154	0	0	0	0	0	0	1	0																							
C/Yamagata/8/2018	FALSE	1	2018	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512502	0	0	0	0	0	0	1	0	0	0																							
C/Yamagata/40/2018	FALSE	1	2018	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512508	0	0	0	0	0	0	1	0	0	0																							
C/Minnesota/01/2014	FALSE	2	2014	DEC	27	Homo sapiens	-	USA	Minnesota	0	0	0	CY239417	0	CY239416	0	0	0	0	1	0	1	0																							
C/Fukushima/1/2004	FALSE	1	-	-	-	-	-	Japan	Fukushima	0	0	0	AB252159	0	0	0	0	0	0	1	0	0	0																							
C/Minnesota/01/2016	FALSE	2	2016	APR	21	Homo sapiens	-	USA	Minnesota	0	0	0	CY239484	0	CY239485	0	0	0	0	1	0	1	0																							
C/Mie/67/2012	FALSE	1	-	-	-	-	-	Japan	Mie	0	0	0	AB751600	0	0	0	0	0	0	1	0	0	0																							
C/Yamagata/10/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512490	0	0	0	0	0	0	1	0	0	0																							
C/Milan/1130/2010	FALSE	1	2010	-	-	Homo sapiens	nasopharyngeal swab	Italy	NULL	0	0	0	JX129183	0	0	0	0	0	0	1	0	0	0																							
C/Paris/1/67	FALSE	7	1967	-	-	Homo sapiens	-	France	NULL	LC123287	LC123389	LC123491	0	LC123725	LC123817	LC124980	1	1	1	0	1	1	1																							
C/Thailand/c5395_PB2_gene/2015	FALSE	1	2015	JAN	7	Homo sapiens	nasal swab	Thailand	NULL	MK480583	0	0	0	0	0	0	1	0	0	0	0	0	0																							
C/Mie/188/2012	FALSE	1	2012	-	-	Homo sapiens	-	Japan	Mie	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Thailand/c5395_NS_gene/2015	FALSE	1	2015	JAN	7	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	0	0	0	MK480580	0	0	0	0	0	0	1																							
C/Thailand/CN38_NP_gene/2017	FALSE	1	2017	MAR	7	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	0	MK480602	0	0	0	0	0	0	1	0	0																							
C/Mie/180/2012	FALSE	1	-	-	-	-	-	Japan	Mie	0	0	0	AB751603	0	0	0	0	0	0	1	0	0	0																							
C/Minnesota/19/2015	FALSE	2	2015	MAR	30	Homo sapiens	-	USA	Minnesota	0	0	0	CY239450	0	CY239451	0	0	0	0	1	0	1	0																							
C/Nara/1/86	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Yamagata/27/2004	FALSE	7	2004	-	-	Homo sapiens	-	Japan	Yamagata	LC123337	LC123439	LC123541	0	LC123770	LC123835	LC124999	1	1	1	0	1	1	1																							
C/Thailand/B12983_M_gene/2015	FALSE	1	2015	SEP	25	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	0	0	MK480593	0	0	0	0	0	0	1	0																							
C/Yamagata/2/2018	FALSE	1	2018	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512500	0	0	0	0	0	0	1	0	0	0																							
C/Bovine/Minisoda/18/2017	FALSE	1	2017	MAR	7	Bos taurus	nasal swab	USA	Minisoda	0	0	0	0	0	MH421870	0	0	0	0	0	0	1	0																							
C/Kanagawa/2/2004	FALSE	1	-	-	-	-	-	Japan	Kanagawa	0	0	0	AB252161	0	0	0	0	0	0	1	0	0	0																							
C/Bovine/Nebraska/16/2017	FALSE	1	2017	FEB	27	Bos taurus	lung	USA	Nebraska	0	0	0	0	0	MH421869	0	0	0	0	0	0	1	0																							
C/Palawan/1/2013	FALSE	7	2013	-	-	Homo sapiens	-	Philippines	Palawan	AB979719	AB980277	AB981337	AB978566	0	AB982146	AB985631	1	1	1	1	0	1	1																							
C/Yamagata/26/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC385865	0	0	0	0	0	0	1	0	0	0																							
C/Minnesota/25/2015	FALSE	2	2015	APR	14	Homo sapiens	-	USA	Minnesota	0	0	0	CY239461	0	CY239462	0	0	0	0	1	0	1	0																							
C/Milan/1101/2009	FALSE	1	2009	-	-	Homo sapiens	nasopharyngeal swab	Italy	NULL	0	0	0	JX129182	0	0	0	0	0	0	1	0	0	0																							
C/Alberta/4941/2011	FALSE	2	2011	FEB	22	Homo sapiens	nasopharyngeal swab	Canada	Alberta	0	0	0	JX080413	0	JX133158	0	0	0	0	1	0	1	0																							
C/Miyagi/2/98	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Bovine/Texas/1/2016	FALSE	1	2016	NOV	14	Bos taurus	nasal swab	USA	Texas	0	0	0	0	0	MH421864	0	0	0	0	0	0	1	0																							
C/Thailand/B12597_M_gene/2015	FALSE	1	2015	AUG	31	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	0	0	MK480586	0	0	0	0	0	0	1	0																							
C/Yamagata/4/89	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	D88428	0	0	0	0	0	0	1	0	0	0																							
C/Miyagi/4/97	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Yamagata/16/2010	FALSE	1	2010	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512487	0	0	0	0	0	0	1	0	0	0																							
C/Yamagata/5/2015	FALSE	1	2015	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512489	0	0	0	0	0	0	1	0	0	0																							
C/Saitama/1/2000	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Milan/128/2009	FALSE	1	2009	-	-	Homo sapiens	nasopharyngeal swab	Italy	NULL	0	0	0	JX129180	0	0	0	0	0	0	1	0	0	0																							
C/Minnesota/04/2014	FALSE	2	2014	DEC	25	Homo sapiens	-	USA	Minnesota	0	0	0	CY239467	0	CY239468	0	0	0	0	1	0	1	0																							
C/Thailand/B12597_NS_gene/2015	FALSE	1	2015	AUG	31	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	0	0	0	MK480587	0	0	0	0	0	0	1																							
C/Thailand/B12983_NP_gene/2015	FALSE	1	2015	SEP	25	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	0	MK480595	0	0	0	0	0	0	1	0	0																							
C/Minnesota/17/2015	FALSE	1	2015	MAR	27	Homo sapiens	-	USA	Minnesota	0	0	0	CY239447	0	0	0	0	0	0	1	0	0	0																							
C/Greece/79	FALSE	7	-	-	-	-	-	Greece	NULL	0	0	0	0	AB684310	0	0	0	0	0	0	1	0	0																							
