strain_id	complete	seq_count	cg_subtype	hn_subtype	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession	segment8_accession	segment_1_counts	segment_2_counts	segment_3_counts	segment_4_counts	segment_5_counts	segment_6_counts	segment_7_counts	segment_8_counts
A/duck/Vietnam/NCVD-17/2007(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	-	-	Anseriformes sp.	-	Viet Nam	NULL	CY030356	CY030357	CY030358	CY030359	CY030360	CY030361	CY030362	CY030363	1	1	1	1	1	1	1	1
A/chicken/Nigeria/16VIR5840-58/2015	TRUE	16	A5|D1|A12|H5|A8|N1|A|A	H5N1	2015	APR	24	Gallus gallus	-	Nigeria	NULL	MF112311	MF112409	MF112505	MF112599	MF112699	MF112799	MF112899	MF112996	1	1	1	1	1	1	1	1
A/chicken/Bangladesh/32747/2017	TRUE	16	A5|D1|A12|H5|A8|N1|A|A	H5N1	2017	MAY	20	Gallus gallus	-	Bangladesh	NULL	MH135350	MH135644	MH135382	MH135605	MH135671	MH135480	MH135436	MH135359	1	1	1	1	1	1	1	1
A/goose/Yunnan/4389/2006(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|X	H5N1	2006	-	-	Anser sp.	-	China	NULL	CY030918	CY030919	CY030920	CY030921	CY030922	CY030923	CY030924	CY030925	1	1	1	1	1	1	1	1
A/Thailand/1(KAN-1)/2004	TRUE	12	A3|D1|A12|H5|A8|N1|A|A	H5N1	2004	-	-	Homo sapiens	-	Thailand	Kanchanaburi	CY111595	AY626148	CY111597	CY111598	CY111599	CY111600	AY626144	CY111602	1	2	2	1	1	1	2	2
A/pheasant/Korea/PT411/2011	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2011	-	-	Phasianidae sp.	-	South Korea	NULL	JN807908	JN807939	JN807955	JN807994	JN808007	JN808048	JN808057	JN808098	1	1	1	1	1	1	1	1
A/duck/Bangladesh/43521/2020	TRUE	8	A5|D1|A12|H5|A8|N1|A|A	H5N1	2020	FEB	18	Anas sp.	Oral-pharyngeal	Bangladesh	NULL	MW466214	MW467538	MW466216	MW466215	MW466212	MW466211	MW466217	MW466213	1	1	1	1	1	1	1	1
A/mallard/Illinois/12OS5080/2012	TRUE	8	B10|E1|A3|H5|A11|N1|B|A	H5N1	2012	OCT	20	Anas platyrhynchos	-	USA	Illinois	CY186674	CY186673	CY186672	CY186667	CY186670	CY186669	CY186668	CY186671	1	1	1	1	1	1	1	1
A/muscovy duck/Vietnam/LBM566/2014	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2014	-	-	Cairina moschata	-	Viet Nam	NULL	AB972672	AB972673	AB972674	AB972675	AB972676	AB972677	AB972678	AB972679	1	1	1	1	1	1	1	1
A/duck/Vietnam/NCVD-31/2007(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	-	-	Anseriformes sp.	-	Viet Nam	NULL	CY030450	CY030451	CY030452	CY030453	CY030454	CY030455	CY030456	CY030457	1	1	1	1	1	1	1	1
A/duck/Vietnam/NCVD-3208/2013	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2013	APR	11	Anseriformes sp.	-	Viet Nam	NULL	KY171044	KY171045	KY171046	KY171047	KY171048	KY171049	KY171050	KY171051	1	1	1	1	1	1	1	1
A/chicken/Bhutan/1030/2012	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2012	MAR	18	Gallus gallus	-	Bhutan	NULL	KX215300	KX215217	KX215360	KJ682280	KX215236	KJ682281	KX215320	KX215246	1	1	1	1	1	1	1	1
A/duck/Bangladesh/34199/2017	TRUE	16	A5|D1|A12|H5|A8|N1|A|A	H5N1	2017	NOV	25	Anas sp.	-	Bangladesh	NULL	MH791591	MH791735	MH791732	MH791677	MH791802	MH791760	MH791658	MH791705	1	1	1	1	1	1	1	1
A/chicken/WestJava(Sbg)/29/2007(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	-	-	Gallus gallus	-	Indonesia	NULL	KR732490	KR732417	KR732558	KR732466	KR732428	KR732520	KR732457	KR732496	1	1	1	1	1	1	1	1
A/chicken/Cambodia/008LC1/2011	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2011	JAN	27	Gallus gallus	-	Cambodia	Kandal	JN588937	JN588922	JN588908	JN588824	JN588876	JN588854	JN588839	JN588892	1	1	1	1	1	1	1	1
A/chicken/Indonesia/4998T/2018	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2018	JUL	29	Gallus gallus	tracheal swab	Indonesia	NULL	MW871692	MW871693	MW871695	MW871694	MW871696	MW871690	MW871697	MW871691	1	1	1	1	1	1	1	1
A/duck/Vietnam/7A/2004	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2004	-	-	Anseriformes sp.	-	Viet Nam	NULL	CY031179	CY031178	CY031177	CY031172	CY031175	CY031174	CY031173	CY031176	1	1	1	1	1	1	1	1
A/grey heron/Hong Kong/3088/2007(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	-	-	Ardeidae sp.	-	China	NULL	CY036210	CY036211	CY036212	CY036213	CY036214	CY036215	CY036216	CY036217	1	1	1	1	1	1	1	1
A/duck/Hunan/3315/2006	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2006	NOV	30	Anseriformes sp.	-	China	NULL	FJ784839	FJ784823	FJ784807	FJ784855	FJ784791	FJ784775	FJ784887	FJ784871	1	1	1	1	1	1	1	1
A/Goose/Hong Kong/ww491/2000(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|B	H5N1	-	-	-	-	-	-	NULL	AY059524	AY059517	AY059531	AY059480	AY059496	AY059489	AY059510	AY059503	1	1	1	1	1	1	1	1
A/chicken/Egypt/Q2247A/2010	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2010	SEP	29	Gallus gallus	-	Egypt	NULL	KF881488	KF881489	KF881490	KF881491	KF881492	KF881493	KF881494	KF881495	1	1	1	1	1	1	1	1
A/chicken/Wuhan/HAQL16/2014	TRUE	8	A5|D1|A12|H5|A8|N1|A|A	H5N1	2014	-	-	Gallus gallus	chicken fecals	China	NULL	KU143568	KU143523	KU143482	KU143258	KU143394	KU143340	KU143307	KU143437	1	1	1	1	1	1	1	1
A/chicken/Xinjiang/16/2005	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2005	-	-	Gallus gallus	-	China	Xinjiang	HM172420	HM172383	HM172351	HM172108	HM172219	HM172208	HM172125	HM172267	1	1	1	1	1	1	1	1
A/chicken/Vietnam/HU3-67/2015(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2015	-	-	Gallus gallus	-	Viet Nam	NULL	LC194820	LC194821	LC194822	LC194823	LC194824	LC194825	LC194826	LC194827	1	1	1	1	1	1	1	1
A/chicken/Guangdong/178/04	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	-	-	-	-	-	China	NULL	AY737293	AY737294	AY737295	AY737296	AY737297	AY737299	AY737298	AY737300	1	1	1	1	1	1	1	1
A/peregrine falcon/Hong Kong/2142/2008(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2008	-	-	Falco peregrinus	-	China	NULL	CY036266	CY036267	CY036268	CY036269	CY036270	CY036271	CY036272	CY036273	1	1	1	1	1	1	1	1
A/peregrine falcon/Tochigi/15/2011	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2011	-	-	-	-	Japan	Tochigi	AB617576	AB617577	AB617578	AB617579	AB617580	AB617581	AB617582	AB617583	1	1	1	1	1	1	1	1
A/chicken/India/WB-NIV529/2008(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2008	JAN	13	Gallus gallus	trachea	India	Dakhin Dinajpur,WB	CY046109	CY046110	CY046111	CY046112	CY046113	CY046114	CY046115	CY046116	1	1	1	1	1	1	1	1
A/chicken/Bangladesh/12VIR-7140-17/2012	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2012	MAR	21	Gallus gallus	-	Bangladesh	NULL	KC616604	KC616586	KC616568	KC616478	KC616532	KC616514	KC616496	KC616550	1	1	1	1	1	1	1	1
A/turkey/Poland/R3249/2007	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	-	-	-	-	-	Poland	NULL	FM163445	FM163446	FM163447	FM163448	FM163449	FM163450	FM163451	FM163452	1	1	1	1	1	1	1	1
A/flamingo/Kazakhstan/6570/2015	TRUE	8	A5|D1|A12|H5|A8|N1|A|A	H5N1	2015	APR	24	Phoenicopterus roseus	brain	Kazakhstan	NULL	MT378335	MT378336	MT378337	MT378338	MT378339	MT378340	MT378341	MT378342	1	1	1	1	1	1	1	1
A/duck/Nam Dinh/07-91/2007	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	-	-	Anseriformes sp.	-	Viet Nam	NULL	GU050546	GU050545	GU050544	GU050539	GU050542	GU050541	GU050540	GU050543	1	1	1	1	1	1	1	1
A/duck/Hunan/733/2004(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2004	-	-	Anseriformes sp.	-	China	NULL	CY029319	CY029320	CY029321	CY028970	CY029322	CY029323	CY029324	CY029325	1	1	1	1	1	1	1	1
A/chicken/Cambodia/X0305302/2013	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2013	FEB	20	Gallus gallus	-	Cambodia	Siem reab	KF001499	KF001500	KF001501	KF001502	KF001503	KF001504	KF001505	KF001506	1	1	1	1	1	1	1	1
A/swine/South Kalimantan/UT6015/2006	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2006	-	-	Sus scrofa	-	Indonesia	NULL	HM440146	HM440145	HM440144	HM440139	HM440142	HM440141	HM440140	HM440143	1	1	1	1	1	1	1	1
A/duck/India/03CA01/2015	TRUE	8	A5|D1|A12|H5|A8|N1|A|A	H5N1	2015	-	-	Anseriformes sp.	-	India	NULL	KT867357	KT867358	KT867359	KT867360	KT867361	KT867362	KT867363	KT867364	1	1	1	1	1	1	1	1
A/duck/Vietnam/5/2007(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	-	-	Anseriformes sp.	-	Viet Nam	NULL	CY029580	CY029581	CY029582	CY029583	CY029584	CY029585	CY029586	CY029587	1	1	1	1	1	1	1	1
A/duck/Vietnam/HU10-1759/2018	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2018	-	-	Anas platyrhynchos	-	Viet Nam	NULL	LC500427	LC500428	LC500429	LC500430	LC500431	LC500432	LC500433	LC500434	1	1	1	1	1	1	1	1
A/chicken/Laos/13/2008(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|X	H5N1	2008	-	-	Gallus gallus	-	Laos	NULL	CY040987	CY040988	CY040989	CY040990	CY040991	CY040992	CY040993	CY040994	1	1	1	1	1	1	1	1
A/chicken/Nigeria/16VIR5840-74/2015	TRUE	16	A5|D1|A12|H5|A8|N1|A|A	H5N1	2015	DEC	11	Gallus gallus	-	Nigeria	NULL	MF112327	MF112424	MF112521	MF112615	MF112715	MF112815	MF112915	MF113012	1	1	1	1	1	1	1	1
A/chicken/Qalubia/CAI19/2008	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2008	JUN	30	Gallus gallus	-	Egypt	Qalubia	CY126191	CY126190	CY126189	CY126184	CY126187	CY126186	CY126185	CY126188	1	1	1	1	1	1	1	1
A/chicken/Nigeria/16VIR5840-97/2016	TRUE	16	A5|D1|A12|H5|A8|N1|A|A	H5N1	2016	MAR	16	Gallus gallus	-	Nigeria	NULL	MF112349	MF112446	MF112539	MF112638	MF112738	MF112838	MF112938	MF113038	1	1	1	1	1	1	1	1
A/chicken/Vietnam/NCVD-A015/2008	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2008	-	-	Gallus gallus	-	Viet Nam	NULL	KP097845	KP097866	KP097887	KP097922	KP097943	KP097978	KP097999	KP098020	1	1	1	1	1	1	1	1
A/chicken/Nigeria/16VIR5840-86/2016	TRUE	16	A5|D1|A12|H5|A8|N1|A|A	H5N1	2016	JAN	19	Gallus gallus	-	Nigeria	NULL	MF112339	MF112436	MF112532	MF112627	MF112727	MF112827	MF112927	MF113027	1	1	1	1	1	1	1	1
A/duck/Bangladesh/23858/2014	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2014	NOV	16	Anas sp.	-	Bangladesh	NULL	KY629444	KY629490	KY629552	KY629540	KY629497	KY629545	KY629469	KY629491	1	1	1	1	1	1	1	1
A/duck/Hokkaido/WZ101/2010	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2010	-	-	-	fecal sample	Japan	Hokkaido, Wakkanai, Lake Onuma	AB612906	AB612907	AB612908	AB612909	AB612910	AB612911	AB612912	AB612913	1	1	1	1	1	1	1	1
A/chicken/Bangladesh/NRL-AI-8469/2017	TRUE	8	A5|D1|A12|H5|A8|N1|A|A	H5N1	2017	DEC	31	Gallus gallus	Oropharyngeal swab	Bangladesh	Dhaka	MN994190	MN994191	MN994192	MN994193	MN994194	MN994195	MN994196	MN994197	1	1	1	1	1	1	1	1
A/duck/Egypt/14VIR784-4-133AD/2013	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2013	-	-	Anseriformes sp.	-	Egypt	NULL	KP035037	KP035036	KP035035	KP035030	KP035033	KP035032	KP035031	KP035034	1	1	1	1	1	1	1	1
A/muscovy duck/LS154/2013	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2013	JAN	10	Cairina moschata	-	Viet Nam	NULL	KX513277	KX513160	KX513263	KX513122	KX513278	KX513390	KX513402	KX513226	1	1	1	1	1	1	1	1
A/chicken/Hanoi/45/2007	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	-	-	Gallus gallus	-	Viet Nam	NULL	JX420139	JX420140	JX420141	JX420142	JX420143	JX420144	JX420145	JX420146	1	1	1	1	1	1	1	1
A/chicken/Nigeria/16VIR5840-34/2015	TRUE	16	A5|D1|A12|H5|A8|N1|A|A	H5N1	2015	FEB	18	Gallus gallus	-	Nigeria	NULL	MF112287	MF112386	MF112483	MF112575	MF112675	MF112775	MF112875	MF112972	1	1	1	1	1	1	1	1
A/hill myna/Heilongjiang/0704/2012	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2012	JUL	4	Gracula religiosa	lung	China	NULL	KF042281	KF042282	KF042283	KF042284	KF042285	KF042286	KF042287	KF042288	1	1	1	1	1	1	1	1
A/falcon/Saudi Arabia/D1795/2005	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2005	-	-	Falco cherrug	-	Saudi Arabia	NULL	EU748900	EU748901	EU748902	EU748903	EU748904	EU748905	EU748906	EU748907	1	1	1	1	1	1	1	1
A/Indonesia/CDC599/2006	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2006	MAY	11	Homo sapiens	gender:M; age:10; Throat Swab	Indonesia	NULL	CY014392	CY014301	CY014302	CY014303	CY014304	CY014305	CY014306	CY014307	1	1	1	1	1	1	1	1
A/duck/Bac Lieu/07-06/2007	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	-	-	Anseriformes sp.	-	Viet Nam	NULL	GU186760	GU186759	GU186758	GU186753	GU186756	GU186755	GU186754	GU186757	1	1	1	1	1	1	1	1
A/muscovy duck/Long An/89/2014	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2014	-	-	Cairina moschata	-	Viet Nam	NULL	LC010765	LC010766	LC010767	LC010768	LC010769	LC010770	LC010771	LC010772	1	1	1	1	1	1	1	1
A/duck/Vietnam/QT1456-3/2012	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2012	JAN	25	Anas platyrhynchos	-	Viet Nam	NULL	KX513218	KX644120	KX513281	KX513404	KX513369	KX513217	KX513163	KX513276	1	1	1	1	1	1	1	1
A/duck/Henan/1647/2006	TRUE	8	A5|D1|A12|H5|A8|N1|A|A	H5N1	2006	DEC	30	Anseriformes sp.	-	China	NULL	FJ784828	FJ784812	FJ784796	FJ784844	FJ784780	FJ784764	FJ784876	FJ784860	1	1	1	1	1	1	1	1
A/Mergus albellus/Slovakia/Vh212/06	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2006	FEB	17	Mergus albellus	-	Slovakia	Podunajske Biskupice	EU443536	EU443597	EU443592	EU443550	EU443575	EU443566	EU443559	EU443582	1	1	1	1	1	1	1	1
A/chicken/Nigeria/16VIR5840-62/2015	TRUE	56	A5|D1|A12|H5|A8|N1|A|A	H5N1	2015	AUG	5	Gallus gallus	-	Nigeria	NULL	MF112315	MF112412	MF112509	MF112603	MF112703	MF112803	MF112903	MF113000	1	1	1	1	1	1	1	1
A/environment/Guizhou/9/2009	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2009	JAN	16	Environment	-	China	Guizhou	CY098819	CY098820	CY098821	CY098822	CY098823	CY098824	CY098825	CY098826	1	1	1	1	1	1	1	1
A/duck/Bangladesh/21269/2013	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2013	NOV	24	Anseriformes sp.	-	Bangladesh	NULL	KT361951	KT361952	KT361953	KT361954	KT361955	KT361956	KT361957	KT361958	1	1	1	1	1	1	1	1
A/poultry/Benin/21-A-08-034-O/2021	TRUE	8	A5|D1|A12|H5|A8|N1|A|A	H5N1	2021	SEP	1	Environment	Oral-pharyngeal	Benin	NULL	ON870440	ON870439	ON870438	ON870434	ON870436	ON943071	ON870435	ON870437	1	1	1	1	1	1	1	1
A/brown-headed gull/Qinghai/9/2009	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2009	-	-	Chroicocephalus brunnicephalus	tissue lysate	China	NULL	GU477557	GU477554	GU477551	GU477548	GU477545	GU477542	GU477539	GU477536	1	1	1	1	1	1	1	1
A/chicken/East Java/UT1006/2003	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2003	NOV	15	Gallus gallus	-	Indonesia	East Java	GQ122430	GQ122431	GQ122432	GQ122385	GQ122405	GQ122433	GQ122434	GQ122435	1	1	1	1	1	1	1	1
A/chicken/Qalubia/CAI20/2008	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2008	JUN	30	Gallus gallus	-	Egypt	Qalubia	CY126199	CY126198	CY126197	CY126192	CY126195	CY126194	CY126193	CY126196	1	1	1	1	1	1	1	1
A/chicken/Ivory Coast/15VIR2742-3/2015	TRUE	8	A5|D1|A12|H5|A8|N1|A|A	H5N1	2015	APR	13	Gallus gallus	-	Cote d'Ivoire	NULL	KU971575	KU971574	KU971577	KU971570	KU971572	KU971571	KU971576	KU971573	1	1	1	1	1	1	1	1
A/chicken/Czech Republic/11242-38/07	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2007	JUL	11	Gallus gallus	cloacal swab taken during an outbreak at a chicken farm	Czech Republic	Chocen	EU443539	EU443604	EU443595	EU443553	EU443579	EU443569	EU443561	EU443586	1	1	1	1	1	1	1	1
A/environment/Maryland/06OS1186/2006	TRUE	8	B4|E1|A11|H5|A11|N1|B|A	H5N1	2006	AUG	2	Environment	-	USA	Maryland	CY190170	CY190169	CY190168	CY190163	CY190166	CY190165	CY190164	CY190167	1	1	1	1	1	1	1	1
A/duck/Vietnam/NCVD-3188/2013	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2013	APR	7	Anseriformes sp.	-	Viet Nam	NULL	KY171323	KY171324	KY171325	KY171326	KY171327	KY171328	KY171329	KY171330	1	1	1	1	1	1	1	1
A/duck/Bangladesh/32247/2017	TRUE	16	A5|D1|A12|H5|A8|N1|A|A	H5N1	2017	MAR	29	Anas platyrhynchos	-	Bangladesh	NULL	MG957555	MG957543	MG957600	MG957511	MG957514	MG957551	MG957509	MG957564	1	1	1	1	1	1	1	1
A/chicken/Nigeria/16VIR5840-32/2015	TRUE	16	A5|D1|A12|H5|A8|N1|A|A	H5N1	2015	FEB	17	Gallus gallus	-	Nigeria	NULL	MF112285	MF112384	MF112481	MF112573	MF112673	MF112773	MF112873	MF112970	1	1	1	1	1	1	1	1
A/duck/Vietnam/NCVD-15A60/2015	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2015	AUG	20	Anseriformes sp.	-	Viet Nam	NULL	KY171733	KY171734	KY171735	KY171736	KY171737	KY171738	KY171739	KY171740	1	1	1	1	1	1	1	1
A/duck/Henan/1650/2006	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2006	DEC	30	Anseriformes sp.	-	China	NULL	FJ784829	FJ784813	FJ784797	FJ784845	FJ784781	FJ784765	FJ784877	FJ784861	1	1	1	1	1	1	1	1
A/chicken/Yunnan/1083/2003(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2003	-	-	Gallus gallus	-	China	NULL	CY029375	CY029376	CY029377	CY028978	CY029378	CY029379	CY029380	CY029381	1	1	1	1	1	1	1	1
A/chicken/India/WB-NIV2653/2008(H5N1)	TRUE	8	A3|D1|A12|H5|A8|N1|A|A	H5N1	2008	JAN	21	Gallus gallus	trachea	India	Dey Para,Nadia,WB	CY046067	CY046068	CY046069	CY046070	CY046071	CY046072	CY046073	CY046074	1	1	1	1	1	1	1	1
A/swine/Zhejiang/SW57/2015	TRUE	8	A5|D1|A12|H5|A8|N1|A|A	H5N1	2015	-	-	Sus scrofa	lung samples	China	NULL	MF969269	MF969270	MF969271	MF969272	MF969273	MF969274	MF969275	MF969276	1	1	1	1	1	1	1	1
A/chicken/Nigeria/16VIR5840-72/2015	TRUE	16	A5|D1|A12|H5|A8|N1|A|A	H5N1	2015	OCT	27	Gallus gallus	-	Nigeria	NULL	MF112325	MF112422	MF112519	MF112613	MF112713	MF112813	MF112913	MF113010	1	1	1	1	1	1	1	1
