cg_subtype	strain_count
B4|E1|A3|H6|A11|N1|B|B	1
B10|E1|A11|H4|A11|N3|B|B	3
B9|E1|A11|H3|A11|N1|B|B	4
B9|E1|A7|H12|A11|N8|B|B	1
B10|E1|A3|H3|A8|N6|B|B	1
B8|E1|A3|H7|A11|N3|B|B	2
B8|D1|A12|H6|A8|N2|A|A	1
B8|E1|A7|H5|A11|N8|B|A	1
B4|D1|A12|H2|A8|N7|A|A	1
B9|E1|A3|H7|A11|N2|B|A	3
A3|D1|A5|H10|A8|N9|A|A	1
A3|D1|A12|H5|A8|N1|A|A	1537
A5|D1|A12|H5|A8|N3|A|A	24
B4|E1|A11|H1|A11|N1|B|A	2
A4|D1|A5|H6|A8|N6|A|A	250
B10|E1|A10|H3|A11|N8|B|A	48
B4|E1|A3|H12|A11|N5|B|B	1
B9|D1|A1|H1|A2|N1|B|A	1
A4|D1|A12|H4|A8|N6|A|B	5
B5|E1|A12|H9|A11|N5|A|A	1
B9|E1|A11|H1|A11|N8|B|B	3
B10|E1|A10|H1|A11|N6|B|A	1
A3|E1|A7|H4|A11|N6|B|A	1
A4|D1|A5|H6|A8|N2|A|A	179
A5|D1|A12|H10|A11|N8|A|A	1
B4|E1|A11|H4|A11|N5|B|A	1
B8|E1|A3|H8|A11|N4|B|A	3
A3|D1|A12|H3|A8|N6|A|A	22
B9|E1|A12|H8|A11|N4|B|A	1
B10|E1|A3|H3|A11|N1|B|B	2
B8|E1|A3|H2|A11|N3|B|A	2
A5|D1|A7|H7|A8|N7|A|A	2
B9|E1|A3|H1|A11|N2|B|A	4
A4|D1|A12|H7|A8|N7|A|A	32
A4|B1|A7|H5|A9|N2|A|A	1
B9|E1|A10|H3|A11|N6|B|B	1
B10|E1|A12|H6|A11|N2|B|B	1
B1|E1|A2|H7|A5|N3|B|A	2
B3|E1|A3|H5|A11|N2|B|B	1
B8|E1|A7|H4|A11|N8|B|B	5
A3|D1|A12|H8|A8|N4|A|A	3
B10|E1|A3|H4|A11|N2|B|B	5
B9|E1|A11|H5|A11|N2|B|B	5
B3|E1|A10|H11|A11|N9|B|A	2
B2|B1|A1|H1|A2|N1|B|A	1
B9|E1|A11|H10|A11|N1|B|A	2
B9|E1|A3|H4|A8|N6|A|A	1
B8|E1|A3|H10|A11|N3|B|A	6
A5|D1|A12|H5|A8|NZ|A|A	1
A5|D1|A12|H9|A8|N8|A|A	1
B8|E1|A10|H4|A11|N2|B|A	2
B3|E1|A8|H4|A11|N8|B|B	1
B9|E1|A8|H7|A11|N2|B|B	70
B10|E1|A3|H11|A11|N1|B|A	3
B4|E1|A11|H3|A11|N1|B|B	2
A5|D1|A12|H12|A8|N8|A|A	2
B9|E1|A11|H4|A11|N1|B|B	2
B9|E1|A10|H11|A11|N2|B|A	4
A4|D1|A4|H2|A8|N3|A|A	8
B4|E1|A3|H1|A11|N3|B|A	2
B8|E1|A3|H4|A11|N8|B|A	5
B5|E1|A10|H3|A11|N3|B|A	1
B3|E1|A11|H2|A11|N3|B|A	1
B1|E1|A2|H7|A4|N3|B|A	2
B9|E1|A10|H9|A11|N8|B|A	1
A3|D1|A12|H3|A8|N1|A|A	2
B10|E1|A10|H9|A11|N2|B|A	1
B3|E1|A10|H2|A11|N1|B|A	2
B4|E1|A12|H3|A11|N8|B|B	2
A5|D1|A12|H7|A11|N7|A|A	1
B10|E1|A3|H6|A8|N1|B|B	1
B1|E1|A2|H6|A4|N2|B|B	4
B2|C1|A1|H1|A2|N1|B|A	9
A4|D1|A7|H5|A8|N8|A|A	1
B9|E1|A3|H3|A8|N8|B|A	3
B5|E1|A1|H1|A3|N1|A|A	1
B8|E1|A3|H5|A11|N9|B|A	1
B10|E1|A7|H5|A11|N2|B|B	2
B4|E1|A11|H2|A11|N1|B|B	1
B8|D1|A7|H3|A8|N8|B|A	1
B9|E1|A12|H5|A11|N2|B|A	2
A3|D1|A12|H10|A11|N8|A|A	4
B4|E1|A10|H11|A11|N9|B|B	1
B10|E1|A10|H7|A11|N4|B|B	1
A5|D1|A7|H5|A8|N2|A|A	2
B9|E1|A10|H12|A11|N4|B|A	28
B9|E1|A11|H6|A11|N5|B|A	13
B3|E1|A12|H3|A11|N6|B|A	1
A5|D1|A12|H9|A11|N3|A|A	1
A4|D1|A12|H9|A8|N2|A|A	570
B9|E1|A10|H6|A11|N5|B|B	1
B8|E1|A7|H4|A11|N2|B|B	2
B10|E1|A12|H4|A11|N6|B|B	1
B4|E1|A3|H3|A11|N2|B|B	6
A4|E1|A12|H5|A8|N6|A|A	48
A5|D1|A12|H9|A11|N2|A|A	1
A5|D1|A12|H2|A8|N8|A|B	6
B10|E1|A11|H6|A11|N8|B|A	3
B2|C1|A7|H1|A2|N2|A|A	3
B3|E1|A10|H4|A11|N8|B|B	1
B9|E1|A7|H6|A11|N5|B|A	2
B8|E1|A10|H6|A11|N8|B|B	1
B8|E1|A10|H3|A11|N5|B|A	1
A3|E1|A12|H6|A8|N1|A|A	2
B9|E1|A11|H2|A11|N2|B|A	3
B3|E1|A1|H1|A3|N1|B1|X	128
A3|D1|A12|H5|A8|N8|A|A	169
B4|E1|A11|H2|A11|N2|B|A	4
A5|D1|A12|H8|A8|N2|A|B	1
A5|D1|A5|H7|A8|N3|A|A	11
B8|E1|A7|H12|A11|N4|B|A	1
B10|E1|A10|H12|A11|N5|B|B	4
B2|C1|A1|H3|A2|N2|B|A	18
A5|D1|A12|H4|A8|N9|A|B	1
B9|E1|A3|H10|A11|N6|B|B	3
A5|E1|A12|H1|A8|N2|A|A	2
B9|E1|A3|H6|A11|N2|B|B	3
B7|C1|A1|H3|A2|N1|A|A	1
A5|D1|A12|H1|A8|N4|A|A	1
B8|E1|A7|H1|A11|N2|B|B	1
B4|E1|A11|H11|A11|N9|B|A	1
A3|D1|A12|H10|A8|N8|B|B	2
B8|E1|A7|H12|A11|N1|B|A	1
B10|E1|A3|H12|A8|N5|B|B	1
A3|B1|A12|H7|A9|N2|A|A	1
A4|D1|A7|H6|A8|N2|A|B	3
B4|E1|A11|H3|A11|N5|B|B	1
B8|E1|A7|H6|A11|N5|B|B	1
A5|D1|A10|H3|A8|N2|A|A	1
B1|E1|A2|H3|A5|N8|B|A	1
B9|E1|A11|H1|A11|N2|B|B	1
A3|D1|A12|H6|A11|N1|A|B	1
B10|E1|A11|H2|A11|N3|B|A	36
B5|C1|A7|H3|A3|N2|B1|X	16
A5|D1|A12|H3|A8|N1|A|A	11
A5|D1|A12|H7|A8|N8|A|B	6
B10|E1|A10|H5|A11|N2|B|B	2
A3|D1|A12|H1|A8|N5|A|B	1
A5|D1|A12|H6|A8|N5|A|A	13
B5|E1|A10|H6|A11|N3|B|A	1
B8|D1|A1|H1|A3|N1|B1|X	7
B4|E1|A11|H11|A11|N2|A|A	3
A3|D1|A12|H1|A8|N9|A|A	1
B9|E1|A12|H9|A11|N5|B|A	3
B4|E1|A3|H4|A8|N6|B|A	2
B10|D1|A1|H3|A2|N1|B2|A	1
A4|D1|A12|H2|A8|N3|A|A	4
A4|D1|A5|H3|A8|N8|A|A	1
B9|E1|A12|H7|A11|N3|B|A	10
B3|E1|A11|H11|A11|N2|A|A	1
B5|E1|A11|H9|A11|N2|A|A	1
B10|E1|A3|H1|A11|N9|B|A	2
A5|D1|A12|H9|A8|N3|B|A	2
B10|E1|A7|H11|A11|N9|B|A	5
B8|E1|A12|H6|A11|N6|B|A	1
B3|E1|A11|H4|A11|N2|B|A	1
B9|E1|A7|H6|A11|N1|B|A	1
A5|D1|A5|H6|A8|N6|B|A	1
B10|E1|A12|H13|A7|N6|A|A	11
B9|E1|A10|H3|A11|N8|B|A	68
A2|D1|A12|H16|A7|N8|A|A	1
B10|E1|A3|H5|A11|N1|B|A	6
B9|E1|A3|H8|A11|N4|B|B	1
B4|E1|A8|H6|A11|N8|B|A	1
B10|E1|A11|H7|A11|N3|B|A	177
B9|E1|A7|H4|A11|N8|B|B	9
B2|C1|A1|H3|A2|N2|A|A	2
B4|E1|A8|H3|A11|N1|B|A	1
B9|E1|A10|H11|A11|N3|B|A	2
B10|E1|A11|H2|A11|N1|B|A	1
A5|D1|A12|H2|A8|N5|A|A	4
B10|E1|A3|H5|A11|N8|A|A	1
A3|E1|A3|H10|A11|N2|A|A	1
A3|D1|A12|H6|A8|N6|A|A	5
A3|D1|A4|H3|A11|N2|B|X	6
B10|E1|A3|H10|A5|N5|B|A	64
B9|E1|A7|H6|A11|N2|B|B	1
A3|D1|A12|H3|A8|N2|A|A	24
A5|D1|A12|H3|A11|N3|A|A	1
B10|E1|A11|H3|A11|N6|B|B	8
B10|E1|A10|H6|A11|N2|B|B	5
B4|E1|A7|H6|A11|N4|B|A	1
B8|E1|A7|H3|A11|N4|B|A	1
B9|E1|A3|H1|A11|N1|B|A	53
B8|A1|A2|H3|A4|NZ|B|A	7
B10|E1|A11|H11|A11|N3|B|A	5
B10|E1|A10|H4|A8|N6|B|A	1
B10|E1|A11|H4|A11|N2|B|B	5
A3|D1|A12|H5|A8|N1|A|B	16
B9|E1|A7|H6|A11|N8|B|A	13
B4|E1|A10|H1|A11|N1|B|A	7
A4|D1|A7|H5|A8|N6|A|B	1
B8|E1|A12|H4|A11|N2|B|A	3
A5|D1|A12|H3|A8|N6|B|B	1
B9|E1|A7|H1|A11|N1|B|A	11
A3|D1|A12|H2|A8|N1|A|B	1
A5|D1|A12|H9|A8|N2|B|A	8
A4|D1|A10|H6|A8|N2|A|A	1
B9|E1|A3|H5|A11|N9|B|B	3
B4|E1|A11|H3|A8|N8|B|B	1
B10|E1|A7|H6|A11|N2|B|A	2
B4|E1|A3|H1|A11|N1|B|B	2
B7|C1|A7|H1|A3|N1|A|X	2
A3|D1|A4|H1|A9|N1|B|A	2
A5|D1|A12|H2|A8|N4|A|B	1
A4|D1|A7|H3|A8|N6|A|B	1
B9|E1|A11|H8|A11|N4|B|A	3
B9|E1|A7|H11|A11|N9|B|B	8
A3|D1|A5|H9|A8|N2|A|A	92
B10|E1|A10|H6|A11|N1|B|B	3
B8|E1|A10|H12|A11|N5|B|A	1
B9|E1|A3|H10|A11|N2|B|A	2
B10|E1|A11|H1|A11|N5|B|B	1
B9|E1|A10|H7|A11|N2|B|B	2
A4|D1|A5|H6|A8|N8|A|A	2
A3|D1|A7|H7|A8|N7|A|A	3
B10|E1|A7|H11|A11|N8|B|A	7
A3|D1|A4|H1|A8|N1|B|X	1
B2|A1|A1|H3|A3|N2|B|A	14
B5|E1|A10|H4|A11|N6|B|A	3
B9|E1|A3|H12|A11|N5|B|B	5
A3|D1|A12|H5|A8|N6|A|X	6
B10|E1|A3|H5|A11|N3|B|A	23
B8|E1|A10|H2|A11|N1|B|A	1
B9|E1|A11|H11|A11|N5|B|A	1
A5|D1|A12|H7|A8|N1|A|A	19
A3|D1|A12|H6|A8|N1|B|A	1
B10|E1|A10|H3|A11|N6|B|B	6
B10|E1|A10|H4|A11|N1|B|A	3
B8|E1|A8|H5|A11|N2|B|A	2
A3|D1|A12|H9|A8|N2|B|A	1
B9|E1|A3|H2|A8|N2|A|A	1
B5|E1|A3|H9|A11|N2|B|B	2
B3|E1|A11|H4|A11|N6|B|A	1
B4|E1|A11|H7|A11|N8|B|A	2
B8|E1|A11|H6|A11|N2|B|B	3
B8|E1|A10|H3|A11|N8|B|A	7
B2|E1|A1|H1|A2|N1|B2|A	84
B10|E1|A7|H11|A11|N6|B|A	1
B4|E1|A10|H6|A11|N1|B|A	6
B9|E1|A11|H9|A11|N5|B|A	2
B1|E1|A2|H1|A4|N9|B|B	1
B9|E1|A10|H5|A11|N1|B|A	7
A3|D1|A5|H3|A8|N8|A|A	6
B8|E1|A11|H6|A11|N9|B|A	1
B10|E1|A3|H5|A11|N2|B|B	11
A3|D1|A12|H6|A8|N9|A|A	1
B10|E1|A3|H3|A8|N8|B|B	59
B10|E1|A11|H6|A11|N5|B|A	2
B4|E1|A3|H4|A11|N6|B|B	3
A3|D1|A12|H6|A8|N5|A|B	2
B10|E1|A3|H7|A8|N1|B|A	1
A4|D1|A12|H9|A8|N2|B|A	4
B5|E1|A12|H1|A3|N1|B1|A	2
B10|E1|A3|H12|A11|N5|B|A	25
A2|E1|A7|H3|A7|N8|B|B	1
B8|E1|A3|H12|A11|N6|B|A	1
B10|E1|A10|H9|A11|N3|B|A	1
B9|E1|A3|H3|A11|N2|B|B	3
A3|D1|A12|H6|A8|N8|A|B	3
A3|D1|A5|H6|A8|N6|A|A	6
B6|C1|A7|H3|A3|N2|B1|X	85
B10|E1|A11|H1|A11|N1|B|A	40
B3|E1|A8|H6|A11|N3|B|A	5
B4|E1|A3|H6|A11|N7|A|A	1
A4|A1|A1|H9|A11|N2|B|A	1
A5|D1|A12|H2|A8|N5|B|A	1
A5|D1|A12|H3|A11|N6|B|A	1
A5|D1|A12|H4|A8|N6|A|A	189
A3|D1|A12|H8|A11|N4|A|A	3
A3|D1|A5|H10|A8|N2|A|A	1
A4|D1|A7|H9|A8|N2|A|A	2
A3|D1|A12|H11|A8|N9|A|B	8
A3|D1|A4|H3|A3|N2|A|X	1
B4|E1|A10|H7|A11|N8|B|B	1
B10|E1|A3|H4|A11|N5|B|A	1
B9|E1|A10|H9|A11|N1|B|A	1
B7|C1|A1|H1|A2|N1|B|A	1
B8|E1|A10|H2|A11|N8|A|A	1
A3|D1|A5|H3|A8|N2|A|A	16
B9|E1|A10|H1|A11|N9|B|A	16
A5|D1|A5|H7|A8|N3|A|B	1
A5|D1|A12|H7|A11|N5|A|B	1
A4|D1|A12|H5|A8|N9|A|A	1
B10|E1|A3|H9|A11|N5|B|A	1
A5|D1|A5|H6|A8|N2|A|A	11
B9|E1|A7|H1|A11|N9|B|A	5
B9|E1|A11|H1|A11|N5|B|A	2
B9|E1|A11|H6|A11|N4|B|A	1
B8|E1|A7|H5|A11|N2|B|A	5
B5|C1|A7|H1|A3|N2|B|X	9
A4|D1|A7|H3|A8|N8|A|B	2
B10|E1|A10|H12|A11|N1|B|A	4
A5|D1|A12|H1|A11|N1|A|B	3
A3|D1|A5|H4|A8|N6|A|A	13
B4|E1|A10|H4|A11|N6|B|B	21
B2|C1|A1|H3|A2|N1|B|A	2
B7|C1|A7|H3|A2|N2|B2|A	2
A3|E1|A3|H11|A11|N9|B|A	2
A5|D1|A12|H10|A11|N5|A|B	1
B7|C1|A7|H1|A2|N1|B|A	1
A3|D1|A5|H11|A8|N2|A|A	1
B10|E1|A6|H16|A7|N6|A|A	1
B9|E1|A3|H7|A11|N9|B|A	7
B9|E1|A7|H10|A11|N1|B|A	7
A3|D1|A5|H11|A8|N9|A|A	3
A5|D1|A5|H2|A8|N8|A|B	1
A3|D1|A12|H11|A11|N9|A|B	3
B4|E1|A3|H1|A11|N4|B|A	2
B9|E1|A3|H5|A11|N2|B|B	12
A5|E1|A12|H3|A11|N3|B|B	1
A3|D1|A5|H7|A8|N7|A|A	12
B9|E1|A10|H1|A11|N6|B|A	1
B10|E1|A11|H6|A11|N8|B|B	3
B10|E1|A12|H3|A8|N6|B|A	1
A5|D1|A12|H10|A8|N7|B|A	1
A3|D1|A12|H2|A8|N9|A|B	1
B10|E1|A12|H3|A11|N3|B|A	1
A3|D1|A12|H6|A8|N5|A|A	1
B9|E1|A10|H10|A11|N3|B|B	1
B1|E1|A2|H1|A5|N9|B|B	1
B9|E1|A7|H9|A11|N1|B|A	4
B9|E1|A11|H6|A11|N8|A|A	1
B9|E1|A3|H9|A11|N2|B|B	2
B10|E1|A10|H2|A11|N2|B|B	2
B5|E1|A11|H9|A11|N9|B|A	2
A3|D1|A12|H2|A11|N6|A|A	1
A4|D1|A12|H3|A8|N8|A|A	8
B1|E1|A2|H6|A4|N2|B|A	6
A4|D1|A5|H4|A8|N6|A|B	1
B8|E1|A12|H3|A11|N8|B|A	1
B10|E1|A10|H1|A11|N8|B|A	3
B10|E1|A3|H9|A11|N6|B|A	1
A5|D1|A12|H5|A6|N2|B|A	1
A2|D1|A12|H16|A7|N3|A|A	1
B8|E1|A11|H7|A11|N3|B|A	9
B4|E1|A10|H11|A11|N9|B|A	1
A3|D1|A5|H7|A8|N3|A|A	46
B6|C1|A7|H1|A3|N2|B1|X	36
A5|D1|A12|H4|A11|N2|A|A	1
A4|D1|A12|H6|A8|N6|A|A	81
B8|E1|A10|H5|A11|N3|A|A	1
B9|E1|A11|H3|A8|N8|B|B	2
A5|E1|A7|H3|A11|N6|B|B	1
A3|E1|A3|H1|A11|N9|B|A	1
A5|D1|A12|H10|A8|N1|A|A	26
A4|D1|A10|H3|A8|N2|A|A	2
B8|E1|A3|H9|A11|N1|B|B	1
B5|E1|A10|H4|A11|N2|B|A	1
B8|E1|A3|H7|A11|N4|B|A	3
B4|E1|A12|H4|A11|N6|B|A	2
B9|E1|A8|H11|A11|N9|B|A	4
A4|E1|A12|H6|A11|N1|A|A	1
B4|E1|A3|H6|A11|N2|A|A	1
B8|E1|A11|H5|A11|N2|B|A	1
B9|E1|A7|H3|A11|N5|B|A	1
B4|E1|A8|H11|A11|N2|A|A	2
B9|E1|A7|H4|A11|N6|B|A	19
B10|E1|A3|H4|A11|N8|B|B	28
B10|E1|A11|H4|A11|N8|B|B	28
A5|D1|A12|H2|A8|N9|A|A	13
B8|E1|A3|H11|A8|N2|B|A	1
B9|E1|A11|H4|A11|N2|B|B	5
B10|E1|A11|H2|A11|N2|B|B	10
A3|E1|A12|H5|A8|N2|B|A	1
B5|E1|A3|H6|A11|N1|B|A	2
B8|E1|A10|H4|A11|N6|B|B	3
A4|E1|A3|H1|A11|N9|B|A	9
B9|E1|A7|H4|A11|N6|B|B	4
A5|D1|A12|H7|A8|N4|A|A	1
B10|E1|A11|H5|A11|N9|B|A	1
B6|D1|A12|H3|A8|N2|A|A	1
B10|E1|A3|H3|A11|N6|B|A	16
B10|E1|A3|H2|A11|N1|B|A	1
A5|D1|A5|H9|A8|N2|A|B	1
B10|E1|A3|H11|A11|N2|B|B	1
A3|D1|A12|H7|A8|N1|A|A	5
A4|D1|A12|H10|A8|N4|A|A	3
A5|D1|A12|H1|A8|N6|A|A	1
B9|E1|A11|H11|A11|N2|B|A	3
B4|E1|A11|H3|A11|N6|B|A	1
B10|E1|A7|H13|A11|N2|B|A	1
B10|E1|A7|H12|A11|N2|B|A	1
B1|E1|A2|H10|A4|N1|B|A	1
B10|E1|A3|H11|A11|N5|B|A	3
B9|E1|A3|H5|A11|N1|B|B	1
B10|E1|A12|H4|A11|N8|B|A	1
B1|E1|A2|H4|A4|N2|B|A	2
A5|E1|A12|H5|A8|N6|A|A	15
B9|E1|A10|H5|A11|N3|B|B	2
B8|E1|A7|H3|A11|N5|B|A	1
B10|E1|A7|H11|A11|N3|B|A	1
B9|E1|A11|H6|A11|N8|B|A	3
B9|E1|A3|H3|A11|N3|B|A	4
B9|E1|A3|H11|A11|N9|B|A	24
A3|D1|A12|H7|A8|N3|A|B	4
A3|D1|A7|H6|A8|N2|A|A	1
B9|E1|A11|H3|A11|N7|B|B	1
B9|E1|A11|H6|A11|N2|B|A	14
B9|E1|A3|H11|A11|N2|B|A	13
B10|E1|A3|H8|A11|N4|B|A	17
A5|D1|A12|H6|A8|N1|A|A	24
B10|E1|A11|H7|A11|N9|B|A	3
B10|E1|A10|H7|A11|N3|B|A	6
B10|E1|A3|H12|A11|N7|B|A	1
B10|E1|A11|H7|A11|N1|B|B	2
B9|E1|A3|H4|A11|N2|B|A	10
A3|D1|A7|H12|A8|N5|A|A	1
B10|E1|A10|H5|A11|N1|B|A	8
B5|E1|A10|H11|A11|N3|B|B	1
B10|E1|A7|H9|A11|N2|B|B	1
A4|D1|A12|H5|A11|N9|A|A	1
B9|E1|A3|H11|A11|N8|B|A	3
A5|D1|A12|H3|A8|N6|A|B	6
A5|D1|A5|H7|A8|N9|A|A	400
B10|E1|A3|H1|A11|N5|B|A	1
B8|E1|A10|H12|A11|N5|B|B	1
B10|E1|A11|H7|A11|N8|B|B	12
B10|E1|A11|H4|A11|N6|B|A	207
A3|D1|A12|H4|A11|N9|A|A	1
B5|E1|A3|H1|A11|N5|B|A	2
B9|E1|A3|H12|A11|N6|B|A	1
B8|E1|A7|H2|A11|N3|B|A	10
B10|E1|A3|H4|A11|N9|B|B	5
B8|E1|A7|H4|A11|N1|B|B	1
B9|E1|A11|H12|A8|N8|B|B	1
B9|E1|A3|H5|A11|N3|B|B	10
A5|E1|A7|H3|A11|N6|B|A	1
B10|E1|A11|H4|A11|N1|B|A	2
B5|E1|A8|H5|A11|N2|B|B	1
B4|E1|A7|H7|A11|N3|B|A	3
A5|D1|A12|H7|A8|N3|A|A	57
B1|E1|A2|H3|A4|N6|B|A	1
B2|A1|A1|H3|A2|N2|B2|A	1
B10|E1|A10|H2|A11|N3|B|A	4
A3|D1|A5|H10|A8|N8|A|A	5
B9|E1|A11|H4|A11|N6|B|A	67
A3|E1|A12|H9|A8|N2|A|A	1
A3|D1|A7|H9|A8|N6|A|A	1
B9|E1|A11|H1|A11|N6|B|A	1
B10|E1|A3|H12|A11|N4|B|A	4
A3|D1|A7|H11|A8|N9|A|B	1
B10|E1|A3|H6|A11|N2|B|B	12
A4|E1|A3|H7|A11|N1|B|A	1
B9|E1|A10|H5|A11|N3|B|A	3
B4|E1|A8|H3|A11|N6|B|B	1
B9|E1|A3|H12|A8|N5|B|A	1
B3|E1|A10|H4|A11|N9|B|A	2
A3|D1|A7|H9|A8|N2|A|A	2
B9|E1|A3|H3|A5|N8|B|A	1
A2|D1|A12|H2|A7|N3|A|A	1
B9|E1|A10|H6|A11|N2|B|B	3
B4|E1|A3|H4|A11|N2|B|A	2
B10|E1|A12|H3|A11|N8|A|A	1
B10|E1|A3|H4|A11|N6|B|B	71
A5|D1|A12|H5|A8|N2|A|A	253
A3|B1|A12|H7|A9|N7|A|A	1
A3|D1|A5|H3|A8|N6|A|A	5
B9|E1|A11|H12|A11|N8|B|A	1
B5|D1|A1|H1|A3|N1|B1|X	8
A3|D1|A7|H3|A11|N8|A|A	1
B9|E1|A12|H3|A11|N3|B|A	1
B10|E1|A3|H2|A11|N9|B|A	5
A5|D1|A12|H15|A8|N9|A|A	2
B9|E1|A10|H6|A11|N8|B|B	1
B10|E1|A12|H5|A11|N5|B|B	1
B1|E1|A2|H4|A5|N2|B|A	2
A3|D1|A12|H12|A11|N5|A|A	1
B4|E1|A3|H6|A11|N8|A|A	2
B3|E1|A10|H11|A11|N9|A|A	2
B2|C1|A7|H1|A3|N1|B|A	2
B4|E1|A3|H4|A11|N8|B|B	5
A4|E1|A3|H1|A11|N9|A|A	1
B9|E1|A12|H2|A11|N3|B|A	9
A5|D1|A12|H11|A8|N1|A|A	5
B10|E1|A7|H1|A11|N6|B|A	1
B10|E1|A7|H4|A11|N4|B|A	15
A3|D1|A5|H3|A8|N3|A|A	5
B3|E1|A8|H11|A11|N9|B|A	1
A3|D1|A12|H4|A8|N4|A|B	1
B1|E1|A10|H6|A4|N1|B|A	6
B10|E1|A3|H4|A11|N8|B|A	51
A5|D1|A12|H10|A8|N7|A|B	4
A4|D1|A12|H6|A8|N2|A|A	22
B8|E1|A10|H4|A11|N2|B|B	4
B3|E1|A8|H4|A11|N6|B|A	1
B4|E1|A11|H1|A11|N8|B|A	1
B2|C1|A1|H1|A2|N2|B2|A	33
B10|E1|A3|H3|A8|N2|B|A	9
B10|E1|A3|H8|A8|N4|B|A	1
A5|E1|A3|H5|A8|N2|B|B	1
B4|E1|A3|H3|A11|N2|A|A	2
A5|D1|A12|H3|A8|N2|A|B	12
A3|D1|A12|H4|A11|N6|A|A	2
B10|E1|A11|H11|A11|N1|B|A	1
B10|E1|A10|H11|A11|N2|B|B	3
B10|E1|A11|H10|A8|N6|B|B	1
B9|E1|A3|H4|A11|N9|B|B	1
B4|E1|A3|H8|A11|N4|B|A	3
A4|D1|A5|H6|A8|N9|A|A	2
B2|C1|A7|H1|A3|N1|B2|A	2
B4|E1|A3|H10|A11|N3|B|A	1
B9|E1|A7|H4|A11|N2|B|B	2
A3|D1|A12|H4|A11|N1|A|A	1
B2|A1|A1|H3|A2|N1|B2|A	2
B7|C1|A1|H1|A2|N1|B2|A	2
B4|E1|A11|H10|A11|N1|B|A	2
B10|E1|A11|H9|A11|N2|B|A	8
A3|D1|A12|H9|A11|N2|A|B	1
A4|E1|A12|H11|A11|N9|A|A	1
B3|E1|A3|H6|A11|N1|B|A	1
B9|E1|A7|H4|A11|N9|B|A	1
B9|E1|A10|H7|A11|N7|B|A	1
B9|E1|A7|H7|A11|N8|B|A	1
B10|E1|A12|H3|A11|N9|B|A	5
B5|E1|A7|H3|A11|N2|B|A	2
A3|D1|A5|H10|A8|N3|A|A	3
B9|E1|A11|H1|A11|N2|B|A	2
B9|E1|A12|H1|A3|N1|B|A	2
B10|E1|A7|H4|A11|N1|B|B	1
A5|D1|A12|H6|A8|N1|A|B	14
A5|D1|A12|H6|A8|N5|A|B	7
B5|E1|A11|H6|A11|N3|B|A	1
B4|E1|A10|H4|A8|N6|A|B	1
B3|E1|A12|H4|A11|N2|B|A	1
B10|E1|A11|H3|A11|N1|B|B	2
B10|E1|A3|H4|A11|N3|B|A	1
B8|E1|A11|H6|A11|N8|A|A	1
B9|E1|A3|H10|A11|N8|B|A	5
A3|D1|A12|H3|A8|N8|A|A	28
B4|E1|A7|H7|A11|N6|B|B	1
A3|D1|A4|H1|A11|N2|A|A	98
