strain_id	complete	seq_count	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession	segment_1_counts	segment_2_counts	segment_3_counts	segment_4_counts	segment_5_counts	segment_6_counts	segment_7_counts
C/Miyagi/42/2004	TRUE	7	2004	-	-	Homo sapiens	-	Japan	Miyagi	LC123340	LC123442	LC123544	AB252157	LC123773	LC123838	LC125002	1	1	1	1	1	1	1
C/Miyagi/11/2002	TRUE	7	2002	-	-	Homo sapiens	-	Japan	Miyagi	LC123328	LC123430	LC123532	LC122640	LC123762	LC123826	LC124990	1	1	1	1	1	1	1
C/Scotland/6855/2007	TRUE	7	2007	-	-	Homo sapiens	respiratory sample	United Kingdom	NULL	KT835343	KT835338	KT835348	KT835351	KT835360	KT835361	KT835370	1	1	1	1	1	1	1
C/Singapore/DSO-070203/2006	TRUE	7	2006	DEC	4	Homo sapiens	-	Singapore	NULL	JX963129	JX963125	JX963121	GQ853452	JX963113	JX963109	JX963117	1	1	1	1	1	1	1
C/Eastern India/1202/2011	TRUE	7	2011	JUL	15	Homo sapiens	-	India	NULL	JX947865	JX947864	JX947863	JX947861	JX947862	JX947866	JX947867	1	1	1	1	1	1	1
C/Yamagata/13/2006	TRUE	7	2006	-	-	Homo sapiens	-	Japan	Yamagata	LC123351	LC123453	LC123555	LC122657	LC123783	LC123849	LC125013	1	1	1	1	1	1	1
C/Biliran/TB2-162/2014	TRUE	7	2014	JUN	25	Homo sapiens	nasal swab	Philippines	Biliran	MZ330887	MZ330886	MZ330885	MZ330881	MZ330883	MZ330882	MZ330884	1	1	1	1	1	1	1
C/Yamagata/1/2006	TRUE	7	2006	-	-	Homo sapiens	-	Japan	Yamagata	LC123349	LC123451	LC123553	LC122655	LC123781	LC123847	LC125011	1	1	1	1	1	1	1
C/Fukuoka/2/2006	TRUE	7	2006	-	-	Homo sapiens	-	Japan	Fukuoka	LC123348	LC123450	LC123552	LC122654	LC123780	LC123846	LC125010	1	1	1	1	1	1	1
C/Vietnam/1290/2014	TRUE	7	2014	APR	16	Homo sapiens	nasopharyngeal swab	Viet Nam	NULL	MH828694	MH828693	MH828692	MH828688	MH828690	MH828689	MH828691	1	1	1	1	1	1	1
C/Biliran/TB5-536/2016	TRUE	7	2016	JUL	18	Homo sapiens	nasal swab	Philippines	Biliran	MZ330978	MZ330977	MZ330976	MZ330972	MZ330974	MZ330973	MZ330975	1	1	1	1	1	1	1
C/Miyagi/4/2005	TRUE	7	2005	-	-	Homo sapiens	-	Japan	Miyagi	LC123346	LC123448	LC123550	LC122652	LC123778	LC123844	LC125008	1	1	1	1	1	1	1
C/Yamagata/28/2012	TRUE	7	2012	-	-	Homo sapiens	-	Japan	Yamagata	LC123369	LC123471	LC123573	LC122671	LC123799	LC123867	LC125031	1	1	1	1	1	1	1
C/Miyagi/20/2002	TRUE	7	2002	-	-	Homo sapiens	-	Japan	Miyagi	LC123329	LC123431	LC123533	LC122641	LC123763	LC123827	LC124991	1	1	1	1	1	1	1
C/Seoul/APD462/2015	TRUE	7	2015	APR	11	Homo sapiens	-	South Korea	NULL	MK050104	MK050103	MK050102	MK050092	MK050100	MK050101	MK050096	1	1	1	1	1	1	1
C/Miyagi/3/2010	TRUE	7	2010	-	-	Homo sapiens	-	Japan	Miyagi	LC123362	LC123464	LC123566	LC122665	LC123792	LC123860	LC125024	1	1	1	1	1	1	1
C/Bovine/Montana/12/2016	TRUE	8	2016	NOV	18	Bos taurus	sick calve's nasal swab	USA	Montana	MH348113	MH348114	MH348115	MH348116	MH348117	MH348118	MH348119	1	1	1	1	1	2	1
C/Miyagi/5/2014	TRUE	7	2014	-	-	Homo sapiens	-	Japan	Miyagi	LC123381	LC123483	LC123585	LC122675	LC123811	LC123879	LC125043	1	1	1	1	1	1	1
C/Miyagi/47/2004	TRUE	7	2004	-	-	Homo sapiens	-	Japan	Miyagi	LC123341	LC123443	LC123545	LC122647	LC123774	LC123839	LC125003	1	1	1	1	1	1	1
C/Miyagi/2/2005	TRUE	7	2005	-	-	Homo sapiens	-	Japan	Miyagi	LC123345	LC123447	LC123549	LC122651	LC123777	LC123843	LC125007	1	1	1	1	1	1	1
C/Tokyo/3/2010	TRUE	7	2010	-	-	Homo sapiens	-	Japan	Tokyo	LC123363	LC123465	LC123567	LC122666	LC123793	LC123861	LC125025	1	1	1	1	1	1	1
C/Scotland/7383/2007	TRUE	7	2007	-	-	Homo sapiens	respiratory sample	United Kingdom	NULL	KT835341	KT835337	KT835346	KT835353	KT835356	KT835364	KT835368	1	1	1	1	1	1	1
C/Yamagata/3/2005	TRUE	7	2005	SEP	7	Homo sapiens	-	Japan	Yamagata	LC123344	LC123446	LC123548	LC122650	AB684314	LC123842	LC125006	1	1	1	1	1	1	1
C/Yamagata/2/2005	TRUE	7	2005	-	-	Homo sapiens	-	Japan	Yamagata	LC123343	LC123445	LC123547	LC122649	LC123776	LC123841	LC125005	1	1	1	1	1	1	1
C/Miyagi/6/2014	TRUE	7	2014	-	-	Homo sapiens	-	Japan	Miyagi	LC123382	LC123484	LC123586	LC122676	LC123812	LC123880	LC125044	1	1	1	1	1	1	1
C/Miyagi/28/2002	TRUE	7	2002	-	-	Homo sapiens	-	Japan	Miyagi	LC123330	LC123432	LC123534	LC122642	LC123764	LC123828	LC124992	1	1	1	1	1	1	1
C/Fukuoka/1/2012	TRUE	7	2012	-	-	Homo sapiens	-	Japan	Fukuoka	LC123372	LC123474	LC123576	LC122673	LC123802	LC123870	LC125034	1	1	1	1	1	1	1
C/Great Lakes/1167/1954	TRUE	7	1954	-	-	Homo sapiens	-	USA	NULL	LC123284	LC123386	LC123488	LC122633	LC123723	LC123815	LC124978	1	1	1	1	1	1	1
C/Palawan/061/2015	TRUE	7	2015	JUL	3	Homo sapiens	nasal swab	Philippines	Palawan	MZ331006	MZ331005	MZ331004	MZ331000	MZ331002	MZ331001	MZ331003	1	1	1	1	1	1	1
C/Iwate/1/2016	TRUE	7	2016	-	-	Homo sapiens	-	Japan	Iwate	LC327652	LC327653	LC327654	LC327655	LC327656	LC327657	LC327658	1	1	1	1	1	1	1
C/Yamagata/1/2012	TRUE	7	2012	-	-	Homo sapiens	-	Japan	Yamagata	LC123364	LC123466	LC123568	LC122667	LC123794	LC123862	LC125026	1	1	1	1	1	1	1
C/Yamagata/16/2008	TRUE	7	2008	-	-	Homo sapiens	-	Japan	Yamagata	LC123358	LC123460	LC123562	LC122663	LC123789	LC123856	LC125020	1	1	1	1	1	1	1
C/Ann Arbor/1/50	TRUE	18	1950	-	-	Homo sapiens	-	USA	NULL	AB126191	AB126192	NC_006309	NC_006310	NC_006311	AB126196	M15088	2	2	2	3	2	2	3
C/Nara/2/85	TRUE	15	-	-	-	Homo sapiens	-	-	NULL	D30700	D78400	D78398	D30697	D78440	D78424	D78441	2	2	2	1	2	3	2
C/Biliran/TB2-293/2014	TRUE	7	2014	OCT	2	Homo sapiens	nasal swab	Philippines	Biliran	MZ330908	MZ330907	MZ330906	MZ330902	MZ330904	MZ330903	MZ330905	1	1	1	1	1	1	1
C/Biliran/TB5-736/2016	TRUE	7	2016	OCT	5	Homo sapiens	nasal swab	Philippines	Biliran	MZ330992	MZ330991	MZ330990	MZ330986	MZ330988	MZ330987	MZ330989	1	1	1	1	1	1	1
C/Biliran/TB5-625/2016	TRUE	7	2016	AUG	23	Homo sapiens	nasal swab	Philippines	Biliran	MZ330985	MZ330984	MZ330983	MZ330979	MZ330981	MZ330980	MZ330982	1	1	1	1	1	1	1
C/Yamagata/9/2006	TRUE	7	2006	-	-	Homo sapiens	-	Japan	Yamagata	LC123350	LC123452	LC123554	LC122656	LC123782	LC123848	LC125012	1	1	1	1	1	1	1
C/Yamagata/14/2012	TRUE	7	2012	-	-	Homo sapiens	-	Japan	Yamagata	LC123368	LC123470	LC123572	LC122670	LC123798	LC123866	LC125030	1	1	1	1	1	1	1
C/Yamagata/5/2002	TRUE	7	2002	-	-	Homo sapiens	-	Japan	Yamagata	LC123325	LC123427	LC123529	LC122638	LC123760	LC123823	LC124987	1	1	1	1	1	1	1
C/Fukushima/O181/2018	TRUE	7	2018	-	-	Homo sapiens	nasopharyngea swab using HBTEC-ALI culture	Japan	Fukushima	LC720290	LC720289	LC720291	LC720285	LC720287	LC720286	LC720288	1	1	1	1	1	1	1
C/Miyagi/2/2008	TRUE	7	2008	-	-	Homo sapiens	-	Japan	Miyagi	LC123360	LC123462	LC123564	LC122664	LC123791	LC123858	LC125022	1	1	1	1	1	1	1
C/Biliran/TB5-241/2014	TRUE	7	2014	JUN	20	Homo sapiens	nasal swab	Philippines	Biliran	MZ330957	MZ330956	MZ330955	MZ330951	MZ330953	MZ330952	MZ330954	1	1	1	1	1	1	1
C/Fukuoka/1/2005	TRUE	7	2005	-	-	Homo sapiens	-	Japan	Fukuoka	LC123347	LC123449	LC123551	LC122653	LC123779	LC123845	LC125009	1	1	1	1	1	1	1
C/Palawan/068/2014	TRUE	7	2014	MAR	18	Homo sapiens	nasal swab	Philippines	Palawan	MZ331013	MZ331012	MZ331011	MZ331007	MZ331009	MZ331008	MZ331010	1	1	1	1	1	1	1
C/Yamagata/18/2004	TRUE	7	2004	-	-	Homo sapiens	-	Japan	Yamagata	LC123335	LC123437	LC123539	LC122644	LC123768	LC123833	LC124997	1	1	1	1	1	1	1
C/Biliran/TB4-271/2019	TRUE	7	2019	JUL	8	Homo sapiens	nasal swab	Philippines	Biliran	MZ330943	MZ330942	MZ330941	MZ330937	MZ330939	MZ330938	MZ330940	1	1	1	1	1	1	1
