isolate	gb_serotype	rec_serotype	mlca_serotype	genome_lineage	iso_year	iso_month	iso_day	origin_type	iso_host	sample_type	iso_country	iso_place_name	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession
C/Miyagi/1/93	-	-	Mississippi	-|-|-|Mississippi|-|-|-	1993	-	-	host	Homo sapiens	-	Japan	-	LC123315	LC123417	LC123519	AB064407	LC123751	AB086767	AB086790
C/Miyagi/4/2000	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB099439	AB099464	AB099538	AB099418	AB099563	AB099587	AB099611
C/Yamagata/33/2014	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2014	-	-	host	Homo sapiens	-	Japan	-	LC123378	LC123480	LC123582	LC013260	LC123808	LC123876	LC125040
C/Saitama/3/2000	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	-	-	-	host	-	-	-	-	AB099443	AB099468	AB099542	AB099422	AB099567	AB099591	AB099615
C/Miyagi/3/94	-	-	Mississippi	-|-|-|Mississippi|-|-|-	-	-	-	host	-	-	-	-	AB086687	AB086715	AB064463	AB064414	AB064484	AB086776	AB086799
C/Yamagata/32/2014	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2014	-	-	host	Homo sapiens	-	Japan	-	LC123377	LC123479	LC123581	LC013259	LC123807	LC123875	LC125039
C/Leyte/1/2013	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2013	-	-	host	Homo sapiens	-	Philippines	-	AB979716	AB980274	AB981331	AB978563	AB981434	AB982143	AB985628
C/Miyagi/3/2018	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2018	-	-	host	Homo sapiens	-	Japan	-	LC739916	LC739929	LC739942	LC739901	LC739955	LC739968	LC739981
C/Yamagata/2/2010	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2010	FEB	9	host	Homo sapiens	-	Japan	-	LC123361	LC123463	LC123565	AB899780	AB684316	LC123859	LC125023
C/Miyagi/2/94	-	-	Mississippi	-|-|-|Mississippi|-|-|-	-	-	-	host	-	-	-	-	AB086686	AB086714	AB064462	AB064413	AB064483	AB086775	AB086798
C/Yamagata/20/96	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB064420	AB064428	AB064451	AB064400	AB064472	AB064435	AB064442
C/Miyagi/1/99	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB086697	AB086725	AB086742	AB086668	AB086759	AB086786	AB086809
C/Yamagata/29/2012	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2012	-	-	host	Homo sapiens	-	Japan	-	LC123370	LC123472	LC123574	AB899782	LC123800	LC123868	LC125032
C/Miyagi/6/93	-	-	Mississippi	-|-|-|Mississippi|-|-|-	-	-	-	host	-	-	-	-	AB086683	AB086711	AB064459	AB064410	AB064480	AB086772	AB086795
C/Yamagata/10/89	-	-	Yamagata	-|-|-|Yamagata|-|-|-	1989	-	-	host	Homo sapiens	-	Japan	-	LC123310	LC123412	LC123514	D49361	LC123746	AB000613	AB034175
C/Kansas/1/79	-	-	Aichi	-|-|-|Aichi|-|-|-	1979	-	-	host	Homo sapiens	-	USA	-	LC123295	LC123397	LC123499	AB035360	LC123732	AB099601	AB099626
C/Yamagata/2/99	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB099431	AB099456	AB099530	AB099410	AB099555	AB099579	AB099603
C/Sendai/TU3/2008	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2008	-	-	host	Homo sapiens	-	Japan	-	AB979709	AB980267	AB981327	AB978555	AB981427	AB982136	AB985621
C/Leyte/3/2013	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2013	-	-	host	Homo sapiens	-	Philippines	-	AB979718	AB980276	AB981333	AB978565	AB981436	AB982145	AB985630
C/Shizuoka/79	-	-	Yamagata	-|-|-|Yamagata|-|-|-	1979	-	-	host	Homo sapiens	-	Japan	-	LC123298	LC123400	LC123502	AB086656	LC123734	AB086761	AB086788
C/Sao Paulo/378/82	-	-	-	-|-|-|-|-|-|-	1982	-	-	host	Homo sapiens	-	Brazil	-	LC123305	LC123407	LC123509	AB035364	LC123741	AB035372	AB035366
C/canine/China/Guangzhou-1/2020	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2020	-	-	host	Canis familiaris	swab	China	-	OQ030191	OQ030190	OQ030189	OQ030185	OQ030187	OK254889	OQ030188
C/Miyagi/2/2000	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	-	-	-	host	-	-	-	-	AB099437	AB099462	AB099536	AB099416	AB099561	AB099585	AB099609
C/Miyagi/1/2018	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2018	-	-	host	Homo sapiens	-	Japan	-	LC739915	LC739928	LC739941	LC739899	LC739954	LC739967	LC739980
C/Saitama/2/2000	-	-	Mississippi	-|-|-|Mississippi|-|-|-	-	-	-	host	-	-	-	-	AB099442	AB099467	AB099541	AB099421	AB099566	AB099590	AB099614
C/Leyte/1/2011	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2011	-	-	host	Homo sapiens	-	Philippines	-	AB979704	AB980262	AB981322	AB978548	AB981422	AB982131	AB985616
C/Yamagata/13/2014	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	2014	-	-	host	Homo sapiens	-	Japan	-	LC123374	LC123476	LC123578	LC013254	LC123804	LC123872	LC125036
C/Miyagi/1/94	-	-	Mississippi	-|-|-|Mississippi|-|-|-	-	-	-	host	-	-	-	-	AB086685	AB086713	AB064461	AB064412	AB064482	AB086774	AB086797
C/Yamagata/15/2004	-	-	Yamagata	-|-|-|Yamagata|-|-|-	2004	MAY	11	host	Homo sapiens	-	Japan	-	LC123334	LC123436	LC123538	LC385859	AB684313	LC123832	LC124996
C/Yamagata/1/86	-	-	Aichi	-|-|-|Aichi|-|-|-	-	-	-	host	Homo sapiens	-	-	-	AB086674	AB086702	AB086731	AB086657	AB086748	AB000611	AB034170
C/Yamagata/4/2012	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	2012	-	-	host	Homo sapiens	-	Japan	-	LC123366	LC123468	LC123570	AB899781	LC123796	LC123864	LC125028
C/Miyagi/3/93	-	-	Mississippi	-|-|-|Mississippi|-|-|-	1993	-	-	host	Homo sapiens	-	Japan	-	LC123316	LC123418	LC123520	AB064408	LC123752	AB086769	AB086792
C/Yamagata/6/2014	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2014	-	-	host	Homo sapiens	-	Japan	-	LC123373	LC123475	LC123577	LC013253	LC123803	LC123871	LC125035
C/Miyagi/1/2016	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2016	-	-	host	Homo sapiens	-	Japan	-	LC739913	LC739926	LC739939	LC739891	LC739952	LC739965	LC739978
C/Miyagi/10/2010	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2010	-	-	host	Homo sapiens	-	Japan	-	LC739907	LC739920	LC739933	LC739874	LC739946	LC739959	LC739972
C/Sri Lanka/68/2023	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2023	-	-	host	Homo sapiens	Nasopharyngeal swab of a child	Sri Lanka	-	PQ044620	PQ044621	PQ044622	PQ044623	PQ044624	PQ044625	PQ044626
C/canine/China/Guangzhou-2/2020	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2020	-	-	host	Canis familiaris	swab	China	-	OQ030198	OQ030197	OQ030196	OQ030192	OQ030194	OQ030193	OQ030195
C/Yamagata/7/81	-	-	Yamagata	-|-|-|Yamagata|-|-|-	1981	-	-	host	Homo sapiens	-	Japan	-	LC123301	LC123403	LC123505	AB899775	LC123737	LC123819	LC124983
C/Miyagi/7/93	-	-	Mississippi	-|-|-|Mississippi|-|-|-	1993	-	-	host	Homo sapiens	-	Japan	-	LC123317	LC123419	LC123521	AB064411	LC123753	AB086773	AB086796
C/Miyagi/4/93	-	-	Mississippi	-|-|-|Mississippi|-|-|-	-	-	-	host	-	-	-	-	AB086681	AB086709	AB064458	AB064409	AB064479	AB086770	AB086793
C/Hiroshima/248/2000	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	Japan	-	AB099449	AB099474	AB099548	AB099428	AB099573	AB099597	AB099621
C/Yamagata/14/2004	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	2004	-	-	host	Homo sapiens	-	Japan	-	LC123333	LC123435	LC123537	AB899779	LC123767	LC123831	LC124995
C/Yamagata/5/92	-	-	Mississippi	-|-|-|Mississippi|-|-|-	1992	-	-	host	Homo sapiens	-	Japan	-	LC123313	LC123415	LC123517	D78433	LC123749	LC123822	AB034181
C/Yamagata/35/2014	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	2014	-	-	host	Homo sapiens	-	Japan	-	LC123379	LC123481	LC123583	LC013261	LC123809	LC123877	LC125041
C/Yamagata/6/2000	-	-	Yamagata	-|-|-|Yamagata|-|-|-	2000	-	-	host	Homo sapiens	-	Japan	-	LC123324	LC123426	LC123528	AB099414	LC123759	AB099583	AB099607
C/Yamagata/18/2008	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2008	-	-	host	Homo sapiens	-	Japan	-	LC123359	LC123461	LC123563	LC013263	LC123790	LC123857	LC125021
C/Miyagi/1/2011	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2011	-	-	host	Homo sapiens	-	Japan	-	LC739908	LC739921	LC739934	LC739875	LC739947	LC739960	LC739973
C/Hiroshima/246/2000	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	-	-	-	host	-	-	Japan	-	AB099447	AB099472	AB099546	AB099426	AB099571	AB099595	AB099619
C/Leyte/2/2011	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2011	-	-	host	Homo sapiens	-	Philippines	-	AB979705	AB980263	AB981323	AB978549	AB981423	AB982132	AB985617
C/Miyagi/6/96	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB086690	AB086718	AB086737	AB086663	AB086754	AB086779	AB086802
C/Yamagata/7/88	-	-	Yamagata	-|-|-|Yamagata|-|-|-	1988	-	-	host	Homo sapiens	-	Japan	-	LC123308	LC123410	LC123512	D28967	LC123744	AB086762	AB034172
C/Georgia/1/69	-	-	-	-|-|-|-|-|-|-	1969	-	-	host	Homo sapiens	-	USA	-	LC123288	LC123390	LC123492	AB035359	LC123726	LC123818	LC124981
C/Kyoto/1/79	-	-	Yamagata	-|-|-|Yamagata|-|-|-	1979	-	-	host	Homo sapiens	-	Japan	-	LC123297	LC123399	LC123501	D63472	LC123733	AB000609	AB034161
C/Sapporo/71	-	-	Yamagata	-|-|-|Yamagata|-|-|-	1971	-	-	host	Homo sapiens	-	Japan	-	LC123289	LC123391	LC123493	D63468	LC123727	AB000605	AB034157
C/China/Taian062/2020	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2020	OCT	24	host	Homo sapiens	oropharyngeal swab	China	-	OQ733373	OQ733368	OQ733374	OQ733370	OQ733372	OQ733371	OQ733369
C/Yamagata/3/96	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB064417	AB064425	AB064448	AB064397	AB064469	AB064432	AB064439
C/Miyagi/9/96	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	1996	-	-	host	Homo sapiens	-	Japan	-	LC123319	LC123421	LC123523	AB086664	LC123755	AB086782	AB086805
C/Miyagi/7/96	-	-	Mississippi	-|-|-|Mississippi|-|-|-	-	-	-	host	-	-	-	-	AB086691	AB086719	AB064465	AB064405	AB064486	AB086780	AB086803
C/Miyagi/3/91	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	D87369	D87373	D87377	D87393	D87381	D87385	D87389
C/Yamagata/3/2000	-	-	Mississippi	-|-|-|Mississippi|-|-|-	2000	FEB	2	host	Homo sapiens	-	Japan	-	LC123323	LC123425	LC123527	AB099413	AB684311	AB099582	AB099606
C/Miyagi/4/96	-	-	Mississippi	-|-|-|Mississippi|-|-|-	-	-	-	host	-	-	-	-	AB086689	AB086717	AB064464	AB064404	AB064485	AB086778	AB086801
C/Miyagi/1/2014	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2014	-	-	host	Homo sapiens	-	Japan	-	LC739910	LC739923	LC739936	LC739887	LC739949	LC739962	LC739975
C/China/Taian106/2020	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2020	OCT	22	host	Homo sapiens	oropharyngeal swab	China	-	OQ733379	OQ733378	OQ733377	OQ733382	OQ733381	OQ733376	OQ733380
C/Miyagi/4/98	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB086696	AB086724	AB086741	AB086667	AB086758	AB086785	AB086808
C/Biliran/1/2013	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2013	-	-	host	Homo sapiens	-	Philippines	-	AB979713	AB980271	AB981334	AB978560	AB981431	AB982140	AB985625
C/Miyagi/7/91	-	-	Aichi	-|-|-|Aichi|-|-|-	-	-	-	host	-	-	-	-	AB086677	AB086705	AB086734	AB086660	AB086751	AB086765	AB034179
C/Miyagi/9/91	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	Homo sapiens	-	-	-	D87370	D87374	D87378	D87394	D87382	AB000614	AB034180
C/Miyagi/5/91	-	-	Aichi	-|-|-|Aichi|-|-|-	1991	-	-	host	Homo sapiens	-	Japan	-	LC123311	LC123413	LC123515	AB086659	LC123747	AB086764	AB034178
C/Yamagata/9/88	-	-	Aichi	-|-|-|Aichi|-|-|-	1988	-	-	host	Homo sapiens	-	Japan	-	LC123309	LC123411	LC123513	D28969	LC123745	AB000728	AB034173
C/Yamagata/6/98	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB064422	AB064430	AB064453	AB064402	AB064474	AB064437	AB064444
C/Hiroshima/250/2000	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	-	-	-	host	-	-	Japan	-	AB099450	AB099475	AB099549	AB099429	AB099574	AB099598	AB099622
C/Hiroshima/247/2000	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	Japan	-	AB099448	AB099473	AB099547	AB093474	AB099572	AB099596	AB099620
C/Biliran/3/2013	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2013	-	-	host	Homo sapiens	-	Philippines	-	AB979715	AB980273	AB981336	AB978562	AB981433	AB982142	AB985627
C/Yamagata/16/2014	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	2014	-	-	host	Homo sapiens	-	Japan	-	LC123375	LC123477	LC123579	LC013257	LC123805	LC123873	LC125037
C/Johannesburg/4/67	-	-	-	-|-|-|-|-|-|-	1967	-	-	host	Homo sapiens	-	South Africa	-	LC123286	LC123388	LC123490	AB035358	AB684308	LC123816	AB034156
C/Yamagata/14/2006	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2006	-	-	host	Homo sapiens	-	Japan	-	LC123352	LC123454	LC123556	LC013262	LC123784	LC123850	LC125014
C/Miyagi/2/98	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB086695	AB086723	AB086740	AB086666	AB086757	AB086784	AB086807
C/Hiroshima/252/99	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB099445	AB099470	AB099544	AB099424	AB099569	AB099593	AB099617
C/Hiroshima/251/2000	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	-	-	-	host	-	-	Japan	-	AB099451	AB099476	AB099550	AB093478	AB099575	AB099599	AB099623
C/Sendai/TU2/2012	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2012	-	-	host	Homo sapiens	-	Japan	-	AB979712	AB980270	AB981330	AB978559	AB981430	AB982139	AB985624
C/Miyagi/2/96	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB086688	AB086716	AB086736	AB086662	AB086753	AB086777	AB086800
C/Yamagata/1/93	-	-	-	-|-|-|-|-|-|-	1993	-	-	host	Homo sapiens	-	Japan	-	LC123314	LC123416	LC123518	AB035365	LC123750	AB035373	AB035367
C/Connecticut/UNK154/2017	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2017	-	-	host	Homo sapiens	nasopharyngeal swab	USA	-	OK625709	OK625708	OK625707	OK625710	OK625712	OK625706	OK625711
C/Sendai/TU2/2008	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2008	-	-	host	Homo sapiens	-	Japan	-	AB979708	AB980266	AB981326	AB978554	AB981426	AB982135	AB985620
C/Miyagi/1/2020	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2020	-	-	host	Homo sapiens	-	Japan	-	LC739919	LC739932	LC739945	LC739906	LC739958	LC739971	LC739984
C/Miyagi/1/97	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB086694	AB086722	AB086739	AB086665	AB086756	AB086783	AB086806
C/Leyte/2/2013	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2013	-	-	host	Homo sapiens	-	Philippines	-	AB979717	AB980275	AB981332	AB978564	AB981435	AB982144	AB985629
C/Hiroshima/249/2000	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	Japan	-	AB099446	AB099471	AB099545	AB093476	AB099570	AB099594	AB099618
C/Miyagi/77	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	1977	-	-	host	Homo sapiens	-	Japan	-	LC123293	LC123395	LC123497	D63471	LC123730	AB000607	AB034160
C/Aichi/1/81	-	-	Aichi	-|-|-|Aichi|-|-|-	1981	-	-	host	Homo sapiens	-	Japan	-	LC123300	LC123402	LC123504	D28970	LC123736	D78420	AB034162
C/Yamagata/8/96	-	-	Yamagata	-|-|-|Yamagata|-|-|-	1996	-	-	host	Homo sapiens	-	Japan	-	LC123320	LC123422	LC123524	AB064398	LC123756	AB064433	AB064440
C/Kanagawa/1/76	-	-	-	-|-|-|-|-|-|-	1976	-	-	host	Homo sapiens	-	Japan	-	LC123292	LC123394	LC123496	D63470	LC123729	AB000606	AB034159
C/Sendai/TU5/2008	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2008	-	-	host	Homo sapiens	-	Japan	-	AB979710	AB980268	AB981328	AB978557	AB981428	AB982137	AB985622
C/Yamagata/13/98	-	-	Yamagata	-|-|-|Yamagata|-|-|-	1998	-	-	host	Homo sapiens	-	Japan	-	LC123321	LC123423	LC123525	AB064403	LC123757	AB064438	AB064445
C/Biliran/2/2013	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2013	-	-	host	Homo sapiens	-	Philippines	-	AB979714	AB980272	AB981335	AB978561	AB981432	AB982141	AB985626
C/Miyagi/4/2014	-	-	Kanagawa	-|-|-|Kanagawa|-|-|-	2014	-	-	host	Homo sapiens	-	Japan	-	LC739911	LC739924	LC739937	LC739889	LC739950	LC739963	LC739976
C/Yamagata/8/2000	-	-	Yamagata	-|-|-|Yamagata|-|-|-	-	-	-	host	-	-	-	-	AB099436	AB099461	AB099535	AB099415	AB099560	AB099584	AB099608
C/Yamagata/27/2004	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2004	-	-	host	Homo sapiens	-	Japan	-	LC123337	LC123439	LC123541	AB252155	LC123770	LC123835	LC124999
C/Miyagi/12/2012	-	-	SaoPaolo	-|-|-|SaoPaolo|-|-|-	2012	-	-	host	Homo sapiens	-	Japan	-	LC739909	LC739922	LC739935	LC739885	LC739948	LC739961	LC739974
C/Miyagi/8/96	-	-	Mississippi	-|-|-|Mississippi|-|-|-	1996	-	-	host	Homo sapiens	-	Japan	-	LC123318	LC123420	LC123522	AB064406	LC123754	AB086781	AB086804
C/Yamagata/26/81	-	-	Yamagata	-|-|-|Yamagata|-|-|-	1981	-	-	host	Homo sapiens	-	Japan	-	LC123303	LC123405	LC123507	D28971	LC123739	AB000721	AB034163
