sequenceID	source.name	rec_segment	gb_segment	gb_subtype	gb_lineage	rec_subtype	rec_lineage	gb_year	gb_month	gb_day	gb_country	length	pubmed_id	full_name	gb_lab_host	gb_host	isolate	gb_source	
ON041202	ibv-ncbi-refseqs-seg4	4	4	V1	V1A.3a.2	V1	V1A.3a.2	2020	NOV	13		1749		Influenza B virus		Homo sapiens	B/Human/New York City/PV22452/2020	nasal swab	
MN945463	ibv-ncbi-refseqs-seg4	4	4	V1	V1A.3a	V1	V1A.3a	2019	AUG	23		1823		Influenza B virus		Homo sapiens	B/India/Pun1922338/2019	TS/NS	
MN945457	ibv-ncbi-refseqs-seg4	4	4	V1	V1A.3a	V1	V1A.3a	2019	OCT	29		1823		Influenza B virus		Homo sapiens	B/India/Pun1924024/2019	TS/NS	
NC_002205	ibv-ncbi-refseqs-seg1	1	2	Yamagata								2313	10725418	Influenza B virus (B/Lee/1940)			B/Lee/1940		
NC_002204	ibv-ncbi-refseqs-seg2	2	1	Yamagata								2368	3754992	Influenza B virus (B/Lee/1940)			B/Lee/1940		
NC_002206	ibv-ncbi-refseqs-seg3	3	3	Yamagata								2204	10725418	Influenza B virus (B/Lee/1940)			B/Lee/1940		
NC_002208	ibv-ncbi-refseqs-seg5	5	5	Yamagata								1841	6324462	Influenza B virus (B/Lee/1940)			B/Lee/1940		
NC_002209	ibv-ncbi-refseqs-seg6	6	6	Yamagata								1557	6308656	Influenza B virus (B/Lee/1940)			B/Lee/1940		
NC_002210	ibv-ncbi-refseqs-seg7	7	7	Yamagata								1191	6278729	Influenza B virus (B/Lee/1940)			B/Lee/1940		
NC_002211	ibv-ncbi-refseqs-seg8	8	8	Yamagata								1096	6283137	Influenza B virus (B/Lee/1940)			B/Lee/1940		
NC_002207	ibv-ncbi-refseqs-seg4	4	4	Yamagata	Yamagata	Yamagata	Yamagata					1882		Influenza B virus (B/Lee/1940)			B/Lee/40		
MH233781	ibv-ncbi-refseqs-seg1	1	2	V1				2018	FEB	20		2367		Influenza B virus		Homo sapiens	B/Maine/10/2018		
MH233782	ibv-ncbi-refseqs-seg2	2	1	V1				2018	FEB	20		2340		Influenza B virus		Homo sapiens	B/Maine/10/2018		
MH233783	ibv-ncbi-refseqs-seg3	3	3	V1				2018	FEB	20		2276		Influenza B virus		Homo sapiens	B/Maine/10/2018		
MH233784	ibv-ncbi-refseqs-seg4	4	4	V1	V1A.1	V1	V1A.1	2018	FEB	20		1850		Influenza B virus		Homo sapiens	B/Maine/10/2018		
MH233785	ibv-ncbi-refseqs-seg5	5	5	V1				2018	FEB	20		1815		Influenza B virus		Homo sapiens	B/Maine/10/2018		
MH233786	ibv-ncbi-refseqs-seg6	6	6	V1				2018	FEB	20		1528		Influenza B virus		Homo sapiens	B/Maine/10/2018		
MH233787	ibv-ncbi-refseqs-seg7	7	7	V1				2018	FEB	20		1154		Influenza B virus		Homo sapiens	B/Maine/10/2018		
CY222163	ibv-ncbi-refseqs-seg1	1	2	V1				2017	JAN	18		2367		Influenza B virus (B/Mississippi/02/2017)		Homo sapiens	B/Mississippi/02/2017		
CY222162	ibv-ncbi-refseqs-seg2	2	1	V1				2017	JAN	18		2340		Influenza B virus (B/Mississippi/02/2017)		Homo sapiens	B/Mississippi/02/2017		
CY222164	ibv-ncbi-refseqs-seg3	3	3	V1				2017	JAN	18		2276		Influenza B virus (B/Mississippi/02/2017)		Homo sapiens	B/Mississippi/02/2017		
CY222165	ibv-ncbi-refseqs-seg4	4	4	V1	V1A.1	V1	V1A.1	2017	JAN	18		1850		Influenza B virus (B/Mississippi/02/2017)		Homo sapiens	B/Mississippi/02/2017		
CY222166	ibv-ncbi-refseqs-seg5	5	5	V1				2017	JAN	18		1815		Influenza B virus (B/Mississippi/02/2017)		Homo sapiens	B/Mississippi/02/2017		
CY222167	ibv-ncbi-refseqs-seg6	6	6	V1				2017	JAN	18		1528		Influenza B virus (B/Mississippi/02/2017)		Homo sapiens	B/Mississippi/02/2017		
CY222168	ibv-ncbi-refseqs-seg7	7	7	V1				2017	JAN	18		1154		Influenza B virus (B/Mississippi/02/2017)		Homo sapiens	B/Mississippi/02/2017		
CY175640	ibv-ncbi-refseqs-seg1	1	2	V1				2011	FEB	2		2355		Influenza B virus (B/New York/1255/2011)		Homo sapiens	B/New York/1255/2011		
CY175639	ibv-ncbi-refseqs-seg2	2	1	V1				2011	FEB	2		2333		Influenza B virus (B/New York/1255/2011)		Homo sapiens	B/New York/1255/2011		
CY175638	ibv-ncbi-refseqs-seg3	3	3	V1				2011	FEB	2		2181		Influenza B virus (B/New York/1255/2011)		Homo sapiens	B/New York/1255/2011		
CY175633	ibv-ncbi-refseqs-seg4	4	4	V1	V1B	V1	V1B	2011	FEB	2		1850		Influenza B virus (B/New York/1255/2011)		Homo sapiens	B/New York/1255/2011		
CY175636	ibv-ncbi-refseqs-seg5	5	5	V1				2011	FEB	2		1809		Influenza B virus (B/New York/1255/2011)		Homo sapiens	B/New York/1255/2011		
CY175635	ibv-ncbi-refseqs-seg6	6	6	V1				2011	FEB	2		1522		Influenza B virus (B/New York/1255/2011)		Homo sapiens	B/New York/1255/2011		
CY175634	ibv-ncbi-refseqs-seg7	7	7	V1				2011	FEB	2		1154		Influenza B virus (B/New York/1255/2011)		Homo sapiens	B/New York/1255/2011		
MK961943	ibv-ncbi-refseqs-seg1	1	2	V1				2017	JUL	15		2313		Influenza B virus		Homo sapiens	B/Nicaragua/9151_03/2017		
MK961942	ibv-ncbi-refseqs-seg2	2	1	V1				2017	JUL	15		2259		Influenza B virus		Homo sapiens	B/Nicaragua/9151_03/2017		
MK961941	ibv-ncbi-refseqs-seg3	3	3	V1				2017	JUL	15		2270		Influenza B virus		Homo sapiens	B/Nicaragua/9151_03/2017		
MK961936	ibv-ncbi-refseqs-seg4	4	4	V1	V1A	V1	V1A	2017	JUL	15		1758		Influenza B virus		Homo sapiens	B/Nicaragua/9151_03/2017		
MK961939	ibv-ncbi-refseqs-seg5	5	5	V1				2017	JUL	15		1683		Influenza B virus		Homo sapiens	B/Nicaragua/9151_03/2017		
MK961938	ibv-ncbi-refseqs-seg6	6	6	V1				2017	JUL	15		1522		Influenza B virus		Homo sapiens	B/Nicaragua/9151_03/2017		
MK961937	ibv-ncbi-refseqs-seg7	7	7	V1				2017	JUL	15		1149		Influenza B virus		Homo sapiens	B/Nicaragua/9151_03/2017		
MH233893	ibv-ncbi-refseqs-seg1	1	2	V1				2018	FEB	19		2367		Influenza B virus		Homo sapiens	B/Pennsylvania/06/2018		
MH233894	ibv-ncbi-refseqs-seg2	2	1	V1				2018	FEB	19		2340		Influenza B virus		Homo sapiens	B/Pennsylvania/06/2018		
MH233895	ibv-ncbi-refseqs-seg3	3	3	V1				2018	FEB	19		2276		Influenza B virus		Homo sapiens	B/Pennsylvania/06/2018		
MH233896	ibv-ncbi-refseqs-seg4	4	4	V1	V1A.1	V1	V1A.1	2018	FEB	19		1850		Influenza B virus		Homo sapiens	B/Pennsylvania/06/2018		
MH233897	ibv-ncbi-refseqs-seg5	5	5	V1				2018	FEB	19		1815		Influenza B virus		Homo sapiens	B/Pennsylvania/06/2018		
MH233898	ibv-ncbi-refseqs-seg6	6	6	V1				2018	FEB	19		1528		Influenza B virus		Homo sapiens	B/Pennsylvania/06/2018		
MH233899	ibv-ncbi-refseqs-seg7	7	7	V1				2018	FEB	19		1154		Influenza B virus		Homo sapiens	B/Pennsylvania/06/2018		
OQ034462	ibv-ncbi-refseqs-seg1	1	2	V				2007				2396	36765053	Influenza B virus	embryonate chicken eggs	Homo sapiens	B/Pennsylvania/5/2007	allantoic fluid	
OQ034461	ibv-ncbi-refseqs-seg2	2	1	V				2007				2369	36765053	Influenza B virus	embryonate chicken eggs	Homo sapiens	B/Pennsylvania/5/2007	allantoic fluid	
OQ034463	ibv-ncbi-refseqs-seg3	3	3	V				2007				2305	36765053	Influenza B virus	embryonate chicken eggs	Homo sapiens	B/Pennsylvania/5/2007	allantoic fluid	
OQ034464	ibv-ncbi-refseqs-seg4	4	4	V		V		2007				1885	36765053	Influenza B virus	embryonate chicken eggs	Homo sapiens	B/Pennsylvania/5/2007	allantoic fluid	
OQ034465	ibv-ncbi-refseqs-seg5	5	5	V				2007				1844	36765053	Influenza B virus	embryonate chicken eggs	Homo sapiens	B/Pennsylvania/5/2007	allantoic fluid	
OQ034466	ibv-ncbi-refseqs-seg6	6	6	V				2007				1557	36765053	Influenza B virus	embryonate chicken eggs	Homo sapiens	B/Pennsylvania/5/2007	allantoic fluid	
OQ034467	ibv-ncbi-refseqs-seg7	7	7	V				2007				1189	36765053	Influenza B virus	embryonate chicken eggs	Homo sapiens	B/Pennsylvania/5/2007	allantoic fluid	
OQ380849	ibv-ncbi-refseqs-seg4	4	4	V1	V1A.3a	V1	V1A.3a	2020	DEC	23		1729		Influenza B virus		Homo sapiens	B/Saudi Arabia/Riyadh55/2020	Nasopharyngeal Aspirates	
MN588329	ibv-ncbi-refseqs-seg1	1	2	V1				2011	FEB	26		2313		Influenza B virus		Homo sapiens	B/Singapore/DMS1498/2011	cultured isolate	
MN588384	ibv-ncbi-refseqs-seg2	2	1	V1				2011	FEB	26		2259		Influenza B virus		Homo sapiens	B/Singapore/DMS1498/2011	cultured isolate	
MN588439	ibv-ncbi-refseqs-seg3	3	3	V1				2011	FEB	26		2181		Influenza B virus		Homo sapiens	B/Singapore/DMS1498/2011	cultured isolate	
MN588494	ibv-ncbi-refseqs-seg4	4	4	V1	V1B	V1	V1B	2011	FEB	26		1758		Influenza B virus		Homo sapiens	B/Singapore/DMS1498/2011	cultured isolate	
MN588549	ibv-ncbi-refseqs-seg5	5	5	V1				2011	FEB	26		1683		Influenza B virus		Homo sapiens	B/Singapore/DMS1498/2011	cultured isolate	
MN588604	ibv-ncbi-refseqs-seg6	6	6	V1				2011	FEB	26		1408		Influenza B virus		Homo sapiens	B/Singapore/DMS1498/2011	cultured isolate	
MN588659	ibv-ncbi-refseqs-seg7	7	7	V1				2011	FEB	26		1076		Influenza B virus		Homo sapiens	B/Singapore/DMS1498/2011	cultured isolate	
MN589523	ibv-ncbi-refseqs-seg1	1	2	V1				2018	OCT	18		2313		Influenza B virus		Homo sapiens	B/Singapore/DMS3545/2018	nasopharyngeal swab	
MN589524	ibv-ncbi-refseqs-seg2	2	1	V1				2018	OCT	18		2259		Influenza B virus		Homo sapiens	B/Singapore/DMS3545/2018	nasopharyngeal swab	
MN589525	ibv-ncbi-refseqs-seg3	3	3	V1				2018	OCT	18		2181		Influenza B virus		Homo sapiens	B/Singapore/DMS3545/2018	nasopharyngeal swab	
MN589526	ibv-ncbi-refseqs-seg4	4	4	V1	V1A.2	V1	V1A.2	2018	OCT	18		1749		Influenza B virus		Homo sapiens	B/Singapore/DMS3545/2018	nasopharyngeal swab	
MN589527	ibv-ncbi-refseqs-seg5	5	5	V1				2018	OCT	18		1683		Influenza B virus		Homo sapiens	B/Singapore/DMS3545/2018	nasopharyngeal swab	
MN589528	ibv-ncbi-refseqs-seg6	6	6	V1				2018	OCT	18		1408		Influenza B virus		Homo sapiens	B/Singapore/DMS3545/2018	nasopharyngeal swab	
MN589529	ibv-ncbi-refseqs-seg7	7	7	V1				2018	OCT	18		1076		Influenza B virus		Homo sapiens	B/Singapore/DMS3545/2018	nasopharyngeal swab	
MN589571	ibv-ncbi-refseqs-seg1	1	2	V1				2018	DEC	31		2313		Influenza B virus		Homo sapiens	B/Singapore/DMS3634/2018	nasopharyngeal swab	
MN589572	ibv-ncbi-refseqs-seg2	2	1	V1				2018	DEC	31		2259		Influenza B virus		Homo sapiens	B/Singapore/DMS3634/2018	nasopharyngeal swab	
MN589573	ibv-ncbi-refseqs-seg3	3	3	V1				2018	DEC	31		2181		Influenza B virus		Homo sapiens	B/Singapore/DMS3634/2018	nasopharyngeal swab	
MN589574	ibv-ncbi-refseqs-seg4	4	4	V1	V1A	V1	V1A	2018	DEC	31		1758		Influenza B virus		Homo sapiens	B/Singapore/DMS3634/2018	nasopharyngeal swab	
MN589575	ibv-ncbi-refseqs-seg5	5	5	V1				2018	DEC	31		1683		Influenza B virus		Homo sapiens	B/Singapore/DMS3634/2018	nasopharyngeal swab	
MN589576	ibv-ncbi-refseqs-seg6	6	6	V1				2018	DEC	31		1408		Influenza B virus		Homo sapiens	B/Singapore/DMS3634/2018	nasopharyngeal swab	
MN589577	ibv-ncbi-refseqs-seg7	7	7	V1				2018	DEC	31		1076		Influenza B virus		Homo sapiens	B/Singapore/DMS3634/2018	nasopharyngeal swab	
MN589579	ibv-ncbi-refseqs-seg1	1	2	V1				2019	JAN	24		2313		Influenza B virus		Homo sapiens	B/Singapore/DMS3651/2019	nasopharyngeal swab	
MN589580	ibv-ncbi-refseqs-seg2	2	1	V1				2019	JAN	24		2259		Influenza B virus		Homo sapiens	B/Singapore/DMS3651/2019	nasopharyngeal swab	
MN589581	ibv-ncbi-refseqs-seg3	3	3	V1				2019	JAN	24		2181		Influenza B virus		Homo sapiens	B/Singapore/DMS3651/2019	nasopharyngeal swab	
MN589582	ibv-ncbi-refseqs-seg4	4	4	V1	V1A	V1	V1A	2019	JAN	24		1758		Influenza B virus		Homo sapiens	B/Singapore/DMS3651/2019	nasopharyngeal swab	
MN589583	ibv-ncbi-refseqs-seg5	5	5	V1				2019	JAN	24		1683		Influenza B virus		Homo sapiens	B/Singapore/DMS3651/2019	nasopharyngeal swab	
MN589584	ibv-ncbi-refseqs-seg6	6	6	V1				2019	JAN	24		1408		Influenza B virus		Homo sapiens	B/Singapore/DMS3651/2019	nasopharyngeal swab	
MN589585	ibv-ncbi-refseqs-seg7	7	7	V1				2019	JAN	24		1076		Influenza B virus		Homo sapiens	B/Singapore/DMS3651/2019	nasopharyngeal swab	
MK947011	ibv-ncbi-refseqs-seg1	1	2	V1				2019	MAR	27		2313		Influenza B virus		Homo sapiens	B/South Korea/9320/2019	Nasal Wash	
MK947010	ibv-ncbi-refseqs-seg2	2	1	V1				2019	MAR	27		2259		Influenza B virus		Homo sapiens	B/South Korea/9320/2019	Nasal Wash	
MK947009	ibv-ncbi-refseqs-seg3	3	3	V1				2019	MAR	27		2181		Influenza B virus		Homo sapiens	B/South Korea/9320/2019	Nasal Wash	
MK947004	ibv-ncbi-refseqs-seg4	4	4	V1	V1A.3	V1	V1A.3	2019	MAR	27		1749		Influenza B virus		Homo sapiens	B/South Korea/9320/2019	Nasal Wash	
MK947007	ibv-ncbi-refseqs-seg5	5	5	V1				2019	MAR	27		1683		Influenza B virus		Homo sapiens	B/South Korea/9320/2019	Nasal Wash	
MK947006	ibv-ncbi-refseqs-seg6	6	6	V1				2019	MAR	27		1408		Influenza B virus		Homo sapiens	B/South Korea/9320/2019	Nasal Wash	
MK947005	ibv-ncbi-refseqs-seg7	7	7	V1				2019	MAR	27		1076		Influenza B virus		Homo sapiens	B/South Korea/9320/2019	Nasal Wash	
MT600866	ibv-ncbi-refseqs-seg1	1	2	V1				2019	NOV	19		2313		Influenza B virus		Homo sapiens	B/Texas/10124/2019	NP Swab	
MT600865	ibv-ncbi-refseqs-seg2	2	1	V1				2019	NOV	19		2259		Influenza B virus		Homo sapiens	B/Texas/10124/2019	NP Swab	
MT600864	ibv-ncbi-refseqs-seg3	3	3	V1				2019	NOV	19		2181		Influenza B virus		Homo sapiens	B/Texas/10124/2019	NP Swab	
MT600859	ibv-ncbi-refseqs-seg4	4	4	V1	V1A.3	V1	V1A.3	2019	NOV	19		1749		Influenza B virus		Homo sapiens	B/Texas/10124/2019	NP Swab	
MT600862	ibv-ncbi-refseqs-seg5	5	5	V1				2019	NOV	19		1683		Influenza B virus		Homo sapiens	B/Texas/10124/2019	NP Swab	
MT600861	ibv-ncbi-refseqs-seg6	6	6	V1				2019	NOV	19		1408		Influenza B virus		Homo sapiens	B/Texas/10124/2019	NP Swab	
MT600860	ibv-ncbi-refseqs-seg7	7	7	V1				2019	NOV	19		1076		Influenza B virus		Homo sapiens	B/Texas/10124/2019	NP Swab	
JX513148	ibv-ncbi-refseqs-seg1	1	2	V1				2010	FEB	1		2353		Influenza B virus (B/Thailand/CUH1400/2010)		Homo sapiens	B/Thailand/CUH1400/2010	nasal swab	
JX513147	ibv-ncbi-refseqs-seg2	2	1	V1				2010	FEB	1		2345		Influenza B virus (B/Thailand/CUH1400/2010)		Homo sapiens	B/Thailand/CUH1400/2010	nasal swab	
JX513149	ibv-ncbi-refseqs-seg3	3	3	V1				2010	FEB	1		2232		Influenza B virus (B/Thailand/CUH1400/2010)		Homo sapiens	B/Thailand/CUH1400/2010	nasal swab	
JX513150	ibv-ncbi-refseqs-seg4	4	4	V1	V1B	V1	V1B	2010	FEB	1		1788		Influenza B virus (B/Thailand/CUH1400/2010)		Homo sapiens	B/Thailand/CUH1400/2010	nasal swab	
JX513151	ibv-ncbi-refseqs-seg5	5	5	V1				2010	FEB	1		1785		Influenza B virus (B/Thailand/CUH1400/2010)		Homo sapiens	B/Thailand/CUH1400/2010	nasal swab	
JX513152	ibv-ncbi-refseqs-seg6	6	6	V1				2010	FEB	1		1537		Influenza B virus (B/Thailand/CUH1400/2010)		Homo sapiens	B/Thailand/CUH1400/2010	nasal swab	
JX513153	ibv-ncbi-refseqs-seg7	7	7	V1				2010	FEB	1		1133		Influenza B virus (B/Thailand/CUH1400/2010)		Homo sapiens	B/Thailand/CUH1400/2010	nasal swab	
MN539665	ibv-ncbi-refseqs-seg1	1	2	V1				2019	JUN	1		2260		Influenza B virus		Homo sapiens	B/Thailand/TM10944_62/2019	sputum	
MN542669	ibv-ncbi-refseqs-seg2	2	1	V1				2019	JUN	1		2256		Influenza B virus		Homo sapiens	B/Thailand/TM10944_62/2019	sputum	
MN542824	ibv-ncbi-refseqs-seg3	3	3	V1				2019	JUN	1		2027		Influenza B virus		Homo sapiens	B/Thailand/TM10944_62/2019	sputum	
MN509275	ibv-ncbi-refseqs-seg4	4	4	V1	V1A.3	V1	V1A.3	2019	JUN	1		1682		Influenza B virus		Homo sapiens	B/Thailand/TM10944_62/2019	sputum	
MN539639	ibv-ncbi-refseqs-seg5	5	5	V1				2019	JUN	1		1712		Influenza B virus		Homo sapiens	B/Thailand/TM10944_62/2019	sputum	
MN538929	ibv-ncbi-refseqs-seg6	6	6	V1				2019	JUN	1		1439		Influenza B virus		Homo sapiens	B/Thailand/TM10944_62/2019	sputum	
MN558961	ibv-ncbi-refseqs-seg7	7	7	V1				2019	JUN	1		1041		Influenza B virus		Homo sapiens	B/Thailand/TM10944_62/2019	sputum	
AY504599	ibv-ncbi-refseqs-seg1	1	1	Yamagata								2396	15763145	Influenza B virus (B/Victoria/504/2000)			B/Victoria/504/2000		
AY504600	ibv-ncbi-refseqs-seg2	2	2	Yamagata								2369	15763145	Influenza B virus (B/Victoria/504/2000)			B/Victoria/504/2000		
AY504601	ibv-ncbi-refseqs-seg3	3	3	Yamagata								2305	15763145	Influenza B virus (B/Victoria/504/2000)			B/Victoria/504/2000		
AY504602	ibv-ncbi-refseqs-seg4	4	4	Yamagata	Yamagata	Yamagata	Yamagata					1883	15763145	Influenza B virus (B/Victoria/504/2000)			B/Victoria/504/2000		
AY504603	ibv-ncbi-refseqs-seg5	5	5	Yamagata								1844	15763145	Influenza B virus (B/Victoria/504/2000)			B/Victoria/504/2000		
AY504604	ibv-ncbi-refseqs-seg6	6	6	Yamagata								1557	15763145	Influenza B virus (B/Victoria/504/2000)			B/Victoria/504/2000		
AY504605	ibv-ncbi-refseqs-seg7	7	7	Yamagata								1190	15763145	Influenza B virus (B/Victoria/504/2000)			B/Victoria/504/2000		
AY504606	ibv-ncbi-refseqs-seg8	8	8	Yamagata								1096	15763145	Influenza B virus (B/Victoria/504/2000)			B/Victoria/504/2000		
MK445822	ibv-ncbi-refseqs-seg1	1	2	V1				2018	JAN	3		2313		Influenza B virus		Homo sapiens	B/Virginia/7672/2018	NP Swab	
MK445802	ibv-ncbi-refseqs-seg2	2	1	V1				2018	JAN	3		2259		Influenza B virus		Homo sapiens	B/Virginia/7672/2018	NP Swab	
MK445782	ibv-ncbi-refseqs-seg3	3	3	V1				2018	JAN	3		2181		Influenza B virus		Homo sapiens	B/Virginia/7672/2018	NP Swab	
MK445682	ibv-ncbi-refseqs-seg4	4	4	V1	V1A.1	V1	V1A.1	2018	JAN	3		1752		Influenza B virus		Homo sapiens	B/Virginia/7672/2018	NP Swab	
MK445742	ibv-ncbi-refseqs-seg5	5	5	V1				2018	JAN	3		1683		Influenza B virus		Homo sapiens	B/Virginia/7672/2018	NP Swab	
MK445722	ibv-ncbi-refseqs-seg6	6	6	V1				2018	JAN	3		1408		Influenza B virus		Homo sapiens	B/Virginia/7672/2018	NP Swab	
MK445702	ibv-ncbi-refseqs-seg7	7	7	V1				2018	JAN	3		1076		Influenza B virus		Homo sapiens	B/Virginia/7672/2018	NP Swab	
CY110748	ibv-ncbi-refseqs-seg1	1	2	V1				2009	MAY	31		2280	23011776	Influenza B virus (B/Wuhan/4/2009)		Homo sapiens	B/Wuhan/4/2009		
CY110747	ibv-ncbi-refseqs-seg2	2	1	V1				2009	MAY	31		2257	23011776	Influenza B virus (B/Wuhan/4/2009)		Homo sapiens	B/Wuhan/4/2009		
CY110749	ibv-ncbi-refseqs-seg3	3	3	V1				2009	MAY	31		2141	23011776	Influenza B virus (B/Wuhan/4/2009)		Homo sapiens	B/Wuhan/4/2009		
CY110750	ibv-ncbi-refseqs-seg4	4	4	V1	V1B	V1	V1B	2009	MAY	31		1821	23011776	Influenza B virus (B/Wuhan/4/2009)		Homo sapiens	B/Wuhan/4/2009		
CY110751	ibv-ncbi-refseqs-seg5	5	5	V1				2009	MAY	31		1720	23011776	Influenza B virus (B/Wuhan/4/2009)		Homo sapiens	B/Wuhan/4/2009		
CY110752	ibv-ncbi-refseqs-seg6	6	6	V1				2009	MAY	31		1497	23011776	Influenza B virus (B/Wuhan/4/2009)		Homo sapiens	B/Wuhan/4/2009		
CY110753	ibv-ncbi-refseqs-seg7	7	7	V1				2009	MAY	31		1027	23011776	Influenza B virus (B/Wuhan/4/2009)		Homo sapiens	B/Wuhan/4/2009		
CY033876	ibv-ncbi-refseqs-seg4	4	4	Yamagata	Yamagata	Yamagata	Yamagata	2006			USA	1828		Influenza B virus (B/Florida/4/2006)	Egg passage(s)	Homo sapiens	Influenza B virus (B/Florida/4/2006)		
CY018773	ibv-ncbi-refseqs-seg4	4	4	Yamagata	Yamagata	Yamagata	Yamagata	1989	NOV	2		1837		Influenza B virus (B/Hong Kong/22/1989)	MDCK 2 Egg 4 passage(s)	Homo sapiens	Influenza B virus (B/Hong Kong/22/1989)		
CY018772	ibv-ncbi-refseqs-seg1	1	2	Yamagata				1988				2352		Influenza B virus (B/Yamagata/16/1988)	Egg 20 passage(s)	Homo sapiens	Influenza B virus (B/Yamagata/16/1988)		
CY018771	ibv-ncbi-refseqs-seg2	2	1	Yamagata				1988				2328		Influenza B virus (B/Yamagata/16/1988)	Egg 20 passage(s)	Homo sapiens	Influenza B virus (B/Yamagata/16/1988)		
CY018770	ibv-ncbi-refseqs-seg3	3	3	Yamagata				1988				2273		Influenza B virus (B/Yamagata/16/1988)	Egg 20 passage(s)	Homo sapiens	Influenza B virus (B/Yamagata/16/1988)		
CY018765	ibv-ncbi-refseqs-seg4	4	4	Yamagata	Yamagata	Yamagata	Yamagata	1988				1843		Influenza B virus (B/Yamagata/16/1988)	Egg 20 passage(s)	Homo sapiens	Influenza B virus (B/Yamagata/16/1988)		
CY018768	ibv-ncbi-refseqs-seg5	5	5	Yamagata				1988				1793		Influenza B virus (B/Yamagata/16/1988)	Egg 20 passage(s)	Homo sapiens	Influenza B virus (B/Yamagata/16/1988)		
CY018767	ibv-ncbi-refseqs-seg6	6	6	Yamagata				1988				1504		Influenza B virus (B/Yamagata/16/1988)	Egg 20 passage(s)	Homo sapiens	Influenza B virus (B/Yamagata/16/1988)		
CY018766	ibv-ncbi-refseqs-seg7	7	7	Yamagata				1988				1151		Influenza B virus (B/Yamagata/16/1988)	Egg 20 passage(s)	Homo sapiens	Influenza B virus (B/Yamagata/16/1988)		
