sequenceID	source.name	rec_segment	gb_segment	gb_subtype	rec_subtype	gb_year	gb_month	gb_day	gb_country	length	pubmed_id	full_name	gb_lab_host	gb_host	isolate	gb_source
MZ330925	icv-ncbi-refseqs-seg5	5	5			2018	MAR	27		1698		Influenza C virus		Homo sapiens	C/Biliran/TB4-130/2018	nasal swab
MZ330924	icv-ncbi-refseqs-seg6	6	6			2018	MAR	27		1125		Influenza C virus		Homo sapiens	C/Biliran/TB4-130/2018	nasal swab
MZ330926	icv-ncbi-refseqs-seg7	7	7			2018	MAR	27		862		Influenza C virus		Homo sapiens	C/Biliran/TB4-130/2018	nasal swab
MZ330936	icv-ncbi-refseqs-seg1	1	1			2018	APR	24		2325		Influenza C virus		Homo sapiens	C/Biliran/TB4-169/2018	nasal swab
MZ330935	icv-ncbi-refseqs-seg2	2	2			2018	APR	24		2265		Influenza C virus		Homo sapiens	C/Biliran/TB4-169/2018	nasal swab
MZ330934	icv-ncbi-refseqs-seg3	3	3			2018	APR	24		2130		Influenza C virus		Homo sapiens	C/Biliran/TB4-169/2018	nasal swab
MZ330930	icv-ncbi-refseqs-seg4	4	4	SaoPaolo		2018	APR	24		1968		Influenza C virus		Homo sapiens	C/Biliran/TB4-169/2018	nasal swab
MZ330932	icv-ncbi-refseqs-seg5	5	5			2018	APR	24		1698		Influenza C virus		Homo sapiens	C/Biliran/TB4-169/2018	nasal swab
MZ330931	icv-ncbi-refseqs-seg6	6	6			2018	APR	24		1125		Influenza C virus		Homo sapiens	C/Biliran/TB4-169/2018	nasal swab
MZ330933	icv-ncbi-refseqs-seg7	7	7			2018	APR	24		862		Influenza C virus		Homo sapiens	C/Biliran/TB4-169/2018	nasal swab
MZ330943	icv-ncbi-refseqs-seg1	1	1			2019	JUL	8		2325		Influenza C virus		Homo sapiens	C/Biliran/TB4-271/2019	nasal swab
MZ330942	icv-ncbi-refseqs-seg2	2	2			2019	JUL	8		2265		Influenza C virus		Homo sapiens	C/Biliran/TB4-271/2019	nasal swab
MZ330941	icv-ncbi-refseqs-seg3	3	3			2019	JUL	8		2130		Influenza C virus		Homo sapiens	C/Biliran/TB4-271/2019	nasal swab
MZ330937	icv-ncbi-refseqs-seg4	4	4	SaoPaolo		2019	JUL	8		1968		Influenza C virus		Homo sapiens	C/Biliran/TB4-271/2019	nasal swab
MZ330939	icv-ncbi-refseqs-seg5	5	5			2019	JUL	8		1698		Influenza C virus		Homo sapiens	C/Biliran/TB4-271/2019	nasal swab
MZ330938	icv-ncbi-refseqs-seg6	6	6			2019	JUL	8		1125		Influenza C virus		Homo sapiens	C/Biliran/TB4-271/2019	nasal swab
MZ330940	icv-ncbi-refseqs-seg7	7	7			2019	JUL	8		862		Influenza C virus		Homo sapiens	C/Biliran/TB4-271/2019	nasal swab
MZ330950	icv-ncbi-refseqs-seg1	1	1			2014	JUN	2		2325		Influenza C virus		Homo sapiens	C/Biliran/TB5-195/2014	nasal swab
MZ330949	icv-ncbi-refseqs-seg2	2	2			2014	JUN	2		2265		Influenza C virus		Homo sapiens	C/Biliran/TB5-195/2014	nasal swab
MZ330948	icv-ncbi-refseqs-seg3	3	3			2014	JUN	2		2130		Influenza C virus		Homo sapiens	C/Biliran/TB5-195/2014	nasal swab
MZ330944	icv-ncbi-refseqs-seg4	4	4	Kanagawa		2014	JUN	2		1968		Influenza C virus		Homo sapiens	C/Biliran/TB5-195/2014	nasal swab
MZ330946	icv-ncbi-refseqs-seg5	5	5			2014	JUN	2		1698		Influenza C virus		Homo sapiens	C/Biliran/TB5-195/2014	nasal swab
MZ330945	icv-ncbi-refseqs-seg6	6	6			2014	JUN	2		1125		Influenza C virus		Homo sapiens	C/Biliran/TB5-195/2014	nasal swab
MZ330947	icv-ncbi-refseqs-seg7	7	7			2014	JUN	2		862		Influenza C virus		Homo sapiens	C/Biliran/TB5-195/2014	nasal swab
MZ330957	icv-ncbi-refseqs-seg1	1	1			2014	JUN	20		2325		Influenza C virus		Homo sapiens	C/Biliran/TB5-241/2014	nasal swab
MZ330956	icv-ncbi-refseqs-seg2	2	2			2014	JUN	20		2265		Influenza C virus		Homo sapiens	C/Biliran/TB5-241/2014	nasal swab
MZ330955	icv-ncbi-refseqs-seg3	3	3			2014	JUN	20		2130		Influenza C virus		Homo sapiens	C/Biliran/TB5-241/2014	nasal swab
MZ330951	icv-ncbi-refseqs-seg4	4	4	Kanagawa		2014	JUN	20		1968		Influenza C virus		Homo sapiens	C/Biliran/TB5-241/2014	nasal swab
MZ330953	icv-ncbi-refseqs-seg5	5	5			2014	JUN	20		1698		Influenza C virus		Homo sapiens	C/Biliran/TB5-241/2014	nasal swab
MZ330952	icv-ncbi-refseqs-seg6	6	6			2014	JUN	20		1125		Influenza C virus		Homo sapiens	C/Biliran/TB5-241/2014	nasal swab
MZ330954	icv-ncbi-refseqs-seg7	7	7			2014	JUN	20		862		Influenza C virus		Homo sapiens	C/Biliran/TB5-241/2014	nasal swab
MZ330964	icv-ncbi-refseqs-seg1	1	1			2017	JUN	13		2325		Influenza C virus		Homo sapiens	C/Biliran/TB5-312/2017	nasal swab
MZ330963	icv-ncbi-refseqs-seg2	2	2			2017	JUN	13		2265		Influenza C virus		Homo sapiens	C/Biliran/TB5-312/2017	nasal swab
MZ330962	icv-ncbi-refseqs-seg3	3	3			2017	JUN	13		2130		Influenza C virus		Homo sapiens	C/Biliran/TB5-312/2017	nasal swab
MZ330958	icv-ncbi-refseqs-seg4	4	4	Kanagawa		2017	JUN	13		1968		Influenza C virus		Homo sapiens	C/Biliran/TB5-312/2017	nasal swab
MZ330960	icv-ncbi-refseqs-seg5	5	5			2017	JUN	13		1698		Influenza C virus		Homo sapiens	C/Biliran/TB5-312/2017	nasal swab
MZ330959	icv-ncbi-refseqs-seg6	6	6			2017	JUN	13		1125		Influenza C virus		Homo sapiens	C/Biliran/TB5-312/2017	nasal swab
MZ330961	icv-ncbi-refseqs-seg7	7	7			2017	JUN	13		862		Influenza C virus		Homo sapiens	C/Biliran/TB5-312/2017	nasal swab
MZ330971	icv-ncbi-refseqs-seg1	1	1			2016	JUN	29		2325		Influenza C virus		Homo sapiens	C/Biliran/TB5-498/2016	nasal swab
MZ330970	icv-ncbi-refseqs-seg2	2	2			2016	JUN	29		2265		Influenza C virus		Homo sapiens	C/Biliran/TB5-498/2016	nasal swab
MZ330969	icv-ncbi-refseqs-seg3	3	3			2016	JUN	29		2130		Influenza C virus		Homo sapiens	C/Biliran/TB5-498/2016	nasal swab
MZ330965	icv-ncbi-refseqs-seg4	4	4	Kanagawa		2016	JUN	29		1968		Influenza C virus		Homo sapiens	C/Biliran/TB5-498/2016	nasal swab
MZ330967	icv-ncbi-refseqs-seg5	5	5			2016	JUN	29		1698		Influenza C virus		Homo sapiens	C/Biliran/TB5-498/2016	nasal swab
MZ330966	icv-ncbi-refseqs-seg6	6	6			2016	JUN	29		1125		Influenza C virus		Homo sapiens	C/Biliran/TB5-498/2016	nasal swab
MZ330968	icv-ncbi-refseqs-seg7	7	7			2016	JUN	29		862		Influenza C virus		Homo sapiens	C/Biliran/TB5-498/2016	nasal swab
MZ330978	icv-ncbi-refseqs-seg1	1	1			2016	JUL	18		2325		Influenza C virus		Homo sapiens	C/Biliran/TB5-536/2016	nasal swab
MZ330977	icv-ncbi-refseqs-seg2	2	2			2016	JUL	18		2265		Influenza C virus		Homo sapiens	C/Biliran/TB5-536/2016	nasal swab
MZ330976	icv-ncbi-refseqs-seg3	3	3			2016	JUL	18		2130		Influenza C virus		Homo sapiens	C/Biliran/TB5-536/2016	nasal swab
MZ330972	icv-ncbi-refseqs-seg4	4	4	Kanagawa		2016	JUL	18		1968		Influenza C virus		Homo sapiens	C/Biliran/TB5-536/2016	nasal swab
MZ330974	icv-ncbi-refseqs-seg5	5	5			2016	JUL	18		1698		Influenza C virus		Homo sapiens	C/Biliran/TB5-536/2016	nasal swab
MZ330973	icv-ncbi-refseqs-seg6	6	6			2016	JUL	18		1125		Influenza C virus		Homo sapiens	C/Biliran/TB5-536/2016	nasal swab
MZ330975	icv-ncbi-refseqs-seg7	7	7			2016	JUL	18		862		Influenza C virus		Homo sapiens	C/Biliran/TB5-536/2016	nasal swab
MZ330985	icv-ncbi-refseqs-seg1	1	1			2016	AUG	23		2325		Influenza C virus		Homo sapiens	C/Biliran/TB5-625/2016	nasal swab
MZ330984	icv-ncbi-refseqs-seg2	2	2			2016	AUG	23		2265		Influenza C virus		Homo sapiens	C/Biliran/TB5-625/2016	nasal swab
MZ330983	icv-ncbi-refseqs-seg3	3	3			2016	AUG	23		2130		Influenza C virus		Homo sapiens	C/Biliran/TB5-625/2016	nasal swab
MZ330979	icv-ncbi-refseqs-seg4	4	4	Kanagawa		2016	AUG	23		1968		Influenza C virus		Homo sapiens	C/Biliran/TB5-625/2016	nasal swab
MZ330981	icv-ncbi-refseqs-seg5	5	5			2016	AUG	23		1698		Influenza C virus		Homo sapiens	C/Biliran/TB5-625/2016	nasal swab
MZ330980	icv-ncbi-refseqs-seg6	6	6			2016	AUG	23		1125		Influenza C virus		Homo sapiens	C/Biliran/TB5-625/2016	nasal swab
MZ330982	icv-ncbi-refseqs-seg7	7	7			2016	AUG	23		862		Influenza C virus		Homo sapiens	C/Biliran/TB5-625/2016	nasal swab
MZ330992	icv-ncbi-refseqs-seg1	1	1			2016	OCT	5		2325		Influenza C virus		Homo sapiens	C/Biliran/TB5-736/2016	nasal swab
MZ330991	icv-ncbi-refseqs-seg2	2	2			2016	OCT	5		2265		Influenza C virus		Homo sapiens	C/Biliran/TB5-736/2016	nasal swab
MZ330990	icv-ncbi-refseqs-seg3	3	3			2016	OCT	5		2130		Influenza C virus		Homo sapiens	C/Biliran/TB5-736/2016	nasal swab
MZ330986	icv-ncbi-refseqs-seg4	4	4	Kanagawa		2016	OCT	5		1968		Influenza C virus		Homo sapiens	C/Biliran/TB5-736/2016	nasal swab
MZ330988	icv-ncbi-refseqs-seg5	5	5			2016	OCT	5		1698		Influenza C virus		Homo sapiens	C/Biliran/TB5-736/2016	nasal swab
MZ330987	icv-ncbi-refseqs-seg6	6	6			2016	OCT	5		1125		Influenza C virus		Homo sapiens	C/Biliran/TB5-736/2016	nasal swab
MZ330989	icv-ncbi-refseqs-seg7	7	7			2016	OCT	5		862		Influenza C virus		Homo sapiens	C/Biliran/TB5-736/2016	nasal swab
MZ330999	icv-ncbi-refseqs-seg1	1	1			2014	JUL	10		2325		Influenza C virus		Homo sapiens	C/Biliran/TB8-250/2014	nasal swab
MZ330998	icv-ncbi-refseqs-seg2	2	2			2014	JUL	10		2265		Influenza C virus		Homo sapiens	C/Biliran/TB8-250/2014	nasal swab
MZ330997	icv-ncbi-refseqs-seg3	3	3			2014	JUL	10		2130		Influenza C virus		Homo sapiens	C/Biliran/TB8-250/2014	nasal swab
MZ330993	icv-ncbi-refseqs-seg4	4	4	SaoPaolo		2014	JUL	10		1968		Influenza C virus		Homo sapiens	C/Biliran/TB8-250/2014	nasal swab
MZ330995	icv-ncbi-refseqs-seg5	5	5			2014	JUL	10		1698		Influenza C virus		Homo sapiens	C/Biliran/TB8-250/2014	nasal swab
MZ330994	icv-ncbi-refseqs-seg6	6	6			2014	JUL	10		1125		Influenza C virus		Homo sapiens	C/Biliran/TB8-250/2014	nasal swab
MZ330996	icv-ncbi-refseqs-seg7	7	7			2014	JUL	10		862		Influenza C virus		Homo sapiens	C/Biliran/TB8-250/2014	nasal swab
MH348113	icv-ncbi-refseqs-seg1	1	1			2016	NOV	18		2328		Influenza C virus		Bos taurus	C/Bovine/Montana/12/2016	sick calve's nasal swab
MH348114	icv-ncbi-refseqs-seg2	2	2			2016	NOV	18		2297		Influenza C virus		Bos taurus	C/Bovine/Montana/12/2016	sick calve's nasal swab
MH348115	icv-ncbi-refseqs-seg3	3	3			2016	NOV	18		2156		Influenza C virus		Bos taurus	C/Bovine/Montana/12/2016	sick calve's nasal swab
MH348116	icv-ncbi-refseqs-seg4	4	4	Mississippi		2016	NOV	18		1992		Influenza C virus		Bos taurus	C/Bovine/Montana/12/2016	sick calve's nasal swab
MH348117	icv-ncbi-refseqs-seg5	5	5			2016	NOV	18		1776		Influenza C virus		Bos taurus	C/Bovine/Montana/12/2016	sick calve's nasal swab
MH421868	icv-ncbi-refseqs-seg6	6	6			2016	NOV	18		561		Influenza C virus		Bos taurus	C/Bovine/Montana/12/2016	sick calve's nasal swab
MH348119	icv-ncbi-refseqs-seg7	7	7			2016	NOV	18		892		Influenza C virus		Bos taurus	C/Bovine/Montana/12/2016	sick calve's nasal swab
AB000608	icv-ncbi-refseqs-seg6	6	6							1136	9354270	Influenza C virus (C/California/78)		Homo sapiens	C/California/78	
LC123294	icv-ncbi-refseqs-seg1	1	1			1978				2325	27384661	Influenza C virus (C/California/78)		Homo sapiens	C/California/78	
LC123396	icv-ncbi-refseqs-seg2	2	2			1978				2322	27384661	Influenza C virus (C/California/78)		Homo sapiens	C/California/78	
LC123498	icv-ncbi-refseqs-seg3	3	3			1978				2139	27384661	Influenza C virus (C/California/78)		Homo sapiens	C/California/78	
LC122634	icv-ncbi-refseqs-seg4	4	4	Yamagata		1978				1986	27384661	Influenza C virus (C/California/78)		Homo sapiens	C/California/78	
LC123731	icv-ncbi-refseqs-seg5	5	5			1978				1756	27384661	Influenza C virus (C/California/78)		Homo sapiens	C/California/78	
M10087	icv-ncbi-refseqs-seg7	7	7							934	4032535	Influenza C virus (C/California/78)			C/California/78	
OK254894	icv-ncbi-refseqs-seg1	1	1			2020				2325		Influenza C virus		Canis familiaris	C/canine/China/Guangzhou-1/2020	nasal swab
OK254893	icv-ncbi-refseqs-seg2	2	2			2020				2262		Influenza C virus		Canis familiaris	C/canine/China/Guangzhou-1/2020	nasal swab
OK254892	icv-ncbi-refseqs-seg3	3	3			2020				2127		Influenza C virus		Canis familiaris	C/canine/China/Guangzhou-1/2020	nasal swab
OK254888	icv-ncbi-refseqs-seg4	4	4	SaoPaolo		2020				1965		Influenza C virus		Canis familiaris	C/canine/China/Guangzhou-1/2020	nasal swab
OK254890	icv-ncbi-refseqs-seg5	5	5			2020				1695		Influenza C virus		Canis familiaris	C/canine/China/Guangzhou-1/2020	nasal swab
OK254889	icv-ncbi-refseqs-seg6	6	6			2020				1122		Influenza C virus		Canis familiaris	C/canine/China/Guangzhou-1/2020	nasal swab
OK254891	icv-ncbi-refseqs-seg7	7	7			2020				738		Influenza C virus		Canis familiaris	C/canine/China/Guangzhou-1/2020	nasal swab
OK254901	icv-ncbi-refseqs-seg1	1	1			2020				2325		Influenza C virus		Canis familiaris	C/canine/China/Guangzhou-2/2020	nasal swab
OK254900	icv-ncbi-refseqs-seg2	2	2			2020				2262		Influenza C virus		Canis familiaris	C/canine/China/Guangzhou-2/2020	nasal swab
OK254899	icv-ncbi-refseqs-seg3	3	3			2020				2127		Influenza C virus		Canis familiaris	C/canine/China/Guangzhou-2/2020	nasal swab
OK254895	icv-ncbi-refseqs-seg4	4	4	SaoPaolo		2020				1965		Influenza C virus		Canis familiaris	C/canine/China/Guangzhou-2/2020	nasal swab
OK254897	icv-ncbi-refseqs-seg5	5	5			2020				1695		Influenza C virus		Canis familiaris	C/canine/China/Guangzhou-2/2020	nasal swab
OK254896	icv-ncbi-refseqs-seg6	6	6			2020				1122		Influenza C virus		Canis familiaris	C/canine/China/Guangzhou-2/2020	nasal swab
OK254898	icv-ncbi-refseqs-seg7	7	7			2020				738		Influenza C virus		Canis familiaris	C/canine/China/Guangzhou-2/2020	nasal swab
JX947865	icv-ncbi-refseqs-seg1	1	1			2011	JUL	15		2320	23523822	Influenza C virus (C/Eastern India/1202/2011)		Homo sapiens	C/Eastern India/1202/2011	
JX947864	icv-ncbi-refseqs-seg2	2	2			2011	JUL	15		2264	23523822	Influenza C virus (C/Eastern India/1202/2011)		Homo sapiens	C/Eastern India/1202/2011	
JX947863	icv-ncbi-refseqs-seg3	3	3			2011	JUL	15		2129	23523822	Influenza C virus (C/Eastern India/1202/2011)		Homo sapiens	C/Eastern India/1202/2011	
JX947861	icv-ncbi-refseqs-seg4	4	4	Kanagawa		2011	JUL	15		1944	23523822	Influenza C virus (C/Eastern India/1202/2011)		Homo sapiens	C/Eastern India/1202/2011	
JX947862	icv-ncbi-refseqs-seg5	5	5			2011	JUL	15		1706	23523822	Influenza C virus (C/Eastern India/1202/2011)		Homo sapiens	C/Eastern India/1202/2011	
JX947866	icv-ncbi-refseqs-seg6	6	6			2011	JUL	15		1161	23523822	Influenza C virus (C/Eastern India/1202/2011)		Homo sapiens	C/Eastern India/1202/2011	
JX947867	icv-ncbi-refseqs-seg7	7	7			2011	JUL	15		924	23523822	Influenza C virus (C/Eastern India/1202/2011)		Homo sapiens	C/Eastern India/1202/2011	
LC123347	icv-ncbi-refseqs-seg1	1	1			2005				2325	27384661	Influenza C virus (C/Fukuoka/1/2005)		Homo sapiens	C/Fukuoka/1/2005	
LC123449	icv-ncbi-refseqs-seg2	2	2			2005				2322	27384661	Influenza C virus (C/Fukuoka/1/2005)		Homo sapiens	C/Fukuoka/1/2005	
LC123551	icv-ncbi-refseqs-seg3	3	3			2005				2139	27384661	Influenza C virus (C/Fukuoka/1/2005)		Homo sapiens	C/Fukuoka/1/2005	
LC122653	icv-ncbi-refseqs-seg4	4	4	SaoPaolo		2005				1951	27384661	Influenza C virus (C/Fukuoka/1/2005)		Homo sapiens	C/Fukuoka/1/2005	
LC123779	icv-ncbi-refseqs-seg5	5	5			2005				1754	27384661	Influenza C virus (C/Fukuoka/1/2005)		Homo sapiens	C/Fukuoka/1/2005	
