sequenceID	source.name	rec_segment	gb_segment	gb_subtype	rec_subtype	gb_year	gb_month	gb_day	gb_country	length	pubmed_id	full_name	gb_lab_host	gb_host	isolate	gb_source
KT592523	idv-ncbi-refseqs-seg1	1	1	D/OK		2015			Italy	2351	26812282	Influenza D virus (D/bovine/Italy/46484/2015)		Bos taurus	D/bovine/Italy/46484/2015	
KT592524	idv-ncbi-refseqs-seg2	2	2	D/OK		2015			Italy	2324	26812282	Influenza D virus (D/bovine/Italy/46484/2015)		Bos taurus	D/bovine/Italy/46484/2015	
KT592525	idv-ncbi-refseqs-seg3	3	3	D/OK		2015			Italy	2193	26812282	Influenza D virus (D/bovine/Italy/46484/2015)		Bos taurus	D/bovine/Italy/46484/2015	
KT592526	idv-ncbi-refseqs-seg4	4	4	D/OK	D/OK	2015			Italy	2044	26812282	Influenza D virus (D/bovine/Italy/46484/2015)		Bos taurus	D/bovine/Italy/46484/2015	
KT592527	idv-ncbi-refseqs-seg5	5	5	D/OK		2015			Italy	1778	26812282	Influenza D virus (D/bovine/Italy/46484/2015)		Bos taurus	D/bovine/Italy/46484/2015	
KT592528	idv-ncbi-refseqs-seg6	6	6	D/OK		2015			Italy	1197	26812282	Influenza D virus (D/bovine/Italy/46484/2015)		Bos taurus	D/bovine/Italy/46484/2015	
KT592529	idv-ncbi-refseqs-seg7	7	7	D/OK		2015			Italy	865	26812282	Influenza D virus (D/bovine/Italy/46484/2015)		Bos taurus	D/bovine/Italy/46484/2015	
KM392475	idv-ncbi-refseqs-seg1	1	1	D/OK		2010	DEC	10	USA	2364		Influenza D virus (D/bovine/Kansas/1-35/2010)		Bos taurus	D/bovine/Kansas/1-35/2010	
KM392476	idv-ncbi-refseqs-seg2	2	2	D/OK		2010	DEC	10	USA	2330		Influenza D virus (D/bovine/Kansas/1-35/2010)		Bos taurus	D/bovine/Kansas/1-35/2010	
KM392477	idv-ncbi-refseqs-seg3	3	3	D/OK		2010	DEC	10	USA	2195		Influenza D virus (D/bovine/Kansas/1-35/2010)		Bos taurus	D/bovine/Kansas/1-35/2010	
KM392478	idv-ncbi-refseqs-seg4	4	4	D/OK	D/OK	2010	DEC	10	USA	2049		Influenza D virus (D/bovine/Kansas/1-35/2010)		Bos taurus	D/bovine/Kansas/1-35/2010	
KM392479	idv-ncbi-refseqs-seg5	5	5	D/OK		2010	DEC	10	USA	1775		Influenza D virus (D/bovine/Kansas/1-35/2010)		Bos taurus	D/bovine/Kansas/1-35/2010	
KM392480	idv-ncbi-refseqs-seg6	6	6	D/OK		2010	DEC	10	USA	1219		Influenza D virus (D/bovine/Kansas/1-35/2010)		Bos taurus	D/bovine/Kansas/1-35/2010	
KM392481	idv-ncbi-refseqs-seg7	7	7	D/OK		2010	DEC	10	USA	868		Influenza D virus (D/bovine/Kansas/1-35/2010)		Bos taurus	D/bovine/Kansas/1-35/2010	
KM392503	idv-ncbi-refseqs-seg1	1	1	D/660		2012	APR	19	USA	2364		Influenza D virus (D/bovine/Kansas/11-8/2012)		Bos taurus	D/bovine/Kansas/11-8/2012	
KM392504	idv-ncbi-refseqs-seg2	2	2	D/660		2012	APR	19	USA	2330		Influenza D virus (D/bovine/Kansas/11-8/2012)		Bos taurus	D/bovine/Kansas/11-8/2012	
KM392505	idv-ncbi-refseqs-seg3	3	3	D/660		2012	APR	19	USA	2195		Influenza D virus (D/bovine/Kansas/11-8/2012)		Bos taurus	D/bovine/Kansas/11-8/2012	
KM392506	idv-ncbi-refseqs-seg4	4	4	D/660	D/660	2012	APR	19	USA	2049		Influenza D virus (D/bovine/Kansas/11-8/2012)		Bos taurus	D/bovine/Kansas/11-8/2012	
KM392507	idv-ncbi-refseqs-seg5	5	5	D/660		2012	APR	19	USA	1775		Influenza D virus (D/bovine/Kansas/11-8/2012)		Bos taurus	D/bovine/Kansas/11-8/2012	
KM392508	idv-ncbi-refseqs-seg6	6	6	D/660		2012	APR	19	USA	1219		Influenza D virus (D/bovine/Kansas/11-8/2012)		Bos taurus	D/bovine/Kansas/11-8/2012	
KM392509	idv-ncbi-refseqs-seg7	7	7	D/660		2012	APR	19	USA	868		Influenza D virus (D/bovine/Kansas/11-8/2012)		Bos taurus	D/bovine/Kansas/11-8/2012	
KM392489	idv-ncbi-refseqs-seg1	1	1	D/660		2012	OCT	17	USA	2364		Influenza D virus (D/bovine/Kansas/13-21/2012)		Bos taurus	D/bovine/Kansas/13-21/2012	
KM392490	idv-ncbi-refseqs-seg2	2	2	D/660		2012	OCT	17	USA	2330		Influenza D virus (D/bovine/Kansas/13-21/2012)		Bos taurus	D/bovine/Kansas/13-21/2012	
KM392491	idv-ncbi-refseqs-seg3	3	3	D/660		2012	OCT	17	USA	2195		Influenza D virus (D/bovine/Kansas/13-21/2012)		Bos taurus	D/bovine/Kansas/13-21/2012	
KM392492	idv-ncbi-refseqs-seg4	4	4	D/660	D/660	2012	OCT	17	USA	2049		Influenza D virus (D/bovine/Kansas/13-21/2012)		Bos taurus	D/bovine/Kansas/13-21/2012	
KM392493	idv-ncbi-refseqs-seg5	5	5	D/660		2012	OCT	17	USA	1775		Influenza D virus (D/bovine/Kansas/13-21/2012)		Bos taurus	D/bovine/Kansas/13-21/2012	
KM392494	idv-ncbi-refseqs-seg6	6	6	D/660		2012	OCT	17	USA	1219		Influenza D virus (D/bovine/Kansas/13-21/2012)		Bos taurus	D/bovine/Kansas/13-21/2012	
KM392495	idv-ncbi-refseqs-seg7	7	7	D/660		2012	OCT	17	USA	868		Influenza D virus (D/bovine/Kansas/13-21/2012)		Bos taurus	D/bovine/Kansas/13-21/2012	
KM392496	idv-ncbi-refseqs-seg1	1	1	D/OK		2012	DEC	1	USA	2364		Influenza D virus (D/bovine/Kansas/14-22/2012)		Bos taurus	D/bovine/Kansas/14-22/2012	
KM392497	idv-ncbi-refseqs-seg2	2	2	D/OK		2012	DEC	1	USA	2330		Influenza D virus (D/bovine/Kansas/14-22/2012)		Bos taurus	D/bovine/Kansas/14-22/2012	
KM392498	idv-ncbi-refseqs-seg3	3	3	D/OK		2012	DEC	1	USA	2195		Influenza D virus (D/bovine/Kansas/14-22/2012)		Bos taurus	D/bovine/Kansas/14-22/2012	
KM392499	idv-ncbi-refseqs-seg4	4	4	D/OK	D/OK	2012	DEC	1	USA	2049		Influenza D virus (D/bovine/Kansas/14-22/2012)		Bos taurus	D/bovine/Kansas/14-22/2012	
KM392500	idv-ncbi-refseqs-seg5	5	5	D/OK		2012	DEC	1	USA	1775		Influenza D virus (D/bovine/Kansas/14-22/2012)		Bos taurus	D/bovine/Kansas/14-22/2012	
KM392501	idv-ncbi-refseqs-seg6	6	6	D/OK		2012	DEC	1	USA	1219		Influenza D virus (D/bovine/Kansas/14-22/2012)		Bos taurus	D/bovine/Kansas/14-22/2012	
KM392502	idv-ncbi-refseqs-seg7	7	7	D/OK		2012	DEC	1	USA	868		Influenza D virus (D/bovine/Kansas/14-22/2012)		Bos taurus	D/bovine/Kansas/14-22/2012	
KU710440	idv-ncbi-refseqs-seg1	1	1	D/660		2015			Mexico	2364	27154756	Influenza D virus (D/bovine/Mexico/S56/2015)		Bos taurus	D/bovine/Mexico/S56/2015	
KU710436	idv-ncbi-refseqs-seg2	2	2	D/660		2015			Mexico	2329	27154756	Influenza D virus (D/bovine/Mexico/S56/2015)		Bos taurus	D/bovine/Mexico/S56/2015	
KU710428	idv-ncbi-refseqs-seg3	3	3	D/660		2015			Mexico	2195	27154756	Influenza D virus (D/bovine/Mexico/S56/2015)		Bos taurus	D/bovine/Mexico/S56/2015	
KU171128	idv-ncbi-refseqs-seg4	4	4	D/660	D/660	2015			Mexico	2049	27154756	Influenza D virus (D/bovine/Mexico/S56/2015)		Bos taurus	D/bovine/Mexico/S56/2015	
KU710420	idv-ncbi-refseqs-seg5	5	5	D/660		2015			Mexico	1774	27154756	Influenza D virus (D/bovine/Mexico/S56/2015)		Bos taurus	D/bovine/Mexico/S56/2015	
KU710432	idv-ncbi-refseqs-seg6	6	6	D/660		2015			Mexico	1219	27154756	Influenza D virus (D/bovine/Mexico/S56/2015)		Bos taurus	D/bovine/Mexico/S56/2015	
KU710424	idv-ncbi-refseqs-seg7	7	7	D/660		2015			Mexico	868	27154756	Influenza D virus (D/bovine/Mexico/S56/2015)		Bos taurus	D/bovine/Mexico/S56/2015	
KU710441	idv-ncbi-refseqs-seg1	1	1	D/OK		2015			Mexico	2364	27154756	Influenza D virus (D/bovine/Mexico/S62/2015)		Bos taurus	D/bovine/Mexico/S62/2015	
KU710437	idv-ncbi-refseqs-seg2	2	2	D/OK		2015			Mexico	2329	27154756	Influenza D virus (D/bovine/Mexico/S62/2015)		Bos taurus	D/bovine/Mexico/S62/2015	
KU710429	idv-ncbi-refseqs-seg3	3	3	D/OK		2015			Mexico	2195	27154756	Influenza D virus (D/bovine/Mexico/S62/2015)		Bos taurus	D/bovine/Mexico/S62/2015	
KU171129	idv-ncbi-refseqs-seg4	4	4	D/OK	D/OK	2015			Mexico	2049	27154756	Influenza D virus (D/bovine/Mexico/S62/2015)		Bos taurus	D/bovine/Mexico/S62/2015	
KU710421	idv-ncbi-refseqs-seg5	5	5	D/OK		2015			Mexico	1775	27154756	Influenza D virus (D/bovine/Mexico/S62/2015)		Bos taurus	D/bovine/Mexico/S62/2015	
KU710433	idv-ncbi-refseqs-seg6	6	6	D/OK		2015			Mexico	1219	27154756	Influenza D virus (D/bovine/Mexico/S62/2015)		Bos taurus	D/bovine/Mexico/S62/2015	
KU710425	idv-ncbi-refseqs-seg7	7	7	D/OK		2015			Mexico	868	27154756	Influenza D virus (D/bovine/Mexico/S62/2015)		Bos taurus	D/bovine/Mexico/S62/2015	
KU710438	idv-ncbi-refseqs-seg1	1	1	D/660		2015			Mexico	2363	27154756	Influenza D virus (D/bovine/Mexico/S7/2015)		Bos taurus	D/bovine/Mexico/S7/2015	
KU710434	idv-ncbi-refseqs-seg2	2	2	D/660		2015			Mexico	2329	27154756	Influenza D virus (D/bovine/Mexico/S7/2015)		Bos taurus	D/bovine/Mexico/S7/2015	
KU710426	idv-ncbi-refseqs-seg3	3	3	D/660		2015			Mexico	2195	27154756	Influenza D virus (D/bovine/Mexico/S7/2015)		Bos taurus	D/bovine/Mexico/S7/2015	
KU171126	idv-ncbi-refseqs-seg4	4	4	D/660	D/660	2015			Mexico	2049	27154756	Influenza D virus (D/bovine/Mexico/S7/2015)		Bos taurus	D/bovine/Mexico/S7/2015	
KU710418	idv-ncbi-refseqs-seg5	5	5	D/660		2015			Mexico	1775	27154756	Influenza D virus (D/bovine/Mexico/S7/2015)		Bos taurus	D/bovine/Mexico/S7/2015	
KU710430	idv-ncbi-refseqs-seg6	6	6	D/660		2015			Mexico	1219	27154756	Influenza D virus (D/bovine/Mexico/S7/2015)		Bos taurus	D/bovine/Mexico/S7/2015	
KU710422	idv-ncbi-refseqs-seg7	7	7	D/660		2015			Mexico	868	27154756	Influenza D virus (D/bovine/Mexico/S7/2015)		Bos taurus	D/bovine/Mexico/S7/2015	
KU710439	idv-ncbi-refseqs-seg1	1	1	D/660		2015			Mexico	2364	27154756	Influenza D virus (D/bovine/Mexico/S8/2015)		Bos taurus	D/bovine/Mexico/S8/2015	
KU710435	idv-ncbi-refseqs-seg2	2	2	D/660		2015			Mexico	2330	27154756	Influenza D virus (D/bovine/Mexico/S8/2015)		Bos taurus	D/bovine/Mexico/S8/2015	
KU710427	idv-ncbi-refseqs-seg3	3	3	D/660		2015			Mexico	2194	27154756	Influenza D virus (D/bovine/Mexico/S8/2015)		Bos taurus	D/bovine/Mexico/S8/2015	
KU171127	idv-ncbi-refseqs-seg4	4	4	D/660	D/660	2015			Mexico	2049	27154756	Influenza D virus (D/bovine/Mexico/S8/2015)		Bos taurus	D/bovine/Mexico/S8/2015	
KU710419	idv-ncbi-refseqs-seg5	5	5	D/660		2015			Mexico	1774	27154756	Influenza D virus (D/bovine/Mexico/S8/2015)		Bos taurus	D/bovine/Mexico/S8/2015	
KU710431	idv-ncbi-refseqs-seg6	6	6	D/660		2015			Mexico	1219	27154756	Influenza D virus (D/bovine/Mexico/S8/2015)		Bos taurus	D/bovine/Mexico/S8/2015	
KU710423	idv-ncbi-refseqs-seg7	7	7	D/660		2015			Mexico	868	27154756	Influenza D virus (D/bovine/Mexico/S8/2015)		Bos taurus	D/bovine/Mexico/S8/2015	
KF425652	idv-ncbi-refseqs-seg1	1	1	D/OK		2013	FEB	18	USA	2364	24595369	Influenza D virus (D/bovine/Minnesota/628/2013)		Bos taurus	D/bovine/Minnesota/628/2013	
KF425653	idv-ncbi-refseqs-seg2	2	2	D/OK		2013	FEB	18	USA	2330	24595369	Influenza D virus (D/bovine/Minnesota/628/2013)		Bos taurus	D/bovine/Minnesota/628/2013	
KF425654	idv-ncbi-refseqs-seg3	3	3	D/OK		2013	FEB	18	USA	2195	24595369	Influenza D virus (D/bovine/Minnesota/628/2013)		Bos taurus	D/bovine/Minnesota/628/2013	
KF425655	idv-ncbi-refseqs-seg4	4	4	D/OK	D/OK	2013	FEB	18	USA	2049	24595369	Influenza D virus (D/bovine/Minnesota/628/2013)		Bos taurus	D/bovine/Minnesota/628/2013	
KF425656	idv-ncbi-refseqs-seg5	5	5	D/OK		2013	FEB	18	USA	1775	24595369	Influenza D virus (D/bovine/Minnesota/628/2013)		Bos taurus	D/bovine/Minnesota/628/2013	
KF425657	idv-ncbi-refseqs-seg6	6	6	D/OK		2013	FEB	18	USA	1219	24595369	Influenza D virus (D/bovine/Minnesota/628/2013)		Bos taurus	D/bovine/Minnesota/628/2013	
KF425658	idv-ncbi-refseqs-seg7	7	7	D/OK		2013	FEB	18	USA	868	24595369	Influenza D virus (D/bovine/Minnesota/628/2013)		Bos taurus	D/bovine/Minnesota/628/2013	
KF425666	idv-ncbi-refseqs-seg1	1	1	D/OK		2013	FEB	26	USA	2319	24595369	Influenza D virus (D/bovine/Minnesota/729/2013)		Bos taurus	D/bovine/Minnesota/729/2013	
KF425667	idv-ncbi-refseqs-seg2	2	2	D/OK		2013	FEB	26	USA	2262	24595369	Influenza D virus (D/bovine/Minnesota/729/2013)		Bos taurus	D/bovine/Minnesota/729/2013	
KF425668	idv-ncbi-refseqs-seg3	3	3	D/OK		2013	FEB	26	USA	2133	24595369	Influenza D virus (D/bovine/Minnesota/729/2013)		Bos taurus	D/bovine/Minnesota/729/2013	
KF425669	idv-ncbi-refseqs-seg4	4	4	D/OK	D/OK	2013	FEB	26	USA	1995	24595369	Influenza D virus (D/bovine/Minnesota/729/2013)		Bos taurus	D/bovine/Minnesota/729/2013	
KF425670	idv-ncbi-refseqs-seg5	5	5	D/OK		2013	FEB	26	USA	1659	24595369	Influenza D virus (D/bovine/Minnesota/729/2013)		Bos taurus	D/bovine/Minnesota/729/2013	
KF425671	idv-ncbi-refseqs-seg6	6	6	D/OK		2013	FEB	26	USA	1164	24595369	Influenza D virus (D/bovine/Minnesota/729/2013)		Bos taurus	D/bovine/Minnesota/729/2013	
KF425672	idv-ncbi-refseqs-seg7	7	7	D/OK		2013	FEB	26	USA	732	24595369	Influenza D virus (D/bovine/Minnesota/729/2013)		Bos taurus	D/bovine/Minnesota/729/2013	
KT581409	idv-ncbi-refseqs-seg1	1	1	D/OK		2014	FEB	19	USA	2364	26386554	Influenza D virus (D/bovine/Mississippi/C00046N/2014)		Bos taurus	D/bovine/Mississippi/C00046N/2014	nasal swab
KT581410	idv-ncbi-refseqs-seg2	2	2	D/OK		2014	FEB	19	USA	2330	26386554	Influenza D virus (D/bovine/Mississippi/C00046N/2014)		Bos taurus	D/bovine/Mississippi/C00046N/2014	nasal swab
KT581411	idv-ncbi-refseqs-seg3	3	3	D/OK		2014	FEB	19	USA	2195		Influenza D virus (D/bovine/Mississippi/C00046N/2014)		Bos taurus	D/bovine/Mississippi/C00046N/2014	nasal swab
KT581412	idv-ncbi-refseqs-seg4	4	4	D/OK	D/OK	2014	FEB	19	USA	2049	26386554	Influenza D virus (D/bovine/Mississippi/C00046N/2014)		Bos taurus	D/bovine/Mississippi/C00046N/2014	nasal swab
KT581413	idv-ncbi-refseqs-seg5	5	5	D/OK		2014	FEB	19	USA	1775	26386554	Influenza D virus (D/bovine/Mississippi/C00046N/2014)		Bos taurus	D/bovine/Mississippi/C00046N/2014	nasal swab
KT581414	idv-ncbi-refseqs-seg6	6	6	D/OK		2014	FEB	19	USA	1219	26386554	Influenza D virus (D/bovine/Mississippi/C00046N/2014)		Bos taurus	D/bovine/Mississippi/C00046N/2014	nasal swab
KT581415	idv-ncbi-refseqs-seg7	7	7	D/OK		2014	FEB	19	USA	868	26386554	Influenza D virus (D/bovine/Mississippi/C00046N/2014)		Bos taurus	D/bovine/Mississippi/C00046N/2014	nasal swab
LC270265	idv-ncbi-refseqs-seg1	1	1	D/Yama2016		2016			Japan	2364	29143492	Influenza D virus (D/bovine/Miyazaki/B22/2016)		Bos taurus	D/bovine/Miyazaki/B22/2016	
LC270266	idv-ncbi-refseqs-seg2	2	2	D/Yama2016		2016			Japan	2330	29143492	Influenza D virus (D/bovine/Miyazaki/B22/2016)		Bos taurus	D/bovine/Miyazaki/B22/2016	
LC270267	idv-ncbi-refseqs-seg3	3	3	D/Yama2016		2016			Japan	2195	29143492	Influenza D virus (D/bovine/Miyazaki/B22/2016)		Bos taurus	D/bovine/Miyazaki/B22/2016	
LC270268	idv-ncbi-refseqs-seg4	4	4	D/Yama2016	D/Yama2016	2016			Japan	2049	29143492	Influenza D virus (D/bovine/Miyazaki/B22/2016)		Bos taurus	D/bovine/Miyazaki/B22/2016	
LC270269	idv-ncbi-refseqs-seg5	5	5	D/Yama2016		2016			Japan	1775	29143492	Influenza D virus (D/bovine/Miyazaki/B22/2016)		Bos taurus	D/bovine/Miyazaki/B22/2016	
LC270270	idv-ncbi-refseqs-seg6	6	6	D/Yama2016		2016			Japan	1219	29143492	Influenza D virus (D/bovine/Miyazaki/B22/2016)		Bos taurus	D/bovine/Miyazaki/B22/2016	
LC270271	idv-ncbi-refseqs-seg7	7	7	D/Yama2016		2016			Japan	868	29143492	Influenza D virus (D/bovine/Miyazaki/B22/2016)		Bos taurus	D/bovine/Miyazaki/B22/2016	
KM392468	idv-ncbi-refseqs-seg1	1	1	D/660		2012	JAN	31	USA	2364		Influenza D virus (D/bovine/Nebraska/9-5/2012)		Bos taurus	D/bovine/Nebraska/9-5/2012	
KM392469	idv-ncbi-refseqs-seg2	2	2	D/660		2012	JAN	31	USA	2330		Influenza D virus (D/bovine/Nebraska/9-5/2012)		Bos taurus	D/bovine/Nebraska/9-5/2012	
KM392470	idv-ncbi-refseqs-seg3	3	3	D/660		2012	JAN	31	USA	2195		Influenza D virus (D/bovine/Nebraska/9-5/2012)		Bos taurus	D/bovine/Nebraska/9-5/2012	
KM392471	idv-ncbi-refseqs-seg4	4	4	D/660	D/660	2012	JAN	31	USA	2049		Influenza D virus (D/bovine/Nebraska/9-5/2012)		Bos taurus	D/bovine/Nebraska/9-5/2012	
KM392472	idv-ncbi-refseqs-seg5	5	5	D/660		2012	JAN	31	USA	1775		Influenza D virus (D/bovine/Nebraska/9-5/2012)		Bos taurus	D/bovine/Nebraska/9-5/2012	
KM392473	idv-ncbi-refseqs-seg6	6	6	D/660		2012	JAN	31	USA	1219		Influenza D virus (D/bovine/Nebraska/9-5/2012)		Bos taurus	D/bovine/Nebraska/9-5/2012	
KM392474	idv-ncbi-refseqs-seg7	7	7	D/660		2012	JAN	31	USA	868		Influenza D virus (D/bovine/Nebraska/9-5/2012)		Bos taurus	D/bovine/Nebraska/9-5/2012	
MK101118	idv-ncbi-refseqs-seg1	1	1	D/OK		2017	DEC	1	United Kingdom	2320		Influenza D virus		Bos taurus	D/bovine/Northern Ireland/24280/2017	
MK101119	idv-ncbi-refseqs-seg2	2	2	D/OK		2017	DEC	1	United Kingdom	2286		Influenza D virus		Bos taurus	D/bovine/Northern Ireland/24280/2017	
MK101120	idv-ncbi-refseqs-seg3	3	3	D/OK		2017	DEC	1	United Kingdom	2150		Influenza D virus		Bos taurus	D/bovine/Northern Ireland/24280/2017	
MK101121	idv-ncbi-refseqs-seg4	4	4	D/OK	D/OK	2017	DEC	1	United Kingdom	2003		Influenza D virus		Bos taurus	D/bovine/Northern Ireland/24280/2017	
MK101122	idv-ncbi-refseqs-seg5	5	5	D/OK		2017	DEC	1	United Kingdom	1726		Influenza D virus		Bos taurus	D/bovine/Northern Ireland/24280/2017	
MK101123	idv-ncbi-refseqs-seg6	6	6	D/OK		2017	DEC	1	United Kingdom	1168		Influenza D virus		Bos taurus	D/bovine/Northern Ireland/24280/2017	
MK101124	idv-ncbi-refseqs-seg7	7	7	D/OK		2017	DEC	1	United Kingdom	822		Influenza D virus		Bos taurus	D/bovine/Northern Ireland/24280/2017	
KF425659	idv-ncbi-refseqs-seg1	1	1	D/660		2013	FEB	20	USA	2364	24595369	Influenza D virus (D/bovine/Oklahoma/660/2013)		Bos taurus	D/bovine/Oklahoma/660/2013	
KF425660	idv-ncbi-refseqs-seg2	2	2	D/660		2013	FEB	20	USA	2330	24595369	Influenza D virus (D/bovine/Oklahoma/660/2013)		Bos taurus	D/bovine/Oklahoma/660/2013	
KF425661	idv-ncbi-refseqs-seg3	3	3	D/660		2013	FEB	20	USA	2195	24595369	Influenza D virus (D/bovine/Oklahoma/660/2013)		Bos taurus	D/bovine/Oklahoma/660/2013	
KF425662	idv-ncbi-refseqs-seg4	4	4	D/660	D/660	2013	FEB	20	USA	2049	24595369	Influenza D virus (D/bovine/Oklahoma/660/2013)		Bos taurus	D/bovine/Oklahoma/660/2013	
KF425663	idv-ncbi-refseqs-seg5	5	5	D/660		2013	FEB	20	USA	1775	24595369	Influenza D virus (D/bovine/Oklahoma/660/2013)		Bos taurus	D/bovine/Oklahoma/660/2013	
KF425664	idv-ncbi-refseqs-seg6	6	6	D/660		2013	FEB	20	USA	1219	24595369	Influenza D virus (D/bovine/Oklahoma/660/2013)		Bos taurus	D/bovine/Oklahoma/660/2013	
KF425665	idv-ncbi-refseqs-seg7	7	7	D/660		2013	FEB	20	USA	868	24595369	Influenza D virus (D/bovine/Oklahoma/660/2013)		Bos taurus	D/bovine/Oklahoma/660/2013	
KM015491	idv-ncbi-refseqs-seg1	1	1	D/OK		2014	APR	2	China	2364	25142163	Influenza D virus (D/bovine/Shandong/Y125/2014)		Bos taurus	D/bovine/Shandong/Y125/2014	
KM015492	idv-ncbi-refseqs-seg2	2	2	D/OK		2014	APR	2	China	2330	25142163	Influenza D virus (D/bovine/Shandong/Y125/2014)		Bos taurus	D/bovine/Shandong/Y125/2014	
KM015493	idv-ncbi-refseqs-seg3	3	3	D/OK		2014	APR	2	China	2195	25142163	Influenza D virus (D/bovine/Shandong/Y125/2014)		Bos taurus	D/bovine/Shandong/Y125/2014	
KM015494	idv-ncbi-refseqs-seg4	4	4	D/OK	D/OK	2014	APR	2	China	2049	25142163	Influenza D virus (D/bovine/Shandong/Y125/2014)		Bos taurus	D/bovine/Shandong/Y125/2014	
KM015495	idv-ncbi-refseqs-seg5	5	5	D/OK		2014	APR	2	China	1775	25142163	Influenza D virus (D/bovine/Shandong/Y125/2014)		Bos taurus	D/bovine/Shandong/Y125/2014	
KM015496	idv-ncbi-refseqs-seg6	6	6	D/OK		2014	APR	2	China	1219	25142163	Influenza D virus (D/bovine/Shandong/Y125/2014)		Bos taurus	D/bovine/Shandong/Y125/2014	
